
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:01.901152: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:06.657055: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Tr: -8.62, Rewards Val: -7.53, Rewards Disc: 0.56, Rewards Eval: -71.47, Total Timesteps: 820000 episode:40 

Rewards Tr: -16.86, Rewards Val: -3.22, Rewards Disc: 0.65, Rewards Eval: -14.23, Total Timesteps: 840000 episode:41 

Rewards Tr: -5.19, Rewards Val: 8.71, Rewards Disc: 0.54, Rewards Eval: -13.50, Total Timesteps: 860000 episode:42 

Rewards Tr: -4.90, Rewards Val: 16.16, Rewards Disc: 0.52, Rewards Eval: -3.38, Total Timesteps: 880000 episode:43 

Rewards Tr: -5.80, Rewards Val: 5.15, Rewards Disc: 0.49, Rewards Eval: 12.34, Total Timesteps: 900000 episode:44 

Rewards Tr: -16.62, Rewards Val: 8.27, Rewards Disc: 0.46, Rewards Eval: 3.84, Total Timesteps: 920000 episode:45 

Rewards Tr: -7.73, Rewards Val: -0.83, Rewards Disc: 0.44, Rewards Eval: 11.14, Total Timesteps: 940000 episode:46 

Rewards Tr: 2.19, Rewards Val: -6.61, Rewards Disc: 0.51, Rewards Eval: 13.64, Total Timesteps: 960000 episode:47 

Rewards Tr: 0.07, Rewards Val: 10.71, Rewards Disc: 0.49, Rewards Eval: -15.55, Total Timesteps: 980000 episode:48 

Rewards Tr: -16.61, Rewards Val: -1.25, Rewards Disc: 0.43, Rewards Eval: 34.16, Total Timesteps: 1000000 episode:49 

Rewards Tr: 7.28, Rewards Val: -5.83, Rewards Disc: 0.52, Rewards Eval: -30.69, Total Timesteps: 1020000 episode:50 

Rewards Tr: -7.20, Rewards Val: -3.30, Rewards Disc: 0.54, Rewards Eval: -4.07, Total Timesteps: 1040000 episode:51 

Rewards Tr: -2.44, Rewards Val: 0.99, Rewards Disc: 0.45, Rewards Eval: -8.31, Total Timesteps: 1060000 episode:52 

Rewards Tr: 5.49, Rewards Val: 0.79, Rewards Disc: 0.40, Rewards Eval: 18.49, Total Timesteps: 1080000 episode:53 

Rewards Tr: -16.17, Rewards Val: 0.10, Rewards Disc: 0.42, Rewards Eval: -18.76, Total Timesteps: 1100000 episode:54 

Rewards Tr: -4.06, Rewards Val: 4.42, Rewards Disc: 0.40, Rewards Eval: -7.32, Total Timesteps: 1120000 episode:55 

Rewards Tr: 3.54, Rewards Val: 4.62, Rewards Disc: 0.37, Rewards Eval: 33.62, Total Timesteps: 1140000 episode:56 

Rewards Tr: 3.99, Rewards Val: 9.67, Rewards Disc: 0.41, Rewards Eval: 26.69, Total Timesteps: 1160000 episode:57 

Rewards Tr: 11.91, Rewards Val: 8.00, Rewards Disc: 0.38, Rewards Eval: 5.89, Total Timesteps: 1180000 episode:58 

Rewards Tr: 3.87, Rewards Val: 16.88, Rewards Disc: 0.41, Rewards Eval: 38.24, Total Timesteps: 1200000 episode:59 

Rewards Tr: -3.15, Rewards Val: 11.58, Rewards Disc: 0.44, Rewards Eval: -11.47, Total Timesteps: 1220000 episode:60 

Rewards Tr: 2.82, Rewards Val: 7.98, Rewards Disc: 0.43, Rewards Eval: 42.94, Total Timesteps: 1240000 episode:61 

Rewards Tr: -1.75, Rewards Val: 0.13, Rewards Disc: 0.49, Rewards Eval: 47.33, Total Timesteps: 1260000 episode:62 

Rewards Tr: 5.61, Rewards Val: -12.22, Rewards Disc: 0.46, Rewards Eval: 26.25, Total Timesteps: 1280000 episode:63 

Rewards Tr: -0.31, Rewards Val: 16.96, Rewards Disc: 0.42, Rewards Eval: -35.63, Total Timesteps: 1300000 episode:64 

Rewards Tr: 14.11, Rewards Val: -0.62, Rewards Disc: 0.45, Rewards Eval: -13.51, Total Timesteps: 1320000 episode:65 

Rewards Tr: 14.03, Rewards Val: 22.48, Rewards Disc: 0.51, Rewards Eval: 44.42, Total Timesteps: 1340000 episode:66 

Rewards Tr: 4.34, Rewards Val: 21.99, Rewards Disc: 0.57, Rewards Eval: 25.65, Total Timesteps: 1360000 episode:67 

Rewards Tr: 13.87, Rewards Val: 27.97, Rewards Disc: 0.64, Rewards Eval: 23.84, Total Timesteps: 1380000 episode:68 

Rewards Tr: 23.98, Rewards Val: 21.39, Rewards Disc: 0.59, Rewards Eval: 25.62, Total Timesteps: 1400000 episode:69 

Rewards Tr: 14.54, Rewards Val: 33.91, Rewards Disc: 0.41, Rewards Eval: 18.55, Total Timesteps: 1420000 episode:70 

Rewards Tr: 10.74, Rewards Val: 23.66, Rewards Disc: 0.47, Rewards Eval: 52.16, Total Timesteps: 1440000 episode:71 

Rewards Tr: 8.58, Rewards Val: 27.14, Rewards Disc: 0.41, Rewards Eval: 51.49, Total Timesteps: 1460000 episode:72 

Rewards Tr: 18.94, Rewards Val: 25.99, Rewards Disc: 0.45, Rewards Eval: 3.27, Total Timesteps: 1480000 episode:73 

Rewards Tr: 24.24, Rewards Val: 36.49, Rewards Disc: 0.46, Rewards Eval: 4.02, Total Timesteps: 1500000 episode:74 

Rewards Tr: 42.89, Rewards Val: 26.52, Rewards Disc: 0.49, Rewards Eval: -7.26, Total Timesteps: 1520000 episode:75 

Rewards Tr: 23.27, Rewards Val: 29.12, Rewards Disc: 0.50, Rewards Eval: 47.14, Total Timesteps: 1540000 episode:76 

Rewards Tr: 42.01, Rewards Val: 36.32, Rewards Disc: 0.54, Rewards Eval: 48.68, Total Timesteps: 1560000 episode:77 

Rewards Tr: 35.55, Rewards Val: 52.06, Rewards Disc: 0.57, Rewards Eval: 57.56, Total Timesteps: 1580000 episode:78 

Rewards Tr: 40.88, Rewards Val: 29.78, Rewards Disc: 0.53, Rewards Eval: 15.97, Total Timesteps: 1600000 episode:79 

Rewards Tr: 19.25, Rewards Val: 16.11, Rewards Disc: 0.50, Rewards Eval: -10.13, Total Timesteps: 1620000 episode:80 

Rewards Tr: 43.99, Rewards Val: 36.85, Rewards Disc: 0.45, Rewards Eval: 42.98, Total Timesteps: 1640000 episode:81 

Rewards Tr: 37.50, Rewards Val: 42.58, Rewards Disc: 0.47, Rewards Eval: 43.01, Total Timesteps: 1660000 episode:82 

Rewards Tr: 39.18, Rewards Val: 44.73, Rewards Disc: 0.50, Rewards Eval: -2.26, Total Timesteps: 1680000 episode:83 

Rewards Tr: 55.54, Rewards Val: 48.23, Rewards Disc: 0.53, Rewards Eval: 46.15, Total Timesteps: 1700000 episode:84 

Rewards Tr: 44.68, Rewards Val: 52.23, Rewards Disc: 0.58, Rewards Eval: 36.92, Total Timesteps: 1720000 episode:85 

Rewards Tr: 44.41, Rewards Val: 52.15, Rewards Disc: 0.50, Rewards Eval: 27.55, Total Timesteps: 1740000 episode:86 

Rewards Tr: 54.93, Rewards Val: 65.48, Rewards Disc: 0.49, Rewards Eval: 104.19, Total Timesteps: 1760000 episode:87 

Rewards Tr: 46.64, Rewards Val: 51.57, Rewards Disc: 0.44, Rewards Eval: 46.57, Total Timesteps: 1780000 episode:88 

Rewards Tr: 53.71, Rewards Val: 57.38, Rewards Disc: 0.36, Rewards Eval: 87.06, Total Timesteps: 1800000 episode:89 

Rewards Tr: 35.98, Rewards Val: 41.63, Rewards Disc: 0.38, Rewards Eval: 51.30, Total Timesteps: 1820000 episode:90 

Rewards Tr: 44.29, Rewards Val: 31.92, Rewards Disc: 0.38, Rewards Eval: 38.46, Total Timesteps: 1840000 episode:91 

Rewards Tr: 51.72, Rewards Val: 32.50, Rewards Disc: 0.36, Rewards Eval: 52.66, Total Timesteps: 1860000 episode:92 

Rewards Tr: 59.71, Rewards Val: 50.75, Rewards Disc: 0.36, Rewards Eval: 32.06, Total Timesteps: 1880000 episode:93 

Rewards Tr: 52.65, Rewards Val: 35.93, Rewards Disc: 0.48, Rewards Eval: 24.65, Total Timesteps: 1900000 episode:94 

Rewards Tr: 63.49, Rewards Val: 66.29, Rewards Disc: 0.53, Rewards Eval: 70.97, Total Timesteps: 1920000 episode:95 

Rewards Tr: 64.69, Rewards Val: 56.11, Rewards Disc: 0.54, Rewards Eval: 98.58, Total Timesteps: 1940000 episode:96 

Rewards Tr: 62.22, Rewards Val: 56.36, Rewards Disc: 0.46, Rewards Eval: 12.17, Total Timesteps: 1960000 episode:97 

Rewards Tr: 61.72, Rewards Val: 60.19, Rewards Disc: 0.51, Rewards Eval: 61.37, Total Timesteps: 1980000 episode:98 

Rewards Tr: 65.93, Rewards Val: 76.88, Rewards Disc: 0.56, Rewards Eval: 85.45, Total Timesteps: 2000000 episode:99 

Rewards Tr: 78.43, Rewards Val: 54.87, Rewards Disc: 0.50, Rewards Eval: 28.97, Total Timesteps: 2020000 episode:100 

Rewards Tr: 62.89, Rewards Val: 51.78, Rewards Disc: 0.48, Rewards Eval: 78.30, Total Timesteps: 2040000 episode:101 

Rewards Tr: 73.75, Rewards Val: 54.47, Rewards Disc: 0.52, Rewards Eval: 80.16, Total Timesteps: 2060000 episode:102 

Rewards Tr: 58.36, Rewards Val: 75.09, Rewards Disc: 0.62, Rewards Eval: 98.57, Total Timesteps: 2080000 episode:103 

Rewards Tr: 75.67, Rewards Val: 54.88, Rewards Disc: 0.53, Rewards Eval: 90.63, Total Timesteps: 2100000 episode:104 

Rewards Tr: 76.05, Rewards Val: 61.13, Rewards Disc: 0.55, Rewards Eval: 97.50, Total Timesteps: 2120000 episode:105 

Rewards Tr: 76.31, Rewards Val: 64.33, Rewards Disc: 0.55, Rewards Eval: 63.06, Total Timesteps: 2140000 episode:106 

Rewards Tr: 73.74, Rewards Val: 49.56, Rewards Disc: 0.43, Rewards Eval: 44.30, Total Timesteps: 2160000 episode:107 

Rewards Tr: 72.96, Rewards Val: 75.54, Rewards Disc: 0.45, Rewards Eval: 31.13, Total Timesteps: 2180000 episode:108 

Rewards Tr: 61.66, Rewards Val: 69.45, Rewards Disc: 0.49, Rewards Eval: 64.10, Total Timesteps: 2200000 episode:109 

Rewards Tr: 71.05, Rewards Val: 62.95, Rewards Disc: 0.53, Rewards Eval: 47.94, Total Timesteps: 2220000 episode:110 

Rewards Tr: 77.17, Rewards Val: 54.04, Rewards Disc: 0.55, Rewards Eval: 76.23, Total Timesteps: 2240000 episode:111 

Rewards Tr: 73.54, Rewards Val: 59.04, Rewards Disc: 0.62, Rewards Eval: 99.40, Total Timesteps: 2260000 episode:112 

