For Seed: 1 

2022-02-01 15:43:33.463730: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-01 15:43:37.156946: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: -26.21, Rewards Eval: -1.23, Total Timesteps: 10000 episode:0 
Rewards Agent: 1048.07, Rewards Eval: 1091.85, Total Timesteps: 640000 episode:63 

Rewards Agent: 1043.77, Rewards Eval: 1033.46, Total Timesteps: 650000 episode:64 

Rewards Agent: 1048.54, Rewards Eval: 1085.20, Total Timesteps: 660000 episode:65 

Rewards Agent: 1087.03, Rewards Eval: 1044.95, Total Timesteps: 670000 episode:66 

Rewards Agent: 1072.12, Rewards Eval: 1118.67, Total Timesteps: 680000 episode:67 

Rewards Agent: 1052.29, Rewards Eval: 1112.66, Total Timesteps: 690000 episode:68 

Rewards Agent: 1079.04, Rewards Eval: 977.90, Total Timesteps: 700000 episode:69 

Rewards Agent: 1059.47, Rewards Eval: 1097.55, Total Timesteps: 710000 episode:70 

Rewards Agent: 1049.74, Rewards Eval: 1123.16, Total Timesteps: 720000 episode:71 

Rewards Agent: 1075.05, Rewards Eval: 1072.26, Total Timesteps: 730000 episode:72 

Rewards Agent: 1094.38, Rewards Eval: 1052.37, Total Timesteps: 740000 episode:73 

Rewards Agent: 1078.48, Rewards Eval: 1073.66, Total Timesteps: 750000 episode:74 

Rewards Agent: 1078.81, Rewards Eval: 1097.42, Total Timesteps: 760000 episode:75 

Rewards Agent: 1077.34, Rewards Eval: 995.97, Total Timesteps: 770000 episode:76 

Rewards Agent: 1086.83, Rewards Eval: 1126.46, Total Timesteps: 780000 episode:77 

Rewards Agent: 1075.73, Rewards Eval: 1073.78, Total Timesteps: 790000 episode:78 

Rewards Agent: 1079.85, Rewards Eval: 1082.16, Total Timesteps: 800000 episode:79 

Rewards Agent: 1096.21, Rewards Eval: 1090.17, Total Timesteps: 810000 episode:80 

Rewards Agent: 1099.28, Rewards Eval: 1163.98, Total Timesteps: 820000 episode:81 

Rewards Agent: 1113.00, Rewards Eval: 1176.37, Total Timesteps: 830000 episode:82 

Rewards Agent: 1106.95, Rewards Eval: 1134.87, Total Timesteps: 840000 episode:83 

Rewards Agent: 1108.79, Rewards Eval: 1073.17, Total Timesteps: 850000 episode:84 

Rewards Agent: 1124.51, Rewards Eval: 1115.40, Total Timesteps: 860000 episode:85 

Rewards Agent: 1141.79, Rewards Eval: 1117.82, Total Timesteps: 870000 episode:86 

Rewards Agent: 1125.31, Rewards Eval: 1158.72, Total Timesteps: 880000 episode:87 

Rewards Agent: 1116.46, Rewards Eval: 1120.70, Total Timesteps: 890000 episode:88 

Rewards Agent: 1104.83, Rewards Eval: 1147.27, Total Timesteps: 900000 episode:89 

Rewards Agent: 1120.30, Rewards Eval: 1106.39, Total Timesteps: 910000 episode:90 

Rewards Agent: 1131.49, Rewards Eval: 1126.95, Total Timesteps: 920000 episode:91 

Rewards Agent: 1132.16, Rewards Eval: 1175.10, Total Timesteps: 930000 episode:92 

Rewards Agent: 1137.50, Rewards Eval: 1161.60, Total Timesteps: 940000 episode:93 

Rewards Agent: 1133.82, Rewards Eval: 1010.70, Total Timesteps: 950000 episode:94 

Rewards Agent: 1136.92, Rewards Eval: 1164.99, Total Timesteps: 960000 episode:95 

Rewards Agent: 1145.05, Rewards Eval: 1174.81, Total Timesteps: 970000 episode:96 

Rewards Agent: 1136.87, Rewards Eval: 1179.53, Total Timesteps: 980000 episode:97 

Rewards Agent: 1160.08, Rewards Eval: 1171.95, Total Timesteps: 990000 episode:98 

Rewards Agent: 1141.45, Rewards Eval: 1134.56, Total Timesteps: 1000000 episode:99 

Rewards Agent: 1147.13, Rewards Eval: 1153.61, Total Timesteps: 1010000 episode:100 

Rewards Agent: 1158.61, Rewards Eval: 1171.56, Total Timesteps: 1020000 episode:101 

Rewards Agent: 1170.38, Rewards Eval: 1166.54, Total Timesteps: 1030000 episode:102 

Rewards Agent: 1182.50, Rewards Eval: 1182.53, Total Timesteps: 1040000 episode:103 

Rewards Agent: 1196.03, Rewards Eval: 1221.94, Total Timesteps: 1050000 episode:104 

Rewards Agent: 1164.72, Rewards Eval: 1192.15, Total Timesteps: 1060000 episode:105 

Rewards Agent: 1185.37, Rewards Eval: 1203.21, Total Timesteps: 1070000 episode:106 

Rewards Agent: 1182.47, Rewards Eval: 1240.31, Total Timesteps: 1080000 episode:107 

Rewards Agent: 1209.02, Rewards Eval: 1257.21, Total Timesteps: 1090000 episode:108 

Rewards Agent: 1203.45, Rewards Eval: 1099.39, Total Timesteps: 1100000 episode:109 

Rewards Agent: 1226.83, Rewards Eval: 1208.78, Total Timesteps: 1110000 episode:110 

Rewards Agent: 1209.28, Rewards Eval: 1193.27, Total Timesteps: 1120000 episode:111 

Rewards Agent: 1216.80, Rewards Eval: 1206.37, Total Timesteps: 1130000 episode:112 

Rewards Agent: 1193.50, Rewards Eval: 1218.51, Total Timesteps: 1140000 episode:113 

Rewards Agent: 1229.45, Rewards Eval: 1281.69, Total Timesteps: 1150000 episode:114 

