
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:26.842228: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:30.650402: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: 402.28, Rewards Eval: 378.83, Total Timesteps: 640000 episode:63 

Rewards Agent: 434.02, Rewards Eval: 330.64, Total Timesteps: 650000 episode:64 

Rewards Agent: 452.20, Rewards Eval: 441.74, Total Timesteps: 660000 episode:65 

Rewards Agent: 449.57, Rewards Eval: 510.94, Total Timesteps: 670000 episode:66 

Rewards Agent: 435.41, Rewards Eval: 382.09, Total Timesteps: 680000 episode:67 

Rewards Agent: 479.98, Rewards Eval: 386.12, Total Timesteps: 690000 episode:68 

Rewards Agent: 506.30, Rewards Eval: 562.77, Total Timesteps: 700000 episode:69 

Rewards Agent: 505.58, Rewards Eval: 511.00, Total Timesteps: 710000 episode:70 

Rewards Agent: 464.16, Rewards Eval: 574.50, Total Timesteps: 720000 episode:71 

Rewards Agent: 494.37, Rewards Eval: 479.57, Total Timesteps: 730000 episode:72 

Rewards Agent: 486.14, Rewards Eval: 464.64, Total Timesteps: 740000 episode:73 

Rewards Agent: 488.62, Rewards Eval: 479.43, Total Timesteps: 750000 episode:74 

Rewards Agent: 484.59, Rewards Eval: 481.63, Total Timesteps: 760000 episode:75 

Rewards Agent: 481.37, Rewards Eval: 546.29, Total Timesteps: 770000 episode:76 

Rewards Agent: 477.81, Rewards Eval: 514.90, Total Timesteps: 780000 episode:77 

Rewards Agent: 485.68, Rewards Eval: 497.40, Total Timesteps: 790000 episode:78 

Rewards Agent: 494.33, Rewards Eval: 578.16, Total Timesteps: 800000 episode:79 

Rewards Agent: 520.83, Rewards Eval: 469.11, Total Timesteps: 810000 episode:80 

Rewards Agent: 537.40, Rewards Eval: 576.00, Total Timesteps: 820000 episode:81 

Rewards Agent: 519.60, Rewards Eval: 536.87, Total Timesteps: 830000 episode:82 

Rewards Agent: 553.95, Rewards Eval: 650.58, Total Timesteps: 840000 episode:83 

Rewards Agent: 510.62, Rewards Eval: 476.22, Total Timesteps: 850000 episode:84 

Rewards Agent: 482.31, Rewards Eval: 549.17, Total Timesteps: 860000 episode:85 

Rewards Agent: 536.46, Rewards Eval: 523.56, Total Timesteps: 870000 episode:86 

Rewards Agent: 535.38, Rewards Eval: 483.75, Total Timesteps: 880000 episode:87 

Rewards Agent: 523.63, Rewards Eval: 582.75, Total Timesteps: 890000 episode:88 

Rewards Agent: 521.27, Rewards Eval: 540.40, Total Timesteps: 900000 episode:89 

Rewards Agent: 491.94, Rewards Eval: 552.58, Total Timesteps: 910000 episode:90 

Rewards Agent: 482.89, Rewards Eval: 615.62, Total Timesteps: 920000 episode:91 

Rewards Agent: 525.91, Rewards Eval: 542.96, Total Timesteps: 930000 episode:92 

Rewards Agent: 533.75, Rewards Eval: 492.83, Total Timesteps: 940000 episode:93 

Rewards Agent: 505.08, Rewards Eval: 576.70, Total Timesteps: 950000 episode:94 

Rewards Agent: 488.07, Rewards Eval: 499.43, Total Timesteps: 960000 episode:95 

Rewards Agent: 490.68, Rewards Eval: 537.46, Total Timesteps: 970000 episode:96 

Rewards Agent: 487.58, Rewards Eval: 572.92, Total Timesteps: 980000 episode:97 

Rewards Agent: 513.07, Rewards Eval: 512.91, Total Timesteps: 990000 episode:98 

Rewards Agent: 565.78, Rewards Eval: 554.93, Total Timesteps: 1000000 episode:99 

Rewards Agent: 523.24, Rewards Eval: 478.00, Total Timesteps: 1010000 episode:100 

Rewards Agent: 540.55, Rewards Eval: 563.14, Total Timesteps: 1020000 episode:101 

Rewards Agent: 530.34, Rewards Eval: 560.99, Total Timesteps: 1030000 episode:102 

Rewards Agent: 525.64, Rewards Eval: 594.55, Total Timesteps: 1040000 episode:103 

Rewards Agent: 533.75, Rewards Eval: 540.75, Total Timesteps: 1050000 episode:104 

Rewards Agent: 535.30, Rewards Eval: 508.49, Total Timesteps: 1060000 episode:105 

Rewards Agent: 488.17, Rewards Eval: 458.18, Total Timesteps: 1070000 episode:106 

Rewards Agent: 523.63, Rewards Eval: 437.48, Total Timesteps: 1080000 episode:107 

Rewards Agent: 543.56, Rewards Eval: 593.30, Total Timesteps: 1090000 episode:108 

Rewards Agent: 563.50, Rewards Eval: 511.17, Total Timesteps: 1100000 episode:109 

Rewards Agent: 544.88, Rewards Eval: 557.86, Total Timesteps: 1110000 episode:110 

Rewards Agent: 558.90, Rewards Eval: 560.16, Total Timesteps: 1120000 episode:111 

Rewards Agent: 555.42, Rewards Eval: 539.05, Total Timesteps: 1130000 episode:112 

Rewards Agent: 559.98, Rewards Eval: 542.26, Total Timesteps: 1140000 episode:113 

Rewards Agent: 539.82, Rewards Eval: 523.62, Total Timesteps: 1150000 episode:114 

Rewards Agent: 567.78, Rewards Eval: 572.16, Total Timesteps: 1160000 episode:115 

Rewards Agent: 550.59, Rewards Eval: 591.90, Total Timesteps: 1170000 episode:116 

Rewards Agent: 533.44, Rewards Eval: 543.03, Total Timesteps: 1180000 episode:117 

Rewards Agent: 577.89, Rewards Eval: 543.47, Total Timesteps: 1190000 episode:118 

Rewards Agent: 548.15, Rewards Eval: 530.43, Total Timesteps: 1200000 episode:119 

Rewards Agent: 574.09, Rewards Eval: 518.40, Total Timesteps: 1210000 episode:120 

Rewards Agent: 559.73, Rewards Eval: 575.59, Total Timesteps: 1220000 episode:121 

Rewards Agent: 553.30, Rewards Eval: 526.42, Total Timesteps: 1230000 episode:122 

Rewards Agent: 548.30, Rewards Eval: 537.04, Total Timesteps: 1240000 episode:123 

Rewards Agent: 555.25, Rewards Eval: 542.49, Total Timesteps: 1250000 episode:124 

Rewards Agent: 532.20, Rewards Eval: 590.16, Total Timesteps: 1260000 episode:125 

Rewards Agent: 564.48, Rewards Eval: 539.06, Total Timesteps: 1270000 episode:126 

Rewards Agent: 548.02, Rewards Eval: 536.69, Total Timesteps: 1280000 episode:127 

Rewards Agent: 549.84, Rewards Eval: 542.00, Total Timesteps: 1290000 episode:128 

Rewards Agent: 564.29, Rewards Eval: 505.71, Total Timesteps: 1300000 episode:129 

Rewards Agent: 560.40, Rewards Eval: 575.63, Total Timesteps: 1310000 episode:130 

Rewards Agent: 548.54, Rewards Eval: 586.69, Total Timesteps: 1320000 episode:131 

Rewards Agent: 555.46, Rewards Eval: 589.81, Total Timesteps: 1330000 episode:132 

