
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:18.300069: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:21.102949: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 10469 MB memory:  -> device: 0, name: Tesla K80, pci bus id: 0000:05:00.0, compute capability: 3.7
Rewards Agent: 21.44, Rewards Disc: 0.39, Rewards Eval: 32.99, Total Timesteps: 500000 episode:49 

Rewards Agent: 14.89, Rewards Disc: 0.39, Rewards Eval: -5.73, Total Timesteps: 510000 episode:50 

Rewards Agent: 10.60, Rewards Disc: 0.45, Rewards Eval: -3.30, Total Timesteps: 520000 episode:51 

Rewards Agent: -2.58, Rewards Disc: 0.55, Rewards Eval: -26.11, Total Timesteps: 530000 episode:52 

Rewards Agent: 14.78, Rewards Disc: 0.56, Rewards Eval: 33.08, Total Timesteps: 540000 episode:53 

Rewards Agent: 39.89, Rewards Disc: 0.58, Rewards Eval: 54.57, Total Timesteps: 550000 episode:54 

Rewards Agent: 58.67, Rewards Disc: 0.55, Rewards Eval: 58.75, Total Timesteps: 560000 episode:55 

Rewards Agent: 62.31, Rewards Disc: 0.59, Rewards Eval: 68.07, Total Timesteps: 570000 episode:56 

Rewards Agent: 80.06, Rewards Disc: 0.64, Rewards Eval: 95.74, Total Timesteps: 580000 episode:57 

Rewards Agent: 87.89, Rewards Disc: 0.50, Rewards Eval: 108.14, Total Timesteps: 590000 episode:58 

Rewards Agent: 96.15, Rewards Disc: 0.66, Rewards Eval: 110.84, Total Timesteps: 600000 episode:59 

Rewards Agent: 113.78, Rewards Disc: 0.47, Rewards Eval: 113.90, Total Timesteps: 610000 episode:60 

Rewards Agent: 126.46, Rewards Disc: 0.57, Rewards Eval: 124.98, Total Timesteps: 620000 episode:61 

Rewards Agent: 137.24, Rewards Disc: 0.66, Rewards Eval: 154.00, Total Timesteps: 630000 episode:62 

Rewards Agent: 147.45, Rewards Disc: 0.70, Rewards Eval: 158.68, Total Timesteps: 640000 episode:63 

Rewards Agent: 159.00, Rewards Disc: 0.68, Rewards Eval: 166.61, Total Timesteps: 650000 episode:64 

Rewards Agent: 158.56, Rewards Disc: 0.79, Rewards Eval: 176.99, Total Timesteps: 660000 episode:65 

Rewards Agent: 190.60, Rewards Disc: 0.75, Rewards Eval: 228.62, Total Timesteps: 670000 episode:66 

Rewards Agent: 174.90, Rewards Disc: 0.78, Rewards Eval: 199.68, Total Timesteps: 680000 episode:67 

Rewards Agent: 185.48, Rewards Disc: 0.79, Rewards Eval: 195.19, Total Timesteps: 690000 episode:68 

Rewards Agent: 208.07, Rewards Disc: 0.74, Rewards Eval: 275.24, Total Timesteps: 700000 episode:69 

Rewards Agent: 232.99, Rewards Disc: 0.74, Rewards Eval: 255.98, Total Timesteps: 710000 episode:70 

Rewards Agent: 229.67, Rewards Disc: 0.67, Rewards Eval: 278.08, Total Timesteps: 720000 episode:71 

Rewards Agent: 271.28, Rewards Disc: 0.65, Rewards Eval: 309.76, Total Timesteps: 730000 episode:72 

Rewards Agent: 287.48, Rewards Disc: 0.58, Rewards Eval: 257.08, Total Timesteps: 740000 episode:73 

Rewards Agent: 316.76, Rewards Disc: 0.63, Rewards Eval: 294.99, Total Timesteps: 750000 episode:74 

Rewards Agent: 318.07, Rewards Disc: 0.65, Rewards Eval: 325.46, Total Timesteps: 760000 episode:75 

Rewards Agent: 342.14, Rewards Disc: 0.74, Rewards Eval: 336.98, Total Timesteps: 770000 episode:76 

Rewards Agent: 358.71, Rewards Disc: 0.79, Rewards Eval: 398.40, Total Timesteps: 780000 episode:77 

Rewards Agent: 347.10, Rewards Disc: 0.83, Rewards Eval: 372.54, Total Timesteps: 790000 episode:78 

Rewards Agent: 329.08, Rewards Disc: 0.77, Rewards Eval: 296.88, Total Timesteps: 800000 episode:79 

Rewards Agent: 362.34, Rewards Disc: 0.64, Rewards Eval: 408.60, Total Timesteps: 810000 episode:80 

Rewards Agent: 436.77, Rewards Disc: 0.73, Rewards Eval: 373.22, Total Timesteps: 820000 episode:81 

Rewards Agent: 395.69, Rewards Disc: 0.66, Rewards Eval: 349.06, Total Timesteps: 830000 episode:82 

Rewards Agent: 394.90, Rewards Disc: 0.72, Rewards Eval: 392.03, Total Timesteps: 840000 episode:83 

Rewards Agent: 438.95, Rewards Disc: 0.70, Rewards Eval: 422.34, Total Timesteps: 850000 episode:84 

Rewards Agent: 423.43, Rewards Disc: 0.85, Rewards Eval: 506.43, Total Timesteps: 860000 episode:85 

Rewards Agent: 425.12, Rewards Disc: 0.84, Rewards Eval: 443.93, Total Timesteps: 870000 episode:86 

Rewards Agent: 387.22, Rewards Disc: 0.74, Rewards Eval: 409.49, Total Timesteps: 880000 episode:87 

Rewards Agent: 393.01, Rewards Disc: 0.80, Rewards Eval: 435.20, Total Timesteps: 890000 episode:88 

Rewards Agent: 397.70, Rewards Disc: 0.74, Rewards Eval: 366.73, Total Timesteps: 900000 episode:89 

Rewards Agent: 370.26, Rewards Disc: 0.74, Rewards Eval: 370.29, Total Timesteps: 910000 episode:90 

Rewards Agent: 425.81, Rewards Disc: 0.77, Rewards Eval: 433.75, Total Timesteps: 920000 episode:91 

Rewards Agent: 456.80, Rewards Disc: 0.83, Rewards Eval: 442.53, Total Timesteps: 930000 episode:92 

Rewards Agent: 442.35, Rewards Disc: 0.81, Rewards Eval: 415.15, Total Timesteps: 940000 episode:93 

Rewards Agent: 444.69, Rewards Disc: 0.82, Rewards Eval: 499.95, Total Timesteps: 950000 episode:94 

Rewards Agent: 466.82, Rewards Disc: 0.79, Rewards Eval: 523.33, Total Timesteps: 960000 episode:95 

Rewards Agent: 477.15, Rewards Disc: 0.69, Rewards Eval: 418.14, Total Timesteps: 970000 episode:96 

Rewards Agent: 495.12, Rewards Disc: 0.69, Rewards Eval: 560.87, Total Timesteps: 980000 episode:97 

Rewards Agent: 514.97, Rewards Disc: 0.77, Rewards Eval: 485.74, Total Timesteps: 990000 episode:98 

Rewards Agent: 455.10, Rewards Disc: 0.74, Rewards Eval: 459.89, Total Timesteps: 1000000 episode:99 

Rewards Agent: 474.39, Rewards Disc: 0.80, Rewards Eval: 454.67, Total Timesteps: 1010000 episode:100 

Rewards Agent: 477.53, Rewards Disc: 0.79, Rewards Eval: 478.18, Total Timesteps: 1020000 episode:101 

Rewards Agent: 464.81, Rewards Disc: 0.72, Rewards Eval: 497.09, Total Timesteps: 1030000 episode:102 

Rewards Agent: 492.77, Rewards Disc: 0.76, Rewards Eval: 543.92, Total Timesteps: 1040000 episode:103 

Rewards Agent: 445.53, Rewards Disc: 0.82, Rewards Eval: 505.05, Total Timesteps: 1050000 episode:104 

Rewards Agent: 451.04, Rewards Disc: 0.75, Rewards Eval: 484.65, Total Timesteps: 1060000 episode:105 

Rewards Agent: 448.81, Rewards Disc: 0.78, Rewards Eval: 552.01, Total Timesteps: 1070000 episode:106 

Rewards Agent: 501.57, Rewards Disc: 0.67, Rewards Eval: 560.72, Total Timesteps: 1080000 episode:107 

Rewards Agent: 477.28, Rewards Disc: 0.77, Rewards Eval: 435.98, Total Timesteps: 1090000 episode:108 

Rewards Agent: 477.71, Rewards Disc: 0.69, Rewards Eval: 504.34, Total Timesteps: 1100000 episode:109 

Rewards Agent: 498.17, Rewards Disc: 0.76, Rewards Eval: 548.21, Total Timesteps: 1110000 episode:110 

Rewards Agent: 492.14, Rewards Disc: 0.79, Rewards Eval: 517.29, Total Timesteps: 1120000 episode:111 

Rewards Agent: 496.88, Rewards Disc: 0.86, Rewards Eval: 495.48, Total Timesteps: 1130000 episode:112 

Rewards Agent: 491.72, Rewards Disc: 0.79, Rewards Eval: 579.46, Total Timesteps: 1140000 episode:113 

Rewards Agent: 519.15, Rewards Disc: 0.78, Rewards Eval: 473.02, Total Timesteps: 1150000 episode:114 

Rewards Agent: 494.05, Rewards Disc: 0.67, Rewards Eval: 524.26, Total Timesteps: 1160000 episode:115 

Rewards Agent: 502.75, Rewards Disc: 0.70, Rewards Eval: 533.07, Total Timesteps: 1170000 episode:116 

Rewards Agent: 524.93, Rewards Disc: 0.65, Rewards Eval: 537.67, Total Timesteps: 1180000 episode:117 

Rewards Agent: 536.50, Rewards Disc: 0.64, Rewards Eval: 630.00, Total Timesteps: 1190000 episode:118 

Rewards Agent: 540.44, Rewards Disc: 0.78, Rewards Eval: 552.67, Total Timesteps: 1200000 episode:119 

Rewards Agent: 535.27, Rewards Disc: 0.70, Rewards Eval: 598.78, Total Timesteps: 1210000 episode:120 

Rewards Agent: 547.32, Rewards Disc: 0.65, Rewards Eval: 543.93, Total Timesteps: 1220000 episode:121 

Rewards Agent: 549.50, Rewards Disc: 0.77, Rewards Eval: 602.94, Total Timesteps: 1230000 episode:122 

Rewards Agent: 550.87, Rewards Disc: 0.71, Rewards Eval: 588.73, Total Timesteps: 1240000 episode:123 

Rewards Agent: 565.91, Rewards Disc: 0.68, Rewards Eval: 560.84, Total Timesteps: 1250000 episode:124 

Rewards Agent: 563.77, Rewards Disc: 0.76, Rewards Eval: 628.34, Total Timesteps: 1260000 episode:125 

Rewards Agent: 581.88, Rewards Disc: 0.78, Rewards Eval: 627.44, Total Timesteps: 1270000 episode:126 

Rewards Agent: 596.31, Rewards Disc: 0.76, Rewards Eval: 641.95, Total Timesteps: 1280000 episode:127 

Rewards Agent: 589.79, Rewards Disc: 0.76, Rewards Eval: 577.42, Total Timesteps: 1290000 episode:128 

Rewards Agent: 599.02, Rewards Disc: 0.78, Rewards Eval: 631.29, Total Timesteps: 1300000 episode:129 

Rewards Agent: 594.78, Rewards Disc: 0.76, Rewards Eval: 650.41, Total Timesteps: 1310000 episode:130 

Rewards Agent: 579.48, Rewards Disc: 0.83, Rewards Eval: 523.00, Total Timesteps: 1320000 episode:131 

Rewards Agent: 587.61, Rewards Disc: 0.75, Rewards Eval: 645.26, Total Timesteps: 1330000 episode:132 

Rewards Agent: 623.57, Rewards Disc: 0.69, Rewards Eval: 657.66, Total Timesteps: 1340000 episode:133 

Rewards Agent: 647.02, Rewards Disc: 0.77, Rewards Eval: 654.88, Total Timesteps: 1350000 episode:134 

Rewards Agent: 639.71, Rewards Disc: 0.73, Rewards Eval: 700.30, Total Timesteps: 1360000 episode:135 

Rewards Agent: 620.73, Rewards Disc: 0.73, Rewards Eval: 685.67, Total Timesteps: 1370000 episode:136 

Rewards Agent: 655.69, Rewards Disc: 0.71, Rewards Eval: 673.73, Total Timesteps: 1380000 episode:137 

Rewards Agent: 654.45, Rewards Disc: 0.66, Rewards Eval: 688.51, Total Timesteps: 1390000 episode:138 

Rewards Agent: 651.65, Rewards Disc: 0.60, Rewards Eval: 726.49, Total Timesteps: 1400000 episode:139 

Rewards Agent: 668.03, Rewards Disc: 0.63, Rewards Eval: 692.30, Total Timesteps: 1410000 episode:140 

Rewards Agent: 668.36, Rewards Disc: 0.71, Rewards Eval: 723.76, Total Timesteps: 1420000 episode:141 

Rewards Agent: 668.13, Rewards Disc: 0.66, Rewards Eval: 663.55, Total Timesteps: 1430000 episode:142 

Rewards Agent: 707.04, Rewards Disc: 0.70, Rewards Eval: 702.67, Total Timesteps: 1440000 episode:143 

Rewards Agent: 708.55, Rewards Disc: 0.70, Rewards Eval: 748.62, Total Timesteps: 1450000 episode:144 

Rewards Agent: 685.71, Rewards Disc: 0.73, Rewards Eval: 716.65, Total Timesteps: 1460000 episode:145 

Rewards Agent: 708.98, Rewards Disc: 0.64, Rewards Eval: 760.85, Total Timesteps: 1470000 episode:146 

Rewards Agent: 695.77, Rewards Disc: 0.64, Rewards Eval: 718.40, Total Timesteps: 1480000 episode:147 

Rewards Agent: 712.07, Rewards Disc: 0.62, Rewards Eval: 737.78, Total Timesteps: 1490000 episode:148 

Rewards Agent: 702.71, Rewards Disc: 0.71, Rewards Eval: 758.61, Total Timesteps: 1500000 episode:149 

Rewards Agent: 718.48, Rewards Disc: 0.70, Rewards Eval: 761.23, Total Timesteps: 1510000 episode:150 

Rewards Agent: 724.46, Rewards Disc: 0.77, Rewards Eval: 719.69, Total Timesteps: 1520000 episode:151 

Rewards Agent: 717.90, Rewards Disc: 0.80, Rewards Eval: 753.94, Total Timesteps: 1530000 episode:152 

Rewards Agent: 699.89, Rewards Disc: 0.76, Rewards Eval: 787.53, Total Timesteps: 1540000 episode:153 

Rewards Agent: 702.85, Rewards Disc: 0.72, Rewards Eval: 752.56, Total Timesteps: 1550000 episode:154 

Rewards Agent: 727.61, Rewards Disc: 0.73, Rewards Eval: 735.62, Total Timesteps: 1560000 episode:155 

Rewards Agent: 707.22, Rewards Disc: 0.72, Rewards Eval: 758.91, Total Timesteps: 1570000 episode:156 

Rewards Agent: 722.12, Rewards Disc: 0.72, Rewards Eval: 760.98, Total Timesteps: 1580000 episode:157 

Rewards Agent: 735.98, Rewards Disc: 0.64, Rewards Eval: 781.16, Total Timesteps: 1590000 episode:158 

Rewards Agent: 727.85, Rewards Disc: 0.77, Rewards Eval: 744.18, Total Timesteps: 1600000 episode:159 

Rewards Agent: 728.37, Rewards Disc: 0.70, Rewards Eval: 732.06, Total Timesteps: 1610000 episode:160 

Rewards Agent: 736.13, Rewards Disc: 0.64, Rewards Eval: 799.84, Total Timesteps: 1620000 episode:161 

Rewards Agent: 731.31, Rewards Disc: 0.64, Rewards Eval: 788.15, Total Timesteps: 1630000 episode:162 

Rewards Agent: 735.46, Rewards Disc: 0.61, Rewards Eval: 754.03, Total Timesteps: 1640000 episode:163 

Rewards Agent: 740.07, Rewards Disc: 0.60, Rewards Eval: 808.92, Total Timesteps: 1650000 episode:164 

Rewards Agent: 720.53, Rewards Disc: 0.50, Rewards Eval: 812.37, Total Timesteps: 1660000 episode:165 

Rewards Agent: 725.69, Rewards Disc: 0.65, Rewards Eval: 758.44, Total Timesteps: 1670000 episode:166 

Rewards Agent: 729.73, Rewards Disc: 0.63, Rewards Eval: 739.74, Total Timesteps: 1680000 episode:167 

Rewards Agent: 735.42, Rewards Disc: 0.75, Rewards Eval: 781.89, Total Timesteps: 1690000 episode:168 

Rewards Agent: 733.75, Rewards Disc: 0.76, Rewards Eval: 798.36, Total Timesteps: 1700000 episode:169 

