For Seed: 1 

2022-02-02 03:17:53.218163: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-02 03:18:01.630720: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:0a:00.0, compute capability: 7.0
Rewards Agent: 166.03, Rewards Eval: 151.26, Total Timesteps: 650000 episode:64 

Rewards Agent: 165.86, Rewards Eval: 164.67, Total Timesteps: 660000 episode:65 

Rewards Agent: 169.15, Rewards Eval: 168.04, Total Timesteps: 670000 episode:66 

Rewards Agent: 169.80, Rewards Eval: 123.17, Total Timesteps: 680000 episode:67 

Rewards Agent: 168.74, Rewards Eval: 139.57, Total Timesteps: 690000 episode:68 

Rewards Agent: 189.91, Rewards Eval: 164.42, Total Timesteps: 700000 episode:69 

Rewards Agent: 190.94, Rewards Eval: 232.94, Total Timesteps: 710000 episode:70 

Rewards Agent: 175.97, Rewards Eval: 183.10, Total Timesteps: 720000 episode:71 

Rewards Agent: 186.45, Rewards Eval: 205.78, Total Timesteps: 730000 episode:72 

Rewards Agent: 198.78, Rewards Eval: 221.75, Total Timesteps: 740000 episode:73 

Rewards Agent: 214.52, Rewards Eval: 176.11, Total Timesteps: 750000 episode:74 

Rewards Agent: 215.63, Rewards Eval: 195.40, Total Timesteps: 760000 episode:75 

Rewards Agent: 177.67, Rewards Eval: 118.01, Total Timesteps: 770000 episode:76 

Rewards Agent: 184.09, Rewards Eval: 156.32, Total Timesteps: 780000 episode:77 

Rewards Agent: 201.77, Rewards Eval: 285.37, Total Timesteps: 790000 episode:78 

Rewards Agent: 189.72, Rewards Eval: 138.48, Total Timesteps: 800000 episode:79 

Rewards Agent: 214.38, Rewards Eval: 242.84, Total Timesteps: 810000 episode:80 

Rewards Agent: 246.28, Rewards Eval: 251.89, Total Timesteps: 820000 episode:81 

Rewards Agent: 231.08, Rewards Eval: 236.10, Total Timesteps: 830000 episode:82 

Rewards Agent: 224.35, Rewards Eval: 155.24, Total Timesteps: 840000 episode:83 

Rewards Agent: 244.35, Rewards Eval: 152.62, Total Timesteps: 850000 episode:84 

Rewards Agent: 227.19, Rewards Eval: 275.50, Total Timesteps: 860000 episode:85 

Rewards Agent: 199.16, Rewards Eval: 247.06, Total Timesteps: 870000 episode:86 

Rewards Agent: 176.87, Rewards Eval: 236.45, Total Timesteps: 880000 episode:87 

Rewards Agent: 183.53, Rewards Eval: 399.86, Total Timesteps: 890000 episode:88 

Rewards Agent: 178.35, Rewards Eval: 67.49, Total Timesteps: 900000 episode:89 

Rewards Agent: 208.68, Rewards Eval: 183.03, Total Timesteps: 910000 episode:90 

Rewards Agent: 184.15, Rewards Eval: 108.52, Total Timesteps: 920000 episode:91 

Rewards Agent: 244.73, Rewards Eval: 286.77, Total Timesteps: 930000 episode:92 

Rewards Agent: 246.46, Rewards Eval: 134.61, Total Timesteps: 940000 episode:93 

Rewards Agent: 263.41, Rewards Eval: 343.68, Total Timesteps: 950000 episode:94 

Rewards Agent: 261.68, Rewards Eval: 323.02, Total Timesteps: 960000 episode:95 

Rewards Agent: 269.13, Rewards Eval: 248.01, Total Timesteps: 970000 episode:96 

Rewards Agent: 300.59, Rewards Eval: 320.56, Total Timesteps: 980000 episode:97 

Rewards Agent: 305.84, Rewards Eval: 354.93, Total Timesteps: 990000 episode:98 

Rewards Agent: 259.25, Rewards Eval: 172.25, Total Timesteps: 1000000 episode:99 

Rewards Agent: 238.50, Rewards Eval: 217.92, Total Timesteps: 1010000 episode:100 

Rewards Agent: 342.89, Rewards Eval: 257.33, Total Timesteps: 1020000 episode:101 

Rewards Agent: 332.15, Rewards Eval: 327.19, Total Timesteps: 1030000 episode:102 

Rewards Agent: 287.24, Rewards Eval: 404.54, Total Timesteps: 1040000 episode:103 

Rewards Agent: 302.32, Rewards Eval: 338.88, Total Timesteps: 1050000 episode:104 

Rewards Agent: 287.02, Rewards Eval: 387.80, Total Timesteps: 1060000 episode:105 

Rewards Agent: 290.89, Rewards Eval: 229.64, Total Timesteps: 1070000 episode:106 

Rewards Agent: 369.47, Rewards Eval: 244.77, Total Timesteps: 1080000 episode:107 

Rewards Agent: 351.64, Rewards Eval: 174.99, Total Timesteps: 1090000 episode:108 

Rewards Agent: 356.04, Rewards Eval: 354.68, Total Timesteps: 1100000 episode:109 

Rewards Agent: 396.84, Rewards Eval: 337.05, Total Timesteps: 1110000 episode:110 

Rewards Agent: 383.22, Rewards Eval: 249.91, Total Timesteps: 1120000 episode:111 

Rewards Agent: 353.53, Rewards Eval: 416.94, Total Timesteps: 1130000 episode:112 

Rewards Agent: 399.03, Rewards Eval: 364.18, Total Timesteps: 1140000 episode:113 

Rewards Agent: 340.35, Rewards Eval: 308.70, Total Timesteps: 1150000 episode:114 

Rewards Agent: 375.55, Rewards Eval: 424.78, Total Timesteps: 1160000 episode:115 

Rewards Agent: 393.65, Rewards Eval: 474.69, Total Timesteps: 1170000 episode:116 

Rewards Agent: 370.64, Rewards Eval: 201.85, Total Timesteps: 1180000 episode:117 

Rewards Agent: 382.53, Rewards Eval: 456.08, Total Timesteps: 1190000 episode:118 

Rewards Agent: 408.57, Rewards Eval: 346.67, Total Timesteps: 1200000 episode:119 

Rewards Agent: 393.77, Rewards Eval: 530.10, Total Timesteps: 1210000 episode:120 

Rewards Agent: 402.14, Rewards Eval: 389.98, Total Timesteps: 1220000 episode:121 

Rewards Agent: 433.54, Rewards Eval: 391.59, Total Timesteps: 1230000 episode:122 

Rewards Agent: 438.12, Rewards Eval: 335.49, Total Timesteps: 1240000 episode:123 

Rewards Agent: 416.03, Rewards Eval: 430.55, Total Timesteps: 1250000 episode:124 

Rewards Agent: 417.22, Rewards Eval: 582.51, Total Timesteps: 1260000 episode:125 

Rewards Agent: 458.96, Rewards Eval: 437.55, Total Timesteps: 1270000 episode:126 

Rewards Agent: 393.45, Rewards Eval: 448.47, Total Timesteps: 1280000 episode:127 

Rewards Agent: 414.98, Rewards Eval: 467.13, Total Timesteps: 1290000 episode:128 

Rewards Agent: 391.56, Rewards Eval: 413.74, Total Timesteps: 1300000 episode:129 

Rewards Agent: 379.99, Rewards Eval: 492.02, Total Timesteps: 1310000 episode:130 

Rewards Agent: 418.77, Rewards Eval: 382.57, Total Timesteps: 1320000 episode:131 

Rewards Agent: 416.28, Rewards Eval: 439.84, Total Timesteps: 1330000 episode:132 

Rewards Agent: 421.72, Rewards Eval: 394.61, Total Timesteps: 1340000 episode:133 

Rewards Agent: 440.89, Rewards Eval: 404.04, Total Timesteps: 1350000 episode:134 

Rewards Agent: 382.72, Rewards Eval: 482.34, Total Timesteps: 1360000 episode:135 

Rewards Agent: 445.45, Rewards Eval: 349.07, Total Timesteps: 1370000 episode:136 

Rewards Agent: 456.91, Rewards Eval: 527.98, Total Timesteps: 1380000 episode:137 

Rewards Agent: 438.38, Rewards Eval: 525.98, Total Timesteps: 1390000 episode:138 

Rewards Agent: 479.82, Rewards Eval: 520.92, Total Timesteps: 1400000 episode:139 

Rewards Agent: 461.01, Rewards Eval: 443.06, Total Timesteps: 1410000 episode:140 

Rewards Agent: 485.91, Rewards Eval: 426.81, Total Timesteps: 1420000 episode:141 

Rewards Agent: 464.69, Rewards Eval: 468.98, Total Timesteps: 1430000 episode:142 

Rewards Agent: 466.38, Rewards Eval: 446.45, Total Timesteps: 1440000 episode:143 

Rewards Agent: 473.74, Rewards Eval: 478.37, Total Timesteps: 1450000 episode:144 

Rewards Agent: 451.67, Rewards Eval: 518.62, Total Timesteps: 1460000 episode:145 

Rewards Agent: 478.42, Rewards Eval: 503.89, Total Timesteps: 1470000 episode:146 

Rewards Agent: 469.38, Rewards Eval: 491.08, Total Timesteps: 1480000 episode:147 

Rewards Agent: 422.70, Rewards Eval: 576.40, Total Timesteps: 1490000 episode:148 

Rewards Agent: 500.15, Rewards Eval: 479.89, Total Timesteps: 1500000 episode:149 

Rewards Agent: 508.41, Rewards Eval: 406.48, Total Timesteps: 1510000 episode:150 

Rewards Agent: 524.80, Rewards Eval: 508.98, Total Timesteps: 1520000 episode:151 

Rewards Agent: 488.20, Rewards Eval: 647.72, Total Timesteps: 1530000 episode:152 

Rewards Agent: 498.27, Rewards Eval: 485.14, Total Timesteps: 1540000 episode:153 

Rewards Agent: 540.33, Rewards Eval: 541.03, Total Timesteps: 1550000 episode:154 

Rewards Agent: 531.57, Rewards Eval: 593.68, Total Timesteps: 1560000 episode:155 

Rewards Agent: 542.29, Rewards Eval: 539.75, Total Timesteps: 1570000 episode:156 

Rewards Agent: 568.35, Rewards Eval: 595.05, Total Timesteps: 1580000 episode:157 

Rewards Agent: 556.50, Rewards Eval: 605.99, Total Timesteps: 1590000 episode:158 

Rewards Agent: 537.49, Rewards Eval: 580.21, Total Timesteps: 1600000 episode:159 

Rewards Agent: 557.55, Rewards Eval: 497.63, Total Timesteps: 1610000 episode:160 

Rewards Agent: 535.93, Rewards Eval: 533.71, Total Timesteps: 1620000 episode:161 

Rewards Agent: 524.40, Rewards Eval: 620.07, Total Timesteps: 1630000 episode:162 

Rewards Agent: 575.60, Rewards Eval: 571.09, Total Timesteps: 1640000 episode:163 

Rewards Agent: 544.20, Rewards Eval: 614.37, Total Timesteps: 1650000 episode:164 

Rewards Agent: 570.56, Rewards Eval: 601.96, Total Timesteps: 1660000 episode:165 

Rewards Agent: 604.69, Rewards Eval: 483.66, Total Timesteps: 1670000 episode:166 

Rewards Agent: 593.01, Rewards Eval: 448.37, Total Timesteps: 1680000 episode:167 

Rewards Agent: 578.34, Rewards Eval: 577.47, Total Timesteps: 1690000 episode:168 

Rewards Agent: 571.64, Rewards Eval: 656.45, Total Timesteps: 1700000 episode:169 

Rewards Agent: 635.34, Rewards Eval: 653.47, Total Timesteps: 1710000 episode:170 

Rewards Agent: 617.09, Rewards Eval: 543.56, Total Timesteps: 1720000 episode:171 

Rewards Agent: 646.61, Rewards Eval: 677.69, Total Timesteps: 1730000 episode:172 

Rewards Agent: 606.91, Rewards Eval: 649.17, Total Timesteps: 1740000 episode:173 

Rewards Agent: 631.68, Rewards Eval: 655.03, Total Timesteps: 1750000 episode:174 

Rewards Agent: 630.13, Rewards Eval: 707.35, Total Timesteps: 1760000 episode:175 

Rewards Agent: 675.94, Rewards Eval: 799.44, Total Timesteps: 1770000 episode:176 

Rewards Agent: 699.81, Rewards Eval: 614.37, Total Timesteps: 1780000 episode:177 

Rewards Agent: 688.92, Rewards Eval: 667.75, Total Timesteps: 1790000 episode:178 

Rewards Agent: 713.94, Rewards Eval: 660.01, Total Timesteps: 1800000 episode:179 

Rewards Agent: 689.22, Rewards Eval: 789.71, Total Timesteps: 1810000 episode:180 

Rewards Agent: 638.58, Rewards Eval: 667.34, Total Timesteps: 1820000 episode:181 

Rewards Agent: 661.43, Rewards Eval: 819.35, Total Timesteps: 1830000 episode:182 

Rewards Agent: 730.53, Rewards Eval: 765.61, Total Timesteps: 1840000 episode:183 

Rewards Agent: 703.05, Rewards Eval: 670.63, Total Timesteps: 1850000 episode:184 

Rewards Agent: 736.77, Rewards Eval: 731.78, Total Timesteps: 1860000 episode:185 

Rewards Agent: 660.61, Rewards Eval: 716.90, Total Timesteps: 1870000 episode:186 

Rewards Agent: 659.42, Rewards Eval: 672.72, Total Timesteps: 1880000 episode:187 

Rewards Agent: 639.37, Rewards Eval: 638.41, Total Timesteps: 1890000 episode:188 

Rewards Agent: 659.99, Rewards Eval: 728.17, Total Timesteps: 1900000 episode:189 

Rewards Agent: 658.92, Rewards Eval: 835.74, Total Timesteps: 1910000 episode:190 

Rewards Agent: 741.45, Rewards Eval: 692.99, Total Timesteps: 1920000 episode:191 

Rewards Agent: 719.87, Rewards Eval: 782.78, Total Timesteps: 1930000 episode:192 

Rewards Agent: 732.40, Rewards Eval: 718.51, Total Timesteps: 1940000 episode:193 

Rewards Agent: 769.89, Rewards Eval: 815.11, Total Timesteps: 1950000 episode:194 

Rewards Agent: 765.63, Rewards Eval: 598.23, Total Timesteps: 1960000 episode:195 

Rewards Agent: 752.46, Rewards Eval: 605.04, Total Timesteps: 1970000 episode:196 

Rewards Agent: 788.19, Rewards Eval: 676.84, Total Timesteps: 1980000 episode:197 

Rewards Agent: 802.61, Rewards Eval: 886.82, Total Timesteps: 1990000 episode:198 

Rewards Agent: 797.81, Rewards Eval: 910.77, Total Timesteps: 2000000 episode:199 

Rewards Agent: 870.45, Rewards Eval: 690.71, Total Timesteps: 2010000 episode:200 

Rewards Agent: 746.04, Rewards Eval: 966.48, Total Timesteps: 2020000 episode:201 

Rewards Agent: 781.14, Rewards Eval: 884.71, Total Timesteps: 2030000 episode:202 

Rewards Agent: 748.30, Rewards Eval: 756.07, Total Timesteps: 2040000 episode:203 

Rewards Agent: 815.99, Rewards Eval: 901.08, Total Timesteps: 2050000 episode:204 

Rewards Agent: 737.68, Rewards Eval: 854.86, Total Timesteps: 2060000 episode:205 

Rewards Agent: 767.59, Rewards Eval: 729.03, Total Timesteps: 2070000 episode:206 

Rewards Agent: 790.28, Rewards Eval: 932.96, Total Timesteps: 2080000 episode:207 

Rewards Agent: 743.22, Rewards Eval: 969.09, Total Timesteps: 2090000 episode:208 

Rewards Agent: 838.80, Rewards Eval: 893.23, Total Timesteps: 2100000 episode:209 

Rewards Agent: 798.89, Rewards Eval: 661.35, Total Timesteps: 2110000 episode:210 

Rewards Agent: 898.78, Rewards Eval: 806.42, Total Timesteps: 2120000 episode:211 

Rewards Agent: 867.58, Rewards Eval: 927.97, Total Timesteps: 2130000 episode:212 

Rewards Agent: 856.01, Rewards Eval: 952.14, Total Timesteps: 2140000 episode:213 

Rewards Agent: 848.07, Rewards Eval: 1031.68, Total Timesteps: 2150000 episode:214 

Rewards Agent: 937.58, Rewards Eval: 834.95, Total Timesteps: 2160000 episode:215 

Rewards Agent: 818.61, Rewards Eval: 1007.98, Total Timesteps: 2170000 episode:216 

