
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:28.193203: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:34.100129: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Agent: 258.39, Rewards Eval: 292.96, Total Timesteps: 640000 episode:63 

Rewards Agent: 263.41, Rewards Eval: 299.43, Total Timesteps: 650000 episode:64 

Rewards Agent: 285.14, Rewards Eval: 298.98, Total Timesteps: 660000 episode:65 

Rewards Agent: 280.20, Rewards Eval: 272.22, Total Timesteps: 670000 episode:66 

Rewards Agent: 256.49, Rewards Eval: 344.64, Total Timesteps: 680000 episode:67 

Rewards Agent: 270.45, Rewards Eval: 146.47, Total Timesteps: 690000 episode:68 

Rewards Agent: 259.49, Rewards Eval: 323.96, Total Timesteps: 700000 episode:69 

Rewards Agent: 218.37, Rewards Eval: 308.65, Total Timesteps: 710000 episode:70 

Rewards Agent: 210.24, Rewards Eval: 318.32, Total Timesteps: 720000 episode:71 

Rewards Agent: 230.56, Rewards Eval: 271.25, Total Timesteps: 730000 episode:72 

Rewards Agent: 239.97, Rewards Eval: 293.76, Total Timesteps: 740000 episode:73 

Rewards Agent: 263.29, Rewards Eval: 213.62, Total Timesteps: 750000 episode:74 

Rewards Agent: 252.17, Rewards Eval: 275.13, Total Timesteps: 760000 episode:75 

Rewards Agent: 232.30, Rewards Eval: -48.47, Total Timesteps: 770000 episode:76 

Rewards Agent: 231.62, Rewards Eval: 298.94, Total Timesteps: 780000 episode:77 

Rewards Agent: 227.32, Rewards Eval: 308.17, Total Timesteps: 790000 episode:78 

Rewards Agent: 256.53, Rewards Eval: 306.06, Total Timesteps: 800000 episode:79 

Rewards Agent: 271.45, Rewards Eval: 52.81, Total Timesteps: 810000 episode:80 

Rewards Agent: 255.74, Rewards Eval: 318.47, Total Timesteps: 820000 episode:81 

Rewards Agent: 318.58, Rewards Eval: 279.59, Total Timesteps: 830000 episode:82 

Rewards Agent: 255.99, Rewards Eval: 317.21, Total Timesteps: 840000 episode:83 

Rewards Agent: 285.04, Rewards Eval: 256.63, Total Timesteps: 850000 episode:84 

Rewards Agent: 303.27, Rewards Eval: 391.45, Total Timesteps: 860000 episode:85 

