For Seed: 103 

Rewards Tr: -12.33, Rewards Val: -14.73, Rewards Eval: -88.20, Total Timesteps: 18741060 episode:55 

Rewards Tr: -17.22, Rewards Val: -13.26, Rewards Eval: -57.18, Total Timesteps: 19341060 episode:56 

Rewards Tr: -11.12, Rewards Val: -12.48, Rewards Eval: -29.43, Total Timesteps: 19941060 episode:57 

Rewards Tr: -10.84, Rewards Val: -11.78, Rewards Eval: -59.58, Total Timesteps: 20541060 episode:58 

Rewards Tr: -5.87, Rewards Val: -9.07, Rewards Eval: -52.93, Total Timesteps: 21141060 episode:59 

Rewards Tr: -9.00, Rewards Val: -7.42, Rewards Eval: -6.84, Total Timesteps: 21741060 episode:60 

Rewards Tr: -7.87, Rewards Val: 0.98, Rewards Eval: -10.35, Total Timesteps: 22341060 episode:61 

Rewards Tr: -8.33, Rewards Val: -2.42, Rewards Eval: 10.43, Total Timesteps: 22941060 episode:62 

Rewards Tr: -3.04, Rewards Val: 1.20, Rewards Eval: -23.26, Total Timesteps: 23541060 episode:63 

Rewards Tr: 2.80, Rewards Val: 0.09, Rewards Eval: -18.55, Total Timesteps: 24141060 episode:64 

Rewards Tr: 0.73, Rewards Val: -3.39, Rewards Eval: -11.78, Total Timesteps: 24741060 episode:65 

Rewards Tr: 1.00, Rewards Val: 7.52, Rewards Eval: -28.59, Total Timesteps: 25341060 episode:66 

Rewards Tr: 6.78, Rewards Val: 5.74, Rewards Eval: -21.98, Total Timesteps: 25941060 episode:67 

Rewards Tr: 7.67, Rewards Val: 10.15, Rewards Eval: 21.55, Total Timesteps: 26541060 episode:68 

Rewards Tr: 11.49, Rewards Val: 12.10, Rewards Eval: -25.89, Total Timesteps: 27141060 episode:69 

Rewards Tr: 16.25, Rewards Val: 14.42, Rewards Eval: -29.37, Total Timesteps: 27741060 episode:70 

Rewards Tr: 14.32, Rewards Val: 14.30, Rewards Eval: 28.51, Total Timesteps: 28341060 episode:71 

Rewards Tr: 15.75, Rewards Val: 17.41, Rewards Eval: 35.56, Total Timesteps: 28941060 episode:72 

Rewards Tr: 18.87, Rewards Val: 15.72, Rewards Eval: 14.18, Total Timesteps: 29541060 episode:73 

Rewards Tr: 14.73, Rewards Val: 17.28, Rewards Eval: -8.06, Total Timesteps: 30141060 episode:74 

