For Seed: 1 

Rewards Tr: 634.10, Rewards Disc: 0.73, Rewards Eval: 687.73, Total Timesteps: 1850680 episode:54 

Rewards Tr: 639.56, Rewards Disc: 0.74, Rewards Eval: 693.64, Total Timesteps: 1919070 episode:55 

Rewards Tr: 638.59, Rewards Disc: 0.73, Rewards Eval: 855.13, Total Timesteps: 1985630 episode:56 

Rewards Tr: 632.30, Rewards Disc: 0.75, Rewards Eval: 703.59, Total Timesteps: 2056130 episode:57 

Rewards Tr: 660.40, Rewards Disc: 0.74, Rewards Eval: 744.31, Total Timesteps: 2124950 episode:58 

Rewards Tr: 676.29, Rewards Disc: 0.73, Rewards Eval: 615.31, Total Timesteps: 2196880 episode:59 

Rewards Tr: 643.10, Rewards Disc: 0.74, Rewards Eval: 619.44, Total Timesteps: 2261620 episode:60 

Rewards Tr: 643.82, Rewards Disc: 0.74, Rewards Eval: 699.90, Total Timesteps: 2327240 episode:61 

Rewards Tr: 699.28, Rewards Disc: 0.76, Rewards Eval: 783.07, Total Timesteps: 2403630 episode:62 

Rewards Tr: 655.15, Rewards Disc: 0.75, Rewards Eval: 733.99, Total Timesteps: 2469330 episode:63 

Rewards Tr: 701.56, Rewards Disc: 0.75, Rewards Eval: 717.62, Total Timesteps: 2543980 episode:64 

Rewards Tr: 662.81, Rewards Disc: 0.77, Rewards Eval: 688.59, Total Timesteps: 2611070 episode:65 

Rewards Tr: 664.67, Rewards Disc: 0.78, Rewards Eval: 835.59, Total Timesteps: 2680420 episode:66 

Rewards Tr: 730.82, Rewards Disc: 0.78, Rewards Eval: 742.03, Total Timesteps: 2761530 episode:67 

Rewards Tr: 731.65, Rewards Disc: 0.76, Rewards Eval: 656.57, Total Timesteps: 2837960 episode:68 

Rewards Tr: 725.53, Rewards Disc: 0.77, Rewards Eval: 903.39, Total Timesteps: 2919990 episode:69 

Rewards Tr: 737.52, Rewards Disc: 0.78, Rewards Eval: 874.11, Total Timesteps: 3001330 episode:70 

Rewards Tr: 736.80, Rewards Disc: 0.76, Rewards Eval: 741.23, Total Timesteps: 3081350 episode:71 

Rewards Tr: 713.10, Rewards Disc: 0.79, Rewards Eval: 789.46, Total Timesteps: 3156050 episode:72 

Rewards Tr: 731.39, Rewards Disc: 0.78, Rewards Eval: 987.51, Total Timesteps: 3233030 episode:73 

Rewards Tr: 744.51, Rewards Disc: 0.79, Rewards Eval: 790.92, Total Timesteps: 3313650 episode:74 

Rewards Tr: 772.54, Rewards Disc: 0.75, Rewards Eval: 852.72, Total Timesteps: 3395930 episode:75 

Rewards Tr: 756.60, Rewards Disc: 0.76, Rewards Eval: 762.96, Total Timesteps: 3473670 episode:76 

Rewards Tr: 764.13, Rewards Disc: 0.78, Rewards Eval: 713.22, Total Timesteps: 3554640 episode:77 

Rewards Tr: 745.28, Rewards Disc: 0.78, Rewards Eval: 764.81, Total Timesteps: 3634360 episode:78 

Rewards Tr: 786.40, Rewards Disc: 0.79, Rewards Eval: 789.40, Total Timesteps: 3720770 episode:79 

Rewards Tr: 796.75, Rewards Disc: 0.79, Rewards Eval: 949.80, Total Timesteps: 3812590 episode:80 

Rewards Tr: 823.05, Rewards Disc: 0.78, Rewards Eval: 825.71, Total Timesteps: 3915200 episode:81 

Rewards Tr: 822.54, Rewards Disc: 0.80, Rewards Eval: 655.71, Total Timesteps: 4009760 episode:82 

Rewards Tr: 833.75, Rewards Disc: 0.78, Rewards Eval: 989.51, Total Timesteps: 4109030 episode:83 

Rewards Tr: 872.46, Rewards Disc: 0.79, Rewards Eval: 988.70, Total Timesteps: 4216860 episode:84 

Rewards Tr: 764.89, Rewards Disc: 0.81, Rewards Eval: 761.55, Total Timesteps: 4299560 episode:85 

Rewards Tr: 755.48, Rewards Disc: 0.80, Rewards Eval: 1072.21, Total Timesteps: 4380260 episode:86 

Rewards Tr: 827.75, Rewards Disc: 0.81, Rewards Eval: 811.48, Total Timesteps: 4470220 episode:87 

Rewards Tr: 768.20, Rewards Disc: 0.80, Rewards Eval: 965.63, Total Timesteps: 4556820 episode:88 

Rewards Tr: 771.73, Rewards Disc: 0.78, Rewards Eval: 807.93, Total Timesteps: 4646220 episode:89 

Rewards Tr: 802.38, Rewards Disc: 0.77, Rewards Eval: 1003.19, Total Timesteps: 4744630 episode:90 

Rewards Tr: 760.75, Rewards Disc: 0.79, Rewards Eval: 888.93, Total Timesteps: 4830750 episode:91 

Rewards Tr: 776.71, Rewards Disc: 0.81, Rewards Eval: 797.68, Total Timesteps: 4917320 episode:92 

Rewards Tr: 815.42, Rewards Disc: 0.79, Rewards Eval: 732.50, Total Timesteps: 5013430 episode:93 

Rewards Tr: 814.78, Rewards Disc: 0.78, Rewards Eval: 664.96, Total Timesteps: 5113380 episode:94 

Rewards Tr: 818.60, Rewards Disc: 0.79, Rewards Eval: 926.39, Total Timesteps: 5212380 episode:95 

Rewards Tr: 804.77, Rewards Disc: 0.80, Rewards Eval: 742.37, Total Timesteps: 5303790 episode:96 

Rewards Tr: 793.87, Rewards Disc: 0.79, Rewards Eval: 697.59, Total Timesteps: 5394850 episode:97 

Rewards Tr: 857.61, Rewards Disc: 0.80, Rewards Eval: 800.73, Total Timesteps: 5500550 episode:98 

Rewards Tr: 821.60, Rewards Disc: 0.81, Rewards Eval: 955.38, Total Timesteps: 5597310 episode:99 

Rewards Tr: 828.48, Rewards Disc: 0.81, Rewards Eval: 924.12, Total Timesteps: 5696060 episode:100 

Rewards Tr: 816.93, Rewards Disc: 0.81, Rewards Eval: 842.65, Total Timesteps: 5793570 episode:101 

Rewards Tr: 804.40, Rewards Disc: 0.81, Rewards Eval: 818.31, Total Timesteps: 5883730 episode:102 

Rewards Tr: 806.13, Rewards Disc: 0.82, Rewards Eval: 835.25, Total Timesteps: 5973850 episode:103 

Rewards Tr: 811.15, Rewards Disc: 0.79, Rewards Eval: 636.50, Total Timesteps: 6064490 episode:104 

Rewards Tr: 859.38, Rewards Disc: 0.81, Rewards Eval: 762.04, Total Timesteps: 6166640 episode:105 

Rewards Tr: 785.28, Rewards Disc: 0.83, Rewards Eval: 801.90, Total Timesteps: 6253830 episode:106 

Rewards Tr: 762.47, Rewards Disc: 0.81, Rewards Eval: 1047.52, Total Timesteps: 6333130 episode:107 

