For Seed: 1 

Rewards Tr: 268.28, Rewards Val: 268.34, Rewards Disc: 0.01, Rewards Eval: 272.66, Total Timesteps: 2183340 episode:45 

Rewards Tr: 269.63, Rewards Val: 270.00, Rewards Disc: -0.01, Rewards Eval: 271.97, Total Timesteps: 2237960 episode:46 

Rewards Tr: 266.79, Rewards Val: 268.10, Rewards Disc: 0.00, Rewards Eval: 267.08, Total Timesteps: 2292570 episode:47 

Rewards Tr: 266.22, Rewards Val: 269.32, Rewards Disc: -0.01, Rewards Eval: 264.93, Total Timesteps: 2345970 episode:48 

Rewards Tr: 269.57, Rewards Val: 267.59, Rewards Disc: 0.00, Rewards Eval: 277.14, Total Timesteps: 2398990 episode:49 

Rewards Tr: 270.60, Rewards Val: 269.73, Rewards Disc: 0.00, Rewards Eval: 269.35, Total Timesteps: 2451260 episode:50 

Rewards Tr: 272.83, Rewards Val: 273.96, Rewards Disc: 0.00, Rewards Eval: 277.55, Total Timesteps: 2503090 episode:51 

Rewards Tr: 278.83, Rewards Val: 279.11, Rewards Disc: -0.02, Rewards Eval: 284.65, Total Timesteps: 2555000 episode:52 

Rewards Tr: 282.85, Rewards Val: 284.63, Rewards Disc: 0.01, Rewards Eval: 280.05, Total Timesteps: 2606470 episode:53 

Rewards Tr: 296.50, Rewards Val: 296.72, Rewards Disc: -0.02, Rewards Eval: 299.64, Total Timesteps: 2659270 episode:54 

Rewards Tr: 309.06, Rewards Val: 311.64, Rewards Disc: -0.07, Rewards Eval: 311.90, Total Timesteps: 2713820 episode:55 

Rewards Tr: 327.08, Rewards Val: 325.39, Rewards Disc: 0.01, Rewards Eval: 341.92, Total Timesteps: 2771210 episode:56 

Rewards Tr: 338.07, Rewards Val: 345.31, Rewards Disc: -0.01, Rewards Eval: 364.50, Total Timesteps: 2833110 episode:57 

Rewards Tr: 377.48, Rewards Val: 369.46, Rewards Disc: 0.18, Rewards Eval: 420.26, Total Timesteps: 2901410 episode:58 

Rewards Tr: 395.95, Rewards Val: 407.65, Rewards Disc: 0.04, Rewards Eval: 380.97, Total Timesteps: 2972570 episode:59 

Rewards Tr: 428.66, Rewards Val: 433.86, Rewards Disc: 0.12, Rewards Eval: 420.93, Total Timesteps: 3047280 episode:60 

Rewards Tr: 441.58, Rewards Val: 437.41, Rewards Disc: 0.06, Rewards Eval: 406.30, Total Timesteps: 3121150 episode:61 

Rewards Tr: 479.85, Rewards Val: 474.49, Rewards Disc: 0.15, Rewards Eval: 473.54, Total Timesteps: 3203290 episode:62 

Rewards Tr: 524.33, Rewards Val: 531.48, Rewards Disc: -0.10, Rewards Eval: 478.85, Total Timesteps: 3300220 episode:63 

Rewards Tr: 553.36, Rewards Val: 544.66, Rewards Disc: 0.25, Rewards Eval: 485.21, Total Timesteps: 3405090 episode:64 

Rewards Tr: 547.07, Rewards Val: 536.58, Rewards Disc: -0.00, Rewards Eval: 459.79, Total Timesteps: 3499830 episode:65 

Rewards Tr: 555.10, Rewards Val: 568.16, Rewards Disc: 0.15, Rewards Eval: 543.56, Total Timesteps: 3597860 episode:66 

Rewards Tr: 564.36, Rewards Val: 562.64, Rewards Disc: 0.17, Rewards Eval: 501.73, Total Timesteps: 3695870 episode:67 

Rewards Tr: 592.41, Rewards Val: 607.72, Rewards Disc: -0.04, Rewards Eval: 567.75, Total Timesteps: 3809380 episode:68 

Rewards Tr: 613.59, Rewards Val: 618.92, Rewards Disc: 0.14, Rewards Eval: 483.24, Total Timesteps: 3923400 episode:69 

Rewards Tr: 624.16, Rewards Val: 643.30, Rewards Disc: -0.03, Rewards Eval: 405.12, Total Timesteps: 4045780 episode:70 

Rewards Tr: 668.30, Rewards Val: 734.79, Rewards Disc: -0.46, Rewards Eval: 519.64, Total Timesteps: 4197100 episode:71 

Rewards Tr: 783.18, Rewards Val: 773.70, Rewards Disc: -0.10, Rewards Eval: 406.11, Total Timesteps: 4386400 episode:72 

Rewards Tr: 778.21, Rewards Val: 773.48, Rewards Disc: 0.79, Rewards Eval: 425.26, Total Timesteps: 4571610 episode:73 

Rewards Tr: 914.71, Rewards Val: 878.26, Rewards Disc: 0.55, Rewards Eval: 579.78, Total Timesteps: 4799040 episode:74 

Rewards Tr: 1030.01, Rewards Val: 1027.24, Rewards Disc: 0.80, Rewards Eval: 625.94, Total Timesteps: 5084300 episode:75 

Rewards Tr: 1245.77, Rewards Val: 1248.04, Rewards Disc: 0.24, Rewards Eval: 826.29, Total Timesteps: 5389610 episode:76 

Rewards Tr: 1311.99, Rewards Val: 1416.13, Rewards Disc: -0.56, Rewards Eval: 708.53, Total Timesteps: 5734820 episode:77 

Rewards Tr: 1019.31, Rewards Val: 1073.36, Rewards Disc: 6.33, Rewards Eval: 892.51, Total Timesteps: 5962850 episode:78 

Rewards Tr: 679.33, Rewards Val: 759.39, Rewards Disc: 10.80, Rewards Eval: 997.76, Total Timesteps: 6121320 episode:79 

Rewards Tr: 895.55, Rewards Val: 856.64, Rewards Disc: 8.10, Rewards Eval: 1194.40, Total Timesteps: 6304730 episode:80 

Rewards Tr: 1042.29, Rewards Val: 1042.78, Rewards Disc: 7.74, Rewards Eval: 722.10, Total Timesteps: 6534760 episode:81 

