For Seed: 1 

Rewards Tr: 632.63, Rewards Disc: 5.82, Rewards Eval: 886.86, Total Timesteps: 2289450 episode:54 

Rewards Tr: 664.92, Rewards Disc: 6.03, Rewards Eval: 1215.89, Total Timesteps: 2368020 episode:55 

Rewards Tr: 658.41, Rewards Disc: 7.26, Rewards Eval: 1065.96, Total Timesteps: 2443030 episode:56 

Rewards Tr: 778.08, Rewards Disc: 6.37, Rewards Eval: 854.00, Total Timesteps: 2548020 episode:57 

Rewards Tr: 720.17, Rewards Disc: 7.63, Rewards Eval: 761.09, Total Timesteps: 2648510 episode:58 

Rewards Tr: 803.93, Rewards Disc: 7.25, Rewards Eval: 1110.69, Total Timesteps: 2752380 episode:59 

Rewards Tr: 825.03, Rewards Disc: 8.14, Rewards Eval: 787.88, Total Timesteps: 2870800 episode:60 

Rewards Tr: 781.57, Rewards Disc: 8.71, Rewards Eval: 1186.54, Total Timesteps: 2975510 episode:61 

Rewards Tr: 809.63, Rewards Disc: 8.96, Rewards Eval: 1278.90, Total Timesteps: 3080620 episode:62 

Rewards Tr: 872.78, Rewards Disc: 8.13, Rewards Eval: 691.51, Total Timesteps: 3197940 episode:63 

Rewards Tr: 854.72, Rewards Disc: 6.67, Rewards Eval: 1353.37, Total Timesteps: 3308070 episode:64 

Rewards Tr: 846.89, Rewards Disc: 8.76, Rewards Eval: 859.89, Total Timesteps: 3430260 episode:65 

Rewards Tr: 1035.63, Rewards Disc: 6.03, Rewards Eval: 836.32, Total Timesteps: 3581720 episode:66 

Rewards Tr: 789.49, Rewards Disc: 9.22, Rewards Eval: 1242.04, Total Timesteps: 3685650 episode:67 

Rewards Tr: 802.15, Rewards Disc: 8.13, Rewards Eval: 859.02, Total Timesteps: 3790480 episode:68 

Rewards Tr: 874.87, Rewards Disc: 7.35, Rewards Eval: 1245.68, Total Timesteps: 3898180 episode:69 

Rewards Tr: 818.20, Rewards Disc: 7.41, Rewards Eval: 1135.60, Total Timesteps: 3994770 episode:70 

Rewards Tr: 847.86, Rewards Disc: 6.76, Rewards Eval: 825.88, Total Timesteps: 4101850 episode:71 

Rewards Tr: 795.88, Rewards Disc: 7.84, Rewards Eval: 1314.40, Total Timesteps: 4199240 episode:72 

Rewards Tr: 880.17, Rewards Disc: 5.33, Rewards Eval: 770.30, Total Timesteps: 4308350 episode:73 

Rewards Tr: 1005.75, Rewards Disc: 4.16, Rewards Eval: 1064.21, Total Timesteps: 4452910 episode:74 

Rewards Tr: 837.58, Rewards Disc: 6.77, Rewards Eval: 1024.02, Total Timesteps: 4554500 episode:75 

Rewards Tr: 1158.42, Rewards Disc: 2.77, Rewards Eval: 1327.07, Total Timesteps: 4724800 episode:76 

Rewards Tr: 931.77, Rewards Disc: 5.67, Rewards Eval: 834.50, Total Timesteps: 4842840 episode:77 

