For Seed: 1 

Rewards Tr: 567.43, Rewards Disc: -0.13, Rewards Eval: 521.86, Total Timesteps: 1376480 episode:54 

Rewards Tr: 577.15, Rewards Disc: -0.03, Rewards Eval: 424.83, Total Timesteps: 1426410 episode:55 

Rewards Tr: 576.92, Rewards Disc: -0.06, Rewards Eval: 443.43, Total Timesteps: 1475700 episode:56 

Rewards Tr: 582.26, Rewards Disc: 0.04, Rewards Eval: 425.99, Total Timesteps: 1522460 episode:57 

Rewards Tr: 599.74, Rewards Disc: 0.06, Rewards Eval: 451.98, Total Timesteps: 1573900 episode:58 

Rewards Tr: 611.90, Rewards Disc: 0.17, Rewards Eval: 514.61, Total Timesteps: 1628670 episode:59 

Rewards Tr: 627.97, Rewards Disc: 0.09, Rewards Eval: 556.62, Total Timesteps: 1686530 episode:60 

Rewards Tr: 596.49, Rewards Disc: 0.11, Rewards Eval: 522.53, Total Timesteps: 1736750 episode:61 

Rewards Tr: 665.04, Rewards Disc: 0.07, Rewards Eval: 482.79, Total Timesteps: 1799460 episode:62 

Rewards Tr: 662.06, Rewards Disc: 0.29, Rewards Eval: 547.61, Total Timesteps: 1855580 episode:63 

Rewards Tr: 717.79, Rewards Disc: -0.11, Rewards Eval: 441.98, Total Timesteps: 1922880 episode:64 

Rewards Tr: 728.90, Rewards Disc: -0.01, Rewards Eval: 536.31, Total Timesteps: 1996310 episode:65 

Rewards Tr: 509.18, Rewards Disc: 2.00, Rewards Eval: 530.45, Total Timesteps: 2043130 episode:66 

Rewards Tr: 542.01, Rewards Disc: 1.60, Rewards Eval: 685.24, Total Timesteps: 2093490 episode:67 

Rewards Tr: 563.24, Rewards Disc: 1.42, Rewards Eval: 712.98, Total Timesteps: 2145610 episode:68 

Rewards Tr: 508.47, Rewards Disc: 2.03, Rewards Eval: 550.76, Total Timesteps: 2191510 episode:69 

Rewards Tr: 607.24, Rewards Disc: 0.72, Rewards Eval: 572.83, Total Timesteps: 2251510 episode:70 

Rewards Tr: 571.79, Rewards Disc: 1.38, Rewards Eval: 794.00, Total Timesteps: 2310260 episode:71 

Rewards Tr: 619.63, Rewards Disc: 0.95, Rewards Eval: 574.09, Total Timesteps: 2369780 episode:72 

Rewards Tr: 508.50, Rewards Disc: 2.46, Rewards Eval: 622.63, Total Timesteps: 2417790 episode:73 

Rewards Tr: 542.97, Rewards Disc: 2.00, Rewards Eval: 571.86, Total Timesteps: 2467340 episode:74 

Rewards Tr: 558.08, Rewards Disc: 1.14, Rewards Eval: 540.32, Total Timesteps: 2523440 episode:75 

Rewards Tr: 577.36, Rewards Disc: 0.18, Rewards Eval: 548.07, Total Timesteps: 2582200 episode:76 

Rewards Tr: 600.42, Rewards Disc: -1.54, Rewards Eval: 663.84, Total Timesteps: 2647780 episode:77 

Rewards Tr: 663.68, Rewards Disc: -2.67, Rewards Eval: 519.33, Total Timesteps: 2725480 episode:78 

Rewards Tr: 697.98, Rewards Disc: -3.86, Rewards Eval: 718.75, Total Timesteps: 2804930 episode:79 

Rewards Tr: 673.39, Rewards Disc: -2.54, Rewards Eval: 624.74, Total Timesteps: 2878620 episode:80 

Rewards Tr: 698.02, Rewards Disc: -3.68, Rewards Eval: 583.35, Total Timesteps: 2960380 episode:81 

Rewards Tr: 708.97, Rewards Disc: -3.70, Rewards Eval: 615.81, Total Timesteps: 3041730 episode:82 

Rewards Tr: 740.54, Rewards Disc: -4.51, Rewards Eval: 582.93, Total Timesteps: 3122740 episode:83 

Rewards Tr: 701.51, Rewards Disc: -4.13, Rewards Eval: 691.69, Total Timesteps: 3202890 episode:84 

Rewards Tr: 592.66, Rewards Disc: -2.37, Rewards Eval: 838.07, Total Timesteps: 3281980 episode:85 

Rewards Tr: 659.48, Rewards Disc: -0.63, Rewards Eval: 545.40, Total Timesteps: 3355830 episode:86 

Rewards Tr: 736.18, Rewards Disc: 1.25, Rewards Eval: 729.28, Total Timesteps: 3431150 episode:87 

Rewards Tr: 745.77, Rewards Disc: 1.25, Rewards Eval: 622.96, Total Timesteps: 3505260 episode:88 

Rewards Tr: 769.11, Rewards Disc: 0.94, Rewards Eval: 561.50, Total Timesteps: 3577710 episode:89 

Rewards Tr: 755.47, Rewards Disc: 1.43, Rewards Eval: 698.60, Total Timesteps: 3651560 episode:90 

Rewards Tr: 757.14, Rewards Disc: 1.41, Rewards Eval: 624.91, Total Timesteps: 3725240 episode:91 

Rewards Tr: 780.86, Rewards Disc: 1.23, Rewards Eval: 636.45, Total Timesteps: 3804180 episode:92 

Rewards Tr: 745.50, Rewards Disc: 1.32, Rewards Eval: 704.15, Total Timesteps: 3876010 episode:93 

Rewards Tr: 840.73, Rewards Disc: 0.84, Rewards Eval: 982.07, Total Timesteps: 3957680 episode:94 

Rewards Tr: 798.12, Rewards Disc: 1.81, Rewards Eval: 804.07, Total Timesteps: 4033550 episode:95 

Rewards Tr: 788.00, Rewards Disc: 1.77, Rewards Eval: 706.05, Total Timesteps: 4110190 episode:96 

Rewards Tr: 846.38, Rewards Disc: 1.34, Rewards Eval: 623.21, Total Timesteps: 4191950 episode:97 

Rewards Tr: 820.88, Rewards Disc: 1.45, Rewards Eval: 679.75, Total Timesteps: 4271140 episode:98 

Rewards Tr: 832.27, Rewards Disc: 1.33, Rewards Eval: 637.58, Total Timesteps: 4350210 episode:99 

Rewards Tr: 813.23, Rewards Disc: 1.86, Rewards Eval: 717.56, Total Timesteps: 4424210 episode:100 

Rewards Tr: 842.74, Rewards Disc: 1.81, Rewards Eval: 649.82, Total Timesteps: 4499960 episode:101 

Rewards Tr: 856.29, Rewards Disc: 2.01, Rewards Eval: 610.44, Total Timesteps: 4581950 episode:102 

Rewards Tr: 871.13, Rewards Disc: 1.48, Rewards Eval: 880.55, Total Timesteps: 4659480 episode:103 

Rewards Tr: 844.29, Rewards Disc: 2.11, Rewards Eval: 614.19, Total Timesteps: 4742020 episode:104 

Rewards Tr: 877.47, Rewards Disc: 1.69, Rewards Eval: 668.37, Total Timesteps: 4822200 episode:105 

Rewards Tr: 854.94, Rewards Disc: 1.77, Rewards Eval: 841.93, Total Timesteps: 4902300 episode:106 

Rewards Tr: 879.84, Rewards Disc: 1.26, Rewards Eval: 833.79, Total Timesteps: 4980030 episode:107 

Rewards Tr: 892.33, Rewards Disc: 1.50, Rewards Eval: 759.28, Total Timesteps: 5066700 episode:108 

Rewards Tr: 870.73, Rewards Disc: 1.70, Rewards Eval: 954.38, Total Timesteps: 5148550 episode:109 

Rewards Tr: 912.96, Rewards Disc: 1.18, Rewards Eval: 1010.81, Total Timesteps: 5235700 episode:110 

Rewards Tr: 893.22, Rewards Disc: 1.76, Rewards Eval: 636.59, Total Timesteps: 5316430 episode:111 

Rewards Tr: 937.18, Rewards Disc: 1.42, Rewards Eval: 745.79, Total Timesteps: 5403240 episode:112 

Rewards Tr: 908.58, Rewards Disc: 1.86, Rewards Eval: 713.18, Total Timesteps: 5485310 episode:113 

Rewards Tr: 916.23, Rewards Disc: 1.59, Rewards Eval: 909.52, Total Timesteps: 5572190 episode:114 

Rewards Tr: 891.30, Rewards Disc: 1.61, Rewards Eval: 820.51, Total Timesteps: 5653420 episode:115 

Rewards Tr: 867.18, Rewards Disc: 2.01, Rewards Eval: 954.52, Total Timesteps: 5734010 episode:116 

Rewards Tr: 858.47, Rewards Disc: 1.57, Rewards Eval: 740.53, Total Timesteps: 5809560 episode:117 

Rewards Tr: 867.27, Rewards Disc: 1.50, Rewards Eval: 734.94, Total Timesteps: 5887870 episode:118 

Rewards Tr: 870.55, Rewards Disc: 1.46, Rewards Eval: 877.59, Total Timesteps: 5967850 episode:119 

Rewards Tr: 898.97, Rewards Disc: 1.52, Rewards Eval: 874.41, Total Timesteps: 6048760 episode:120 

Rewards Tr: 858.71, Rewards Disc: 1.58, Rewards Eval: 793.98, Total Timesteps: 6127120 episode:121 

Rewards Tr: 856.72, Rewards Disc: 1.55, Rewards Eval: 704.90, Total Timesteps: 6204560 episode:122 

Rewards Tr: 867.35, Rewards Disc: 1.38, Rewards Eval: 868.71, Total Timesteps: 6281760 episode:123 

Rewards Tr: 869.40, Rewards Disc: 1.15, Rewards Eval: 867.57, Total Timesteps: 6357050 episode:124 

Rewards Tr: 856.43, Rewards Disc: 1.54, Rewards Eval: 651.95, Total Timesteps: 6431250 episode:125 

Rewards Tr: 839.86, Rewards Disc: 1.57, Rewards Eval: 908.42, Total Timesteps: 6507710 episode:126 

Rewards Tr: 881.89, Rewards Disc: 1.28, Rewards Eval: 886.87, Total Timesteps: 6587960 episode:127 

Rewards Tr: 889.88, Rewards Disc: 1.12, Rewards Eval: 774.10, Total Timesteps: 6667390 episode:128 

Rewards Tr: 899.90, Rewards Disc: 1.31, Rewards Eval: 929.51, Total Timesteps: 6747780 episode:129 

Rewards Tr: 914.88, Rewards Disc: 1.41, Rewards Eval: 776.27, Total Timesteps: 6833530 episode:130 

Rewards Tr: 913.88, Rewards Disc: 1.26, Rewards Eval: 848.53, Total Timesteps: 6915350 episode:131 

Rewards Tr: 918.71, Rewards Disc: 1.09, Rewards Eval: 968.85, Total Timesteps: 6997420 episode:132 

Rewards Tr: 918.73, Rewards Disc: 1.11, Rewards Eval: 931.29, Total Timesteps: 7080010 episode:133 

Rewards Tr: 910.02, Rewards Disc: 1.34, Rewards Eval: 924.34, Total Timesteps: 7167160 episode:134 

Rewards Tr: 905.68, Rewards Disc: 1.46, Rewards Eval: 823.44, Total Timesteps: 7246900 episode:135 

Rewards Tr: 923.41, Rewards Disc: 1.14, Rewards Eval: 718.07, Total Timesteps: 7326130 episode:136 

Rewards Tr: 928.48, Rewards Disc: 1.27, Rewards Eval: 894.53, Total Timesteps: 7415160 episode:137 

Rewards Tr: 937.81, Rewards Disc: 1.33, Rewards Eval: 929.19, Total Timesteps: 7502390 episode:138 

Rewards Tr: 907.15, Rewards Disc: 1.52, Rewards Eval: 986.48, Total Timesteps: 7581790 episode:139 

Rewards Tr: 888.10, Rewards Disc: 1.82, Rewards Eval: 703.73, Total Timesteps: 7664650 episode:140 

Rewards Tr: 914.79, Rewards Disc: 1.59, Rewards Eval: 889.97, Total Timesteps: 7745500 episode:141 

Rewards Tr: 948.27, Rewards Disc: 1.12, Rewards Eval: 834.47, Total Timesteps: 7836860 episode:142 

Rewards Tr: 957.79, Rewards Disc: 1.29, Rewards Eval: 1144.96, Total Timesteps: 7926210 episode:143 

Rewards Tr: 951.78, Rewards Disc: 1.24, Rewards Eval: 815.06, Total Timesteps: 8021310 episode:144 

Rewards Tr: 951.20, Rewards Disc: 1.24, Rewards Eval: 1066.98, Total Timesteps: 8106390 episode:145 

Rewards Tr: 952.43, Rewards Disc: 1.49, Rewards Eval: 743.71, Total Timesteps: 8194320 episode:146 

Rewards Tr: 962.80, Rewards Disc: 1.25, Rewards Eval: 842.83, Total Timesteps: 8286730 episode:147 

Rewards Tr: 981.82, Rewards Disc: 1.18, Rewards Eval: 884.99, Total Timesteps: 8373550 episode:148 

Rewards Tr: 973.73, Rewards Disc: 1.25, Rewards Eval: 958.26, Total Timesteps: 8464030 episode:149 

Rewards Tr: 949.97, Rewards Disc: 1.42, Rewards Eval: 782.11, Total Timesteps: 8550980 episode:150 

Rewards Tr: 974.79, Rewards Disc: 1.04, Rewards Eval: 742.78, Total Timesteps: 8638830 episode:151 

Rewards Tr: 951.62, Rewards Disc: 1.25, Rewards Eval: 1005.44, Total Timesteps: 8721040 episode:152 

Rewards Tr: 972.98, Rewards Disc: 1.24, Rewards Eval: 773.49, Total Timesteps: 8810780 episode:153 

Rewards Tr: 983.35, Rewards Disc: 1.15, Rewards Eval: 854.24, Total Timesteps: 8900230 episode:154 

Rewards Tr: 940.13, Rewards Disc: 1.82, Rewards Eval: 932.41, Total Timesteps: 8984020 episode:155 

Rewards Tr: 908.71, Rewards Disc: 1.88, Rewards Eval: 786.18, Total Timesteps: 9068170 episode:156 

Rewards Tr: 954.17, Rewards Disc: 1.34, Rewards Eval: 1004.21, Total Timesteps: 9157660 episode:157 

