
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 321.69, Rewards Val: 318.29, Rewards Eval: 418.02, Total Timesteps: 7556720 episode:54 

Rewards Tr: 318.25, Rewards Val: 328.92, Rewards Eval: 451.89, Total Timesteps: 7959290 episode:55 

Rewards Tr: 364.88, Rewards Val: 366.99, Rewards Eval: 364.32, Total Timesteps: 8414250 episode:56 

Rewards Tr: 387.72, Rewards Val: 398.29, Rewards Eval: 548.53, Total Timesteps: 8902530 episode:57 

Rewards Tr: 427.16, Rewards Val: 388.33, Rewards Eval: 375.87, Total Timesteps: 9399020 episode:58 

Rewards Tr: 438.53, Rewards Val: 403.19, Rewards Eval: 350.71, Total Timesteps: 9937170 episode:59 

Rewards Tr: 449.27, Rewards Val: 441.86, Rewards Eval: 340.36, Total Timesteps: 10454890 episode:60 

Rewards Tr: 458.16, Rewards Val: 462.93, Rewards Eval: 332.24, Total Timesteps: 10984030 episode:61 

Rewards Tr: 505.39, Rewards Val: 455.34, Rewards Eval: 442.88, Total Timesteps: 11532990 episode:62 

Rewards Tr: 503.27, Rewards Val: 505.80, Rewards Eval: 592.32, Total Timesteps: 12084200 episode:63 

Rewards Tr: 486.28, Rewards Val: 532.40, Rewards Eval: 506.48, Total Timesteps: 12653390 episode:64 

Rewards Tr: 532.44, Rewards Val: 554.06, Rewards Eval: 353.57, Total Timesteps: 13234600 episode:65 

Rewards Tr: 550.35, Rewards Val: 529.62, Rewards Eval: 637.59, Total Timesteps: 13814570 episode:66 

Rewards Tr: 576.42, Rewards Val: 591.43, Rewards Eval: 895.37, Total Timesteps: 14405110 episode:67 

Rewards Tr: 600.00, Rewards Val: 641.83, Rewards Eval: 626.73, Total Timesteps: 14997180 episode:68 

Rewards Tr: 636.88, Rewards Val: 646.48, Rewards Eval: 827.24, Total Timesteps: 15595140 episode:69 

Rewards Tr: 690.46, Rewards Val: 712.34, Rewards Eval: 768.70, Total Timesteps: 16195140 episode:70 

Rewards Tr: 702.08, Rewards Val: 729.53, Rewards Eval: 883.09, Total Timesteps: 16793830 episode:71 

Rewards Tr: 709.28, Rewards Val: 718.36, Rewards Eval: 622.21, Total Timesteps: 17392010 episode:72 

Rewards Tr: 730.67, Rewards Val: 778.64, Rewards Eval: 782.90, Total Timesteps: 17992010 episode:73 

Rewards Tr: 745.55, Rewards Val: 766.08, Rewards Eval: 992.68, Total Timesteps: 18592010 episode:74 

Rewards Tr: 757.09, Rewards Val: 762.24, Rewards Eval: 750.94, Total Timesteps: 19192010 episode:75 

Rewards Tr: 772.06, Rewards Val: 800.64, Rewards Eval: 718.96, Total Timesteps: 19791400 episode:76 

Rewards Tr: 799.76, Rewards Val: 812.50, Rewards Eval: 946.31, Total Timesteps: 20391400 episode:77 

Rewards Tr: 833.17, Rewards Val: 824.21, Rewards Eval: 1002.60, Total Timesteps: 20991400 episode:78 

Rewards Tr: 849.62, Rewards Val: 860.20, Rewards Eval: 1008.86, Total Timesteps: 21591400 episode:79 

Rewards Tr: 815.27, Rewards Val: 837.40, Rewards Eval: 999.69, Total Timesteps: 22191400 episode:80 

Rewards Tr: 880.62, Rewards Val: 841.96, Rewards Eval: 915.49, Total Timesteps: 22791400 episode:81 

Rewards Tr: 912.83, Rewards Val: 896.25, Rewards Eval: 859.95, Total Timesteps: 23391400 episode:82 

