
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 101 

Rewards Tr: -1.62, Rewards Eval: 47.68, Total Timesteps: 11484550 episode:68 

Rewards Tr: 2.07, Rewards Eval: -10.80, Total Timesteps: 11784550 episode:69 

Rewards Tr: 5.28, Rewards Eval: -20.60, Total Timesteps: 12084550 episode:70 

Rewards Tr: 8.13, Rewards Eval: 11.92, Total Timesteps: 12384550 episode:71 

Rewards Tr: 5.15, Rewards Eval: 22.04, Total Timesteps: 12684550 episode:72 

Rewards Tr: 8.73, Rewards Eval: 18.87, Total Timesteps: 12984550 episode:73 

Rewards Tr: 9.51, Rewards Eval: 43.24, Total Timesteps: 13284550 episode:74 

Rewards Tr: 11.57, Rewards Eval: 4.69, Total Timesteps: 13584550 episode:75 

Rewards Tr: 15.69, Rewards Eval: 44.10, Total Timesteps: 13884550 episode:76 

Rewards Tr: 18.93, Rewards Eval: -11.27, Total Timesteps: 14184550 episode:77 

Rewards Tr: 23.16, Rewards Eval: 2.22, Total Timesteps: 14484550 episode:78 

Rewards Tr: 19.16, Rewards Eval: 30.45, Total Timesteps: 14784550 episode:79 

Rewards Tr: 24.07, Rewards Eval: 30.43, Total Timesteps: 15084550 episode:80 

Rewards Tr: 24.63, Rewards Eval: 18.73, Total Timesteps: 15384550 episode:81 

Rewards Tr: 24.51, Rewards Eval: -5.00, Total Timesteps: 15684550 episode:82 

Rewards Tr: 29.24, Rewards Eval: 19.03, Total Timesteps: 15984550 episode:83 

Rewards Tr: 26.76, Rewards Eval: 27.85, Total Timesteps: 16284550 episode:84 

Rewards Tr: 31.27, Rewards Eval: 32.60, Total Timesteps: 16584550 episode:85 

Rewards Tr: 32.73, Rewards Eval: 35.55, Total Timesteps: 16884550 episode:86 

Rewards Tr: 34.56, Rewards Eval: 17.02, Total Timesteps: 17184550 episode:87 

Rewards Tr: 36.17, Rewards Eval: 36.16, Total Timesteps: 17484550 episode:88 

Rewards Tr: 37.97, Rewards Eval: 49.34, Total Timesteps: 17784550 episode:89 

Rewards Tr: 39.99, Rewards Eval: 18.39, Total Timesteps: 18084550 episode:90 

Rewards Tr: 44.40, Rewards Eval: 62.95, Total Timesteps: 18384550 episode:91 

Rewards Tr: 43.17, Rewards Eval: 62.94, Total Timesteps: 18684550 episode:92 

Rewards Tr: 50.55, Rewards Eval: 41.61, Total Timesteps: 18984550 episode:93 

Rewards Tr: 49.83, Rewards Eval: 64.10, Total Timesteps: 19284550 episode:94 

Rewards Tr: 56.58, Rewards Eval: 55.44, Total Timesteps: 19584550 episode:95 

Rewards Tr: 59.84, Rewards Eval: 90.63, Total Timesteps: 19884550 episode:96 

Rewards Tr: 66.57, Rewards Eval: 58.58, Total Timesteps: 20184550 episode:97 

Rewards Tr: 64.99, Rewards Eval: 64.11, Total Timesteps: 20484550 episode:98 

Rewards Tr: 70.39, Rewards Eval: 41.46, Total Timesteps: 20784550 episode:99 

Rewards Tr: 71.71, Rewards Eval: 81.19, Total Timesteps: 21084550 episode:100 

Rewards Tr: 75.32, Rewards Eval: 74.26, Total Timesteps: 21384550 episode:101 

Rewards Tr: 78.51, Rewards Eval: 130.51, Total Timesteps: 21684550 episode:102 

Rewards Tr: 81.32, Rewards Eval: 76.55, Total Timesteps: 21984550 episode:103 

Rewards Tr: 87.56, Rewards Eval: 83.36, Total Timesteps: 22284550 episode:104 

Rewards Tr: 89.49, Rewards Eval: 77.80, Total Timesteps: 22584550 episode:105 

Rewards Tr: 95.39, Rewards Eval: 93.62, Total Timesteps: 22884550 episode:106 

Rewards Tr: 101.19, Rewards Eval: 105.67, Total Timesteps: 23184550 episode:107 

Rewards Tr: 102.99, Rewards Eval: 113.76, Total Timesteps: 23484550 episode:108 

Rewards Tr: 107.96, Rewards Eval: 117.41, Total Timesteps: 23784550 episode:109 

Rewards Tr: 112.50, Rewards Eval: 121.09, Total Timesteps: 24084550 episode:110 

Rewards Tr: 117.57, Rewards Eval: 118.92, Total Timesteps: 24384550 episode:111 

Rewards Tr: 127.01, Rewards Eval: 92.83, Total Timesteps: 24684550 episode:112 

Rewards Tr: 121.18, Rewards Eval: 141.52, Total Timesteps: 24984550 episode:113 

Rewards Tr: 130.72, Rewards Eval: 132.04, Total Timesteps: 25284550 episode:114 

Rewards Tr: 131.33, Rewards Eval: 156.89, Total Timesteps: 25584550 episode:115 

Rewards Tr: 137.45, Rewards Eval: 153.00, Total Timesteps: 25884550 episode:116 

Rewards Tr: 136.38, Rewards Eval: 143.32, Total Timesteps: 26184550 episode:117 

Rewards Tr: 141.28, Rewards Eval: 112.15, Total Timesteps: 26484550 episode:118 

Rewards Tr: 141.70, Rewards Eval: 164.74, Total Timesteps: 26784550 episode:119 

Rewards Tr: 146.34, Rewards Eval: 138.48, Total Timesteps: 27084550 episode:120 

Rewards Tr: 148.48, Rewards Eval: 130.98, Total Timesteps: 27384550 episode:121 

Rewards Tr: 148.60, Rewards Eval: 159.98, Total Timesteps: 27684550 episode:122 

Rewards Tr: 152.28, Rewards Eval: 171.87, Total Timesteps: 27984550 episode:123 

Rewards Tr: 148.81, Rewards Eval: 176.41, Total Timesteps: 28284550 episode:124 

Rewards Tr: 150.28, Rewards Eval: 154.51, Total Timesteps: 28584550 episode:125 

Rewards Tr: 152.11, Rewards Eval: 153.09, Total Timesteps: 28884550 episode:126 

Rewards Tr: 156.39, Rewards Eval: 173.31, Total Timesteps: 29184550 episode:127 

Rewards Tr: 151.53, Rewards Eval: 148.39, Total Timesteps: 29484550 episode:128 

Rewards Tr: 158.55, Rewards Eval: 147.55, Total Timesteps: 29784550 episode:129 

Rewards Tr: 155.20, Rewards Eval: 140.86, Total Timesteps: 30084550 episode:130 

Rewards Tr: 158.86, Rewards Eval: 124.09, Total Timesteps: 30384550 episode:131 

Rewards Tr: 161.06, Rewards Eval: 145.04, Total Timesteps: 30684550 episode:132 

Rewards Tr: 161.96, Rewards Eval: 152.82, Total Timesteps: 30984550 episode:133 

Rewards Tr: 162.56, Rewards Eval: 164.43, Total Timesteps: 31284550 episode:134 

Rewards Tr: 161.37, Rewards Eval: 166.40, Total Timesteps: 31584550 episode:135 

Rewards Tr: 163.65, Rewards Eval: 167.64, Total Timesteps: 31884550 episode:136 

Rewards Tr: 162.39, Rewards Eval: 171.00, Total Timesteps: 32184550 episode:137 

Rewards Tr: 163.46, Rewards Eval: 130.76, Total Timesteps: 32484550 episode:138 

Rewards Tr: 165.32, Rewards Eval: 162.01, Total Timesteps: 32784550 episode:139 

Rewards Tr: 168.48, Rewards Eval: 170.56, Total Timesteps: 33084550 episode:140 

Rewards Tr: 165.33, Rewards Eval: 175.60, Total Timesteps: 33384550 episode:141 

Rewards Tr: 162.95, Rewards Eval: 182.76, Total Timesteps: 33684550 episode:142 

Rewards Tr: 163.48, Rewards Eval: 159.26, Total Timesteps: 33984550 episode:143 

Rewards Tr: 163.81, Rewards Eval: 163.31, Total Timesteps: 34284550 episode:144 

Rewards Tr: 164.75, Rewards Eval: 177.35, Total Timesteps: 34584550 episode:145 

Rewards Tr: 166.32, Rewards Eval: 151.98, Total Timesteps: 34884550 episode:146 

Rewards Tr: 163.68, Rewards Eval: 142.05, Total Timesteps: 35184550 episode:147 

Rewards Tr: 164.98, Rewards Eval: 198.55, Total Timesteps: 35484550 episode:148 

Rewards Tr: 167.60, Rewards Eval: 155.43, Total Timesteps: 35784550 episode:149 

Rewards Tr: 163.06, Rewards Eval: 140.08, Total Timesteps: 36084550 episode:150 

Rewards Tr: 169.87, Rewards Eval: 170.23, Total Timesteps: 36384550 episode:151 

Rewards Tr: 168.86, Rewards Eval: 181.19, Total Timesteps: 36684550 episode:152 

Rewards Tr: 168.67, Rewards Eval: 174.69, Total Timesteps: 36984550 episode:153 

Rewards Tr: 167.84, Rewards Eval: 186.63, Total Timesteps: 37284550 episode:154 

Rewards Tr: 169.90, Rewards Eval: 186.48, Total Timesteps: 37584550 episode:155 

Rewards Tr: 168.68, Rewards Eval: 172.82, Total Timesteps: 37884550 episode:156 

Rewards Tr: 167.84, Rewards Eval: 155.79, Total Timesteps: 38184550 episode:157 

Rewards Tr: 168.07, Rewards Eval: 156.14, Total Timesteps: 38484550 episode:158 

Rewards Tr: 168.62, Rewards Eval: 141.49, Total Timesteps: 38784550 episode:159 

Rewards Tr: 169.08, Rewards Eval: 149.57, Total Timesteps: 39084550 episode:160 

Rewards Tr: 170.22, Rewards Eval: 156.46, Total Timesteps: 39384550 episode:161 

Rewards Tr: 169.18, Rewards Eval: 170.99, Total Timesteps: 39684550 episode:162 

Rewards Tr: 167.38, Rewards Eval: 180.37, Total Timesteps: 39984550 episode:163 

Rewards Tr: 171.99, Rewards Eval: 172.93, Total Timesteps: 40284550 episode:164 

Rewards Tr: 171.91, Rewards Eval: 215.46, Total Timesteps: 40584550 episode:165 

Rewards Tr: 169.19, Rewards Eval: 158.57, Total Timesteps: 40884550 episode:166 

Rewards Tr: 169.76, Rewards Eval: 183.47, Total Timesteps: 41184550 episode:167 

Rewards Tr: 168.87, Rewards Eval: 178.21, Total Timesteps: 41484550 episode:168 

Rewards Tr: 172.78, Rewards Eval: 167.44, Total Timesteps: 41784550 episode:169 

Rewards Tr: 168.60, Rewards Eval: 181.32, Total Timesteps: 42084550 episode:170 

Rewards Tr: 170.59, Rewards Eval: 173.51, Total Timesteps: 42384550 episode:171 

Rewards Tr: 170.86, Rewards Eval: 176.63, Total Timesteps: 42684550 episode:172 

Rewards Tr: 171.77, Rewards Eval: 181.76, Total Timesteps: 42984550 episode:173 

Rewards Tr: 170.63, Rewards Eval: 167.19, Total Timesteps: 43284550 episode:174 

Rewards Tr: 169.24, Rewards Eval: 191.45, Total Timesteps: 43584550 episode:175 

Rewards Tr: 171.30, Rewards Eval: 196.35, Total Timesteps: 43884550 episode:176 

Rewards Tr: 174.02, Rewards Eval: 132.23, Total Timesteps: 44184550 episode:177 

Rewards Tr: 171.37, Rewards Eval: 174.80, Total Timesteps: 44484550 episode:178 

Rewards Tr: 169.14, Rewards Eval: 189.68, Total Timesteps: 44784550 episode:179 

Rewards Tr: 171.09, Rewards Eval: 181.01, Total Timesteps: 45084550 episode:180 

Rewards Tr: 172.71, Rewards Eval: 179.27, Total Timesteps: 45384550 episode:181 

Rewards Tr: 173.23, Rewards Eval: 181.88, Total Timesteps: 45684550 episode:182 

Rewards Tr: 174.22, Rewards Eval: 152.34, Total Timesteps: 45984550 episode:183 

Rewards Tr: 173.82, Rewards Eval: 159.29, Total Timesteps: 46284550 episode:184 

Rewards Tr: 173.24, Rewards Eval: 153.53, Total Timesteps: 46584550 episode:185 

Rewards Tr: 176.17, Rewards Eval: 183.36, Total Timesteps: 46884550 episode:186 

Rewards Tr: 177.89, Rewards Eval: 207.45, Total Timesteps: 47184550 episode:187 

Rewards Tr: 176.30, Rewards Eval: 181.06, Total Timesteps: 47484550 episode:188 

Rewards Tr: 172.30, Rewards Eval: 160.29, Total Timesteps: 47784550 episode:189 

Rewards Tr: 175.85, Rewards Eval: 184.59, Total Timesteps: 48084550 episode:190 

Rewards Tr: 174.44, Rewards Eval: 218.64, Total Timesteps: 48384550 episode:191 

Rewards Tr: 172.02, Rewards Eval: 184.11, Total Timesteps: 48684550 episode:192 

Rewards Tr: 176.75, Rewards Eval: 176.47, Total Timesteps: 48984550 episode:193 

Rewards Tr: 175.46, Rewards Eval: 150.39, Total Timesteps: 49284550 episode:194 

Rewards Tr: 176.40, Rewards Eval: 181.26, Total Timesteps: 49584550 episode:195 

Rewards Tr: 170.80, Rewards Eval: 174.34, Total Timesteps: 49884550 episode:196 

Rewards Tr: 176.71, Rewards Eval: 188.36, Total Timesteps: 50184550 episode:197 

Rewards Tr: 175.54, Rewards Eval: 191.02, Total Timesteps: 50484550 episode:198 

Rewards Tr: 177.52, Rewards Eval: 159.33, Total Timesteps: 50784550 episode:199 

Rewards Tr: 175.52, Rewards Eval: 174.34, Total Timesteps: 51084550 episode:200 

Rewards Tr: 176.50, Rewards Eval: 181.50, Total Timesteps: 51384550 episode:201 

Rewards Tr: 175.52, Rewards Eval: 191.58, Total Timesteps: 51684550 episode:202 

Rewards Tr: 173.05, Rewards Eval: 175.92, Total Timesteps: 51984550 episode:203 

Rewards Tr: 171.92, Rewards Eval: 186.91, Total Timesteps: 52284550 episode:204 

Rewards Tr: 176.53, Rewards Eval: 162.31, Total Timesteps: 52584550 episode:205 

Rewards Tr: 173.29, Rewards Eval: 187.59, Total Timesteps: 52884550 episode:206 

Rewards Tr: 179.22, Rewards Eval: 175.01, Total Timesteps: 53184550 episode:207 

Rewards Tr: 177.54, Rewards Eval: 176.62, Total Timesteps: 53484550 episode:208 

Rewards Tr: 177.82, Rewards Eval: 166.07, Total Timesteps: 53784550 episode:209 

