For Seed: 1 

Rewards Tr: 10.63, Rewards Eval: 4.95, Total Timesteps: 10163920 episode:69 

Rewards Tr: 18.73, Rewards Eval: 12.60, Total Timesteps: 10363920 episode:70 

Rewards Tr: 20.12, Rewards Eval: 13.13, Total Timesteps: 10563920 episode:71 

Rewards Tr: 20.61, Rewards Eval: -1.11, Total Timesteps: 10763920 episode:72 

Rewards Tr: 17.32, Rewards Eval: 21.70, Total Timesteps: 10963920 episode:73 

Rewards Tr: 18.18, Rewards Eval: -5.26, Total Timesteps: 11163920 episode:74 

Rewards Tr: 21.59, Rewards Eval: -12.97, Total Timesteps: 11363920 episode:75 

Rewards Tr: 20.13, Rewards Eval: 9.09, Total Timesteps: 11563920 episode:76 

Rewards Tr: 24.86, Rewards Eval: 18.57, Total Timesteps: 11763920 episode:77 

Rewards Tr: 25.44, Rewards Eval: 22.39, Total Timesteps: 11963920 episode:78 

Rewards Tr: 28.22, Rewards Eval: 35.05, Total Timesteps: 12163920 episode:79 

Rewards Tr: 22.85, Rewards Eval: 8.38, Total Timesteps: 12363920 episode:80 

Rewards Tr: 26.93, Rewards Eval: 46.92, Total Timesteps: 12563920 episode:81 

Rewards Tr: 25.42, Rewards Eval: 1.67, Total Timesteps: 12763920 episode:82 

Rewards Tr: 31.78, Rewards Eval: 26.77, Total Timesteps: 12963920 episode:83 

Rewards Tr: 29.58, Rewards Eval: 20.67, Total Timesteps: 13163920 episode:84 

Rewards Tr: 35.24, Rewards Eval: 44.23, Total Timesteps: 13363920 episode:85 

Rewards Tr: 34.64, Rewards Eval: 20.86, Total Timesteps: 13563920 episode:86 

Rewards Tr: 37.32, Rewards Eval: 45.57, Total Timesteps: 13763920 episode:87 

Rewards Tr: 37.30, Rewards Eval: 12.13, Total Timesteps: 13963920 episode:88 

Rewards Tr: 38.56, Rewards Eval: 47.94, Total Timesteps: 14163920 episode:89 

Rewards Tr: 43.00, Rewards Eval: 47.15, Total Timesteps: 14363920 episode:90 

Rewards Tr: 46.27, Rewards Eval: 58.07, Total Timesteps: 14563920 episode:91 

Rewards Tr: 46.30, Rewards Eval: 47.80, Total Timesteps: 14763920 episode:92 

Rewards Tr: 52.69, Rewards Eval: 55.55, Total Timesteps: 14963920 episode:93 

Rewards Tr: 57.17, Rewards Eval: 58.32, Total Timesteps: 15163920 episode:94 

Rewards Tr: 57.79, Rewards Eval: 41.19, Total Timesteps: 15363920 episode:95 

Rewards Tr: 61.01, Rewards Eval: 80.87, Total Timesteps: 15563920 episode:96 

Rewards Tr: 68.26, Rewards Eval: 58.89, Total Timesteps: 15763920 episode:97 

Rewards Tr: 69.95, Rewards Eval: 71.60, Total Timesteps: 15963920 episode:98 

Rewards Tr: 71.34, Rewards Eval: 46.09, Total Timesteps: 16163920 episode:99 

Rewards Tr: 72.64, Rewards Eval: 71.12, Total Timesteps: 16363920 episode:100 

Rewards Tr: 79.71, Rewards Eval: 73.44, Total Timesteps: 16563920 episode:101 

Rewards Tr: 76.65, Rewards Eval: 98.74, Total Timesteps: 16763920 episode:102 

Rewards Tr: 80.87, Rewards Eval: 102.36, Total Timesteps: 16963920 episode:103 

Rewards Tr: 82.88, Rewards Eval: 65.00, Total Timesteps: 17163920 episode:104 

Rewards Tr: 81.50, Rewards Eval: 97.67, Total Timesteps: 17363920 episode:105 

Rewards Tr: 90.22, Rewards Eval: 82.92, Total Timesteps: 17563920 episode:106 

Rewards Tr: 89.86, Rewards Eval: 88.09, Total Timesteps: 17763920 episode:107 

Rewards Tr: 93.78, Rewards Eval: 102.97, Total Timesteps: 17963920 episode:108 

Rewards Tr: 103.01, Rewards Eval: 109.06, Total Timesteps: 18163920 episode:109 

Rewards Tr: 104.26, Rewards Eval: 121.50, Total Timesteps: 18363920 episode:110 

Rewards Tr: 107.06, Rewards Eval: 99.64, Total Timesteps: 18563920 episode:111 

Rewards Tr: 113.24, Rewards Eval: 120.20, Total Timesteps: 18763920 episode:112 

Rewards Tr: 118.31, Rewards Eval: 109.05, Total Timesteps: 18963920 episode:113 

Rewards Tr: 120.43, Rewards Eval: 124.73, Total Timesteps: 19163920 episode:114 

Rewards Tr: 126.18, Rewards Eval: 129.98, Total Timesteps: 19363920 episode:115 

Rewards Tr: 126.91, Rewards Eval: 144.24, Total Timesteps: 19563920 episode:116 

Rewards Tr: 130.99, Rewards Eval: 119.39, Total Timesteps: 19763920 episode:117 

Rewards Tr: 132.75, Rewards Eval: 163.74, Total Timesteps: 19963920 episode:118 

Rewards Tr: 140.66, Rewards Eval: 164.07, Total Timesteps: 20163920 episode:119 

Rewards Tr: 140.65, Rewards Eval: 159.87, Total Timesteps: 20363920 episode:120 

Rewards Tr: 139.66, Rewards Eval: 138.70, Total Timesteps: 20563920 episode:121 

Rewards Tr: 147.09, Rewards Eval: 111.04, Total Timesteps: 20763920 episode:122 

Rewards Tr: 143.32, Rewards Eval: 165.84, Total Timesteps: 20963920 episode:123 

Rewards Tr: 146.13, Rewards Eval: 132.25, Total Timesteps: 21163920 episode:124 

Rewards Tr: 146.47, Rewards Eval: 164.72, Total Timesteps: 21363920 episode:125 

