For Seed: 102 

Rewards Tr: -661.32, Rewards Val: -684.10, Rewards Eval: -600.40, Total Timesteps: 82300 episode:0 

Rewards Tr: -566.10, Rewards Val: -502.52, Rewards Eval: -504.30, Total Timesteps: 165360 episode:1 

Rewards Tr: -429.11, Rewards Val: -444.20, Rewards Eval: -405.31, Total Timesteps: 255320 episode:2 

Rewards Tr: -390.07, Rewards Val: -412.95, Rewards Eval: -287.39, Total Timesteps: 351370 episode:3 

Rewards Tr: -347.89, Rewards Val: -354.69, Rewards Eval: -212.42, Total Timesteps: 449290 episode:4 

Rewards Tr: -292.17, Rewards Val: -308.00, Rewards Eval: -240.59, Total Timesteps: 559390 episode:5 

Rewards Tr: -271.22, Rewards Val: -262.14, Rewards Eval: -256.83, Total Timesteps: 683860 episode:6 

Rewards Tr: -239.62, Rewards Val: -243.48, Rewards Eval: -217.78, Total Timesteps: 808160 episode:7 

Rewards Tr: -189.02, Rewards Val: -203.76, Rewards Eval: -192.79, Total Timesteps: 937310 episode:8 

Rewards Tr: -182.14, Rewards Val: -177.06, Rewards Eval: -161.41, Total Timesteps: 1073290 episode:9 

Rewards Tr: -162.74, Rewards Val: -166.33, Rewards Eval: -114.46, Total Timesteps: 1233380 episode:10 

Rewards Tr: -143.33, Rewards Val: -151.61, Rewards Eval: -87.43, Total Timesteps: 1390830 episode:11 

Rewards Tr: -149.76, Rewards Val: -142.73, Rewards Eval: -180.14, Total Timesteps: 1567560 episode:12 

Rewards Tr: -108.31, Rewards Val: -122.51, Rewards Eval: -147.88, Total Timesteps: 1747360 episode:13 

Rewards Tr: -109.58, Rewards Val: -111.97, Rewards Eval: -100.60, Total Timesteps: 1942140 episode:14 

Rewards Tr: -90.99, Rewards Val: -101.26, Rewards Eval: -90.96, Total Timesteps: 2170640 episode:15 

Rewards Tr: -91.14, Rewards Val: -86.35, Rewards Eval: -81.16, Total Timesteps: 2415900 episode:16 

Rewards Tr: -82.09, Rewards Val: -88.68, Rewards Eval: -67.92, Total Timesteps: 2631280 episode:17 

Rewards Tr: -78.56, Rewards Val: -79.37, Rewards Eval: -35.95, Total Timesteps: 2878680 episode:18 

Rewards Tr: -71.47, Rewards Val: -73.79, Rewards Eval: -82.17, Total Timesteps: 3141550 episode:19 

Rewards Tr: -64.18, Rewards Val: -69.98, Rewards Eval: -43.56, Total Timesteps: 3403440 episode:20 

