For Seed: 1 

Rewards Tr: -5.81, Rewards Val: -6.69, Rewards Eval: -108.06, Total Timesteps: 13691710 episode:54 

Rewards Tr: -7.02, Rewards Val: -5.12, Rewards Eval: -157.92, Total Timesteps: 14091710 episode:55 

Rewards Tr: -12.40, Rewards Val: -10.68, Rewards Eval: -126.03, Total Timesteps: 14491710 episode:56 

Rewards Tr: -3.37, Rewards Val: -5.18, Rewards Eval: -84.89, Total Timesteps: 14891710 episode:57 

Rewards Tr: -2.75, Rewards Val: 3.03, Rewards Eval: -94.97, Total Timesteps: 15291710 episode:58 

Rewards Tr: 0.79, Rewards Val: -4.61, Rewards Eval: -39.36, Total Timesteps: 15691710 episode:59 

Rewards Tr: -13.27, Rewards Val: -4.82, Rewards Eval: -57.43, Total Timesteps: 16091710 episode:60 

Rewards Tr: 2.62, Rewards Val: 0.71, Rewards Eval: -41.54, Total Timesteps: 16491710 episode:61 

Rewards Tr: -2.43, Rewards Val: -1.46, Rewards Eval: -39.04, Total Timesteps: 16891710 episode:62 

Rewards Tr: -2.78, Rewards Val: -3.15, Rewards Eval: -78.48, Total Timesteps: 17291710 episode:63 

Rewards Tr: -0.74, Rewards Val: 3.20, Rewards Eval: -52.06, Total Timesteps: 17691710 episode:64 

Rewards Tr: 2.17, Rewards Val: -3.10, Rewards Eval: -60.91, Total Timesteps: 18091710 episode:65 

Rewards Tr: 3.15, Rewards Val: 6.36, Rewards Eval: -56.25, Total Timesteps: 18491710 episode:66 

Rewards Tr: 6.09, Rewards Val: 5.77, Rewards Eval: -23.69, Total Timesteps: 18891710 episode:67 

Rewards Tr: 11.69, Rewards Val: 6.42, Rewards Eval: -0.57, Total Timesteps: 19291710 episode:68 

Rewards Tr: 9.21, Rewards Val: 3.99, Rewards Eval: -9.79, Total Timesteps: 19691710 episode:69 

Rewards Tr: 1.89, Rewards Val: 5.56, Rewards Eval: 11.21, Total Timesteps: 20091710 episode:70 

Rewards Tr: 6.02, Rewards Val: 6.76, Rewards Eval: -12.12, Total Timesteps: 20491710 episode:71 

Rewards Tr: 9.31, Rewards Val: 5.84, Rewards Eval: 5.48, Total Timesteps: 20891710 episode:72 

Rewards Tr: 11.30, Rewards Val: 9.51, Rewards Eval: -4.70, Total Timesteps: 21291710 episode:73 

Rewards Tr: 12.72, Rewards Val: 7.94, Rewards Eval: -0.80, Total Timesteps: 21691710 episode:74 

Rewards Tr: 12.18, Rewards Val: 16.49, Rewards Eval: 4.64, Total Timesteps: 22091710 episode:75 

Rewards Tr: 16.58, Rewards Val: 5.72, Rewards Eval: -10.01, Total Timesteps: 22491710 episode:76 

Rewards Tr: 12.08, Rewards Val: 11.78, Rewards Eval: -3.17, Total Timesteps: 22891710 episode:77 

Rewards Tr: 20.18, Rewards Val: 20.30, Rewards Eval: -0.17, Total Timesteps: 23291710 episode:78 

Rewards Tr: 19.06, Rewards Val: 17.42, Rewards Eval: 15.68, Total Timesteps: 23691710 episode:79 

Rewards Tr: 16.54, Rewards Val: 20.50, Rewards Eval: 54.52, Total Timesteps: 24091710 episode:80 

Rewards Tr: 20.98, Rewards Val: 22.71, Rewards Eval: 50.28, Total Timesteps: 24491710 episode:81 

Rewards Tr: 31.91, Rewards Val: 26.13, Rewards Eval: -3.35, Total Timesteps: 24891710 episode:82 

Rewards Tr: 29.56, Rewards Val: 32.45, Rewards Eval: 21.38, Total Timesteps: 25291710 episode:83 

Rewards Tr: 28.40, Rewards Val: 27.09, Rewards Eval: 6.93, Total Timesteps: 25691710 episode:84 

Rewards Tr: 27.78, Rewards Val: 29.43, Rewards Eval: 12.13, Total Timesteps: 26091710 episode:85 

Rewards Tr: 30.81, Rewards Val: 35.67, Rewards Eval: 17.94, Total Timesteps: 26491710 episode:86 

Rewards Tr: 35.73, Rewards Val: 37.53, Rewards Eval: 35.32, Total Timesteps: 26891710 episode:87 

Rewards Tr: 34.42, Rewards Val: 37.74, Rewards Eval: 42.77, Total Timesteps: 27291710 episode:88 

