For Seed: 102 

Rewards Tr: -0.99, Rewards Disc: 1.31, Rewards Eval: -171.07, Total Timesteps: 8227910 episode:54 

Rewards Tr: -5.46, Rewards Disc: 1.35, Rewards Eval: -150.22, Total Timesteps: 8527910 episode:55 

Rewards Tr: -1.46, Rewards Disc: 1.31, Rewards Eval: -150.68, Total Timesteps: 8827910 episode:56 

Rewards Tr: -12.08, Rewards Disc: 1.42, Rewards Eval: -124.22, Total Timesteps: 9127910 episode:57 

Rewards Tr: -2.35, Rewards Disc: 1.32, Rewards Eval: -137.20, Total Timesteps: 9427910 episode:58 

Rewards Tr: -0.92, Rewards Disc: 1.31, Rewards Eval: -100.71, Total Timesteps: 9727910 episode:59 

Rewards Tr: -5.55, Rewards Disc: 1.36, Rewards Eval: -132.42, Total Timesteps: 10027910 episode:60 

Rewards Tr: -5.33, Rewards Disc: 1.35, Rewards Eval: -47.26, Total Timesteps: 10327910 episode:61 

Rewards Tr: -4.83, Rewards Disc: 1.35, Rewards Eval: -41.59, Total Timesteps: 10627910 episode:62 

Rewards Tr: -2.97, Rewards Disc: 1.33, Rewards Eval: -46.74, Total Timesteps: 10927910 episode:63 

Rewards Tr: -1.48, Rewards Disc: 1.31, Rewards Eval: -52.64, Total Timesteps: 11227910 episode:64 

Rewards Tr: 1.74, Rewards Disc: 1.28, Rewards Eval: -25.74, Total Timesteps: 11527910 episode:65 

Rewards Tr: 1.51, Rewards Disc: 1.28, Rewards Eval: -20.42, Total Timesteps: 11827910 episode:66 

Rewards Tr: 8.70, Rewards Disc: 1.21, Rewards Eval: -26.94, Total Timesteps: 12127910 episode:67 

Rewards Tr: 5.50, Rewards Disc: 1.25, Rewards Eval: -15.86, Total Timesteps: 12427910 episode:68 

Rewards Tr: 7.12, Rewards Disc: 1.23, Rewards Eval: 11.22, Total Timesteps: 12727910 episode:69 

Rewards Tr: 10.15, Rewards Disc: 1.20, Rewards Eval: -17.95, Total Timesteps: 13027910 episode:70 

Rewards Tr: 5.59, Rewards Disc: 1.24, Rewards Eval: -48.56, Total Timesteps: 13327910 episode:71 

Rewards Tr: 12.60, Rewards Disc: 1.17, Rewards Eval: 2.62, Total Timesteps: 13627910 episode:72 

Rewards Tr: 11.76, Rewards Disc: 1.18, Rewards Eval: -34.09, Total Timesteps: 13927910 episode:73 

Rewards Tr: 16.21, Rewards Disc: 1.14, Rewards Eval: 6.33, Total Timesteps: 14227910 episode:74 

