For Seed: 103 

Rewards Tr: -8.87, Rewards Val: -5.22, Rewards Eval: 38.33, Total Timesteps: 16121220 episode:55 

Rewards Tr: -5.95, Rewards Val: 0.82, Rewards Eval: 0.64, Total Timesteps: 16602910 episode:56 

Rewards Tr: -0.75, Rewards Val: -4.80, Rewards Eval: 1.36, Total Timesteps: 17108750 episode:57 

Rewards Tr: 6.05, Rewards Val: 7.09, Rewards Eval: 21.01, Total Timesteps: 17579630 episode:58 

Rewards Tr: -0.17, Rewards Val: -0.34, Rewards Eval: 8.01, Total Timesteps: 18092960 episode:59 

Rewards Tr: -2.50, Rewards Val: 1.00, Rewards Eval: 18.02, Total Timesteps: 18525770 episode:60 

Rewards Tr: 4.57, Rewards Val: 2.59, Rewards Eval: -4.17, Total Timesteps: 19042450 episode:61 

Rewards Tr: 5.06, Rewards Val: 2.43, Rewards Eval: 5.57, Total Timesteps: 19534870 episode:62 

Rewards Tr: 9.18, Rewards Val: 6.92, Rewards Eval: 18.34, Total Timesteps: 20018560 episode:63 

Rewards Tr: 14.05, Rewards Val: 10.90, Rewards Eval: -12.43, Total Timesteps: 20588980 episode:64 

Rewards Tr: 10.06, Rewards Val: 12.87, Rewards Eval: 21.15, Total Timesteps: 21089100 episode:65 

Rewards Tr: 15.66, Rewards Val: 12.89, Rewards Eval: 7.83, Total Timesteps: 21613530 episode:66 

Rewards Tr: 16.73, Rewards Val: 12.98, Rewards Eval: 22.10, Total Timesteps: 22095520 episode:67 

Rewards Tr: 18.55, Rewards Val: 16.94, Rewards Eval: 27.71, Total Timesteps: 22611600 episode:68 

Rewards Tr: 18.57, Rewards Val: 17.61, Rewards Eval: 9.50, Total Timesteps: 23077150 episode:69 

Rewards Tr: 21.99, Rewards Val: 14.78, Rewards Eval: 21.41, Total Timesteps: 23601450 episode:70 

Rewards Tr: 23.55, Rewards Val: 21.37, Rewards Eval: 14.78, Total Timesteps: 24100840 episode:71 

Rewards Tr: 21.57, Rewards Val: 17.67, Rewards Eval: 8.29, Total Timesteps: 24600270 episode:72 

Rewards Tr: 19.95, Rewards Val: 24.01, Rewards Eval: 4.28, Total Timesteps: 25099190 episode:73 

Rewards Tr: 29.58, Rewards Val: 26.46, Rewards Eval: 45.05, Total Timesteps: 25657330 episode:74 

Rewards Tr: 29.66, Rewards Val: 25.74, Rewards Eval: 21.35, Total Timesteps: 26189840 episode:75 

Rewards Tr: 32.81, Rewards Val: 25.46, Rewards Eval: 38.24, Total Timesteps: 26723030 episode:76 

Rewards Tr: 34.35, Rewards Val: 30.99, Rewards Eval: 11.39, Total Timesteps: 27281080 episode:77 

Rewards Tr: 27.78, Rewards Val: 29.53, Rewards Eval: 25.70, Total Timesteps: 27731060 episode:78 

Rewards Tr: 30.97, Rewards Val: 33.95, Rewards Eval: 5.79, Total Timesteps: 28222980 episode:79 

Rewards Tr: 35.25, Rewards Val: 31.75, Rewards Eval: 60.01, Total Timesteps: 28730350 episode:80 

Rewards Tr: 38.18, Rewards Val: 35.64, Rewards Eval: 46.80, Total Timesteps: 29272440 episode:81 

Rewards Tr: 35.94, Rewards Val: 36.77, Rewards Eval: 42.85, Total Timesteps: 29796780 episode:82 

Rewards Tr: 39.84, Rewards Val: 40.41, Rewards Eval: 47.89, Total Timesteps: 30347770 episode:83 

Rewards Tr: 38.41, Rewards Val: 39.04, Rewards Eval: 48.54, Total Timesteps: 30847900 episode:84 

Rewards Tr: 43.23, Rewards Val: 44.56, Rewards Eval: 42.09, Total Timesteps: 31414670 episode:85 

Rewards Tr: 42.52, Rewards Val: 42.85, Rewards Eval: 31.10, Total Timesteps: 31972050 episode:86 

Rewards Tr: 46.94, Rewards Val: 43.12, Rewards Eval: 4.55, Total Timesteps: 32521920 episode:87 

Rewards Tr: 45.92, Rewards Val: 49.53, Rewards Eval: 82.66, Total Timesteps: 33080140 episode:88 

Rewards Tr: 52.22, Rewards Val: 53.26, Rewards Eval: 81.61, Total Timesteps: 33663420 episode:89 

Rewards Tr: 47.78, Rewards Val: 49.12, Rewards Eval: 37.45, Total Timesteps: 34188260 episode:90 

Rewards Tr: 53.67, Rewards Val: 51.09, Rewards Eval: 54.81, Total Timesteps: 34720280 episode:91 

Rewards Tr: 58.16, Rewards Val: 54.50, Rewards Eval: 73.01, Total Timesteps: 35252940 episode:92 

Rewards Tr: 54.11, Rewards Val: 53.45, Rewards Eval: 63.89, Total Timesteps: 35770100 episode:93 

Rewards Tr: 55.04, Rewards Val: 55.04, Rewards Eval: 70.13, Total Timesteps: 36320440 episode:94 

Rewards Tr: 59.51, Rewards Val: 58.45, Rewards Eval: 32.45, Total Timesteps: 36853230 episode:95 

Rewards Tr: 57.57, Rewards Val: 62.55, Rewards Eval: 61.13, Total Timesteps: 37370500 episode:96 

Rewards Tr: 61.87, Rewards Val: 61.49, Rewards Eval: 35.28, Total Timesteps: 37929550 episode:97 

Rewards Tr: 67.64, Rewards Val: 71.27, Rewards Eval: 53.53, Total Timesteps: 38479330 episode:98 

Rewards Tr: 64.47, Rewards Val: 62.66, Rewards Eval: 75.61, Total Timesteps: 39003390 episode:99 

Rewards Tr: 64.05, Rewards Val: 67.13, Rewards Eval: 52.45, Total Timesteps: 39536430 episode:100 

Rewards Tr: 66.58, Rewards Val: 64.62, Rewards Eval: 63.86, Total Timesteps: 40019730 episode:101 

Rewards Tr: 70.19, Rewards Val: 75.93, Rewards Eval: 77.80, Total Timesteps: 40544290 episode:102 

Rewards Tr: 73.94, Rewards Val: 76.75, Rewards Eval: 61.87, Total Timesteps: 41077420 episode:103 

Rewards Tr: 79.97, Rewards Val: 79.37, Rewards Eval: 76.55, Total Timesteps: 41620900 episode:104 

Rewards Tr: 81.41, Rewards Val: 80.20, Rewards Eval: 105.91, Total Timesteps: 42154100 episode:105 

