
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.12, Rewards Eval: 0.00, Total Timesteps: 8290 episode:0 
Rewards Tr: 252.45, Rewards Eval: 246.61, Total Timesteps: 3178780 episode:69 

Rewards Tr: 262.46, Rewards Eval: 255.54, Total Timesteps: 3260550 episode:70 

Rewards Tr: 272.66, Rewards Eval: 290.05, Total Timesteps: 3355850 episode:71 

Rewards Tr: 272.20, Rewards Eval: 279.75, Total Timesteps: 3442280 episode:72 

Rewards Tr: 278.88, Rewards Eval: 310.15, Total Timesteps: 3544750 episode:73 

Rewards Tr: 291.88, Rewards Eval: 298.62, Total Timesteps: 3642150 episode:74 

Rewards Tr: 311.12, Rewards Eval: 301.70, Total Timesteps: 3752230 episode:75 

Rewards Tr: 316.35, Rewards Eval: 380.73, Total Timesteps: 3872660 episode:76 

Rewards Tr: 335.14, Rewards Eval: 286.54, Total Timesteps: 4003280 episode:77 

Rewards Tr: 348.50, Rewards Eval: 319.58, Total Timesteps: 4142110 episode:78 

Rewards Tr: 348.98, Rewards Eval: 484.31, Total Timesteps: 4283990 episode:79 

Rewards Tr: 383.41, Rewards Eval: 317.64, Total Timesteps: 4463600 episode:80 

Rewards Tr: 382.34, Rewards Eval: 418.30, Total Timesteps: 4632870 episode:81 

Rewards Tr: 380.12, Rewards Eval: 416.95, Total Timesteps: 4788610 episode:82 

Rewards Tr: 388.43, Rewards Eval: 484.61, Total Timesteps: 4936570 episode:83 

Rewards Tr: 417.43, Rewards Eval: 404.79, Total Timesteps: 5123410 episode:84 

Rewards Tr: 416.39, Rewards Eval: 459.11, Total Timesteps: 5298470 episode:85 

Rewards Tr: 433.88, Rewards Eval: 328.27, Total Timesteps: 5483260 episode:86 

Rewards Tr: 429.14, Rewards Eval: 366.38, Total Timesteps: 5650290 episode:87 

Rewards Tr: 445.98, Rewards Eval: 639.66, Total Timesteps: 5830730 episode:88 

Rewards Tr: 449.15, Rewards Eval: 367.52, Total Timesteps: 6010240 episode:89 

