For Seed: 3 

Rewards Tr: -119.41, Rewards Eval: -68.61, Total Timesteps: 100000 episode:0 

Rewards Tr: -95.32, Rewards Eval: -80.64, Total Timesteps: 200000 episode:1 

Rewards Tr: -81.99, Rewards Eval: -32.06, Total Timesteps: 300000 episode:2 

Rewards Tr: -56.25, Rewards Eval: -24.88, Total Timesteps: 400000 episode:3 

Rewards Tr: -44.25, Rewards Eval: -16.19, Total Timesteps: 500000 episode:4 

Rewards Tr: -38.81, Rewards Eval: -19.67, Total Timesteps: 600000 episode:5 

Rewards Tr: -25.84, Rewards Eval: 2.74, Total Timesteps: 700000 episode:6 

Rewards Tr: -19.11, Rewards Eval: -7.88, Total Timesteps: 800000 episode:7 

Rewards Tr: -8.61, Rewards Eval: 29.39, Total Timesteps: 900000 episode:8 

Rewards Tr: -2.47, Rewards Eval: 24.82, Total Timesteps: 1000000 episode:9 

Rewards Tr: 7.61, Rewards Eval: -17.87, Total Timesteps: 1100000 episode:10 

Rewards Tr: 25.00, Rewards Eval: 21.78, Total Timesteps: 1200000 episode:11 

Rewards Tr: 26.85, Rewards Eval: 47.17, Total Timesteps: 1300000 episode:12 

Rewards Tr: 33.80, Rewards Eval: -10.31, Total Timesteps: 1400000 episode:13 

Rewards Tr: 28.98, Rewards Eval: 52.93, Total Timesteps: 1500000 episode:14 

Rewards Tr: 44.22, Rewards Eval: 59.44, Total Timesteps: 1600000 episode:15 

Rewards Tr: 28.56, Rewards Eval: -31.25, Total Timesteps: 1700000 episode:16 

Rewards Tr: 31.01, Rewards Eval: 36.48, Total Timesteps: 1800000 episode:17 

Rewards Tr: 45.93, Rewards Eval: 14.70, Total Timesteps: 1900000 episode:18 

Rewards Tr: 42.30, Rewards Eval: 106.25, Total Timesteps: 2000000 episode:19 

Rewards Tr: 52.80, Rewards Eval: 77.98, Total Timesteps: 2100000 episode:20 

Rewards Tr: 68.61, Rewards Eval: 41.62, Total Timesteps: 2200000 episode:21 

Rewards Tr: 68.69, Rewards Eval: 100.46, Total Timesteps: 2300000 episode:22 

Rewards Tr: 104.84, Rewards Eval: 124.50, Total Timesteps: 2400000 episode:23 

Rewards Tr: 129.10, Rewards Eval: 132.73, Total Timesteps: 2500000 episode:24 

Rewards Tr: 150.07, Rewards Eval: 160.96, Total Timesteps: 2600000 episode:25 

Rewards Tr: 157.71, Rewards Eval: 187.96, Total Timesteps: 2700000 episode:26 

Rewards Tr: 166.60, Rewards Eval: 174.45, Total Timesteps: 2800000 episode:27 

Rewards Tr: 171.57, Rewards Eval: 170.75, Total Timesteps: 2900000 episode:28 

Rewards Tr: 179.78, Rewards Eval: 92.26, Total Timesteps: 3000000 episode:29 

Rewards Tr: 162.70, Rewards Eval: 79.61, Total Timesteps: 3100000 episode:30 

Rewards Tr: 158.98, Rewards Eval: 39.76, Total Timesteps: 3200000 episode:31 

Rewards Tr: 161.61, Rewards Eval: 162.49, Total Timesteps: 3300000 episode:32 

Rewards Tr: 156.30, Rewards Eval: 187.42, Total Timesteps: 3400000 episode:33 

Rewards Tr: 190.45, Rewards Eval: 244.41, Total Timesteps: 3500000 episode:34 

Rewards Tr: 217.33, Rewards Eval: 243.44, Total Timesteps: 3600000 episode:35 

Rewards Tr: 228.60, Rewards Eval: 201.27, Total Timesteps: 3700000 episode:36 

Rewards Tr: 238.33, Rewards Eval: 233.59, Total Timesteps: 3800000 episode:37 

Rewards Tr: 243.47, Rewards Eval: 233.49, Total Timesteps: 3900000 episode:38 

Rewards Tr: 249.44, Rewards Eval: 274.22, Total Timesteps: 4000000 episode:39 

Rewards Tr: 247.26, Rewards Eval: 199.12, Total Timesteps: 4100000 episode:40 

Rewards Tr: 239.81, Rewards Eval: 286.32, Total Timesteps: 4200000 episode:41 

Rewards Tr: 242.30, Rewards Eval: 263.27, Total Timesteps: 4300000 episode:42 

Rewards Tr: 215.01, Rewards Eval: 259.29, Total Timesteps: 4400000 episode:43 

Rewards Tr: 242.19, Rewards Eval: 212.63, Total Timesteps: 4500000 episode:44 

Rewards Tr: 264.00, Rewards Eval: 287.42, Total Timesteps: 4600000 episode:45 

