For Seed: 1 

Rewards Tr: 0.71, Rewards Disc: -0.06, Rewards Eval: -149.28, Total Timesteps: 6146920 episode:54 

Rewards Tr: 1.94, Rewards Disc: 0.06, Rewards Eval: -153.84, Total Timesteps: 6346920 episode:55 

Rewards Tr: 0.12, Rewards Disc: -0.04, Rewards Eval: -129.62, Total Timesteps: 6546920 episode:56 

Rewards Tr: -2.64, Rewards Disc: -0.01, Rewards Eval: -62.50, Total Timesteps: 6746920 episode:57 

Rewards Tr: -1.98, Rewards Disc: 0.01, Rewards Eval: -144.65, Total Timesteps: 6946920 episode:58 

Rewards Tr: 5.56, Rewards Disc: -0.02, Rewards Eval: -90.34, Total Timesteps: 7146920 episode:59 

Rewards Tr: -1.75, Rewards Disc: 0.02, Rewards Eval: -41.09, Total Timesteps: 7346920 episode:60 

Rewards Tr: -2.84, Rewards Disc: 0.02, Rewards Eval: -57.93, Total Timesteps: 7546920 episode:61 

Rewards Tr: -5.13, Rewards Disc: 0.03, Rewards Eval: -22.24, Total Timesteps: 7746920 episode:62 

Rewards Tr: 7.41, Rewards Disc: 0.01, Rewards Eval: -27.82, Total Timesteps: 7946920 episode:63 

Rewards Tr: 2.99, Rewards Disc: 0.01, Rewards Eval: -49.36, Total Timesteps: 8146920 episode:64 

Rewards Tr: 6.14, Rewards Disc: 0.05, Rewards Eval: -27.93, Total Timesteps: 8346920 episode:65 

Rewards Tr: 9.09, Rewards Disc: 0.01, Rewards Eval: -40.58, Total Timesteps: 8546920 episode:66 

Rewards Tr: 7.78, Rewards Disc: -0.03, Rewards Eval: 23.73, Total Timesteps: 8746920 episode:67 

Rewards Tr: 11.64, Rewards Disc: 0.03, Rewards Eval: 15.40, Total Timesteps: 8946920 episode:68 

Rewards Tr: 9.81, Rewards Disc: 0.07, Rewards Eval: -17.95, Total Timesteps: 9146920 episode:69 

Rewards Tr: 13.23, Rewards Disc: 0.02, Rewards Eval: 16.04, Total Timesteps: 9346920 episode:70 

Rewards Tr: 16.54, Rewards Disc: 0.03, Rewards Eval: -3.41, Total Timesteps: 9546920 episode:71 

