For Seed: 1 

Rewards Tr: 14.16, Rewards Eval: -19.66, Total Timesteps: 8105540 episode:69 

Rewards Tr: 12.31, Rewards Eval: 31.85, Total Timesteps: 8263430 episode:70 

Rewards Tr: 12.99, Rewards Eval: 16.44, Total Timesteps: 8429410 episode:71 

Rewards Tr: 12.01, Rewards Eval: 25.95, Total Timesteps: 8579100 episode:72 

Rewards Tr: 19.24, Rewards Eval: 37.15, Total Timesteps: 8744940 episode:73 

Rewards Tr: 20.74, Rewards Eval: 57.11, Total Timesteps: 8924930 episode:74 

Rewards Tr: 20.85, Rewards Eval: 36.02, Total Timesteps: 9081120 episode:75 

Rewards Tr: 25.52, Rewards Eval: 18.83, Total Timesteps: 9223140 episode:76 

Rewards Tr: 17.12, Rewards Eval: 33.10, Total Timesteps: 9389410 episode:77 

Rewards Tr: 26.24, Rewards Eval: 12.56, Total Timesteps: 9539920 episode:78 

Rewards Tr: 25.84, Rewards Eval: 7.80, Total Timesteps: 9723560 episode:79 

Rewards Tr: 21.97, Rewards Eval: 42.25, Total Timesteps: 9873410 episode:80 

Rewards Tr: 28.99, Rewards Eval: 19.83, Total Timesteps: 10065180 episode:81 

Rewards Tr: 26.75, Rewards Eval: 34.70, Total Timesteps: 10247860 episode:82 

Rewards Tr: 32.04, Rewards Eval: 28.13, Total Timesteps: 10439810 episode:83 

Rewards Tr: 25.85, Rewards Eval: 23.24, Total Timesteps: 10597460 episode:84 

Rewards Tr: 36.83, Rewards Eval: 44.43, Total Timesteps: 10772400 episode:85 

Rewards Tr: 32.30, Rewards Eval: 7.27, Total Timesteps: 10963980 episode:86 

Rewards Tr: 31.04, Rewards Eval: 30.14, Total Timesteps: 11122830 episode:87 

Rewards Tr: 37.38, Rewards Eval: 41.93, Total Timesteps: 11297560 episode:88 

Rewards Tr: 39.71, Rewards Eval: 14.34, Total Timesteps: 11489320 episode:89 

Rewards Tr: 43.51, Rewards Eval: 43.52, Total Timesteps: 11681040 episode:90 

Rewards Tr: 34.49, Rewards Eval: 62.52, Total Timesteps: 11855560 episode:91 

Rewards Tr: 43.22, Rewards Eval: 58.02, Total Timesteps: 12030450 episode:92 

Rewards Tr: 49.57, Rewards Eval: 95.17, Total Timesteps: 12230450 episode:93 

Rewards Tr: 41.92, Rewards Eval: 51.85, Total Timesteps: 12397130 episode:94 

Rewards Tr: 43.82, Rewards Eval: 45.34, Total Timesteps: 12571610 episode:95 

Rewards Tr: 46.50, Rewards Eval: 68.64, Total Timesteps: 12762930 episode:96 

Rewards Tr: 48.61, Rewards Eval: 41.76, Total Timesteps: 12937650 episode:97 

Rewards Tr: 51.95, Rewards Eval: 45.79, Total Timesteps: 13103990 episode:98 

Rewards Tr: 51.32, Rewards Eval: 60.56, Total Timesteps: 13278630 episode:99 

Rewards Tr: 53.24, Rewards Eval: 24.36, Total Timesteps: 13470370 episode:100 

Rewards Tr: 53.46, Rewards Eval: 47.41, Total Timesteps: 13661640 episode:101 

Rewards Tr: 57.19, Rewards Eval: 67.38, Total Timesteps: 13853600 episode:102 

Rewards Tr: 54.73, Rewards Eval: 51.64, Total Timesteps: 14028160 episode:103 

Rewards Tr: 62.22, Rewards Eval: 70.41, Total Timesteps: 14219820 episode:104 

Rewards Tr: 55.75, Rewards Eval: 71.77, Total Timesteps: 14419820 episode:105 

Rewards Tr: 60.85, Rewards Eval: 48.89, Total Timesteps: 14602770 episode:106 

Rewards Tr: 60.01, Rewards Eval: 81.21, Total Timesteps: 14785800 episode:107 

Rewards Tr: 57.29, Rewards Eval: 69.74, Total Timesteps: 14960870 episode:108 

Rewards Tr: 62.79, Rewards Eval: 57.67, Total Timesteps: 15144050 episode:109 

Rewards Tr: 69.31, Rewards Eval: 68.16, Total Timesteps: 15335620 episode:110 

Rewards Tr: 62.48, Rewards Eval: 56.36, Total Timesteps: 15510660 episode:111 

