For Seed: 102 

Rewards Tr: -44.66, Rewards Val: -48.07, Rewards Disc: 1.78, Rewards Eval: -638.54, Total Timesteps: 11230910 episode:44 

Rewards Tr: -20.90, Rewards Val: -22.26, Rewards Disc: 1.52, Rewards Eval: -682.24, Total Timesteps: 11814240 episode:45 

Rewards Tr: -27.28, Rewards Val: -10.22, Rewards Disc: 1.40, Rewards Eval: -468.41, Total Timesteps: 12399800 episode:46 

Rewards Tr: -11.44, Rewards Val: -7.55, Rewards Disc: 1.38, Rewards Eval: -502.93, Total Timesteps: 12993420 episode:47 

Rewards Tr: -5.86, Rewards Val: -3.28, Rewards Disc: 1.33, Rewards Eval: -404.98, Total Timesteps: 13588210 episode:48 

Rewards Tr: -2.26, Rewards Val: 0.43, Rewards Disc: 1.30, Rewards Eval: -449.80, Total Timesteps: 14172200 episode:49 

Rewards Tr: -2.36, Rewards Val: -3.72, Rewards Disc: 1.34, Rewards Eval: -199.12, Total Timesteps: 14772200 episode:50 

Rewards Tr: -3.88, Rewards Val: 4.09, Rewards Disc: 1.26, Rewards Eval: -176.66, Total Timesteps: 15372200 episode:51 

Rewards Tr: 0.90, Rewards Val: -0.01, Rewards Disc: 1.30, Rewards Eval: -189.44, Total Timesteps: 15972200 episode:52 

Rewards Tr: 3.39, Rewards Val: -3.58, Rewards Disc: 1.34, Rewards Eval: -178.64, Total Timesteps: 16570200 episode:53 

Rewards Tr: -2.50, Rewards Val: 0.32, Rewards Disc: 1.30, Rewards Eval: -129.49, Total Timesteps: 17170200 episode:54 

Rewards Tr: 2.14, Rewards Val: 1.36, Rewards Disc: 1.29, Rewards Eval: -83.05, Total Timesteps: 17770200 episode:55 

Rewards Tr: -5.05, Rewards Val: -4.51, Rewards Disc: 1.35, Rewards Eval: -92.84, Total Timesteps: 18370200 episode:56 

Rewards Tr: -0.13, Rewards Val: -9.93, Rewards Disc: 1.40, Rewards Eval: -53.89, Total Timesteps: 18970200 episode:57 

Rewards Tr: -4.68, Rewards Val: -7.05, Rewards Disc: 1.37, Rewards Eval: -69.92, Total Timesteps: 19570200 episode:58 

Rewards Tr: -3.87, Rewards Val: -0.68, Rewards Disc: 1.31, Rewards Eval: -33.67, Total Timesteps: 20170200 episode:59 

