For Seed: 3 

Rewards Tr: -139.83, Rewards Eval: -154.82, Total Timesteps: 100000 episode:0 

Rewards Tr: -132.18, Rewards Eval: -110.30, Total Timesteps: 200000 episode:1 

Rewards Tr: -103.89, Rewards Eval: -55.66, Total Timesteps: 300000 episode:2 

Rewards Tr: -76.86, Rewards Eval: -72.34, Total Timesteps: 400000 episode:3 

Rewards Tr: -59.43, Rewards Eval: -41.74, Total Timesteps: 500000 episode:4 

Rewards Tr: -32.05, Rewards Eval: -1.55, Total Timesteps: 600000 episode:5 

Rewards Tr: -11.11, Rewards Eval: 21.53, Total Timesteps: 700000 episode:6 

Rewards Tr: 8.25, Rewards Eval: 33.20, Total Timesteps: 800000 episode:7 

Rewards Tr: 31.39, Rewards Eval: 59.80, Total Timesteps: 900000 episode:8 

Rewards Tr: 55.72, Rewards Eval: 88.34, Total Timesteps: 1000000 episode:9 

Rewards Tr: 81.81, Rewards Eval: 99.74, Total Timesteps: 1100000 episode:10 

Rewards Tr: 102.14, Rewards Eval: 85.77, Total Timesteps: 1200000 episode:11 

Rewards Tr: 113.20, Rewards Eval: 126.09, Total Timesteps: 1300000 episode:12 

Rewards Tr: 141.31, Rewards Eval: 213.69, Total Timesteps: 1400000 episode:13 

Rewards Tr: 155.91, Rewards Eval: 219.60, Total Timesteps: 1500000 episode:14 

Rewards Tr: 185.42, Rewards Eval: 247.33, Total Timesteps: 1600000 episode:15 

Rewards Tr: 207.37, Rewards Eval: 239.69, Total Timesteps: 1700000 episode:16 

Rewards Tr: 257.59, Rewards Eval: 277.39, Total Timesteps: 1800000 episode:17 

Rewards Tr: 280.50, Rewards Eval: 47.71, Total Timesteps: 1900000 episode:18 

Rewards Tr: 320.22, Rewards Eval: 378.75, Total Timesteps: 2000000 episode:19 

Rewards Tr: 344.54, Rewards Eval: 362.13, Total Timesteps: 2100000 episode:20 

Rewards Tr: 379.97, Rewards Eval: 381.89, Total Timesteps: 2200000 episode:21 

Rewards Tr: 422.27, Rewards Eval: 493.64, Total Timesteps: 2300000 episode:22 

Rewards Tr: 459.31, Rewards Eval: 424.63, Total Timesteps: 2400000 episode:23 

Rewards Tr: 503.07, Rewards Eval: 527.34, Total Timesteps: 2500000 episode:24 

Rewards Tr: 544.11, Rewards Eval: 550.10, Total Timesteps: 2600000 episode:25 

Rewards Tr: 592.61, Rewards Eval: 658.75, Total Timesteps: 2700000 episode:26 

Rewards Tr: 633.36, Rewards Eval: 663.27, Total Timesteps: 2800000 episode:27 

