
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 170.17, Rewards Val: 163.84, Rewards Disc: 0.06, Rewards Eval: 159.32, Total Timesteps: 3138880 episode:44 

Rewards Tr: 170.18, Rewards Val: 172.34, Rewards Disc: 0.01, Rewards Eval: 185.45, Total Timesteps: 3219910 episode:45 

Rewards Tr: 172.40, Rewards Val: 168.18, Rewards Disc: 0.04, Rewards Eval: 169.75, Total Timesteps: 3299490 episode:46 

Rewards Tr: 174.41, Rewards Val: 172.17, Rewards Disc: 0.03, Rewards Eval: 150.33, Total Timesteps: 3379870 episode:47 

Rewards Tr: 173.65, Rewards Val: 171.29, Rewards Disc: 0.03, Rewards Eval: 180.35, Total Timesteps: 3456690 episode:48 

Rewards Tr: 174.65, Rewards Val: 175.82, Rewards Disc: -0.00, Rewards Eval: 178.17, Total Timesteps: 3535700 episode:49 

Rewards Tr: 178.49, Rewards Val: 175.81, Rewards Disc: -0.00, Rewards Eval: 190.99, Total Timesteps: 3617490 episode:50 

Rewards Tr: 179.82, Rewards Val: 179.91, Rewards Disc: 0.01, Rewards Eval: 174.56, Total Timesteps: 3701420 episode:51 

Rewards Tr: 181.36, Rewards Val: 181.21, Rewards Disc: 0.02, Rewards Eval: 183.48, Total Timesteps: 3786780 episode:52 

Rewards Tr: 184.53, Rewards Val: 186.68, Rewards Disc: -0.02, Rewards Eval: 181.00, Total Timesteps: 3875560 episode:53 

Rewards Tr: 191.72, Rewards Val: 188.34, Rewards Disc: 0.03, Rewards Eval: 194.96, Total Timesteps: 3966820 episode:54 

Rewards Tr: 194.57, Rewards Val: 194.34, Rewards Disc: 0.05, Rewards Eval: 190.47, Total Timesteps: 4064540 episode:55 

Rewards Tr: 198.32, Rewards Val: 200.72, Rewards Disc: 0.01, Rewards Eval: 213.02, Total Timesteps: 4167360 episode:56 

Rewards Tr: 208.27, Rewards Val: 205.81, Rewards Disc: -0.01, Rewards Eval: 216.64, Total Timesteps: 4274700 episode:57 

Rewards Tr: 215.45, Rewards Val: 216.88, Rewards Disc: -0.04, Rewards Eval: 217.59, Total Timesteps: 4391950 episode:58 

Rewards Tr: 221.68, Rewards Val: 223.58, Rewards Disc: -0.01, Rewards Eval: 257.99, Total Timesteps: 4512890 episode:59 

Rewards Tr: 226.24, Rewards Val: 224.29, Rewards Disc: 0.07, Rewards Eval: 245.62, Total Timesteps: 4642340 episode:60 

Rewards Tr: 236.14, Rewards Val: 236.84, Rewards Disc: 0.05, Rewards Eval: 238.96, Total Timesteps: 4781190 episode:61 

Rewards Tr: 242.73, Rewards Val: 244.27, Rewards Disc: 0.01, Rewards Eval: 261.04, Total Timesteps: 4919990 episode:62 

Rewards Tr: 253.59, Rewards Val: 253.72, Rewards Disc: 0.01, Rewards Eval: 274.78, Total Timesteps: 5075020 episode:63 

Rewards Tr: 258.04, Rewards Val: 264.36, Rewards Disc: -0.05, Rewards Eval: 306.61, Total Timesteps: 5236450 episode:64 

Rewards Tr: 267.69, Rewards Val: 266.60, Rewards Disc: -0.02, Rewards Eval: 252.80, Total Timesteps: 5401290 episode:65 

Rewards Tr: 275.56, Rewards Val: 280.37, Rewards Disc: -0.06, Rewards Eval: 284.05, Total Timesteps: 5579080 episode:66 

Rewards Tr: 278.54, Rewards Val: 277.63, Rewards Disc: 0.10, Rewards Eval: 240.85, Total Timesteps: 5753440 episode:67 

Rewards Tr: 293.93, Rewards Val: 296.88, Rewards Disc: 0.00, Rewards Eval: 275.33, Total Timesteps: 5945980 episode:68 

