For Seed: 1 

Rewards Tr: 352.32, Rewards Val: 351.92, Rewards Disc: -0.05, Rewards Eval: 307.45, Total Timesteps: 2063940 episode:45 

Rewards Tr: 356.84, Rewards Val: 366.43, Rewards Disc: -0.10, Rewards Eval: 370.03, Total Timesteps: 2140460 episode:46 

Rewards Tr: 382.68, Rewards Val: 376.26, Rewards Disc: 0.05, Rewards Eval: 350.33, Total Timesteps: 2226290 episode:47 

Rewards Tr: 387.67, Rewards Val: 397.59, Rewards Disc: 0.07, Rewards Eval: 378.97, Total Timesteps: 2314760 episode:48 

Rewards Tr: 417.02, Rewards Val: 414.22, Rewards Disc: 0.02, Rewards Eval: 362.00, Total Timesteps: 2407430 episode:49 

Rewards Tr: 448.12, Rewards Val: 446.25, Rewards Disc: -0.03, Rewards Eval: 411.60, Total Timesteps: 2508790 episode:50 

Rewards Tr: 467.56, Rewards Val: 465.60, Rewards Disc: -0.03, Rewards Eval: 416.70, Total Timesteps: 2614270 episode:51 

Rewards Tr: 484.10, Rewards Val: 484.53, Rewards Disc: 0.12, Rewards Eval: 407.54, Total Timesteps: 2719870 episode:52 

Rewards Tr: 489.53, Rewards Val: 484.06, Rewards Disc: 0.31, Rewards Eval: 493.10, Total Timesteps: 2824630 episode:53 

Rewards Tr: 556.49, Rewards Val: 562.75, Rewards Disc: 0.03, Rewards Eval: 360.98, Total Timesteps: 2956130 episode:54 

Rewards Tr: 627.33, Rewards Val: 588.24, Rewards Disc: 0.53, Rewards Eval: 551.04, Total Timesteps: 3106970 episode:55 

Rewards Tr: 662.08, Rewards Val: 711.10, Rewards Disc: 0.39, Rewards Eval: 491.41, Total Timesteps: 3279710 episode:56 

Rewards Tr: 795.22, Rewards Val: 788.24, Rewards Disc: 0.15, Rewards Eval: 521.03, Total Timesteps: 3470030 episode:57 

Rewards Tr: 842.25, Rewards Val: 833.17, Rewards Disc: 0.37, Rewards Eval: 724.26, Total Timesteps: 3668570 episode:58 

Rewards Tr: 933.84, Rewards Val: 974.03, Rewards Disc: -0.40, Rewards Eval: 462.88, Total Timesteps: 3893180 episode:59 

Rewards Tr: 911.69, Rewards Val: 968.09, Rewards Disc: -0.28, Rewards Eval: 617.03, Total Timesteps: 4100680 episode:60 

Rewards Tr: 971.62, Rewards Val: 981.62, Rewards Disc: 0.16, Rewards Eval: 520.83, Total Timesteps: 4322930 episode:61 

Rewards Tr: 606.43, Rewards Val: 603.18, Rewards Disc: 3.48, Rewards Eval: 601.97, Total Timesteps: 4497190 episode:62 

Rewards Tr: 645.85, Rewards Val: 640.85, Rewards Disc: 3.13, Rewards Eval: 598.42, Total Timesteps: 4671910 episode:63 

Rewards Tr: 660.88, Rewards Val: 694.15, Rewards Disc: 2.81, Rewards Eval: 523.79, Total Timesteps: 4852900 episode:64 

Rewards Tr: 669.60, Rewards Val: 653.82, Rewards Disc: 2.44, Rewards Eval: 505.03, Total Timesteps: 5025820 episode:65 

Rewards Tr: 668.04, Rewards Val: 665.89, Rewards Disc: 2.91, Rewards Eval: 428.43, Total Timesteps: 5196670 episode:66 

Rewards Tr: 688.00, Rewards Val: 660.83, Rewards Disc: 2.67, Rewards Eval: 588.93, Total Timesteps: 5382690 episode:67 

Rewards Tr: 689.50, Rewards Val: 699.41, Rewards Disc: 3.66, Rewards Eval: 597.11, Total Timesteps: 5556420 episode:68 

Rewards Tr: 773.62, Rewards Val: 695.18, Rewards Disc: 3.62, Rewards Eval: 826.35, Total Timesteps: 5767340 episode:69 

Rewards Tr: 642.86, Rewards Val: 658.87, Rewards Disc: 2.00, Rewards Eval: 614.08, Total Timesteps: 5923180 episode:70 

Rewards Tr: 681.98, Rewards Val: 675.54, Rewards Disc: 2.98, Rewards Eval: 781.60, Total Timesteps: 6092110 episode:71 

Rewards Tr: 654.71, Rewards Val: 664.98, Rewards Disc: 2.67, Rewards Eval: 843.99, Total Timesteps: 6245330 episode:72 

Rewards Tr: 679.05, Rewards Val: 645.92, Rewards Disc: 4.06, Rewards Eval: 676.48, Total Timesteps: 6408640 episode:73 

Rewards Tr: 658.57, Rewards Val: 640.52, Rewards Disc: 4.48, Rewards Eval: 797.14, Total Timesteps: 6584280 episode:74 

Rewards Tr: 514.95, Rewards Val: 515.06, Rewards Disc: 4.65, Rewards Eval: 656.04, Total Timesteps: 6696800 episode:75 

Rewards Tr: 472.87, Rewards Val: 480.33, Rewards Disc: 4.63, Rewards Eval: 632.78, Total Timesteps: 6785600 episode:76 

Rewards Tr: 473.11, Rewards Val: 472.33, Rewards Disc: 4.72, Rewards Eval: 724.45, Total Timesteps: 6874740 episode:77 

Rewards Tr: 492.39, Rewards Val: 488.13, Rewards Disc: 3.77, Rewards Eval: 622.06, Total Timesteps: 6972980 episode:78 

Rewards Tr: 486.62, Rewards Val: 484.14, Rewards Disc: 3.76, Rewards Eval: 630.94, Total Timesteps: 7067280 episode:79 

Rewards Tr: 483.69, Rewards Val: 488.16, Rewards Disc: 3.85, Rewards Eval: 542.14, Total Timesteps: 7154870 episode:80 

Rewards Tr: 490.32, Rewards Val: 488.80, Rewards Disc: 3.63, Rewards Eval: 631.55, Total Timesteps: 7250610 episode:81 

Rewards Tr: 489.44, Rewards Val: 492.27, Rewards Disc: 3.71, Rewards Eval: 552.72, Total Timesteps: 7343810 episode:82 

Rewards Tr: 482.36, Rewards Val: 480.64, Rewards Disc: 3.62, Rewards Eval: 580.17, Total Timesteps: 7432990 episode:83 

Rewards Tr: 508.81, Rewards Val: 499.83, Rewards Disc: 3.37, Rewards Eval: 566.34, Total Timesteps: 7533520 episode:84 

Rewards Tr: 501.49, Rewards Val: 503.04, Rewards Disc: 3.18, Rewards Eval: 648.21, Total Timesteps: 7631230 episode:85 

Rewards Tr: 499.01, Rewards Val: 506.66, Rewards Disc: 3.20, Rewards Eval: 561.28, Total Timesteps: 7726790 episode:86 

Rewards Tr: 520.18, Rewards Val: 521.46, Rewards Disc: 2.85, Rewards Eval: 573.55, Total Timesteps: 7833220 episode:87 

Rewards Tr: 502.49, Rewards Val: 509.00, Rewards Disc: 3.06, Rewards Eval: 590.26, Total Timesteps: 7934150 episode:88 

Rewards Tr: 511.99, Rewards Val: 512.76, Rewards Disc: 2.63, Rewards Eval: 547.89, Total Timesteps: 8040070 episode:89 

Rewards Tr: 517.33, Rewards Val: 515.67, Rewards Disc: 2.54, Rewards Eval: 547.95, Total Timesteps: 8143550 episode:90 

Rewards Tr: 510.13, Rewards Val: 520.63, Rewards Disc: 2.30, Rewards Eval: 626.77, Total Timesteps: 8251180 episode:91 

Rewards Tr: 539.31, Rewards Val: 539.12, Rewards Disc: 1.58, Rewards Eval: 530.09, Total Timesteps: 8368480 episode:92 

Rewards Tr: 551.12, Rewards Val: 544.69, Rewards Disc: 1.20, Rewards Eval: 614.46, Total Timesteps: 8486540 episode:93 

Rewards Tr: 554.58, Rewards Val: 555.25, Rewards Disc: 1.34, Rewards Eval: 623.55, Total Timesteps: 8606340 episode:94 

