For Seed: 1 

Rewards Tr: 1130.16, Rewards Val: 1050.30, Rewards Eval: 809.69, Total Timesteps: 5515840 episode:55 

Rewards Tr: 972.68, Rewards Val: 973.56, Rewards Eval: 1172.17, Total Timesteps: 5714670 episode:56 

Rewards Tr: 1194.20, Rewards Val: 1229.06, Rewards Eval: 1057.01, Total Timesteps: 5970480 episode:57 

Rewards Tr: 1128.29, Rewards Val: 1045.63, Rewards Eval: 1444.09, Total Timesteps: 6184390 episode:58 

Rewards Tr: 1204.32, Rewards Val: 1198.07, Rewards Eval: 854.56, Total Timesteps: 6423810 episode:59 

Rewards Tr: 951.22, Rewards Val: 980.46, Rewards Eval: 1127.34, Total Timesteps: 6622020 episode:60 

Rewards Tr: 1147.96, Rewards Val: 1088.28, Rewards Eval: 998.06, Total Timesteps: 6851920 episode:61 

Rewards Tr: 1095.38, Rewards Val: 1164.32, Rewards Eval: 1271.43, Total Timesteps: 7077380 episode:62 

Rewards Tr: 1245.29, Rewards Val: 1211.83, Rewards Eval: 1002.93, Total Timesteps: 7318260 episode:63 

Rewards Tr: 1308.20, Rewards Val: 1435.03, Rewards Eval: 1450.90, Total Timesteps: 7598150 episode:64 

Rewards Tr: 1269.15, Rewards Val: 1237.49, Rewards Eval: 1190.04, Total Timesteps: 7837810 episode:65 

Rewards Tr: 1100.45, Rewards Val: 1074.02, Rewards Eval: 1136.72, Total Timesteps: 8042910 episode:66 

Rewards Tr: 1460.61, Rewards Val: 1402.03, Rewards Eval: 846.01, Total Timesteps: 8306500 episode:67 

Rewards Tr: 1198.43, Rewards Val: 1209.85, Rewards Eval: 1083.54, Total Timesteps: 8536530 episode:68 

Rewards Tr: 1056.26, Rewards Val: 1072.45, Rewards Eval: 1030.04, Total Timesteps: 8746270 episode:69 

Rewards Tr: 1048.83, Rewards Val: 1110.52, Rewards Eval: 1285.45, Total Timesteps: 8948880 episode:70 

Rewards Tr: 1031.60, Rewards Val: 1013.11, Rewards Eval: 1717.68, Total Timesteps: 9145820 episode:71 

Rewards Tr: 1187.01, Rewards Val: 1183.80, Rewards Eval: 1321.88, Total Timesteps: 9386570 episode:72 

Rewards Tr: 1161.20, Rewards Val: 1104.53, Rewards Eval: 1297.06, Total Timesteps: 9602840 episode:73 

Rewards Tr: 1064.36, Rewards Val: 1069.35, Rewards Eval: 1134.89, Total Timesteps: 9807120 episode:74 

Rewards Tr: 1269.34, Rewards Val: 1295.44, Rewards Eval: 2072.09, Total Timesteps: 10042060 episode:75 

Rewards Tr: 1322.17, Rewards Val: 1377.31, Rewards Eval: 2027.27, Total Timesteps: 10304310 episode:76 

Rewards Tr: 1863.06, Rewards Val: 1810.80, Rewards Eval: 1313.58, Total Timesteps: 10657210 episode:77 

Rewards Tr: 1543.55, Rewards Val: 1411.55, Rewards Eval: 1350.29, Total Timesteps: 10936770 episode:78 

Rewards Tr: 1404.31, Rewards Val: 1513.02, Rewards Eval: 1514.62, Total Timesteps: 11212460 episode:79 

