For Seed: 1 

Rewards Tr: 16.69, Rewards Eval: 0.00, Total Timesteps: 9520 episode:0 
Rewards Tr: 1717.40, Rewards Eval: 1545.93, Total Timesteps: 5978820 episode:69 

Rewards Tr: 1766.19, Rewards Eval: 2025.12, Total Timesteps: 6178690 episode:70 

Rewards Tr: 1782.23, Rewards Eval: 1561.50, Total Timesteps: 6378180 episode:71 

Rewards Tr: 1871.98, Rewards Eval: 2085.45, Total Timesteps: 6578180 episode:72 

Rewards Tr: 1776.84, Rewards Eval: 1412.60, Total Timesteps: 6778180 episode:73 

Rewards Tr: 1819.25, Rewards Eval: 1492.79, Total Timesteps: 6974790 episode:74 

Rewards Tr: 1820.53, Rewards Eval: 1489.79, Total Timesteps: 7174790 episode:75 

Rewards Tr: 1596.83, Rewards Eval: 1950.73, Total Timesteps: 7370860 episode:76 

Rewards Tr: 2068.79, Rewards Eval: 2191.10, Total Timesteps: 7570860 episode:77 

Rewards Tr: 1922.45, Rewards Eval: 1672.11, Total Timesteps: 7770860 episode:78 

Rewards Tr: 1721.61, Rewards Eval: 1821.63, Total Timesteps: 7970830 episode:79 

Rewards Tr: 1613.56, Rewards Eval: 1987.90, Total Timesteps: 8164980 episode:80 

Rewards Tr: 1751.88, Rewards Eval: 1979.50, Total Timesteps: 8364980 episode:81 

Rewards Tr: 1846.27, Rewards Eval: 1546.82, Total Timesteps: 8564980 episode:82 

Rewards Tr: 1588.53, Rewards Eval: 1640.24, Total Timesteps: 8761790 episode:83 

Rewards Tr: 1572.93, Rewards Eval: 1856.23, Total Timesteps: 8952810 episode:84 

Rewards Tr: 1628.22, Rewards Eval: 1923.06, Total Timesteps: 9150870 episode:85 

Rewards Tr: 1606.51, Rewards Eval: 1622.37, Total Timesteps: 9347160 episode:86 

Rewards Tr: 1600.03, Rewards Eval: 2675.65, Total Timesteps: 9544340 episode:87 

Rewards Tr: 1773.02, Rewards Eval: 1703.22, Total Timesteps: 9744340 episode:88 

Rewards Tr: 1719.55, Rewards Eval: 2091.27, Total Timesteps: 9944340 episode:89 

Rewards Tr: 1886.36, Rewards Eval: 1981.71, Total Timesteps: 10144340 episode:90 

Rewards Tr: 1707.73, Rewards Eval: 1671.78, Total Timesteps: 10342160 episode:91 

Rewards Tr: 1593.72, Rewards Eval: 1347.29, Total Timesteps: 10532800 episode:92 

Rewards Tr: 1661.50, Rewards Eval: 1618.27, Total Timesteps: 10727400 episode:93 

Rewards Tr: 1836.15, Rewards Eval: 1546.99, Total Timesteps: 10922960 episode:94 

Rewards Tr: 1872.39, Rewards Eval: 1641.58, Total Timesteps: 11120610 episode:95 

Rewards Tr: 1791.81, Rewards Eval: 1440.99, Total Timesteps: 11319600 episode:96 

Rewards Tr: 1605.90, Rewards Eval: 2217.65, Total Timesteps: 11517670 episode:97 

Rewards Tr: 1918.83, Rewards Eval: 1841.49, Total Timesteps: 11717670 episode:98 

