For Seed: 1 

Rewards Tr: -93.25, Rewards Eval: 20.51, Total Timesteps: 6018210 episode:69 

Rewards Tr: -20.56, Rewards Eval: -15.53, Total Timesteps: 6149880 episode:70 

Rewards Tr: -25.38, Rewards Eval: -6.70, Total Timesteps: 6297460 episode:71 

Rewards Tr: -19.26, Rewards Eval: 10.01, Total Timesteps: 6414840 episode:72 

Rewards Tr: -4.55, Rewards Eval: 13.03, Total Timesteps: 6536880 episode:73 

Rewards Tr: -0.47, Rewards Eval: 8.31, Total Timesteps: 6634530 episode:74 

Rewards Tr: 0.28, Rewards Eval: -18.21, Total Timesteps: 6718530 episode:75 

Rewards Tr: 3.79, Rewards Eval: -18.97, Total Timesteps: 6812080 episode:76 

Rewards Tr: 4.36, Rewards Eval: -5.12, Total Timesteps: 6953980 episode:77 

Rewards Tr: 5.81, Rewards Eval: -4.05, Total Timesteps: 7068210 episode:78 

Rewards Tr: 6.83, Rewards Eval: 7.09, Total Timesteps: 7210710 episode:79 

Rewards Tr: 7.85, Rewards Eval: 2.42, Total Timesteps: 7320520 episode:80 

Rewards Tr: 12.09, Rewards Eval: 24.35, Total Timesteps: 7458640 episode:81 

Rewards Tr: 9.97, Rewards Eval: 24.00, Total Timesteps: 7581310 episode:82 

Rewards Tr: 8.89, Rewards Eval: 18.98, Total Timesteps: 7722390 episode:83 

Rewards Tr: 13.01, Rewards Eval: 12.67, Total Timesteps: 7851200 episode:84 

Rewards Tr: 7.40, Rewards Eval: 23.21, Total Timesteps: 8000060 episode:85 

Rewards Tr: 7.19, Rewards Eval: 20.02, Total Timesteps: 8169470 episode:86 

Rewards Tr: 7.97, Rewards Eval: 37.47, Total Timesteps: 8330260 episode:87 

Rewards Tr: 9.97, Rewards Eval: 9.62, Total Timesteps: 8489160 episode:88 

Rewards Tr: 16.22, Rewards Eval: 30.44, Total Timesteps: 8657690 episode:89 

Rewards Tr: 5.82, Rewards Eval: 24.29, Total Timesteps: 8844850 episode:90 

Rewards Tr: 10.95, Rewards Eval: -10.13, Total Timesteps: 9037900 episode:91 

Rewards Tr: 12.77, Rewards Eval: 11.95, Total Timesteps: 9217270 episode:92 

Rewards Tr: 6.96, Rewards Eval: -15.38, Total Timesteps: 9403580 episode:93 

Rewards Tr: 4.82, Rewards Eval: -5.24, Total Timesteps: 9603580 episode:94 

Rewards Tr: 4.24, Rewards Eval: -20.48, Total Timesteps: 9796630 episode:95 

Rewards Tr: 0.67, Rewards Eval: -39.37, Total Timesteps: 9996630 episode:96 

Rewards Tr: -7.94, Rewards Eval: 13.79, Total Timesteps: 10196630 episode:97 

Rewards Tr: -1.82, Rewards Eval: -8.28, Total Timesteps: 10396630 episode:98 

Rewards Tr: -5.89, Rewards Eval: 13.08, Total Timesteps: 10596630 episode:99 

Rewards Tr: -2.26, Rewards Eval: -24.81, Total Timesteps: 10796630 episode:100 

Rewards Tr: -7.92, Rewards Eval: -30.04, Total Timesteps: 10996630 episode:101 

Rewards Tr: -9.31, Rewards Eval: 12.63, Total Timesteps: 11196630 episode:102 

Rewards Tr: -16.26, Rewards Eval: 33.93, Total Timesteps: 11396630 episode:103 

Rewards Tr: -16.63, Rewards Eval: -15.89, Total Timesteps: 11596630 episode:104 

Rewards Tr: -20.28, Rewards Eval: 12.31, Total Timesteps: 11796630 episode:105 

Rewards Tr: -11.55, Rewards Eval: -16.40, Total Timesteps: 11996630 episode:106 

Rewards Tr: -15.63, Rewards Eval: -6.33, Total Timesteps: 12196630 episode:107 

Rewards Tr: -21.57, Rewards Eval: -3.01, Total Timesteps: 12396630 episode:108 

Rewards Tr: -16.90, Rewards Eval: -1.22, Total Timesteps: 12596630 episode:109 

Rewards Tr: -17.27, Rewards Eval: 23.06, Total Timesteps: 12796630 episode:110 

Rewards Tr: -20.55, Rewards Eval: -19.08, Total Timesteps: 12996630 episode:111 

Rewards Tr: -21.67, Rewards Eval: -29.76, Total Timesteps: 13196630 episode:112 

Rewards Tr: -21.54, Rewards Eval: -62.59, Total Timesteps: 13396630 episode:113 

Rewards Tr: -24.97, Rewards Eval: -0.03, Total Timesteps: 13596630 episode:114 

Rewards Tr: -22.94, Rewards Eval: -18.50, Total Timesteps: 13796630 episode:115 

Rewards Tr: -24.22, Rewards Eval: -44.60, Total Timesteps: 13996630 episode:116 

Rewards Tr: -28.82, Rewards Eval: -26.92, Total Timesteps: 14196630 episode:117 

Rewards Tr: -23.70, Rewards Eval: 9.92, Total Timesteps: 14396630 episode:118 

Rewards Tr: -20.87, Rewards Eval: 8.02, Total Timesteps: 14596630 episode:119 

Rewards Tr: -19.83, Rewards Eval: -26.72, Total Timesteps: 14796630 episode:120 

Rewards Tr: -21.51, Rewards Eval: -10.33, Total Timesteps: 14996630 episode:121 

Rewards Tr: -32.34, Rewards Eval: -13.42, Total Timesteps: 15196630 episode:122 

Rewards Tr: -28.92, Rewards Eval: 20.39, Total Timesteps: 15396630 episode:123 

Rewards Tr: -26.90, Rewards Eval: -40.53, Total Timesteps: 15596630 episode:124 

Rewards Tr: -31.50, Rewards Eval: -46.47, Total Timesteps: 15796630 episode:125 

Rewards Tr: -23.13, Rewards Eval: -50.29, Total Timesteps: 15996630 episode:126 

Rewards Tr: -22.21, Rewards Eval: -6.78, Total Timesteps: 16196630 episode:127 

Rewards Tr: -30.15, Rewards Eval: -15.26, Total Timesteps: 16396630 episode:128 

Rewards Tr: -26.39, Rewards Eval: -6.22, Total Timesteps: 16596630 episode:129 

Rewards Tr: -19.40, Rewards Eval: -25.16, Total Timesteps: 16796630 episode:130 

Rewards Tr: -22.47, Rewards Eval: -4.59, Total Timesteps: 16996630 episode:131 

Rewards Tr: -15.26, Rewards Eval: -4.16, Total Timesteps: 17196630 episode:132 

Rewards Tr: -20.66, Rewards Eval: -21.13, Total Timesteps: 17396630 episode:133 

Rewards Tr: -19.04, Rewards Eval: -14.60, Total Timesteps: 17596630 episode:134 

Rewards Tr: -14.50, Rewards Eval: 15.27, Total Timesteps: 17796630 episode:135 

Rewards Tr: -14.27, Rewards Eval: -41.38, Total Timesteps: 17996630 episode:136 

Rewards Tr: -15.58, Rewards Eval: -40.62, Total Timesteps: 18196630 episode:137 

Rewards Tr: -17.64, Rewards Eval: 4.97, Total Timesteps: 18396630 episode:138 

Rewards Tr: -16.27, Rewards Eval: -4.69, Total Timesteps: 18596630 episode:139 

Rewards Tr: -16.19, Rewards Eval: -32.35, Total Timesteps: 18796630 episode:140 

Rewards Tr: -14.44, Rewards Eval: -18.58, Total Timesteps: 18996630 episode:141 

Rewards Tr: -10.72, Rewards Eval: -15.20, Total Timesteps: 19196630 episode:142 

Rewards Tr: -12.11, Rewards Eval: 40.86, Total Timesteps: 19396630 episode:143 

Rewards Tr: -7.66, Rewards Eval: -7.89, Total Timesteps: 19596630 episode:144 

Rewards Tr: -11.48, Rewards Eval: -3.32, Total Timesteps: 19796630 episode:145 

Rewards Tr: -6.81, Rewards Eval: -29.97, Total Timesteps: 19996630 episode:146 

Rewards Tr: -12.09, Rewards Eval: -26.83, Total Timesteps: 20196630 episode:147 

Rewards Tr: -1.74, Rewards Eval: -43.03, Total Timesteps: 20396630 episode:148 

Rewards Tr: -2.68, Rewards Eval: 13.76, Total Timesteps: 20596630 episode:149 

Rewards Tr: 1.05, Rewards Eval: -12.75, Total Timesteps: 20796630 episode:150 

Rewards Tr: -2.05, Rewards Eval: -11.07, Total Timesteps: 20996630 episode:151 

Rewards Tr: 5.09, Rewards Eval: -13.63, Total Timesteps: 21196630 episode:152 

Rewards Tr: 5.27, Rewards Eval: -7.81, Total Timesteps: 21396630 episode:153 

Rewards Tr: 9.56, Rewards Eval: 10.40, Total Timesteps: 21596630 episode:154 

Rewards Tr: 13.76, Rewards Eval: 45.53, Total Timesteps: 21796630 episode:155 

Rewards Tr: 17.00, Rewards Eval: 25.90, Total Timesteps: 21996630 episode:156 

Rewards Tr: 16.72, Rewards Eval: 12.63, Total Timesteps: 22196630 episode:157 

Rewards Tr: 17.95, Rewards Eval: -6.43, Total Timesteps: 22396630 episode:158 

Rewards Tr: 26.14, Rewards Eval: 77.09, Total Timesteps: 22596630 episode:159 

Rewards Tr: 25.93, Rewards Eval: 31.27, Total Timesteps: 22796630 episode:160 

Rewards Tr: 34.59, Rewards Eval: 26.03, Total Timesteps: 22996630 episode:161 

Rewards Tr: 37.80, Rewards Eval: 12.13, Total Timesteps: 23196630 episode:162 

Rewards Tr: 38.77, Rewards Eval: 42.20, Total Timesteps: 23396630 episode:163 

Rewards Tr: 42.16, Rewards Eval: 75.76, Total Timesteps: 23596630 episode:164 

Rewards Tr: 43.44, Rewards Eval: 57.66, Total Timesteps: 23796630 episode:165 

