
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 10 

Rewards Tr: -769.95, Rewards Eval: -453.64, Total Timesteps: 42220 episode:0 

Rewards Tr: -583.06, Rewards Eval: -504.66, Total Timesteps: 88900 episode:1 

Rewards Tr: -496.52, Rewards Eval: -330.84, Total Timesteps: 140080 episode:2 

Rewards Tr: -443.43, Rewards Eval: -386.45, Total Timesteps: 196110 episode:3 

Rewards Tr: -369.88, Rewards Eval: -345.83, Total Timesteps: 259070 episode:4 

Rewards Tr: -326.17, Rewards Eval: -354.10, Total Timesteps: 320470 episode:5 

Rewards Tr: -284.53, Rewards Eval: -246.01, Total Timesteps: 393940 episode:6 

Rewards Tr: -251.72, Rewards Eval: -185.67, Total Timesteps: 483370 episode:7 

Rewards Tr: -232.36, Rewards Eval: -146.43, Total Timesteps: 584830 episode:8 

Rewards Tr: -196.38, Rewards Eval: -112.74, Total Timesteps: 696910 episode:9 

Rewards Tr: -159.75, Rewards Eval: -154.60, Total Timesteps: 823940 episode:10 

Rewards Tr: -151.38, Rewards Eval: -179.57, Total Timesteps: 962840 episode:11 

Rewards Tr: -130.15, Rewards Eval: -97.96, Total Timesteps: 1089220 episode:12 

Rewards Tr: -109.93, Rewards Eval: -103.00, Total Timesteps: 1252770 episode:13 

Rewards Tr: -93.15, Rewards Eval: -44.81, Total Timesteps: 1435950 episode:14 

Rewards Tr: -87.15, Rewards Eval: -32.59, Total Timesteps: 1626150 episode:15 

Rewards Tr: -75.43, Rewards Eval: -94.15, Total Timesteps: 1811650 episode:16 

Rewards Tr: -58.61, Rewards Eval: 7.01, Total Timesteps: 2023120 episode:17 

Rewards Tr: -52.41, Rewards Eval: -14.65, Total Timesteps: 2222900 episode:18 

Rewards Tr: -44.04, Rewards Eval: -64.64, Total Timesteps: 2427290 episode:19 

Rewards Tr: -41.15, Rewards Eval: -47.44, Total Timesteps: 2663920 episode:20 

Rewards Tr: -29.06, Rewards Eval: -63.35, Total Timesteps: 2882560 episode:21 

Rewards Tr: -35.89, Rewards Eval: -21.68, Total Timesteps: 3151690 episode:22 

Rewards Tr: -29.18, Rewards Eval: -53.01, Total Timesteps: 3406340 episode:23 

Rewards Tr: -23.37, Rewards Eval: 11.81, Total Timesteps: 3657410 episode:24 

Rewards Tr: -29.26, Rewards Eval: -29.91, Total Timesteps: 3933410 episode:25 

Rewards Tr: -25.98, Rewards Eval: -53.79, Total Timesteps: 4225370 episode:26 

Rewards Tr: -32.56, Rewards Eval: -17.92, Total Timesteps: 4518740 episode:27 

Rewards Tr: -27.36, Rewards Eval: -30.49, Total Timesteps: 4812450 episode:28 

Rewards Tr: -28.58, Rewards Eval: -68.20, Total Timesteps: 5112450 episode:29 

Rewards Tr: -24.54, Rewards Eval: 8.95, Total Timesteps: 5412450 episode:30 

Rewards Tr: -24.25, Rewards Eval: 2.28, Total Timesteps: 5712450 episode:31 

Rewards Tr: -24.39, Rewards Eval: 26.93, Total Timesteps: 6012450 episode:32 

Rewards Tr: -21.15, Rewards Eval: -16.25, Total Timesteps: 6312450 episode:33 

Rewards Tr: -30.81, Rewards Eval: -47.70, Total Timesteps: 6612450 episode:34 

Rewards Tr: -26.48, Rewards Eval: -7.56, Total Timesteps: 6912450 episode:35 

Rewards Tr: -19.73, Rewards Eval: 11.73, Total Timesteps: 7212450 episode:36 

Rewards Tr: -16.49, Rewards Eval: 29.70, Total Timesteps: 7512450 episode:37 

Rewards Tr: -13.09, Rewards Eval: -16.08, Total Timesteps: 7812450 episode:38 

Rewards Tr: -8.94, Rewards Eval: 14.55, Total Timesteps: 8112450 episode:39 

Rewards Tr: -4.38, Rewards Eval: -2.36, Total Timesteps: 8412450 episode:40 

Rewards Tr: -1.20, Rewards Eval: -4.48, Total Timesteps: 8712450 episode:41 

Rewards Tr: 8.45, Rewards Eval: -21.92, Total Timesteps: 9012450 episode:42 

Rewards Tr: 7.84, Rewards Eval: 25.58, Total Timesteps: 9312450 episode:43 

Rewards Tr: 5.78, Rewards Eval: -11.60, Total Timesteps: 9612450 episode:44 

Rewards Tr: 12.48, Rewards Eval: 33.69, Total Timesteps: 9912450 episode:45 

Rewards Tr: 20.67, Rewards Eval: 10.63, Total Timesteps: 10212450 episode:46 

Rewards Tr: 14.77, Rewards Eval: 13.91, Total Timesteps: 10512450 episode:47 

Rewards Tr: 15.24, Rewards Eval: 43.35, Total Timesteps: 10812450 episode:48 

Rewards Tr: 20.66, Rewards Eval: 52.16, Total Timesteps: 11112450 episode:49 

Rewards Tr: 19.02, Rewards Eval: 26.16, Total Timesteps: 11412450 episode:50 

Rewards Tr: 21.43, Rewards Eval: 2.08, Total Timesteps: 11712450 episode:51 

Rewards Tr: 25.69, Rewards Eval: 34.75, Total Timesteps: 12012450 episode:52 

Rewards Tr: 24.36, Rewards Eval: 15.90, Total Timesteps: 12312450 episode:53 

Rewards Tr: 28.94, Rewards Eval: 27.77, Total Timesteps: 12612450 episode:54 

Rewards Tr: 35.70, Rewards Eval: 14.06, Total Timesteps: 12912450 episode:55 

Rewards Tr: 31.23, Rewards Eval: 72.12, Total Timesteps: 13212450 episode:56 

Rewards Tr: 30.14, Rewards Eval: 43.16, Total Timesteps: 13512450 episode:57 

Rewards Tr: 30.10, Rewards Eval: 36.62, Total Timesteps: 13812450 episode:58 

