For Seed: 1 

Rewards Tr: -1419.42, Rewards Eval: -425.31, Total Timesteps: 34470 episode:0 

Rewards Tr: -791.10, Rewards Eval: -484.45, Total Timesteps: 58640 episode:1 

Rewards Tr: -587.51, Rewards Eval: -596.02, Total Timesteps: 84880 episode:2 

Rewards Tr: -488.88, Rewards Eval: -313.20, Total Timesteps: 111070 episode:3 

Rewards Tr: -424.08, Rewards Eval: -479.27, Total Timesteps: 141530 episode:4 

Rewards Tr: -339.86, Rewards Eval: -226.34, Total Timesteps: 177900 episode:5 

Rewards Tr: -326.34, Rewards Eval: -297.37, Total Timesteps: 214460 episode:6 

Rewards Tr: -264.70, Rewards Eval: -195.59, Total Timesteps: 257530 episode:7 

Rewards Tr: -226.66, Rewards Eval: -279.27, Total Timesteps: 302610 episode:8 

Rewards Tr: -212.91, Rewards Eval: -161.49, Total Timesteps: 352320 episode:9 

Rewards Tr: -187.02, Rewards Eval: -209.31, Total Timesteps: 397820 episode:10 

Rewards Tr: -170.84, Rewards Eval: -141.72, Total Timesteps: 453870 episode:11 

Rewards Tr: -142.47, Rewards Eval: -99.12, Total Timesteps: 509610 episode:12 

Rewards Tr: -122.16, Rewards Eval: -94.81, Total Timesteps: 583850 episode:13 

Rewards Tr: -115.62, Rewards Eval: -77.59, Total Timesteps: 654690 episode:14 

Rewards Tr: -89.72, Rewards Eval: -97.87, Total Timesteps: 721010 episode:15 

Rewards Tr: -88.43, Rewards Eval: -35.67, Total Timesteps: 779720 episode:16 

Rewards Tr: -68.43, Rewards Eval: -96.33, Total Timesteps: 859870 episode:17 

Rewards Tr: -74.72, Rewards Eval: -75.32, Total Timesteps: 929310 episode:18 

Rewards Tr: -65.77, Rewards Eval: -111.04, Total Timesteps: 1009990 episode:19 

Rewards Tr: -64.52, Rewards Eval: -62.65, Total Timesteps: 1080490 episode:20 

Rewards Tr: -60.96, Rewards Eval: -56.83, Total Timesteps: 1135030 episode:21 

Rewards Tr: -50.87, Rewards Eval: -26.03, Total Timesteps: 1230210 episode:22 

Rewards Tr: -51.15, Rewards Eval: -65.77, Total Timesteps: 1323580 episode:23 

Rewards Tr: -48.54, Rewards Eval: -81.17, Total Timesteps: 1389000 episode:24 

Rewards Tr: -41.85, Rewards Eval: -10.02, Total Timesteps: 1481560 episode:25 

Rewards Tr: -42.57, Rewards Eval: -24.16, Total Timesteps: 1592110 episode:26 

Rewards Tr: -31.27, Rewards Eval: 8.84, Total Timesteps: 1681690 episode:27 

Rewards Tr: -52.11, Rewards Eval: -3.24, Total Timesteps: 1782170 episode:28 

Rewards Tr: -32.41, Rewards Eval: -28.95, Total Timesteps: 1885910 episode:29 

Rewards Tr: -32.86, Rewards Eval: -18.85, Total Timesteps: 1976240 episode:30 

Rewards Tr: -95.79, Rewards Eval: -10.60, Total Timesteps: 2101900 episode:31 

Rewards Tr: -42.95, Rewards Eval: -7.68, Total Timesteps: 2204740 episode:32 

Rewards Tr: -59.82, Rewards Eval: -3.18, Total Timesteps: 2319200 episode:33 

Rewards Tr: -60.35, Rewards Eval: 15.76, Total Timesteps: 2428910 episode:34 

Rewards Tr: -71.20, Rewards Eval: -13.93, Total Timesteps: 2567910 episode:35 

Rewards Tr: -111.50, Rewards Eval: -2.04, Total Timesteps: 2701360 episode:36 

Rewards Tr: -168.88, Rewards Eval: -11.49, Total Timesteps: 2868620 episode:37 

Rewards Tr: -192.70, Rewards Eval: -16.35, Total Timesteps: 3029790 episode:38 

Rewards Tr: -133.44, Rewards Eval: -35.31, Total Timesteps: 3173840 episode:39 

Rewards Tr: -45.66, Rewards Eval: -20.63, Total Timesteps: 3300350 episode:40 

Rewards Tr: -49.36, Rewards Eval: -19.94, Total Timesteps: 3454640 episode:41 

Rewards Tr: -53.81, Rewards Eval: -33.77, Total Timesteps: 3603540 episode:42 

Rewards Tr: -12.72, Rewards Eval: -9.68, Total Timesteps: 3744670 episode:43 

Rewards Tr: -24.05, Rewards Eval: -9.44, Total Timesteps: 3907000 episode:44 

Rewards Tr: 3.62, Rewards Eval: -14.04, Total Timesteps: 4058880 episode:45 

Rewards Tr: -4.58, Rewards Eval: 6.02, Total Timesteps: 4229100 episode:46 

Rewards Tr: 0.61, Rewards Eval: 24.54, Total Timesteps: 4402220 episode:47 

Rewards Tr: 6.41, Rewards Eval: -18.35, Total Timesteps: 4549410 episode:48 

Rewards Tr: 4.75, Rewards Eval: -5.66, Total Timesteps: 4724520 episode:49 

Rewards Tr: 5.76, Rewards Eval: -8.69, Total Timesteps: 4890180 episode:50 

Rewards Tr: 5.46, Rewards Eval: 3.17, Total Timesteps: 5067070 episode:51 

Rewards Tr: 5.54, Rewards Eval: -39.06, Total Timesteps: 5261210 episode:52 

Rewards Tr: 2.27, Rewards Eval: 4.69, Total Timesteps: 5461210 episode:53 

Rewards Tr: 2.34, Rewards Eval: 2.19, Total Timesteps: 5650870 episode:54 

Rewards Tr: 0.87, Rewards Eval: -55.35, Total Timesteps: 5845030 episode:55 

Rewards Tr: -6.41, Rewards Eval: -11.73, Total Timesteps: 6045030 episode:56 

Rewards Tr: -6.73, Rewards Eval: 31.33, Total Timesteps: 6245030 episode:57 

Rewards Tr: -3.38, Rewards Eval: -15.85, Total Timesteps: 6445030 episode:58 

Rewards Tr: -17.22, Rewards Eval: -57.40, Total Timesteps: 6645030 episode:59 

Rewards Tr: -26.68, Rewards Eval: 13.72, Total Timesteps: 6845030 episode:60 

Rewards Tr: -22.07, Rewards Eval: -34.48, Total Timesteps: 7045030 episode:61 

Rewards Tr: -18.90, Rewards Eval: -111.27, Total Timesteps: 7245030 episode:62 

Rewards Tr: -22.12, Rewards Eval: -37.25, Total Timesteps: 7445030 episode:63 

