For Seed: 1 

Rewards Tr: 712.23, Rewards Disc: 0.72, Rewards Eval: 695.37, Total Timesteps: 1927570 episode:54 

Rewards Tr: 747.91, Rewards Disc: 0.73, Rewards Eval: 789.59, Total Timesteps: 2018440 episode:55 

Rewards Tr: 735.41, Rewards Disc: 0.74, Rewards Eval: 567.17, Total Timesteps: 2104210 episode:56 

Rewards Tr: 776.18, Rewards Disc: 0.75, Rewards Eval: 693.51, Total Timesteps: 2196610 episode:57 

Rewards Tr: 802.81, Rewards Disc: 0.77, Rewards Eval: 932.13, Total Timesteps: 2291510 episode:58 

Rewards Tr: 840.14, Rewards Disc: 0.77, Rewards Eval: 884.09, Total Timesteps: 2388540 episode:59 

Rewards Tr: 832.81, Rewards Disc: 0.80, Rewards Eval: 880.16, Total Timesteps: 2481750 episode:60 

Rewards Tr: 927.45, Rewards Disc: 0.80, Rewards Eval: 741.18, Total Timesteps: 2603830 episode:61 

Rewards Tr: 875.57, Rewards Disc: 0.79, Rewards Eval: 861.02, Total Timesteps: 2713660 episode:62 

Rewards Tr: 904.32, Rewards Disc: 0.79, Rewards Eval: 719.33, Total Timesteps: 2829640 episode:63 

Rewards Tr: 920.57, Rewards Disc: 0.80, Rewards Eval: 900.94, Total Timesteps: 2937790 episode:64 

Rewards Tr: 905.18, Rewards Disc: 0.78, Rewards Eval: 772.02, Total Timesteps: 3046580 episode:65 

Rewards Tr: 860.00, Rewards Disc: 0.79, Rewards Eval: 904.41, Total Timesteps: 3148290 episode:66 

Rewards Tr: 920.63, Rewards Disc: 0.77, Rewards Eval: 945.07, Total Timesteps: 3252110 episode:67 

Rewards Tr: 917.17, Rewards Disc: 0.78, Rewards Eval: 666.04, Total Timesteps: 3361930 episode:68 

Rewards Tr: 908.22, Rewards Disc: 0.80, Rewards Eval: 958.51, Total Timesteps: 3464360 episode:69 

Rewards Tr: 924.15, Rewards Disc: 0.79, Rewards Eval: 849.47, Total Timesteps: 3579550 episode:70 

Rewards Tr: 931.59, Rewards Disc: 0.80, Rewards Eval: 976.33, Total Timesteps: 3689470 episode:71 

Rewards Tr: 982.32, Rewards Disc: 0.79, Rewards Eval: 756.09, Total Timesteps: 3807960 episode:72 

Rewards Tr: 984.98, Rewards Disc: 0.78, Rewards Eval: 812.04, Total Timesteps: 3919080 episode:73 

Rewards Tr: 940.07, Rewards Disc: 0.77, Rewards Eval: 722.78, Total Timesteps: 4015860 episode:74 

Rewards Tr: 955.20, Rewards Disc: 0.76, Rewards Eval: 843.53, Total Timesteps: 4128200 episode:75 

Rewards Tr: 959.24, Rewards Disc: 0.78, Rewards Eval: 868.28, Total Timesteps: 4247760 episode:76 

Rewards Tr: 947.69, Rewards Disc: 0.78, Rewards Eval: 869.83, Total Timesteps: 4365570 episode:77 

Rewards Tr: 1010.01, Rewards Disc: 0.74, Rewards Eval: 850.75, Total Timesteps: 4488790 episode:78 

Rewards Tr: 972.02, Rewards Disc: 0.77, Rewards Eval: 718.92, Total Timesteps: 4607410 episode:79 

Rewards Tr: 1003.95, Rewards Disc: 0.78, Rewards Eval: 817.57, Total Timesteps: 4740900 episode:80 

Rewards Tr: 1027.81, Rewards Disc: 0.78, Rewards Eval: 817.24, Total Timesteps: 4871750 episode:81 

Rewards Tr: 1114.73, Rewards Disc: 0.78, Rewards Eval: 771.09, Total Timesteps: 5018880 episode:82 

Rewards Tr: 1025.91, Rewards Disc: 0.78, Rewards Eval: 867.54, Total Timesteps: 5144780 episode:83 

Rewards Tr: 1070.78, Rewards Disc: 0.76, Rewards Eval: 792.72, Total Timesteps: 5276250 episode:84 

Rewards Tr: 1053.07, Rewards Disc: 0.78, Rewards Eval: 847.64, Total Timesteps: 5399310 episode:85 

Rewards Tr: 1024.94, Rewards Disc: 0.79, Rewards Eval: 787.51, Total Timesteps: 5516950 episode:86 

Rewards Tr: 1001.92, Rewards Disc: 0.78, Rewards Eval: 820.50, Total Timesteps: 5643370 episode:87 

Rewards Tr: 1022.08, Rewards Disc: 0.78, Rewards Eval: 683.48, Total Timesteps: 5761920 episode:88 

Rewards Tr: 1040.32, Rewards Disc: 0.76, Rewards Eval: 870.83, Total Timesteps: 5880160 episode:89 

Rewards Tr: 1059.74, Rewards Disc: 0.78, Rewards Eval: 833.88, Total Timesteps: 6009730 episode:90 

Rewards Tr: 1126.60, Rewards Disc: 0.68, Rewards Eval: 882.89, Total Timesteps: 6142980 episode:91 

Rewards Tr: 1166.83, Rewards Disc: 0.70, Rewards Eval: 838.69, Total Timesteps: 6294410 episode:92 

Rewards Tr: 1100.72, Rewards Disc: 0.74, Rewards Eval: 949.69, Total Timesteps: 6441370 episode:93 

Rewards Tr: 1232.53, Rewards Disc: 0.76, Rewards Eval: 861.83, Total Timesteps: 6598590 episode:94 

Rewards Tr: 1156.01, Rewards Disc: 0.72, Rewards Eval: 985.38, Total Timesteps: 6732120 episode:95 

Rewards Tr: 1184.38, Rewards Disc: 0.79, Rewards Eval: 968.02, Total Timesteps: 6878460 episode:96 

Rewards Tr: 1223.38, Rewards Disc: 0.78, Rewards Eval: 1227.56, Total Timesteps: 7027260 episode:97 

Rewards Tr: 1127.01, Rewards Disc: 0.79, Rewards Eval: 1118.58, Total Timesteps: 7167410 episode:98 

Rewards Tr: 1211.69, Rewards Disc: 0.72, Rewards Eval: 1175.92, Total Timesteps: 7313710 episode:99 

Rewards Tr: 1262.91, Rewards Disc: 0.72, Rewards Eval: 850.31, Total Timesteps: 7480410 episode:100 

Rewards Tr: 1171.20, Rewards Disc: 0.73, Rewards Eval: 1139.44, Total Timesteps: 7629830 episode:101 

Rewards Tr: 1174.94, Rewards Disc: 0.74, Rewards Eval: 1181.71, Total Timesteps: 7783870 episode:102 

Rewards Tr: 1160.52, Rewards Disc: 0.72, Rewards Eval: 937.66, Total Timesteps: 7941090 episode:103 

Rewards Tr: 1097.08, Rewards Disc: 0.72, Rewards Eval: 1061.35, Total Timesteps: 8081150 episode:104 

