
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 103 

Rewards Tr: 8.41, Rewards Eval: -3.04, Total Timesteps: 13218400 episode:68 

Rewards Tr: 13.16, Rewards Eval: -13.06, Total Timesteps: 13518400 episode:69 

Rewards Tr: 13.83, Rewards Eval: -9.90, Total Timesteps: 13818400 episode:70 

Rewards Tr: 17.11, Rewards Eval: -13.33, Total Timesteps: 14118400 episode:71 

Rewards Tr: 18.96, Rewards Eval: -2.54, Total Timesteps: 14418400 episode:72 

Rewards Tr: 15.85, Rewards Eval: -22.14, Total Timesteps: 14718400 episode:73 

Rewards Tr: 19.41, Rewards Eval: 13.58, Total Timesteps: 15018400 episode:74 

Rewards Tr: 23.15, Rewards Eval: -9.65, Total Timesteps: 15318400 episode:75 

Rewards Tr: 23.34, Rewards Eval: 24.42, Total Timesteps: 15618400 episode:76 

Rewards Tr: 24.34, Rewards Eval: -28.40, Total Timesteps: 15918400 episode:77 

Rewards Tr: 30.53, Rewards Eval: 12.61, Total Timesteps: 16218400 episode:78 

Rewards Tr: 29.17, Rewards Eval: 17.03, Total Timesteps: 16518400 episode:79 

Rewards Tr: 29.51, Rewards Eval: 38.00, Total Timesteps: 16818400 episode:80 

Rewards Tr: 28.28, Rewards Eval: 45.71, Total Timesteps: 17118400 episode:81 

Rewards Tr: 36.74, Rewards Eval: 21.86, Total Timesteps: 17418400 episode:82 

Rewards Tr: 35.80, Rewards Eval: 20.41, Total Timesteps: 17718400 episode:83 

Rewards Tr: 40.56, Rewards Eval: 50.89, Total Timesteps: 18018400 episode:84 

Rewards Tr: 40.96, Rewards Eval: 22.63, Total Timesteps: 18318400 episode:85 

Rewards Tr: 47.00, Rewards Eval: 20.39, Total Timesteps: 18618400 episode:86 

Rewards Tr: 47.05, Rewards Eval: 47.71, Total Timesteps: 18918400 episode:87 

Rewards Tr: 49.03, Rewards Eval: 14.99, Total Timesteps: 19218400 episode:88 

Rewards Tr: 49.53, Rewards Eval: 32.74, Total Timesteps: 19518400 episode:89 

Rewards Tr: 55.22, Rewards Eval: 53.95, Total Timesteps: 19818400 episode:90 

Rewards Tr: 58.64, Rewards Eval: 33.33, Total Timesteps: 20118400 episode:91 

Rewards Tr: 62.18, Rewards Eval: 64.73, Total Timesteps: 20418400 episode:92 

Rewards Tr: 60.57, Rewards Eval: 64.20, Total Timesteps: 20718400 episode:93 

Rewards Tr: 65.95, Rewards Eval: 67.66, Total Timesteps: 21018400 episode:94 

Rewards Tr: 71.09, Rewards Eval: 52.13, Total Timesteps: 21318400 episode:95 

Rewards Tr: 74.05, Rewards Eval: 96.45, Total Timesteps: 21618400 episode:96 

Rewards Tr: 78.26, Rewards Eval: 53.73, Total Timesteps: 21918400 episode:97 

Rewards Tr: 79.21, Rewards Eval: 77.45, Total Timesteps: 22218400 episode:98 

Rewards Tr: 81.84, Rewards Eval: 56.21, Total Timesteps: 22518400 episode:99 

Rewards Tr: 92.40, Rewards Eval: 54.31, Total Timesteps: 22818400 episode:100 

Rewards Tr: 96.26, Rewards Eval: 71.53, Total Timesteps: 23118400 episode:101 

Rewards Tr: 96.51, Rewards Eval: 61.67, Total Timesteps: 23418400 episode:102 

Rewards Tr: 103.22, Rewards Eval: 81.21, Total Timesteps: 23718400 episode:103 

Rewards Tr: 107.95, Rewards Eval: 81.09, Total Timesteps: 24018400 episode:104 

Rewards Tr: 110.02, Rewards Eval: 107.49, Total Timesteps: 24318400 episode:105 

Rewards Tr: 111.13, Rewards Eval: 75.86, Total Timesteps: 24618400 episode:106 

Rewards Tr: 119.68, Rewards Eval: 98.26, Total Timesteps: 24918400 episode:107 

Rewards Tr: 121.51, Rewards Eval: 89.45, Total Timesteps: 25218400 episode:108 

Rewards Tr: 126.09, Rewards Eval: 107.18, Total Timesteps: 25518400 episode:109 

Rewards Tr: 129.34, Rewards Eval: 85.14, Total Timesteps: 25818400 episode:110 

Rewards Tr: 135.11, Rewards Eval: 132.05, Total Timesteps: 26118400 episode:111 

Rewards Tr: 133.04, Rewards Eval: 82.14, Total Timesteps: 26418400 episode:112 

Rewards Tr: 132.96, Rewards Eval: 98.01, Total Timesteps: 26718400 episode:113 

Rewards Tr: 134.71, Rewards Eval: 102.39, Total Timesteps: 27018400 episode:114 

Rewards Tr: 139.11, Rewards Eval: 79.83, Total Timesteps: 27318400 episode:115 

Rewards Tr: 143.38, Rewards Eval: 113.75, Total Timesteps: 27618400 episode:116 

Rewards Tr: 143.64, Rewards Eval: 126.77, Total Timesteps: 27918400 episode:117 

Rewards Tr: 146.52, Rewards Eval: 138.92, Total Timesteps: 28218400 episode:118 

Rewards Tr: 142.74, Rewards Eval: 158.51, Total Timesteps: 28518400 episode:119 

Rewards Tr: 150.32, Rewards Eval: 125.48, Total Timesteps: 28818400 episode:120 

Rewards Tr: 145.64, Rewards Eval: 133.81, Total Timesteps: 29118400 episode:121 

Rewards Tr: 148.59, Rewards Eval: 106.19, Total Timesteps: 29418400 episode:122 

Rewards Tr: 150.31, Rewards Eval: 137.87, Total Timesteps: 29718400 episode:123 

Rewards Tr: 155.16, Rewards Eval: 143.77, Total Timesteps: 30018400 episode:124 

Rewards Tr: 151.34, Rewards Eval: 144.17, Total Timesteps: 30318400 episode:125 

Rewards Tr: 153.12, Rewards Eval: 129.67, Total Timesteps: 30618400 episode:126 

Rewards Tr: 156.32, Rewards Eval: 125.64, Total Timesteps: 30918400 episode:127 

Rewards Tr: 154.77, Rewards Eval: 133.52, Total Timesteps: 31218400 episode:128 

Rewards Tr: 156.00, Rewards Eval: 106.46, Total Timesteps: 31518400 episode:129 

Rewards Tr: 155.45, Rewards Eval: 122.09, Total Timesteps: 31818400 episode:130 

Rewards Tr: 151.91, Rewards Eval: 127.38, Total Timesteps: 32118400 episode:131 

Rewards Tr: 154.05, Rewards Eval: 143.90, Total Timesteps: 32418400 episode:132 

Rewards Tr: 159.04, Rewards Eval: 135.21, Total Timesteps: 32718400 episode:133 

Rewards Tr: 153.37, Rewards Eval: 106.40, Total Timesteps: 33018400 episode:134 

Rewards Tr: 153.83, Rewards Eval: 131.29, Total Timesteps: 33318400 episode:135 

Rewards Tr: 158.87, Rewards Eval: 141.26, Total Timesteps: 33618400 episode:136 

Rewards Tr: 152.38, Rewards Eval: 136.96, Total Timesteps: 33918400 episode:137 

Rewards Tr: 161.59, Rewards Eval: 162.59, Total Timesteps: 34218400 episode:138 

Rewards Tr: 149.01, Rewards Eval: 123.75, Total Timesteps: 34518400 episode:139 

Rewards Tr: 154.93, Rewards Eval: 134.79, Total Timesteps: 34818400 episode:140 

Rewards Tr: 155.30, Rewards Eval: 174.94, Total Timesteps: 35118400 episode:141 

Rewards Tr: 155.82, Rewards Eval: 139.93, Total Timesteps: 35418400 episode:142 

Rewards Tr: 156.56, Rewards Eval: 112.12, Total Timesteps: 35718400 episode:143 

Rewards Tr: 149.28, Rewards Eval: 132.39, Total Timesteps: 36018400 episode:144 

Rewards Tr: 149.02, Rewards Eval: 143.29, Total Timesteps: 36318400 episode:145 

Rewards Tr: 152.08, Rewards Eval: 147.71, Total Timesteps: 36618400 episode:146 

Rewards Tr: 152.50, Rewards Eval: 145.33, Total Timesteps: 36918400 episode:147 

Rewards Tr: 156.60, Rewards Eval: 142.75, Total Timesteps: 37218400 episode:148 

Rewards Tr: 156.20, Rewards Eval: 125.02, Total Timesteps: 37518400 episode:149 

Rewards Tr: 156.65, Rewards Eval: 167.30, Total Timesteps: 37818400 episode:150 

Rewards Tr: 152.19, Rewards Eval: 171.63, Total Timesteps: 38118400 episode:151 

Rewards Tr: 151.83, Rewards Eval: 139.30, Total Timesteps: 38418400 episode:152 

Rewards Tr: 146.17, Rewards Eval: 162.72, Total Timesteps: 38718400 episode:153 

Rewards Tr: 148.47, Rewards Eval: 99.44, Total Timesteps: 39018400 episode:154 

Rewards Tr: 149.31, Rewards Eval: 156.07, Total Timesteps: 39318400 episode:155 

Rewards Tr: 149.95, Rewards Eval: 132.23, Total Timesteps: 39618400 episode:156 

Rewards Tr: 151.66, Rewards Eval: 136.48, Total Timesteps: 39918400 episode:157 

Rewards Tr: 145.18, Rewards Eval: 130.55, Total Timesteps: 40218400 episode:158 

Rewards Tr: 148.01, Rewards Eval: 140.99, Total Timesteps: 40518400 episode:159 

Rewards Tr: 142.00, Rewards Eval: 148.26, Total Timesteps: 40818400 episode:160 

Rewards Tr: 151.48, Rewards Eval: 121.38, Total Timesteps: 41118400 episode:161 

Rewards Tr: 151.45, Rewards Eval: 115.34, Total Timesteps: 41418400 episode:162 

Rewards Tr: 142.69, Rewards Eval: 129.21, Total Timesteps: 41718400 episode:163 

Rewards Tr: 147.38, Rewards Eval: 131.78, Total Timesteps: 42018400 episode:164 

Rewards Tr: 145.60, Rewards Eval: 166.37, Total Timesteps: 42318400 episode:165 

Rewards Tr: 147.64, Rewards Eval: 147.65, Total Timesteps: 42618400 episode:166 

Rewards Tr: 148.59, Rewards Eval: 110.75, Total Timesteps: 42918400 episode:167 

Rewards Tr: 144.15, Rewards Eval: 115.31, Total Timesteps: 43218400 episode:168 

Rewards Tr: 152.94, Rewards Eval: 139.22, Total Timesteps: 43518400 episode:169 

Rewards Tr: 146.03, Rewards Eval: 152.12, Total Timesteps: 43818400 episode:170 

Rewards Tr: 149.91, Rewards Eval: 155.86, Total Timesteps: 44118400 episode:171 

Rewards Tr: 145.10, Rewards Eval: 120.45, Total Timesteps: 44418400 episode:172 

Rewards Tr: 141.10, Rewards Eval: 169.13, Total Timesteps: 44718400 episode:173 

Rewards Tr: 152.98, Rewards Eval: 153.87, Total Timesteps: 45018400 episode:174 

Rewards Tr: 148.95, Rewards Eval: 137.82, Total Timesteps: 45318400 episode:175 

Rewards Tr: 151.69, Rewards Eval: 174.49, Total Timesteps: 45618400 episode:176 

Rewards Tr: 155.73, Rewards Eval: 134.15, Total Timesteps: 45918400 episode:177 

Rewards Tr: 153.45, Rewards Eval: 138.67, Total Timesteps: 46218400 episode:178 

Rewards Tr: 162.05, Rewards Eval: 173.90, Total Timesteps: 46518400 episode:179 

Rewards Tr: 142.37, Rewards Eval: 168.02, Total Timesteps: 46818400 episode:180 

Rewards Tr: 155.51, Rewards Eval: 179.94, Total Timesteps: 47118400 episode:181 

Rewards Tr: 155.04, Rewards Eval: 148.29, Total Timesteps: 47418400 episode:182 

Rewards Tr: 151.25, Rewards Eval: 135.98, Total Timesteps: 47718400 episode:183 

Rewards Tr: 147.94, Rewards Eval: 181.19, Total Timesteps: 48018400 episode:184 

Rewards Tr: 145.53, Rewards Eval: 177.76, Total Timesteps: 48318400 episode:185 

Rewards Tr: 159.37, Rewards Eval: 125.33, Total Timesteps: 48618400 episode:186 

Rewards Tr: 149.37, Rewards Eval: 161.41, Total Timesteps: 48918400 episode:187 

Rewards Tr: 153.76, Rewards Eval: 144.63, Total Timesteps: 49218400 episode:188 

