For Seed: 3 

Rewards Tr: -149.43, Rewards Eval: -132.57, Total Timesteps: 100000 episode:0 
Rewards Tr: 860.38, Rewards Eval: 892.83, Total Timesteps: 7000000 episode:69 

Rewards Tr: 860.91, Rewards Eval: 855.19, Total Timesteps: 7100000 episode:70 

Rewards Tr: 863.59, Rewards Eval: 864.24, Total Timesteps: 7200000 episode:71 

Rewards Tr: 871.45, Rewards Eval: 890.96, Total Timesteps: 7300000 episode:72 

Rewards Tr: 877.90, Rewards Eval: 870.50, Total Timesteps: 7400000 episode:73 

Rewards Tr: 884.92, Rewards Eval: 871.39, Total Timesteps: 7500000 episode:74 

Rewards Tr: 883.15, Rewards Eval: 860.46, Total Timesteps: 7600000 episode:75 

Rewards Tr: 880.90, Rewards Eval: 884.25, Total Timesteps: 7700000 episode:76 

Rewards Tr: 883.29, Rewards Eval: 887.66, Total Timesteps: 7800000 episode:77 

Rewards Tr: 889.45, Rewards Eval: 901.22, Total Timesteps: 7900000 episode:78 

Rewards Tr: 878.31, Rewards Eval: 872.84, Total Timesteps: 8000000 episode:79 

Rewards Tr: 891.77, Rewards Eval: 879.43, Total Timesteps: 8100000 episode:80 

Rewards Tr: 893.43, Rewards Eval: 875.39, Total Timesteps: 8200000 episode:81 

Rewards Tr: 886.02, Rewards Eval: 908.28, Total Timesteps: 8300000 episode:82 

Rewards Tr: 891.09, Rewards Eval: 882.55, Total Timesteps: 8400000 episode:83 

Rewards Tr: 896.25, Rewards Eval: 910.54, Total Timesteps: 8500000 episode:84 

Rewards Tr: 925.24, Rewards Eval: 942.11, Total Timesteps: 8600000 episode:85 

Rewards Tr: 946.11, Rewards Eval: 935.10, Total Timesteps: 8700000 episode:86 

Rewards Tr: 971.09, Rewards Eval: 1028.90, Total Timesteps: 8800000 episode:87 

Rewards Tr: 1015.57, Rewards Eval: 1071.29, Total Timesteps: 8900000 episode:88 

Rewards Tr: 1061.14, Rewards Eval: 1059.03, Total Timesteps: 9000000 episode:89 

Rewards Tr: 1101.01, Rewards Eval: 1109.69, Total Timesteps: 9100000 episode:90 

Rewards Tr: 1114.95, Rewards Eval: 1121.42, Total Timesteps: 9200000 episode:91 

Rewards Tr: 1128.99, Rewards Eval: 1147.02, Total Timesteps: 9300000 episode:92 

Rewards Tr: 1138.68, Rewards Eval: 1163.47, Total Timesteps: 9400000 episode:93 

Rewards Tr: 1134.66, Rewards Eval: 1142.41, Total Timesteps: 9500000 episode:94 

Rewards Tr: 1144.83, Rewards Eval: 1152.14, Total Timesteps: 9600000 episode:95 

Rewards Tr: 1128.05, Rewards Eval: 1140.45, Total Timesteps: 9700000 episode:96 

