
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 103 

Rewards Tr: -800.41, Rewards Eval: -493.43, Total Timesteps: 39360 episode:0 

Rewards Tr: -572.86, Rewards Eval: -463.61, Total Timesteps: 84310 episode:1 

Rewards Tr: -466.35, Rewards Eval: -421.36, Total Timesteps: 129040 episode:2 

Rewards Tr: -410.75, Rewards Eval: -383.83, Total Timesteps: 175420 episode:3 

Rewards Tr: -357.50, Rewards Eval: -348.09, Total Timesteps: 222980 episode:4 

Rewards Tr: -327.70, Rewards Eval: -319.83, Total Timesteps: 275380 episode:5 

Rewards Tr: -280.97, Rewards Eval: -214.72, Total Timesteps: 334230 episode:6 

Rewards Tr: -242.53, Rewards Eval: -303.78, Total Timesteps: 395550 episode:7 

Rewards Tr: -220.74, Rewards Eval: -228.03, Total Timesteps: 463260 episode:8 

Rewards Tr: -192.49, Rewards Eval: -188.25, Total Timesteps: 531940 episode:9 

Rewards Tr: -165.75, Rewards Eval: -187.54, Total Timesteps: 606700 episode:10 

Rewards Tr: -160.42, Rewards Eval: -136.57, Total Timesteps: 684950 episode:11 

Rewards Tr: -141.22, Rewards Eval: -132.45, Total Timesteps: 753340 episode:12 

Rewards Tr: -130.48, Rewards Eval: -139.59, Total Timesteps: 830950 episode:13 

Rewards Tr: -104.20, Rewards Eval: -95.75, Total Timesteps: 903880 episode:14 

Rewards Tr: -101.26, Rewards Eval: -48.73, Total Timesteps: 986110 episode:15 

Rewards Tr: -97.53, Rewards Eval: -92.68, Total Timesteps: 1072410 episode:16 

Rewards Tr: -93.22, Rewards Eval: -53.10, Total Timesteps: 1176130 episode:17 

Rewards Tr: -79.77, Rewards Eval: -94.21, Total Timesteps: 1262670 episode:18 

Rewards Tr: -75.73, Rewards Eval: -78.83, Total Timesteps: 1362440 episode:19 

Rewards Tr: -64.51, Rewards Eval: -59.64, Total Timesteps: 1456030 episode:20 

Rewards Tr: -67.09, Rewards Eval: -18.32, Total Timesteps: 1561860 episode:21 

Rewards Tr: -58.83, Rewards Eval: -47.41, Total Timesteps: 1653070 episode:22 

Rewards Tr: -60.10, Rewards Eval: -40.57, Total Timesteps: 1768940 episode:23 

Rewards Tr: -50.04, Rewards Eval: -66.51, Total Timesteps: 1875180 episode:24 

Rewards Tr: -41.22, Rewards Eval: -60.02, Total Timesteps: 1991980 episode:25 

Rewards Tr: -43.61, Rewards Eval: -33.96, Total Timesteps: 2116300 episode:26 

Rewards Tr: -39.20, Rewards Eval: -24.42, Total Timesteps: 2244100 episode:27 

Rewards Tr: -39.83, Rewards Eval: -60.82, Total Timesteps: 2372360 episode:28 

Rewards Tr: -32.50, Rewards Eval: -5.07, Total Timesteps: 2495270 episode:29 

Rewards Tr: -32.62, Rewards Eval: 7.42, Total Timesteps: 2642380 episode:30 

Rewards Tr: -24.99, Rewards Eval: -33.64, Total Timesteps: 2808070 episode:31 

