For Seed: 1 

Rewards Tr: 314.74, Rewards Disc: 0.01, Rewards Eval: 296.62, Total Timesteps: 1009140 episode:55 

Rewards Tr: 317.94, Rewards Disc: 0.00, Rewards Eval: 289.28, Total Timesteps: 1031840 episode:56 

Rewards Tr: 320.50, Rewards Disc: 0.01, Rewards Eval: 299.90, Total Timesteps: 1054610 episode:57 

Rewards Tr: 321.81, Rewards Disc: -0.00, Rewards Eval: 301.81, Total Timesteps: 1077600 episode:58 

Rewards Tr: 323.32, Rewards Disc: -0.00, Rewards Eval: 294.95, Total Timesteps: 1100540 episode:59 

Rewards Tr: 325.47, Rewards Disc: -0.00, Rewards Eval: 297.83, Total Timesteps: 1123720 episode:60 

Rewards Tr: 326.25, Rewards Disc: 0.01, Rewards Eval: 297.44, Total Timesteps: 1146790 episode:61 

Rewards Tr: 327.17, Rewards Disc: -0.00, Rewards Eval: 293.09, Total Timesteps: 1169980 episode:62 

Rewards Tr: 329.38, Rewards Disc: -0.00, Rewards Eval: 302.25, Total Timesteps: 1193310 episode:63 

Rewards Tr: 329.58, Rewards Disc: -0.00, Rewards Eval: 302.94, Total Timesteps: 1216590 episode:64 

Rewards Tr: 329.53, Rewards Disc: 0.01, Rewards Eval: 295.40, Total Timesteps: 1239980 episode:65 

Rewards Tr: 331.14, Rewards Disc: 0.00, Rewards Eval: 310.60, Total Timesteps: 1263400 episode:66 

Rewards Tr: 332.91, Rewards Disc: -0.01, Rewards Eval: 306.57, Total Timesteps: 1286900 episode:67 

Rewards Tr: 334.17, Rewards Disc: 0.01, Rewards Eval: 307.47, Total Timesteps: 1310500 episode:68 

Rewards Tr: 336.03, Rewards Disc: -0.01, Rewards Eval: 308.74, Total Timesteps: 1334450 episode:69 

Rewards Tr: 336.07, Rewards Disc: 0.01, Rewards Eval: 311.65, Total Timesteps: 1358290 episode:70 

Rewards Tr: 338.43, Rewards Disc: 0.01, Rewards Eval: 306.64, Total Timesteps: 1382430 episode:71 

Rewards Tr: 340.77, Rewards Disc: -0.00, Rewards Eval: 320.42, Total Timesteps: 1406700 episode:72 

Rewards Tr: 344.30, Rewards Disc: 0.00, Rewards Eval: 311.03, Total Timesteps: 1431310 episode:73 

Rewards Tr: 348.56, Rewards Disc: -0.00, Rewards Eval: 316.82, Total Timesteps: 1456450 episode:74 

Rewards Tr: 354.23, Rewards Disc: 0.00, Rewards Eval: 320.45, Total Timesteps: 1482570 episode:75 

Rewards Tr: 359.20, Rewards Disc: 0.02, Rewards Eval: 323.07, Total Timesteps: 1509410 episode:76 

Rewards Tr: 373.72, Rewards Disc: -0.00, Rewards Eval: 332.40, Total Timesteps: 1537510 episode:77 

Rewards Tr: 386.16, Rewards Disc: 0.01, Rewards Eval: 334.86, Total Timesteps: 1566020 episode:78 

Rewards Tr: 392.23, Rewards Disc: 0.12, Rewards Eval: 345.22, Total Timesteps: 1595270 episode:79 

Rewards Tr: 409.08, Rewards Disc: 0.02, Rewards Eval: 356.24, Total Timesteps: 1625070 episode:80 

Rewards Tr: 422.79, Rewards Disc: -0.01, Rewards Eval: 342.32, Total Timesteps: 1655830 episode:81 

Rewards Tr: 433.39, Rewards Disc: -0.05, Rewards Eval: 359.12, Total Timesteps: 1687260 episode:82 

Rewards Tr: 433.24, Rewards Disc: -0.02, Rewards Eval: 368.01, Total Timesteps: 1718310 episode:83 

Rewards Tr: 450.09, Rewards Disc: 0.00, Rewards Eval: 384.06, Total Timesteps: 1750150 episode:84 

Rewards Tr: 461.85, Rewards Disc: 0.03, Rewards Eval: 362.82, Total Timesteps: 1783230 episode:85 

Rewards Tr: 478.08, Rewards Disc: -0.04, Rewards Eval: 393.81, Total Timesteps: 1816550 episode:86 

Rewards Tr: 485.68, Rewards Disc: 0.05, Rewards Eval: 388.71, Total Timesteps: 1850450 episode:87 

Rewards Tr: 502.80, Rewards Disc: 0.01, Rewards Eval: 409.56, Total Timesteps: 1884920 episode:88 

Rewards Tr: 504.57, Rewards Disc: 0.11, Rewards Eval: 388.56, Total Timesteps: 1919670 episode:89 

Rewards Tr: 504.16, Rewards Disc: 0.19, Rewards Eval: 374.10, Total Timesteps: 1954520 episode:90 

Rewards Tr: 517.97, Rewards Disc: 0.08, Rewards Eval: 398.30, Total Timesteps: 1989840 episode:91 

Rewards Tr: 513.22, Rewards Disc: 0.14, Rewards Eval: 453.91, Total Timesteps: 2024940 episode:92 

Rewards Tr: 526.86, Rewards Disc: -0.00, Rewards Eval: 376.36, Total Timesteps: 2060330 episode:93 

Rewards Tr: 535.59, Rewards Disc: -0.00, Rewards Eval: 424.36, Total Timesteps: 2096250 episode:94 

Rewards Tr: 536.83, Rewards Disc: 0.03, Rewards Eval: 410.33, Total Timesteps: 2132150 episode:95 

Rewards Tr: 537.18, Rewards Disc: 0.11, Rewards Eval: 428.52, Total Timesteps: 2168630 episode:96 

Rewards Tr: 551.53, Rewards Disc: -0.01, Rewards Eval: 414.45, Total Timesteps: 2205380 episode:97 

Rewards Tr: 553.47, Rewards Disc: -0.06, Rewards Eval: 428.81, Total Timesteps: 2242300 episode:98 

Rewards Tr: 555.45, Rewards Disc: -0.06, Rewards Eval: 415.92, Total Timesteps: 2280580 episode:99 

Rewards Tr: 563.16, Rewards Disc: 0.02, Rewards Eval: 442.89, Total Timesteps: 2318480 episode:100 

Rewards Tr: 562.15, Rewards Disc: 0.07, Rewards Eval: 409.08, Total Timesteps: 2356640 episode:101 

Rewards Tr: 576.08, Rewards Disc: -0.01, Rewards Eval: 415.21, Total Timesteps: 2395990 episode:102 

Rewards Tr: 588.30, Rewards Disc: 0.06, Rewards Eval: 438.32, Total Timesteps: 2438200 episode:103 

Rewards Tr: 611.92, Rewards Disc: 0.12, Rewards Eval: 468.28, Total Timesteps: 2482790 episode:104 

Rewards Tr: 640.97, Rewards Disc: -0.06, Rewards Eval: 455.20, Total Timesteps: 2528430 episode:105 

Rewards Tr: 656.41, Rewards Disc: 0.33, Rewards Eval: 500.60, Total Timesteps: 2575880 episode:106 

Rewards Tr: 685.21, Rewards Disc: 0.09, Rewards Eval: 488.36, Total Timesteps: 2624730 episode:107 

Rewards Tr: 721.04, Rewards Disc: 0.16, Rewards Eval: 440.13, Total Timesteps: 2674790 episode:108 

Rewards Tr: 763.97, Rewards Disc: 0.05, Rewards Eval: 554.50, Total Timesteps: 2729590 episode:109 

Rewards Tr: 791.95, Rewards Disc: -0.05, Rewards Eval: 488.38, Total Timesteps: 2789140 episode:110 

Rewards Tr: 841.54, Rewards Disc: 0.06, Rewards Eval: 499.26, Total Timesteps: 2858090 episode:111 

Rewards Tr: 829.97, Rewards Disc: 0.28, Rewards Eval: 523.47, Total Timesteps: 2924860 episode:112 

Rewards Tr: 854.56, Rewards Disc: 0.20, Rewards Eval: 638.99, Total Timesteps: 2990940 episode:113 

Rewards Tr: 449.51, Rewards Disc: 5.50, Rewards Eval: 589.00, Total Timesteps: 3046760 episode:114 

Rewards Tr: 527.00, Rewards Disc: 3.86, Rewards Eval: 562.87, Total Timesteps: 3106450 episode:115 

Rewards Tr: 518.49, Rewards Disc: 3.75, Rewards Eval: 554.71, Total Timesteps: 3161010 episode:116 

Rewards Tr: 531.26, Rewards Disc: 3.75, Rewards Eval: 634.49, Total Timesteps: 3215460 episode:117 

Rewards Tr: 518.26, Rewards Disc: 3.80, Rewards Eval: 652.30, Total Timesteps: 3269090 episode:118 

Rewards Tr: 539.19, Rewards Disc: 3.67, Rewards Eval: 651.41, Total Timesteps: 3324130 episode:119 

Rewards Tr: 548.65, Rewards Disc: 3.83, Rewards Eval: 644.74, Total Timesteps: 3380920 episode:120 

Rewards Tr: 554.71, Rewards Disc: 3.29, Rewards Eval: 530.75, Total Timesteps: 3434010 episode:121 

Rewards Tr: 549.25, Rewards Disc: 3.35, Rewards Eval: 646.34, Total Timesteps: 3484690 episode:122 

Rewards Tr: 580.61, Rewards Disc: 3.34, Rewards Eval: 618.34, Total Timesteps: 3539610 episode:123 

Rewards Tr: 598.86, Rewards Disc: 3.17, Rewards Eval: 615.89, Total Timesteps: 3598580 episode:124 

Rewards Tr: 629.70, Rewards Disc: 3.34, Rewards Eval: 693.25, Total Timesteps: 3658250 episode:125 

Rewards Tr: 633.46, Rewards Disc: 3.23, Rewards Eval: 774.21, Total Timesteps: 3718480 episode:126 

Rewards Tr: 623.18, Rewards Disc: 3.50, Rewards Eval: 655.93, Total Timesteps: 3775570 episode:127 

Rewards Tr: 662.79, Rewards Disc: 3.35, Rewards Eval: 752.20, Total Timesteps: 3842450 episode:128 

Rewards Tr: 669.13, Rewards Disc: 3.78, Rewards Eval: 627.09, Total Timesteps: 3905680 episode:129 

Rewards Tr: 689.17, Rewards Disc: 3.63, Rewards Eval: 968.08, Total Timesteps: 3974330 episode:130 

Rewards Tr: 668.22, Rewards Disc: 3.99, Rewards Eval: 655.79, Total Timesteps: 4038050 episode:131 

Rewards Tr: 659.36, Rewards Disc: 4.14, Rewards Eval: 769.72, Total Timesteps: 4102510 episode:132 

Rewards Tr: 662.32, Rewards Disc: 4.02, Rewards Eval: 743.89, Total Timesteps: 4171330 episode:133 

Rewards Tr: 660.88, Rewards Disc: 3.74, Rewards Eval: 909.54, Total Timesteps: 4234190 episode:134 

Rewards Tr: 689.60, Rewards Disc: 4.24, Rewards Eval: 738.73, Total Timesteps: 4306150 episode:135 

Rewards Tr: 688.83, Rewards Disc: 3.84, Rewards Eval: 748.09, Total Timesteps: 4374920 episode:136 

Rewards Tr: 714.56, Rewards Disc: 3.58, Rewards Eval: 740.65, Total Timesteps: 4446640 episode:137 

Rewards Tr: 727.24, Rewards Disc: 3.87, Rewards Eval: 764.35, Total Timesteps: 4520970 episode:138 

Rewards Tr: 733.76, Rewards Disc: 4.24, Rewards Eval: 860.69, Total Timesteps: 4596420 episode:139 

Rewards Tr: 741.18, Rewards Disc: 4.57, Rewards Eval: 704.42, Total Timesteps: 4676220 episode:140 

Rewards Tr: 743.24, Rewards Disc: 4.39, Rewards Eval: 695.84, Total Timesteps: 4759970 episode:141 

Rewards Tr: 716.66, Rewards Disc: 4.62, Rewards Eval: 755.43, Total Timesteps: 4828630 episode:142 

Rewards Tr: 749.28, Rewards Disc: 4.74, Rewards Eval: 847.05, Total Timesteps: 4917070 episode:143 

Rewards Tr: 800.23, Rewards Disc: 5.98, Rewards Eval: 916.43, Total Timesteps: 5015810 episode:144 

Rewards Tr: 746.74, Rewards Disc: 6.62, Rewards Eval: 720.92, Total Timesteps: 5102660 episode:145 

Rewards Tr: 763.57, Rewards Disc: 7.37, Rewards Eval: 961.31, Total Timesteps: 5191380 episode:146 

Rewards Tr: 742.29, Rewards Disc: 6.77, Rewards Eval: 955.86, Total Timesteps: 5274370 episode:147 

Rewards Tr: 756.60, Rewards Disc: 5.61, Rewards Eval: 924.46, Total Timesteps: 5355790 episode:148 

Rewards Tr: 756.23, Rewards Disc: 5.64, Rewards Eval: 926.51, Total Timesteps: 5434280 episode:149 

Rewards Tr: 778.11, Rewards Disc: 5.47, Rewards Eval: 799.02, Total Timesteps: 5519200 episode:150 

Rewards Tr: 752.92, Rewards Disc: 6.00, Rewards Eval: 830.97, Total Timesteps: 5600580 episode:151 

Rewards Tr: 770.90, Rewards Disc: 5.50, Rewards Eval: 844.66, Total Timesteps: 5679080 episode:152 

Rewards Tr: 753.96, Rewards Disc: 4.44, Rewards Eval: 789.40, Total Timesteps: 5761270 episode:153 

Rewards Tr: 758.40, Rewards Disc: 4.90, Rewards Eval: 747.73, Total Timesteps: 5840590 episode:154 

Rewards Tr: 760.56, Rewards Disc: 4.72, Rewards Eval: 765.36, Total Timesteps: 5915990 episode:155 

Rewards Tr: 758.95, Rewards Disc: 5.12, Rewards Eval: 759.54, Total Timesteps: 6000130 episode:156 

Rewards Tr: 782.87, Rewards Disc: 5.30, Rewards Eval: 778.81, Total Timesteps: 6087290 episode:157 

Rewards Tr: 747.14, Rewards Disc: 5.37, Rewards Eval: 1204.53, Total Timesteps: 6165770 episode:158 

Rewards Tr: 736.01, Rewards Disc: 6.92, Rewards Eval: 946.14, Total Timesteps: 6246950 episode:159 

Rewards Tr: 786.23, Rewards Disc: 6.84, Rewards Eval: 949.24, Total Timesteps: 6331730 episode:160 

Rewards Tr: 768.58, Rewards Disc: 6.92, Rewards Eval: 1012.34, Total Timesteps: 6421410 episode:161 

Rewards Tr: 764.21, Rewards Disc: 7.35, Rewards Eval: 960.05, Total Timesteps: 6505040 episode:162 

Rewards Tr: 782.58, Rewards Disc: 5.60, Rewards Eval: 802.18, Total Timesteps: 6595790 episode:163 

Rewards Tr: 753.92, Rewards Disc: 5.65, Rewards Eval: 824.63, Total Timesteps: 6674650 episode:164 

Rewards Tr: 769.18, Rewards Disc: 5.63, Rewards Eval: 764.62, Total Timesteps: 6761690 episode:165 

