For Seed: 1 

Rewards Tr: 643.34, Rewards Disc: 0.61, Rewards Eval: 690.33, Total Timesteps: 1545910 episode:54 

Rewards Tr: 689.89, Rewards Disc: 0.54, Rewards Eval: 799.57, Total Timesteps: 1619990 episode:55 

Rewards Tr: 742.88, Rewards Disc: 0.61, Rewards Eval: 771.98, Total Timesteps: 1697830 episode:56 

Rewards Tr: 750.97, Rewards Disc: 0.68, Rewards Eval: 881.05, Total Timesteps: 1779540 episode:57 

Rewards Tr: 694.81, Rewards Disc: 0.78, Rewards Eval: 1147.55, Total Timesteps: 1850820 episode:58 

Rewards Tr: 795.49, Rewards Disc: 0.64, Rewards Eval: 781.00, Total Timesteps: 1947340 episode:59 

Rewards Tr: 750.90, Rewards Disc: 0.59, Rewards Eval: 954.92, Total Timesteps: 2025130 episode:60 

Rewards Tr: 829.03, Rewards Disc: 0.59, Rewards Eval: 808.71, Total Timesteps: 2114100 episode:61 

Rewards Tr: 833.17, Rewards Disc: 0.60, Rewards Eval: 750.25, Total Timesteps: 2208770 episode:62 

Rewards Tr: 760.83, Rewards Disc: 0.66, Rewards Eval: 946.04, Total Timesteps: 2284800 episode:63 

Rewards Tr: 805.92, Rewards Disc: 0.72, Rewards Eval: 882.51, Total Timesteps: 2371810 episode:64 

Rewards Tr: 786.29, Rewards Disc: 0.71, Rewards Eval: 941.47, Total Timesteps: 2454910 episode:65 

Rewards Tr: 887.86, Rewards Disc: 0.72, Rewards Eval: 952.53, Total Timesteps: 2558840 episode:66 

Rewards Tr: 901.79, Rewards Disc: 0.67, Rewards Eval: 1304.69, Total Timesteps: 2657730 episode:67 

Rewards Tr: 948.39, Rewards Disc: 0.59, Rewards Eval: 901.47, Total Timesteps: 2765120 episode:68 

Rewards Tr: 867.87, Rewards Disc: 0.60, Rewards Eval: 1113.86, Total Timesteps: 2854910 episode:69 

Rewards Tr: 917.77, Rewards Disc: 0.68, Rewards Eval: 1269.05, Total Timesteps: 2954160 episode:70 

Rewards Tr: 927.34, Rewards Disc: 0.62, Rewards Eval: 963.99, Total Timesteps: 3057180 episode:71 

Rewards Tr: 985.60, Rewards Disc: 0.62, Rewards Eval: 1134.33, Total Timesteps: 3168580 episode:72 

Rewards Tr: 1010.50, Rewards Disc: 0.57, Rewards Eval: 1286.56, Total Timesteps: 3286800 episode:73 

Rewards Tr: 1036.56, Rewards Disc: 0.58, Rewards Eval: 937.42, Total Timesteps: 3407020 episode:74 

Rewards Tr: 1147.44, Rewards Disc: 0.50, Rewards Eval: 1302.20, Total Timesteps: 3532290 episode:75 

Rewards Tr: 1042.95, Rewards Disc: 0.67, Rewards Eval: 1101.94, Total Timesteps: 3654770 episode:76 

Rewards Tr: 1008.89, Rewards Disc: 0.60, Rewards Eval: 1164.83, Total Timesteps: 3765620 episode:77 

Rewards Tr: 1063.75, Rewards Disc: 0.62, Rewards Eval: 1174.91, Total Timesteps: 3887250 episode:78 

Rewards Tr: 1129.48, Rewards Disc: 0.63, Rewards Eval: 749.25, Total Timesteps: 4004500 episode:79 

Rewards Tr: 951.27, Rewards Disc: 0.65, Rewards Eval: 1039.14, Total Timesteps: 4108880 episode:80 

Rewards Tr: 1011.16, Rewards Disc: 0.55, Rewards Eval: 1089.46, Total Timesteps: 4207370 episode:81 

Rewards Tr: 1151.04, Rewards Disc: 0.67, Rewards Eval: 924.53, Total Timesteps: 4340810 episode:82 

Rewards Tr: 1148.32, Rewards Disc: 0.68, Rewards Eval: 1217.04, Total Timesteps: 4477450 episode:83 

Rewards Tr: 1156.99, Rewards Disc: 0.78, Rewards Eval: 1081.81, Total Timesteps: 4619770 episode:84 

Rewards Tr: 1160.51, Rewards Disc: 0.69, Rewards Eval: 1194.49, Total Timesteps: 4748850 episode:85 

Rewards Tr: 1216.75, Rewards Disc: 0.70, Rewards Eval: 1265.30, Total Timesteps: 4885220 episode:86 

Rewards Tr: 1359.80, Rewards Disc: 0.68, Rewards Eval: 1172.19, Total Timesteps: 5036040 episode:87 

Rewards Tr: 1325.64, Rewards Disc: 0.58, Rewards Eval: 1242.13, Total Timesteps: 5177570 episode:88 

Rewards Tr: 1091.21, Rewards Disc: 0.68, Rewards Eval: 1628.03, Total Timesteps: 5311470 episode:89 

Rewards Tr: 1310.42, Rewards Disc: 0.65, Rewards Eval: 1442.47, Total Timesteps: 5454020 episode:90 

Rewards Tr: 1183.43, Rewards Disc: 0.69, Rewards Eval: 1495.15, Total Timesteps: 5582770 episode:91 

Rewards Tr: 1075.41, Rewards Disc: 0.65, Rewards Eval: 1782.12, Total Timesteps: 5697810 episode:92 

Rewards Tr: 1476.28, Rewards Disc: 0.56, Rewards Eval: 1291.64, Total Timesteps: 5852380 episode:93 

Rewards Tr: 1245.91, Rewards Disc: 0.75, Rewards Eval: 1142.69, Total Timesteps: 5988170 episode:94 

Rewards Tr: 1445.50, Rewards Disc: 0.58, Rewards Eval: 1257.39, Total Timesteps: 6141760 episode:95 

Rewards Tr: 1135.52, Rewards Disc: 0.75, Rewards Eval: 1284.98, Total Timesteps: 6277500 episode:96 

Rewards Tr: 1136.78, Rewards Disc: 0.75, Rewards Eval: 1362.74, Total Timesteps: 6405020 episode:97 

Rewards Tr: 1388.23, Rewards Disc: 0.55, Rewards Eval: 1157.12, Total Timesteps: 6548160 episode:98 

Rewards Tr: 1370.25, Rewards Disc: 0.69, Rewards Eval: 1587.71, Total Timesteps: 6699160 episode:99 

Rewards Tr: 1244.76, Rewards Disc: 0.65, Rewards Eval: 1414.30, Total Timesteps: 6841920 episode:100 

Rewards Tr: 1253.30, Rewards Disc: 0.85, Rewards Eval: 1564.85, Total Timesteps: 6988920 episode:101 

Rewards Tr: 1259.44, Rewards Disc: 0.84, Rewards Eval: 1388.86, Total Timesteps: 7139930 episode:102 

Rewards Tr: 1380.80, Rewards Disc: 0.65, Rewards Eval: 1571.27, Total Timesteps: 7284580 episode:103 

Rewards Tr: 1251.16, Rewards Disc: 0.81, Rewards Eval: 1154.78, Total Timesteps: 7437310 episode:104 

Rewards Tr: 1377.71, Rewards Disc: 0.82, Rewards Eval: 2243.91, Total Timesteps: 7595700 episode:105 

Rewards Tr: 1564.98, Rewards Disc: 0.62, Rewards Eval: 2107.07, Total Timesteps: 7766770 episode:106 

Rewards Tr: 1641.49, Rewards Disc: 0.65, Rewards Eval: 1832.08, Total Timesteps: 7938530 episode:107 

Rewards Tr: 1565.79, Rewards Disc: 0.60, Rewards Eval: 1750.37, Total Timesteps: 8113300 episode:108 

Rewards Tr: 1618.26, Rewards Disc: 0.70, Rewards Eval: 1657.90, Total Timesteps: 8302660 episode:109 

Rewards Tr: 1541.22, Rewards Disc: 0.72, Rewards Eval: 2239.78, Total Timesteps: 8475620 episode:110 

Rewards Tr: 1745.71, Rewards Disc: 0.61, Rewards Eval: 2205.43, Total Timesteps: 8653700 episode:111 

Rewards Tr: 1767.17, Rewards Disc: 0.70, Rewards Eval: 1991.71, Total Timesteps: 8840860 episode:112 

Rewards Tr: 1810.51, Rewards Disc: 0.65, Rewards Eval: 1990.01, Total Timesteps: 9024390 episode:113 

Rewards Tr: 1664.42, Rewards Disc: 0.62, Rewards Eval: 1773.26, Total Timesteps: 9200780 episode:114 

Rewards Tr: 1792.16, Rewards Disc: 0.63, Rewards Eval: 1721.90, Total Timesteps: 9378270 episode:115 

Rewards Tr: 1586.66, Rewards Disc: 0.77, Rewards Eval: 2000.93, Total Timesteps: 9566530 episode:116 

Rewards Tr: 1821.09, Rewards Disc: 0.67, Rewards Eval: 1544.07, Total Timesteps: 9756030 episode:117 

Rewards Tr: 1759.39, Rewards Disc: 0.63, Rewards Eval: 2363.67, Total Timesteps: 9937300 episode:118 

Rewards Tr: 1758.69, Rewards Disc: 0.69, Rewards Eval: 1786.24, Total Timesteps: 10116600 episode:119 

Rewards Tr: 1685.57, Rewards Disc: 0.70, Rewards Eval: 1652.51, Total Timesteps: 10294910 episode:120 

Rewards Tr: 1812.69, Rewards Disc: 0.60, Rewards Eval: 1487.88, Total Timesteps: 10472930 episode:121 

Rewards Tr: 1708.97, Rewards Disc: 0.67, Rewards Eval: 1902.64, Total Timesteps: 10661630 episode:122 

Rewards Tr: 1737.90, Rewards Disc: 0.54, Rewards Eval: 1702.13, Total Timesteps: 10833710 episode:123 

Rewards Tr: 1647.56, Rewards Disc: 0.81, Rewards Eval: 1435.63, Total Timesteps: 11024020 episode:124 

Rewards Tr: 1787.76, Rewards Disc: 0.62, Rewards Eval: 2530.15, Total Timesteps: 11211810 episode:125 

Rewards Tr: 1915.61, Rewards Disc: 0.62, Rewards Eval: 1828.36, Total Timesteps: 11405940 episode:126 

Rewards Tr: 1727.54, Rewards Disc: 0.60, Rewards Eval: 2347.46, Total Timesteps: 11579530 episode:127 

Rewards Tr: 1767.83, Rewards Disc: 0.70, Rewards Eval: 1898.28, Total Timesteps: 11765600 episode:128 

Rewards Tr: 1786.67, Rewards Disc: 0.65, Rewards Eval: 1978.36, Total Timesteps: 11948340 episode:129 

Rewards Tr: 1799.59, Rewards Disc: 0.60, Rewards Eval: 1588.31, Total Timesteps: 12132380 episode:130 

Rewards Tr: 1840.28, Rewards Disc: 0.71, Rewards Eval: 2099.32, Total Timesteps: 12325220 episode:131 

Rewards Tr: 2035.48, Rewards Disc: 0.66, Rewards Eval: 1624.52, Total Timesteps: 12522300 episode:132 

Rewards Tr: 1769.59, Rewards Disc: 0.78, Rewards Eval: 1758.66, Total Timesteps: 12713790 episode:133 

Rewards Tr: 1972.95, Rewards Disc: 0.71, Rewards Eval: 2023.07, Total Timesteps: 12909760 episode:134 

Rewards Tr: 1907.23, Rewards Disc: 0.60, Rewards Eval: 2325.60, Total Timesteps: 13097280 episode:135 

Rewards Tr: 1707.94, Rewards Disc: 0.69, Rewards Eval: 2396.11, Total Timesteps: 13281940 episode:136 

