For Seed: 1 

Rewards Tr: 17.18, Rewards Eval: 0.00, Total Timesteps: 9220 episode:0 

Rewards Tr: 31.24, Rewards Eval: 30.15, Total Timesteps: 21630 episode:1 

Rewards Tr: 48.18, Rewards Eval: 58.80, Total Timesteps: 36190 episode:2 

Rewards Tr: 63.84, Rewards Eval: 58.80, Total Timesteps: 53350 episode:3 

Rewards Tr: 82.03, Rewards Eval: 79.44, Total Timesteps: 73210 episode:4 

Rewards Tr: 90.51, Rewards Eval: 144.05, Total Timesteps: 92680 episode:5 

Rewards Tr: 100.38, Rewards Eval: 114.48, Total Timesteps: 113360 episode:6 

Rewards Tr: 119.05, Rewards Eval: 128.55, Total Timesteps: 132620 episode:7 

Rewards Tr: 136.95, Rewards Eval: 152.71, Total Timesteps: 153040 episode:8 

Rewards Tr: 152.02, Rewards Eval: 117.47, Total Timesteps: 175750 episode:9 

Rewards Tr: 158.45, Rewards Eval: 190.72, Total Timesteps: 197090 episode:10 

Rewards Tr: 174.36, Rewards Eval: 192.79, Total Timesteps: 219000 episode:11 

Rewards Tr: 179.80, Rewards Eval: 180.24, Total Timesteps: 240380 episode:12 

Rewards Tr: 197.43, Rewards Eval: 222.05, Total Timesteps: 262870 episode:13 

Rewards Tr: 210.21, Rewards Eval: 206.21, Total Timesteps: 285330 episode:14 

Rewards Tr: 225.02, Rewards Eval: 205.68, Total Timesteps: 308420 episode:15 

Rewards Tr: 236.81, Rewards Eval: 242.39, Total Timesteps: 331440 episode:16 

Rewards Tr: 251.09, Rewards Eval: 311.92, Total Timesteps: 355010 episode:17 

Rewards Tr: 268.41, Rewards Eval: 266.89, Total Timesteps: 378890 episode:18 

Rewards Tr: 279.05, Rewards Eval: 285.67, Total Timesteps: 403260 episode:19 

Rewards Tr: 296.60, Rewards Eval: 315.44, Total Timesteps: 428540 episode:20 

Rewards Tr: 309.95, Rewards Eval: 340.94, Total Timesteps: 453910 episode:21 

Rewards Tr: 324.21, Rewards Eval: 348.26, Total Timesteps: 481110 episode:22 

Rewards Tr: 345.43, Rewards Eval: 369.87, Total Timesteps: 509800 episode:23 

Rewards Tr: 359.90, Rewards Eval: 381.90, Total Timesteps: 539820 episode:24 

Rewards Tr: 386.96, Rewards Eval: 381.88, Total Timesteps: 573060 episode:25 

Rewards Tr: 399.40, Rewards Eval: 436.97, Total Timesteps: 606710 episode:26 

Rewards Tr: 420.49, Rewards Eval: 356.53, Total Timesteps: 643600 episode:27 

Rewards Tr: 443.43, Rewards Eval: 426.30, Total Timesteps: 683880 episode:28 

Rewards Tr: 476.64, Rewards Eval: 512.19, Total Timesteps: 725030 episode:29 

Rewards Tr: 552.41, Rewards Eval: 623.72, Total Timesteps: 779060 episode:30 

Rewards Tr: 592.85, Rewards Eval: 841.02, Total Timesteps: 836880 episode:31 

Rewards Tr: 669.22, Rewards Eval: 609.48, Total Timesteps: 914690 episode:32 

Rewards Tr: 704.72, Rewards Eval: 636.90, Total Timesteps: 997690 episode:33 

Rewards Tr: 797.95, Rewards Eval: 849.47, Total Timesteps: 1097580 episode:34 

Rewards Tr: 675.15, Rewards Eval: 842.90, Total Timesteps: 1172740 episode:35 

Rewards Tr: 868.92, Rewards Eval: 846.04, Total Timesteps: 1292010 episode:36 

Rewards Tr: 887.67, Rewards Eval: 760.24, Total Timesteps: 1415010 episode:37 

Rewards Tr: 888.14, Rewards Eval: 1497.52, Total Timesteps: 1522820 episode:38 

Rewards Tr: 1007.18, Rewards Eval: 1314.16, Total Timesteps: 1654970 episode:39 

Rewards Tr: 927.86, Rewards Eval: 916.41, Total Timesteps: 1773660 episode:40 

