For Seed: 1 

Rewards Tr: 15.91, Rewards Eval: 0.00, Total Timesteps: 9360 episode:0 
Rewards Tr: 1365.44, Rewards Eval: 1246.57, Total Timesteps: 5416690 episode:68 

Rewards Tr: 1216.49, Rewards Eval: 1749.40, Total Timesteps: 5541740 episode:69 

Rewards Tr: 1346.82, Rewards Eval: 1121.66, Total Timesteps: 5696610 episode:70 

Rewards Tr: 1332.11, Rewards Eval: 1678.21, Total Timesteps: 5859020 episode:71 

Rewards Tr: 1459.53, Rewards Eval: 1361.39, Total Timesteps: 6017520 episode:72 

Rewards Tr: 1582.55, Rewards Eval: 1714.03, Total Timesteps: 6200220 episode:73 

Rewards Tr: 1501.02, Rewards Eval: 1699.98, Total Timesteps: 6361290 episode:74 

Rewards Tr: 1626.10, Rewards Eval: 1534.58, Total Timesteps: 6548070 episode:75 

Rewards Tr: 1361.69, Rewards Eval: 1557.21, Total Timesteps: 6692790 episode:76 

Rewards Tr: 1450.00, Rewards Eval: 1294.75, Total Timesteps: 6853510 episode:77 

Rewards Tr: 1533.60, Rewards Eval: 1669.46, Total Timesteps: 7028790 episode:78 

Rewards Tr: 1675.89, Rewards Eval: 1399.37, Total Timesteps: 7208230 episode:79 

Rewards Tr: 1398.46, Rewards Eval: 1709.55, Total Timesteps: 7373410 episode:80 

Rewards Tr: 1764.31, Rewards Eval: 1407.67, Total Timesteps: 7561000 episode:81 

Rewards Tr: 1742.26, Rewards Eval: 1860.08, Total Timesteps: 7744090 episode:82 

Rewards Tr: 1231.97, Rewards Eval: 1287.91, Total Timesteps: 7880820 episode:83 

Rewards Tr: 1429.15, Rewards Eval: 1793.04, Total Timesteps: 8042460 episode:84 

Rewards Tr: 1633.62, Rewards Eval: 2012.06, Total Timesteps: 8236720 episode:85 

Rewards Tr: 1953.44, Rewards Eval: 1850.14, Total Timesteps: 8436320 episode:86 

Rewards Tr: 1562.08, Rewards Eval: 1824.58, Total Timesteps: 8614750 episode:87 

Rewards Tr: 1572.64, Rewards Eval: 1769.40, Total Timesteps: 8800320 episode:88 

Rewards Tr: 1714.01, Rewards Eval: 1456.30, Total Timesteps: 8990810 episode:89 

Rewards Tr: 1602.54, Rewards Eval: 1502.07, Total Timesteps: 9181230 episode:90 

Rewards Tr: 1546.72, Rewards Eval: 2140.02, Total Timesteps: 9343800 episode:91 

Rewards Tr: 1640.26, Rewards Eval: 2169.64, Total Timesteps: 9526000 episode:92 

Rewards Tr: 1558.29, Rewards Eval: 2553.36, Total Timesteps: 9700060 episode:93 

Rewards Tr: 1699.18, Rewards Eval: 1244.28, Total Timesteps: 9879870 episode:94 

Rewards Tr: 1747.75, Rewards Eval: 1753.32, Total Timesteps: 10060750 episode:95 

Rewards Tr: 1677.76, Rewards Eval: 1236.54, Total Timesteps: 10244590 episode:96 

Rewards Tr: 1596.67, Rewards Eval: 1779.22, Total Timesteps: 10411750 episode:97 

Rewards Tr: 1764.97, Rewards Eval: 1318.69, Total Timesteps: 10599850 episode:98 

Rewards Tr: 1667.06, Rewards Eval: 1039.41, Total Timesteps: 10790130 episode:99 

Rewards Tr: 1520.37, Rewards Eval: 2230.19, Total Timesteps: 10957330 episode:100 

Rewards Tr: 1914.25, Rewards Eval: 2329.17, Total Timesteps: 11150920 episode:101 

Rewards Tr: 2036.48, Rewards Eval: 2664.67, Total Timesteps: 11348090 episode:102 

Rewards Tr: 1720.56, Rewards Eval: 2346.56, Total Timesteps: 11533270 episode:103 

Rewards Tr: 1923.34, Rewards Eval: 2038.23, Total Timesteps: 11730530 episode:104 

Rewards Tr: 1899.12, Rewards Eval: 2453.87, Total Timesteps: 11925890 episode:105 

Rewards Tr: 1889.71, Rewards Eval: 1709.50, Total Timesteps: 12122830 episode:106 

Rewards Tr: 1922.16, Rewards Eval: 1918.08, Total Timesteps: 12313930 episode:107 

Rewards Tr: 1884.75, Rewards Eval: 1833.82, Total Timesteps: 12511490 episode:108 

Rewards Tr: 1943.65, Rewards Eval: 2198.69, Total Timesteps: 12702540 episode:109 

Rewards Tr: 1993.83, Rewards Eval: 1525.22, Total Timesteps: 12902430 episode:110 

Rewards Tr: 2084.22, Rewards Eval: 1970.82, Total Timesteps: 13094740 episode:111 

Rewards Tr: 2009.31, Rewards Eval: 2683.51, Total Timesteps: 13294330 episode:112 

Rewards Tr: 2017.21, Rewards Eval: 1587.61, Total Timesteps: 13490270 episode:113 

Rewards Tr: 1800.41, Rewards Eval: 1443.35, Total Timesteps: 13681050 episode:114 

Rewards Tr: 1862.26, Rewards Eval: 2345.66, Total Timesteps: 13877350 episode:115 

Rewards Tr: 1965.60, Rewards Eval: 1777.54, Total Timesteps: 14067390 episode:116 

Rewards Tr: 2152.96, Rewards Eval: 2564.61, Total Timesteps: 14265260 episode:117 

Rewards Tr: 2226.57, Rewards Eval: 2170.26, Total Timesteps: 14464190 episode:118 

Rewards Tr: 2184.02, Rewards Eval: 1932.26, Total Timesteps: 14662830 episode:119 

Rewards Tr: 2199.12, Rewards Eval: 1748.09, Total Timesteps: 14862650 episode:120 

Rewards Tr: 1866.63, Rewards Eval: 2363.10, Total Timesteps: 15056820 episode:121 

Rewards Tr: 2138.73, Rewards Eval: 1897.31, Total Timesteps: 15254300 episode:122 

Rewards Tr: 2069.79, Rewards Eval: 1448.75, Total Timesteps: 15453030 episode:123 

Rewards Tr: 2192.04, Rewards Eval: 2342.85, Total Timesteps: 15653030 episode:124 

Rewards Tr: 2272.39, Rewards Eval: 1463.23, Total Timesteps: 15852490 episode:125 

Rewards Tr: 1824.51, Rewards Eval: 1657.71, Total Timesteps: 16038840 episode:126 

Rewards Tr: 2236.87, Rewards Eval: 2173.35, Total Timesteps: 16238840 episode:127 

Rewards Tr: 2317.81, Rewards Eval: 1131.07, Total Timesteps: 16438710 episode:128 

Rewards Tr: 1917.53, Rewards Eval: 2969.31, Total Timesteps: 16632290 episode:129 

Rewards Tr: 2300.78, Rewards Eval: 2184.98, Total Timesteps: 16832290 episode:130 

Rewards Tr: 2316.00, Rewards Eval: 1622.93, Total Timesteps: 17032290 episode:131 

Rewards Tr: 2079.86, Rewards Eval: 1389.78, Total Timesteps: 17231920 episode:132 

Rewards Tr: 2021.79, Rewards Eval: 1847.80, Total Timesteps: 17422360 episode:133 

Rewards Tr: 2315.13, Rewards Eval: 3004.69, Total Timesteps: 17618510 episode:134 

Rewards Tr: 2288.16, Rewards Eval: 2344.89, Total Timesteps: 17817120 episode:135 

Rewards Tr: 2275.11, Rewards Eval: 2879.17, Total Timesteps: 18015630 episode:136 

Rewards Tr: 2353.94, Rewards Eval: 1765.78, Total Timesteps: 18211520 episode:137 

Rewards Tr: 2474.11, Rewards Eval: 2378.61, Total Timesteps: 18411520 episode:138 

Rewards Tr: 2054.58, Rewards Eval: 2858.74, Total Timesteps: 18609100 episode:139 

Rewards Tr: 2281.71, Rewards Eval: 2886.92, Total Timesteps: 18808130 episode:140 

Rewards Tr: 2336.10, Rewards Eval: 2585.46, Total Timesteps: 19008130 episode:141 

Rewards Tr: 2197.51, Rewards Eval: 3053.23, Total Timesteps: 19203940 episode:142 

Rewards Tr: 2441.76, Rewards Eval: 3128.28, Total Timesteps: 19403940 episode:143 

Rewards Tr: 2118.90, Rewards Eval: 2636.97, Total Timesteps: 19603940 episode:144 

Rewards Tr: 2517.38, Rewards Eval: 3142.29, Total Timesteps: 19801580 episode:145 

Rewards Tr: 2411.14, Rewards Eval: 2458.98, Total Timesteps: 20001580 episode:146 

Rewards Tr: 2436.08, Rewards Eval: 2479.27, Total Timesteps: 20201580 episode:147 

Rewards Tr: 2541.03, Rewards Eval: 2488.30, Total Timesteps: 20401580 episode:148 

Rewards Tr: 2553.73, Rewards Eval: 2333.88, Total Timesteps: 20601580 episode:149 

Rewards Tr: 2532.23, Rewards Eval: 2264.46, Total Timesteps: 20801580 episode:150 

Rewards Tr: 2045.39, Rewards Eval: 1754.64, Total Timesteps: 20993860 episode:151 

Rewards Tr: 2264.13, Rewards Eval: 2137.04, Total Timesteps: 21193180 episode:152 

Rewards Tr: 2292.06, Rewards Eval: 2173.06, Total Timesteps: 21393110 episode:153 

Rewards Tr: 2400.86, Rewards Eval: 2136.98, Total Timesteps: 21592450 episode:154 

Rewards Tr: 2180.35, Rewards Eval: 2397.26, Total Timesteps: 21785740 episode:155 

Rewards Tr: 2341.17, Rewards Eval: 2304.06, Total Timesteps: 21982850 episode:156 

Rewards Tr: 2641.72, Rewards Eval: 3000.00, Total Timesteps: 22182480 episode:157 

Rewards Tr: 2624.88, Rewards Eval: 2826.92, Total Timesteps: 22382480 episode:158 

Rewards Tr: 2390.48, Rewards Eval: 2255.13, Total Timesteps: 22579880 episode:159 

Rewards Tr: 2494.63, Rewards Eval: 2577.02, Total Timesteps: 22779880 episode:160 

Rewards Tr: 2431.19, Rewards Eval: 2144.05, Total Timesteps: 22977270 episode:161 

Rewards Tr: 2144.16, Rewards Eval: 2801.73, Total Timesteps: 23177090 episode:162 

Rewards Tr: 2344.64, Rewards Eval: 2645.14, Total Timesteps: 23377090 episode:163 

Rewards Tr: 2535.25, Rewards Eval: 2827.05, Total Timesteps: 23577090 episode:164 

Rewards Tr: 2588.80, Rewards Eval: 1325.46, Total Timesteps: 23776080 episode:165 

Rewards Tr: 2412.39, Rewards Eval: 3264.65, Total Timesteps: 23976080 episode:166 

Rewards Tr: 2607.24, Rewards Eval: 2093.27, Total Timesteps: 24176080 episode:167 

Rewards Tr: 2420.23, Rewards Eval: 2236.45, Total Timesteps: 24371620 episode:168 

Rewards Tr: 2351.07, Rewards Eval: 2406.47, Total Timesteps: 24570840 episode:169 

Rewards Tr: 2323.56, Rewards Eval: 2614.30, Total Timesteps: 24770050 episode:170 

Rewards Tr: 2302.03, Rewards Eval: 2193.81, Total Timesteps: 24970050 episode:171 

Rewards Tr: 2209.88, Rewards Eval: 2200.69, Total Timesteps: 25170050 episode:172 

Rewards Tr: 2322.33, Rewards Eval: 2624.98, Total Timesteps: 25366260 episode:173 

Rewards Tr: 2294.42, Rewards Eval: 1608.13, Total Timesteps: 25564500 episode:174 

Rewards Tr: 2260.92, Rewards Eval: 2697.20, Total Timesteps: 25758780 episode:175 

Rewards Tr: 2035.85, Rewards Eval: 1657.55, Total Timesteps: 25949620 episode:176 

Rewards Tr: 2286.74, Rewards Eval: 2362.09, Total Timesteps: 26147280 episode:177 

Rewards Tr: 2148.50, Rewards Eval: 2434.96, Total Timesteps: 26346120 episode:178 

Rewards Tr: 2389.10, Rewards Eval: 2033.78, Total Timesteps: 26544270 episode:179 

Rewards Tr: 2392.94, Rewards Eval: 2894.19, Total Timesteps: 26743890 episode:180 

Rewards Tr: 2646.99, Rewards Eval: 2233.38, Total Timesteps: 26943890 episode:181 

Rewards Tr: 2265.27, Rewards Eval: 1624.76, Total Timesteps: 27139180 episode:182 

Rewards Tr: 2230.92, Rewards Eval: 2301.66, Total Timesteps: 27338000 episode:183 

Rewards Tr: 2376.28, Rewards Eval: 1748.34, Total Timesteps: 27535420 episode:184 

Rewards Tr: 2241.97, Rewards Eval: 3154.85, Total Timesteps: 27735420 episode:185 

Rewards Tr: 2784.45, Rewards Eval: 1912.68, Total Timesteps: 27935420 episode:186 

Rewards Tr: 2772.67, Rewards Eval: 2625.20, Total Timesteps: 28135420 episode:187 

Rewards Tr: 2496.38, Rewards Eval: 2087.34, Total Timesteps: 28331980 episode:188 

Rewards Tr: 2301.52, Rewards Eval: 3145.32, Total Timesteps: 28527420 episode:189 

Rewards Tr: 2715.50, Rewards Eval: 2443.12, Total Timesteps: 28727420 episode:190 

Rewards Tr: 2570.42, Rewards Eval: 1825.47, Total Timesteps: 28926120 episode:191 

Rewards Tr: 2225.90, Rewards Eval: 2398.71, Total Timesteps: 29124150 episode:192 

Rewards Tr: 2696.71, Rewards Eval: 2932.50, Total Timesteps: 29324150 episode:193 

Rewards Tr: 2443.64, Rewards Eval: 1756.98, Total Timesteps: 29523820 episode:194 

Rewards Tr: 2285.58, Rewards Eval: 2269.94, Total Timesteps: 29719920 episode:195 

Rewards Tr: 2313.16, Rewards Eval: 3145.93, Total Timesteps: 29919920 episode:196 

Rewards Tr: 2302.12, Rewards Eval: 2079.91, Total Timesteps: 30114420 episode:197 

Rewards Tr: 2717.35, Rewards Eval: 2590.89, Total Timesteps: 30314420 episode:198 

Rewards Tr: 2704.03, Rewards Eval: 1882.01, Total Timesteps: 30514420 episode:199 

Rewards Tr: 2652.71, Rewards Eval: 2968.35, Total Timesteps: 30714420 episode:200 

