For Seed: 3 

Rewards Tr: -158.97, Rewards Val: -157.82, Rewards Disc: 0.51, Rewards Eval: -146.83, Total Timesteps: 250000 episode:0 

Rewards Tr: 525.12, Rewards Val: 515.76, Rewards Disc: 0.55, Rewards Eval: 602.21, Total Timesteps: 11500000 episode:45 

Rewards Tr: 512.73, Rewards Val: 534.56, Rewards Disc: 0.56, Rewards Eval: 629.60, Total Timesteps: 11750000 episode:46 

Rewards Tr: 512.70, Rewards Val: 511.42, Rewards Disc: 0.56, Rewards Eval: 535.00, Total Timesteps: 12000000 episode:47 

Rewards Tr: 504.79, Rewards Val: 523.92, Rewards Disc: 0.55, Rewards Eval: 388.07, Total Timesteps: 12250000 episode:48 

Rewards Tr: 504.10, Rewards Val: 486.89, Rewards Disc: 0.56, Rewards Eval: 627.31, Total Timesteps: 12500000 episode:49 

Rewards Tr: 537.60, Rewards Val: 519.03, Rewards Disc: 0.55, Rewards Eval: 516.83, Total Timesteps: 12750000 episode:50 

Rewards Tr: 487.30, Rewards Val: 460.03, Rewards Disc: 0.55, Rewards Eval: 233.91, Total Timesteps: 13000000 episode:51 

Rewards Tr: 497.72, Rewards Val: 443.15, Rewards Disc: 0.55, Rewards Eval: 563.38, Total Timesteps: 13250000 episode:52 

Rewards Tr: 477.49, Rewards Val: 471.17, Rewards Disc: 0.55, Rewards Eval: 503.95, Total Timesteps: 13500000 episode:53 

Rewards Tr: 492.34, Rewards Val: 447.50, Rewards Disc: 0.58, Rewards Eval: 397.21, Total Timesteps: 13750000 episode:54 

Rewards Tr: 491.03, Rewards Val: 509.12, Rewards Disc: 0.56, Rewards Eval: 454.26, Total Timesteps: 14000000 episode:55 

Rewards Tr: 550.52, Rewards Val: 522.14, Rewards Disc: 0.56, Rewards Eval: 676.80, Total Timesteps: 14250000 episode:56 

Rewards Tr: 536.16, Rewards Val: 562.55, Rewards Disc: 0.55, Rewards Eval: 672.62, Total Timesteps: 14500000 episode:57 

Rewards Tr: 545.48, Rewards Val: 546.02, Rewards Disc: 0.57, Rewards Eval: 589.37, Total Timesteps: 14750000 episode:58 

Rewards Tr: 544.29, Rewards Val: 534.69, Rewards Disc: 0.58, Rewards Eval: 530.99, Total Timesteps: 15000000 episode:59 

Rewards Tr: 557.87, Rewards Val: 565.63, Rewards Disc: 0.56, Rewards Eval: 644.98, Total Timesteps: 15250000 episode:60 

Rewards Tr: 600.19, Rewards Val: 559.39, Rewards Disc: 0.56, Rewards Eval: 678.52, Total Timesteps: 15500000 episode:61 

Rewards Tr: 599.42, Rewards Val: 595.80, Rewards Disc: 0.57, Rewards Eval: 496.78, Total Timesteps: 15750000 episode:62 

Rewards Tr: 593.19, Rewards Val: 587.51, Rewards Disc: 0.57, Rewards Eval: 611.59, Total Timesteps: 16000000 episode:63 

Rewards Tr: 591.44, Rewards Val: 618.76, Rewards Disc: 0.55, Rewards Eval: 595.37, Total Timesteps: 16250000 episode:64 

Rewards Tr: 602.64, Rewards Val: 607.36, Rewards Disc: 0.57, Rewards Eval: 536.56, Total Timesteps: 16500000 episode:65 

Rewards Tr: 596.02, Rewards Val: 623.01, Rewards Disc: 0.58, Rewards Eval: 542.34, Total Timesteps: 16750000 episode:66 

Rewards Tr: 619.99, Rewards Val: 596.72, Rewards Disc: 0.58, Rewards Eval: 610.19, Total Timesteps: 17000000 episode:67 

Rewards Tr: 618.14, Rewards Val: 614.73, Rewards Disc: 0.57, Rewards Eval: 650.48, Total Timesteps: 17250000 episode:68 

Rewards Tr: 602.67, Rewards Val: 611.95, Rewards Disc: 0.58, Rewards Eval: 650.17, Total Timesteps: 17500000 episode:69 

Rewards Tr: 621.64, Rewards Val: 614.58, Rewards Disc: 0.58, Rewards Eval: 498.15, Total Timesteps: 17750000 episode:70 

Rewards Tr: 595.81, Rewards Val: 588.23, Rewards Disc: 0.58, Rewards Eval: 538.79, Total Timesteps: 18000000 episode:71 

Rewards Tr: 594.79, Rewards Val: 615.90, Rewards Disc: 0.58, Rewards Eval: 500.11, Total Timesteps: 18250000 episode:72 

Rewards Tr: 611.93, Rewards Val: 605.71, Rewards Disc: 0.58, Rewards Eval: 617.26, Total Timesteps: 18500000 episode:73 

Rewards Tr: 597.25, Rewards Val: 584.29, Rewards Disc: 0.59, Rewards Eval: 666.77, Total Timesteps: 18750000 episode:74 

Rewards Tr: 609.84, Rewards Val: 612.74, Rewards Disc: 0.58, Rewards Eval: 690.80, Total Timesteps: 19000000 episode:75 

Rewards Tr: 596.66, Rewards Val: 614.99, Rewards Disc: 0.58, Rewards Eval: 711.60, Total Timesteps: 19250000 episode:76 

Rewards Tr: 616.64, Rewards Val: 606.97, Rewards Disc: 0.57, Rewards Eval: 641.84, Total Timesteps: 19500000 episode:77 

Rewards Tr: 615.94, Rewards Val: 603.29, Rewards Disc: 0.57, Rewards Eval: 692.50, Total Timesteps: 19750000 episode:78 

Rewards Tr: 633.75, Rewards Val: 622.01, Rewards Disc: 0.57, Rewards Eval: 718.27, Total Timesteps: 20000000 episode:79 

Rewards Tr: 622.13, Rewards Val: 628.22, Rewards Disc: 0.57, Rewards Eval: 678.71, Total Timesteps: 20250000 episode:80 

Rewards Tr: 655.39, Rewards Val: 613.21, Rewards Disc: 0.58, Rewards Eval: 518.56, Total Timesteps: 20500000 episode:81 

Rewards Tr: 621.93, Rewards Val: 625.67, Rewards Disc: 0.57, Rewards Eval: 519.17, Total Timesteps: 20750000 episode:82 

Rewards Tr: 622.83, Rewards Val: 612.91, Rewards Disc: 0.56, Rewards Eval: 671.63, Total Timesteps: 21000000 episode:83 

Rewards Tr: 603.33, Rewards Val: 628.08, Rewards Disc: 0.58, Rewards Eval: 690.86, Total Timesteps: 21250000 episode:84 

Rewards Tr: 596.08, Rewards Val: 621.50, Rewards Disc: 0.55, Rewards Eval: 402.07, Total Timesteps: 21500000 episode:85 

Rewards Tr: 619.24, Rewards Val: 604.58, Rewards Disc: 0.55, Rewards Eval: 541.32, Total Timesteps: 21750000 episode:86 

Rewards Tr: 605.93, Rewards Val: 596.08, Rewards Disc: 0.55, Rewards Eval: 675.91, Total Timesteps: 22000000 episode:87 

Rewards Tr: 595.56, Rewards Val: 611.17, Rewards Disc: 0.57, Rewards Eval: 633.37, Total Timesteps: 22250000 episode:88 

Rewards Tr: 578.62, Rewards Val: 582.35, Rewards Disc: 0.54, Rewards Eval: 617.14, Total Timesteps: 22500000 episode:89 

