For Seed: 103 

Rewards Tr: -750.59, Rewards Disc: 0.39, Rewards Eval: -662.91, Total Timesteps: 40990 episode:0 

Rewards Tr: -564.72, Rewards Disc: -0.27, Rewards Eval: -492.52, Total Timesteps: 85640 episode:1 

Rewards Tr: -445.85, Rewards Disc: -0.11, Rewards Eval: -500.05, Total Timesteps: 126980 episode:2 

Rewards Tr: -400.77, Rewards Disc: 0.18, Rewards Eval: -271.84, Total Timesteps: 169700 episode:3 

Rewards Tr: -364.27, Rewards Disc: 0.21, Rewards Eval: -517.25, Total Timesteps: 221660 episode:4 

Rewards Tr: -317.09, Rewards Disc: 0.17, Rewards Eval: -277.05, Total Timesteps: 274320 episode:5 

Rewards Tr: -267.57, Rewards Disc: -0.12, Rewards Eval: -342.14, Total Timesteps: 332810 episode:6 

Rewards Tr: -226.10, Rewards Disc: -0.13, Rewards Eval: -173.80, Total Timesteps: 391030 episode:7 

Rewards Tr: -206.88, Rewards Disc: 0.03, Rewards Eval: -197.21, Total Timesteps: 456160 episode:8 

Rewards Tr: -184.74, Rewards Disc: -0.01, Rewards Eval: -183.57, Total Timesteps: 521310 episode:9 

Rewards Tr: -156.10, Rewards Disc: -0.13, Rewards Eval: -199.08, Total Timesteps: 584730 episode:10 

Rewards Tr: -145.35, Rewards Disc: -0.21, Rewards Eval: -129.56, Total Timesteps: 662740 episode:11 

Rewards Tr: -138.00, Rewards Disc: 0.02, Rewards Eval: -144.53, Total Timesteps: 733850 episode:12 

Rewards Tr: -124.78, Rewards Disc: 0.05, Rewards Eval: -162.72, Total Timesteps: 809650 episode:13 

Rewards Tr: -104.96, Rewards Disc: -0.01, Rewards Eval: -62.34, Total Timesteps: 886100 episode:14 

Rewards Tr: -100.67, Rewards Disc: -0.02, Rewards Eval: -150.42, Total Timesteps: 964200 episode:15 

Rewards Tr: -91.94, Rewards Disc: -0.07, Rewards Eval: -86.89, Total Timesteps: 1039570 episode:16 

Rewards Tr: -84.90, Rewards Disc: -0.05, Rewards Eval: -111.24, Total Timesteps: 1122700 episode:17 

Rewards Tr: -87.16, Rewards Disc: 0.09, Rewards Eval: -63.95, Total Timesteps: 1202680 episode:18 

Rewards Tr: -70.49, Rewards Disc: -0.01, Rewards Eval: -74.56, Total Timesteps: 1297220 episode:19 

Rewards Tr: -76.26, Rewards Disc: 0.00, Rewards Eval: -23.90, Total Timesteps: 1383550 episode:20 

Rewards Tr: -66.26, Rewards Disc: 0.01, Rewards Eval: -19.21, Total Timesteps: 1472640 episode:21 

Rewards Tr: -59.50, Rewards Disc: -0.03, Rewards Eval: -29.49, Total Timesteps: 1559320 episode:22 

Rewards Tr: -57.61, Rewards Disc: 0.00, Rewards Eval: -92.00, Total Timesteps: 1643140 episode:23 

Rewards Tr: -48.02, Rewards Disc: -0.05, Rewards Eval: -34.00, Total Timesteps: 1732110 episode:24 

Rewards Tr: -44.68, Rewards Disc: -0.03, Rewards Eval: -135.59, Total Timesteps: 1826990 episode:25 

Rewards Tr: -43.86, Rewards Disc: -0.00, Rewards Eval: -92.03, Total Timesteps: 1926450 episode:26 

Rewards Tr: -34.40, Rewards Disc: -0.02, Rewards Eval: -54.65, Total Timesteps: 2011930 episode:27 

Rewards Tr: -33.70, Rewards Disc: 0.02, Rewards Eval: -58.27, Total Timesteps: 2118120 episode:28 
