For Seed: 3 


Rewards Tr: 250.32, Rewards Val: 253.09, Rewards Disc: 7.47, Rewards Eval: 183.05, Total Timesteps: 11500000 episode:45 

Rewards Tr: 278.42, Rewards Val: 271.51, Rewards Disc: 7.28, Rewards Eval: 169.07, Total Timesteps: 11750000 episode:46 

Rewards Tr: 303.48, Rewards Val: 275.18, Rewards Disc: 7.25, Rewards Eval: 219.82, Total Timesteps: 12000000 episode:47 

Rewards Tr: 328.58, Rewards Val: 325.05, Rewards Disc: 6.75, Rewards Eval: 211.35, Total Timesteps: 12250000 episode:48 

Rewards Tr: 334.77, Rewards Val: 320.37, Rewards Disc: 6.80, Rewards Eval: 230.96, Total Timesteps: 12500000 episode:49 

Rewards Tr: 341.77, Rewards Val: 349.50, Rewards Disc: 6.50, Rewards Eval: 295.07, Total Timesteps: 12750000 episode:50 

Rewards Tr: 350.84, Rewards Val: 363.30, Rewards Disc: 6.37, Rewards Eval: 284.48, Total Timesteps: 13000000 episode:51 

Rewards Tr: 374.61, Rewards Val: 364.94, Rewards Disc: 6.35, Rewards Eval: 362.09, Total Timesteps: 13250000 episode:52 

Rewards Tr: 393.77, Rewards Val: 392.12, Rewards Disc: 6.08, Rewards Eval: 317.77, Total Timesteps: 13500000 episode:53 

Rewards Tr: 406.75, Rewards Val: 413.88, Rewards Disc: 5.86, Rewards Eval: 356.28, Total Timesteps: 13750000 episode:54 

Rewards Tr: 442.62, Rewards Val: 428.34, Rewards Disc: 5.72, Rewards Eval: 386.69, Total Timesteps: 14000000 episode:55 

Rewards Tr: 444.24, Rewards Val: 443.43, Rewards Disc: 5.57, Rewards Eval: 411.99, Total Timesteps: 14250000 episode:56 

Rewards Tr: 429.47, Rewards Val: 441.25, Rewards Disc: 5.59, Rewards Eval: 446.31, Total Timesteps: 14500000 episode:57 

Rewards Tr: 423.19, Rewards Val: 442.93, Rewards Disc: 5.57, Rewards Eval: 292.30, Total Timesteps: 14750000 episode:58 

Rewards Tr: 453.88, Rewards Val: 445.88, Rewards Disc: 5.54, Rewards Eval: 357.06, Total Timesteps: 15000000 episode:59 

Rewards Tr: 452.00, Rewards Val: 446.58, Rewards Disc: 5.53, Rewards Eval: 427.95, Total Timesteps: 15250000 episode:60 

Rewards Tr: 446.51, Rewards Val: 461.98, Rewards Disc: 5.38, Rewards Eval: 458.29, Total Timesteps: 15500000 episode:61 

Rewards Tr: 449.00, Rewards Val: 424.94, Rewards Disc: 5.75, Rewards Eval: 429.33, Total Timesteps: 15750000 episode:62 

Rewards Tr: 440.33, Rewards Val: 449.93, Rewards Disc: 5.50, Rewards Eval: 488.47, Total Timesteps: 16000000 episode:63 

Rewards Tr: 456.54, Rewards Val: 442.20, Rewards Disc: 5.58, Rewards Eval: 513.41, Total Timesteps: 16250000 episode:64 

Rewards Tr: 444.06, Rewards Val: 451.55, Rewards Disc: 5.48, Rewards Eval: 554.83, Total Timesteps: 16500000 episode:65 

Rewards Tr: 493.74, Rewards Val: 462.64, Rewards Disc: 5.37, Rewards Eval: 544.37, Total Timesteps: 16750000 episode:66 

Rewards Tr: 459.73, Rewards Val: 450.48, Rewards Disc: 5.50, Rewards Eval: 481.19, Total Timesteps: 17000000 episode:67 

Rewards Tr: 465.19, Rewards Val: 486.98, Rewards Disc: 5.13, Rewards Eval: 500.45, Total Timesteps: 17250000 episode:68 

Rewards Tr: 485.68, Rewards Val: 518.10, Rewards Disc: 4.82, Rewards Eval: 562.81, Total Timesteps: 17500000 episode:69 

Rewards Tr: 530.12, Rewards Val: 532.27, Rewards Disc: 4.68, Rewards Eval: 572.37, Total Timesteps: 17750000 episode:70 

Rewards Tr: 530.57, Rewards Val: 530.02, Rewards Disc: 4.70, Rewards Eval: 568.57, Total Timesteps: 18000000 episode:71 

Rewards Tr: 583.19, Rewards Val: 581.25, Rewards Disc: 4.19, Rewards Eval: 607.50, Total Timesteps: 18250000 episode:72 

Rewards Tr: 572.02, Rewards Val: 551.47, Rewards Disc: 4.49, Rewards Eval: 570.49, Total Timesteps: 18500000 episode:73 

Rewards Tr: 564.60, Rewards Val: 561.22, Rewards Disc: 4.39, Rewards Eval: 579.86, Total Timesteps: 18750000 episode:74 

Rewards Tr: 600.13, Rewards Val: 599.01, Rewards Disc: 4.01, Rewards Eval: 438.64, Total Timesteps: 19000000 episode:75 

Rewards Tr: 563.16, Rewards Val: 567.68, Rewards Disc: 4.32, Rewards Eval: 630.31, Total Timesteps: 19250000 episode:76 

Rewards Tr: 599.35, Rewards Val: 565.36, Rewards Disc: 4.35, Rewards Eval: 628.70, Total Timesteps: 19500000 episode:77 

Rewards Tr: 595.23, Rewards Val: 567.01, Rewards Disc: 4.33, Rewards Eval: 583.85, Total Timesteps: 19750000 episode:78 

Rewards Tr: 595.81, Rewards Val: 569.10, Rewards Disc: 4.31, Rewards Eval: 638.74, Total Timesteps: 20000000 episode:79 

Rewards Tr: 587.98, Rewards Val: 609.17, Rewards Disc: 3.91, Rewards Eval: 571.28, Total Timesteps: 20250000 episode:80 

Rewards Tr: 562.63, Rewards Val: 610.80, Rewards Disc: 3.89, Rewards Eval: 463.33, Total Timesteps: 20500000 episode:81 

Rewards Tr: 579.54, Rewards Val: 611.79, Rewards Disc: 3.88, Rewards Eval: 592.92, Total Timesteps: 20750000 episode:82 

Rewards Tr: 601.07, Rewards Val: 588.19, Rewards Disc: 4.12, Rewards Eval: 490.13, Total Timesteps: 21000000 episode:83 

Rewards Tr: 601.58, Rewards Val: 618.60, Rewards Disc: 3.81, Rewards Eval: 617.28, Total Timesteps: 21250000 episode:84 

Rewards Tr: 598.78, Rewards Val: 581.97, Rewards Disc: 4.18, Rewards Eval: 549.53, Total Timesteps: 21500000 episode:85 

Rewards Tr: 607.85, Rewards Val: 604.76, Rewards Disc: 3.95, Rewards Eval: 601.57, Total Timesteps: 21750000 episode:86 

Rewards Tr: 615.44, Rewards Val: 605.69, Rewards Disc: 3.94, Rewards Eval: 686.51, Total Timesteps: 22000000 episode:87 

