For Seed: 1 

Rewards Tr: -1314.09, Rewards Eval: -703.08, Total Timesteps: 27530 episode:0 

Rewards Tr: -853.21, Rewards Eval: -625.08, Total Timesteps: 55970 episode:1 

Rewards Tr: -649.91, Rewards Eval: -428.15, Total Timesteps: 88370 episode:2 

Rewards Tr: -543.13, Rewards Eval: -504.11, Total Timesteps: 120950 episode:3 

Rewards Tr: -467.69, Rewards Eval: -286.32, Total Timesteps: 157200 episode:4 

Rewards Tr: -409.45, Rewards Eval: -376.14, Total Timesteps: 199590 episode:5 

Rewards Tr: -362.57, Rewards Eval: -334.73, Total Timesteps: 239630 episode:6 

Rewards Tr: -322.26, Rewards Eval: -271.56, Total Timesteps: 294320 episode:7 

Rewards Tr: -304.52, Rewards Eval: -181.45, Total Timesteps: 366870 episode:8 

Rewards Tr: -288.94, Rewards Eval: -158.76, Total Timesteps: 438790 episode:9 

Rewards Tr: -260.76, Rewards Eval: -128.94, Total Timesteps: 509590 episode:10 

Rewards Tr: -216.81, Rewards Eval: -94.39, Total Timesteps: 584620 episode:11 

Rewards Tr: -176.28, Rewards Eval: -125.55, Total Timesteps: 657870 episode:12 

Rewards Tr: -143.02, Rewards Eval: -162.24, Total Timesteps: 753750 episode:13 

Rewards Tr: -132.50, Rewards Eval: -64.46, Total Timesteps: 857890 episode:14 

Rewards Tr: -126.79, Rewards Eval: -115.11, Total Timesteps: 951260 episode:15 

Rewards Tr: -101.67, Rewards Eval: -126.18, Total Timesteps: 1069320 episode:16 

Rewards Tr: -82.19, Rewards Eval: -54.79, Total Timesteps: 1174600 episode:17 

Rewards Tr: -69.16, Rewards Eval: -33.94, Total Timesteps: 1280340 episode:18 

Rewards Tr: -71.11, Rewards Eval: -36.25, Total Timesteps: 1394070 episode:19 

Rewards Tr: -41.33, Rewards Eval: -39.20, Total Timesteps: 1474610 episode:20 

Rewards Tr: -53.01, Rewards Eval: -44.19, Total Timesteps: 1570980 episode:21 

Rewards Tr: -39.01, Rewards Eval: -51.28, Total Timesteps: 1676750 episode:22 

Rewards Tr: -29.44, Rewards Eval: -51.72, Total Timesteps: 1809060 episode:23 

Rewards Tr: -25.04, Rewards Eval: -50.21, Total Timesteps: 1897110 episode:24 

Rewards Tr: -31.00, Rewards Eval: -8.01, Total Timesteps: 2000310 episode:25 

Rewards Tr: -19.97, Rewards Eval: 33.11, Total Timesteps: 2109370 episode:26 

Rewards Tr: -21.55, Rewards Eval: -9.80, Total Timesteps: 2241340 episode:27 

Rewards Tr: -22.67, Rewards Eval: -15.72, Total Timesteps: 2383170 episode:28 

Rewards Tr: -16.20, Rewards Eval: 20.59, Total Timesteps: 2503520 episode:29 

Rewards Tr: -5.57, Rewards Eval: -17.68, Total Timesteps: 2640890 episode:30 

Rewards Tr: -3.03, Rewards Eval: -37.80, Total Timesteps: 2778830 episode:31 

Rewards Tr: -4.26, Rewards Eval: -26.60, Total Timesteps: 2928290 episode:32 

Rewards Tr: 0.02, Rewards Eval: -25.70, Total Timesteps: 3091490 episode:33 

