
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 101 

Rewards Tr: 5.86, Rewards Eval: -3.55, Total Timesteps: 9753330 episode:68 

Rewards Tr: 4.24, Rewards Eval: -13.66, Total Timesteps: 9979230 episode:69 

Rewards Tr: 5.69, Rewards Eval: 21.72, Total Timesteps: 10204030 episode:70 

Rewards Tr: 9.84, Rewards Eval: 6.90, Total Timesteps: 10454160 episode:71 

Rewards Tr: 11.56, Rewards Eval: 19.77, Total Timesteps: 10720820 episode:72 

Rewards Tr: 4.72, Rewards Eval: -14.42, Total Timesteps: 10967500 episode:73 

Rewards Tr: 12.45, Rewards Eval: 5.04, Total Timesteps: 11234200 episode:74 

Rewards Tr: 10.48, Rewards Eval: 40.66, Total Timesteps: 11451180 episode:75 

Rewards Tr: 15.23, Rewards Eval: -0.32, Total Timesteps: 11692560 episode:76 

Rewards Tr: 23.96, Rewards Eval: 21.58, Total Timesteps: 11950970 episode:77 

Rewards Tr: 24.44, Rewards Eval: 31.07, Total Timesteps: 12201630 episode:78 

Rewards Tr: 23.88, Rewards Eval: 27.75, Total Timesteps: 12476470 episode:79 

Rewards Tr: 24.09, Rewards Eval: -3.44, Total Timesteps: 12735900 episode:80 

Rewards Tr: 24.44, Rewards Eval: -11.42, Total Timesteps: 12985880 episode:81 

Rewards Tr: 28.73, Rewards Eval: 59.56, Total Timesteps: 13252840 episode:82 

Rewards Tr: 26.00, Rewards Eval: 43.28, Total Timesteps: 13527800 episode:83 

Rewards Tr: 36.58, Rewards Eval: 52.94, Total Timesteps: 13794950 episode:84 

Rewards Tr: 29.10, Rewards Eval: 22.92, Total Timesteps: 14053060 episode:85 

Rewards Tr: 35.79, Rewards Eval: 36.09, Total Timesteps: 14294110 episode:86 

Rewards Tr: 38.15, Rewards Eval: 51.78, Total Timesteps: 14543860 episode:87 

Rewards Tr: 40.98, Rewards Eval: 25.46, Total Timesteps: 14784500 episode:88 

Rewards Tr: 40.81, Rewards Eval: 28.26, Total Timesteps: 15031540 episode:89 

Rewards Tr: 40.95, Rewards Eval: 45.90, Total Timesteps: 15289450 episode:90 

Rewards Tr: 41.96, Rewards Eval: 29.34, Total Timesteps: 15538830 episode:91 

Rewards Tr: 46.95, Rewards Eval: 49.09, Total Timesteps: 15797210 episode:92 

Rewards Tr: 48.01, Rewards Eval: 66.39, Total Timesteps: 16063660 episode:93 

Rewards Tr: 50.96, Rewards Eval: 56.90, Total Timesteps: 16330470 episode:94 

Rewards Tr: 47.79, Rewards Eval: 60.90, Total Timesteps: 16588250 episode:95 

Rewards Tr: 48.13, Rewards Eval: 53.35, Total Timesteps: 16811810 episode:96 

Rewards Tr: 51.82, Rewards Eval: 59.81, Total Timesteps: 17052920 episode:97 

Rewards Tr: 55.45, Rewards Eval: 68.93, Total Timesteps: 17302190 episode:98 

Rewards Tr: 61.03, Rewards Eval: 67.42, Total Timesteps: 17559920 episode:99 

