For Seed: 102 

Rewards Tr: -830.99, Rewards Disc: 0.44, Rewards Eval: -643.34, Total Timesteps: 43630 episode:0 

Rewards Tr: -564.37, Rewards Disc: -0.32, Rewards Eval: -502.06, Total Timesteps: 85450 episode:1 

Rewards Tr: -425.91, Rewards Disc: -0.16, Rewards Eval: -404.00, Total Timesteps: 129970 episode:2 

Rewards Tr: -382.75, Rewards Disc: 0.16, Rewards Eval: -558.36, Total Timesteps: 174570 episode:3 

Rewards Tr: -338.23, Rewards Disc: -0.24, Rewards Eval: -439.47, Total Timesteps: 220290 episode:4 

Rewards Tr: -308.93, Rewards Disc: 0.18, Rewards Eval: -292.08, Total Timesteps: 274860 episode:5 

Rewards Tr: -268.29, Rewards Disc: -0.04, Rewards Eval: -320.46, Total Timesteps: 329360 episode:6 

Rewards Tr: -235.24, Rewards Disc: -0.11, Rewards Eval: -210.42, Total Timesteps: 386660 episode:7 

Rewards Tr: -200.81, Rewards Disc: -0.12, Rewards Eval: -175.27, Total Timesteps: 451470 episode:8 

Rewards Tr: -177.35, Rewards Disc: 0.00, Rewards Eval: -113.39, Total Timesteps: 509770 episode:9 

Rewards Tr: -165.15, Rewards Disc: 0.02, Rewards Eval: -34.69, Total Timesteps: 576400 episode:10 

Rewards Tr: -133.39, Rewards Disc: -0.13, Rewards Eval: -178.70, Total Timesteps: 648840 episode:11 

Rewards Tr: -128.86, Rewards Disc: 0.05, Rewards Eval: -201.44, Total Timesteps: 713740 episode:12 

Rewards Tr: -117.58, Rewards Disc: 0.01, Rewards Eval: -106.95, Total Timesteps: 797800 episode:13 

Rewards Tr: -101.26, Rewards Disc: -0.03, Rewards Eval: -110.07, Total Timesteps: 880930 episode:14 

Rewards Tr: -99.93, Rewards Disc: 0.13, Rewards Eval: -56.28, Total Timesteps: 979140 episode:15 

Rewards Tr: -86.84, Rewards Disc: -0.03, Rewards Eval: -69.84, Total Timesteps: 1049510 episode:16 

Rewards Tr: -82.27, Rewards Disc: 0.05, Rewards Eval: -58.71, Total Timesteps: 1138840 episode:17 

Rewards Tr: -70.21, Rewards Disc: -0.05, Rewards Eval: -47.56, Total Timesteps: 1223310 episode:18 

Rewards Tr: -67.28, Rewards Disc: -0.02, Rewards Eval: -76.78, Total Timesteps: 1302410 episode:19 

Rewards Tr: -61.52, Rewards Disc: -0.01, Rewards Eval: -71.67, Total Timesteps: 1398430 episode:20 

Rewards Tr: -60.46, Rewards Disc: 0.08, Rewards Eval: -56.81, Total Timesteps: 1501050 episode:21 

Rewards Tr: -50.45, Rewards Disc: -0.07, Rewards Eval: -44.45, Total Timesteps: 1617220 episode:22 

Rewards Tr: -44.60, Rewards Disc: -0.07, Rewards Eval: -24.20, Total Timesteps: 1698160 episode:23 

Rewards Tr: -42.09, Rewards Disc: -0.04, Rewards Eval: -62.46, Total Timesteps: 1819820 episode:24 

Rewards Tr: -44.23, Rewards Disc: 0.01, Rewards Eval: -64.13, Total Timesteps: 1908850 episode:25 

Rewards Tr: -38.06, Rewards Disc: 0.05, Rewards Eval: 7.70, Total Timesteps: 2008010 episode:26 

Rewards Tr: -39.02, Rewards Disc: 0.06, Rewards Eval: 1.32, Total Timesteps: 2141280 episode:27 

Rewards Tr: -29.38, Rewards Disc: -0.01, Rewards Eval: -118.54, Total Timesteps: 2246920 episode:28 

Rewards Tr: -23.06, Rewards Disc: -0.07, Rewards Eval: -140.81, Total Timesteps: 2373680 episode:29 

Rewards Tr: -25.31, Rewards Disc: 0.01, Rewards Eval: -90.24, Total Timesteps: 2500750 episode:30 

Rewards Tr: -21.10, Rewards Disc: -0.01, Rewards Eval: -199.60, Total Timesteps: 2609370 episode:31 

Rewards Tr: -18.46, Rewards Disc: -0.03, Rewards Eval: -222.48, Total Timesteps: 2751550 episode:32 

Rewards Tr: -11.30, Rewards Disc: -0.07, Rewards Eval: -89.16, Total Timesteps: 2912830 episode:33 

Rewards Tr: -15.74, Rewards Disc: 0.03, Rewards Eval: -287.48, Total Timesteps: 3054230 episode:34 

Rewards Tr: -6.04, Rewards Disc: -0.05, Rewards Eval: -491.27, Total Timesteps: 3186250 episode:35 

Rewards Tr: -17.07, Rewards Disc: 0.07, Rewards Eval: -418.39, Total Timesteps: 3390630 episode:36 

Rewards Tr: -10.59, Rewards Disc: -0.02, Rewards Eval: -302.72, Total Timesteps: 3595900 episode:37 

Rewards Tr: -11.69, Rewards Disc: 0.07, Rewards Eval: -701.23, Total Timesteps: 3847100 episode:38 

Rewards Tr: -15.03, Rewards Disc: 0.07, Rewards Eval: -411.34, Total Timesteps: 4087970 episode:39 

Rewards Tr: -6.16, Rewards Disc: -0.06, Rewards Eval: -1225.59, Total Timesteps: 4344320 episode:40 

Rewards Tr: -12.49, Rewards Disc: 0.06, Rewards Eval: -886.53, Total Timesteps: 4622310 episode:41 

Rewards Tr: -14.80, Rewards Disc: 0.03, Rewards Eval: -1431.57, Total Timesteps: 4909370 episode:42 

Rewards Tr: -7.51, Rewards Disc: -0.05, Rewards Eval: -1613.51, Total Timesteps: 5208010 episode:43 

Rewards Tr: -8.95, Rewards Disc: 0.05, Rewards Eval: -1238.10, Total Timesteps: 5499280 episode:44 

Rewards Tr: -13.75, Rewards Disc: 0.03, Rewards Eval: -839.15, Total Timesteps: 5789680 episode:45 

Rewards Tr: -7.88, Rewards Disc: -0.02, Rewards Eval: -783.99, Total Timesteps: 6076440 episode:46 

Rewards Tr: -7.33, Rewards Disc: 0.01, Rewards Eval: -789.31, Total Timesteps: 6367270 episode:47 

Rewards Tr: -3.39, Rewards Disc: -0.00, Rewards Eval: -150.67, Total Timesteps: 6667270 episode:48 

Rewards Tr: -1.36, Rewards Disc: -0.03, Rewards Eval: -545.38, Total Timesteps: 6967270 episode:49 

Rewards Tr: -6.72, Rewards Disc: 0.03, Rewards Eval: -324.43, Total Timesteps: 7267270 episode:50 

Rewards Tr: -1.11, Rewards Disc: -0.00, Rewards Eval: -193.82, Total Timesteps: 7566360 episode:51 

Rewards Tr: 0.29, Rewards Disc: -0.04, Rewards Eval: -185.81, Total Timesteps: 7866360 episode:52 

Rewards Tr: -6.39, Rewards Disc: 0.02, Rewards Eval: -114.66, Total Timesteps: 8166360 episode:53 

Rewards Tr: -6.36, Rewards Disc: 0.01, Rewards Eval: -155.72, Total Timesteps: 8466360 episode:54 

Rewards Tr: -2.89, Rewards Disc: -0.04, Rewards Eval: -141.38, Total Timesteps: 8766360 episode:55 

Rewards Tr: -1.46, Rewards Disc: -0.06, Rewards Eval: -63.50, Total Timesteps: 9066360 episode:56 

Rewards Tr: -4.31, Rewards Disc: 0.02, Rewards Eval: -55.84, Total Timesteps: 9366360 episode:57 

Rewards Tr: -4.23, Rewards Disc: 0.06, Rewards Eval: -109.40, Total Timesteps: 9666360 episode:58 

Rewards Tr: -1.33, Rewards Disc: -0.01, Rewards Eval: -86.05, Total Timesteps: 9966360 episode:59 

Rewards Tr: -2.00, Rewards Disc: 0.03, Rewards Eval: -71.66, Total Timesteps: 10266360 episode:60 

Rewards Tr: -0.04, Rewards Disc: 0.04, Rewards Eval: -63.32, Total Timesteps: 10566360 episode:61 

Rewards Tr: -1.95, Rewards Disc: 0.02, Rewards Eval: -26.88, Total Timesteps: 10866360 episode:62 

Rewards Tr: 3.05, Rewards Disc: -0.02, Rewards Eval: -40.09, Total Timesteps: 11166360 episode:63 

Rewards Tr: 0.56, Rewards Disc: -0.00, Rewards Eval: -33.47, Total Timesteps: 11466360 episode:64 

Rewards Tr: 4.83, Rewards Disc: 0.01, Rewards Eval: -1.77, Total Timesteps: 11766360 episode:65 

Rewards Tr: 4.51, Rewards Disc: 0.00, Rewards Eval: -8.23, Total Timesteps: 12066360 episode:66 

Rewards Tr: 6.15, Rewards Disc: 0.01, Rewards Eval: -9.99, Total Timesteps: 12366360 episode:67 

Rewards Tr: 12.43, Rewards Disc: -0.01, Rewards Eval: -3.96, Total Timesteps: 12666360 episode:68 

Rewards Tr: 12.06, Rewards Disc: -0.01, Rewards Eval: -17.98, Total Timesteps: 12966360 episode:69 

Rewards Tr: 10.96, Rewards Disc: 0.01, Rewards Eval: 6.27, Total Timesteps: 13266360 episode:70 

Rewards Tr: 14.75, Rewards Disc: 0.02, Rewards Eval: 37.70, Total Timesteps: 13566360 episode:71 

Rewards Tr: 16.72, Rewards Disc: -0.02, Rewards Eval: 13.03, Total Timesteps: 13866360 episode:72 

Rewards Tr: 18.01, Rewards Disc: 0.00, Rewards Eval: 6.19, Total Timesteps: 14166360 episode:73 

Rewards Tr: 17.79, Rewards Disc: 0.05, Rewards Eval: 12.12, Total Timesteps: 14466360 episode:74 

Rewards Tr: 19.50, Rewards Disc: 0.04, Rewards Eval: 55.43, Total Timesteps: 14766360 episode:75 

Rewards Tr: 24.27, Rewards Disc: -0.01, Rewards Eval: -1.33, Total Timesteps: 15066360 episode:76 

Rewards Tr: 26.06, Rewards Disc: -0.01, Rewards Eval: -2.10, Total Timesteps: 15366360 episode:77 

Rewards Tr: 31.54, Rewards Disc: 0.00, Rewards Eval: 31.00, Total Timesteps: 15666360 episode:78 

Rewards Tr: 29.77, Rewards Disc: 0.01, Rewards Eval: 18.03, Total Timesteps: 15966360 episode:79 

Rewards Tr: 33.63, Rewards Disc: 0.01, Rewards Eval: 34.98, Total Timesteps: 16266360 episode:80 

Rewards Tr: 31.92, Rewards Disc: 0.04, Rewards Eval: 27.79, Total Timesteps: 16566360 episode:81 

Rewards Tr: 38.94, Rewards Disc: 0.01, Rewards Eval: -15.25, Total Timesteps: 16866360 episode:82 

Rewards Tr: 40.51, Rewards Disc: -0.04, Rewards Eval: 40.71, Total Timesteps: 17166360 episode:83 

Rewards Tr: 40.67, Rewards Disc: -0.02, Rewards Eval: 41.73, Total Timesteps: 17466360 episode:84 

Rewards Tr: 45.80, Rewards Disc: -0.03, Rewards Eval: 44.03, Total Timesteps: 17766360 episode:85 

Rewards Tr: 40.01, Rewards Disc: 0.06, Rewards Eval: 32.45, Total Timesteps: 18066360 episode:86 

Rewards Tr: 46.97, Rewards Disc: -0.02, Rewards Eval: 34.10, Total Timesteps: 18366360 episode:87 

Rewards Tr: 51.08, Rewards Disc: 0.00, Rewards Eval: 58.78, Total Timesteps: 18666360 episode:88 

Rewards Tr: 52.84, Rewards Disc: 0.02, Rewards Eval: 53.83, Total Timesteps: 18966360 episode:89 

Rewards Tr: 61.59, Rewards Disc: -0.06, Rewards Eval: 29.43, Total Timesteps: 19266360 episode:90 

Rewards Tr: 58.59, Rewards Disc: 0.00, Rewards Eval: 59.69, Total Timesteps: 19566360 episode:91 

Rewards Tr: 63.13, Rewards Disc: -0.02, Rewards Eval: 62.22, Total Timesteps: 19866360 episode:92 

Rewards Tr: 69.69, Rewards Disc: 0.03, Rewards Eval: 56.43, Total Timesteps: 20166360 episode:93 

Rewards Tr: 71.78, Rewards Disc: 0.06, Rewards Eval: 63.24, Total Timesteps: 20466360 episode:94 

Rewards Tr: 76.63, Rewards Disc: -0.01, Rewards Eval: 51.66, Total Timesteps: 20766360 episode:95 

Rewards Tr: 63.49, Rewards Disc: 0.18, Rewards Eval: 48.58, Total Timesteps: 21066360 episode:96 

Rewards Tr: 64.30, Rewards Disc: 0.20, Rewards Eval: 51.46, Total Timesteps: 21366360 episode:97 

Rewards Tr: 66.31, Rewards Disc: 0.23, Rewards Eval: 67.69, Total Timesteps: 21666360 episode:98 

Rewards Tr: 68.97, Rewards Disc: 0.25, Rewards Eval: 94.93, Total Timesteps: 21966360 episode:99 

Rewards Tr: 69.64, Rewards Disc: 0.20, Rewards Eval: 68.54, Total Timesteps: 22266360 episode:100 

Rewards Tr: 76.00, Rewards Disc: 0.19, Rewards Eval: 35.26, Total Timesteps: 22566360 episode:101 

Rewards Tr: 76.07, Rewards Disc: 0.20, Rewards Eval: 93.56, Total Timesteps: 22866360 episode:102 

Rewards Tr: 82.83, Rewards Disc: 0.19, Rewards Eval: 65.84, Total Timesteps: 23166360 episode:103 

