For Seed: 1 

Rewards Tr: 944.56, Rewards Disc: 0.21, Rewards Eval: 689.49, Total Timesteps: 2416290 episode:54 

Rewards Tr: 959.19, Rewards Disc: -0.04, Rewards Eval: 875.52, Total Timesteps: 2509020 episode:55 

Rewards Tr: 961.89, Rewards Disc: 0.25, Rewards Eval: 671.79, Total Timesteps: 2606210 episode:56 

Rewards Tr: 1057.53, Rewards Disc: 0.09, Rewards Eval: 797.81, Total Timesteps: 2712480 episode:57 

Rewards Tr: 810.76, Rewards Disc: 2.27, Rewards Eval: 849.12, Total Timesteps: 2812700 episode:58 

Rewards Tr: 777.09, Rewards Disc: 2.60, Rewards Eval: 834.53, Total Timesteps: 2909360 episode:59 

Rewards Tr: 747.36, Rewards Disc: 3.02, Rewards Eval: 821.99, Total Timesteps: 3001380 episode:60 

Rewards Tr: 784.81, Rewards Disc: 2.38, Rewards Eval: 921.42, Total Timesteps: 3100640 episode:61 

Rewards Tr: 750.84, Rewards Disc: 3.05, Rewards Eval: 666.86, Total Timesteps: 3187640 episode:62 

Rewards Tr: 778.31, Rewards Disc: 2.86, Rewards Eval: 758.39, Total Timesteps: 3282720 episode:63 

Rewards Tr: 810.83, Rewards Disc: 3.40, Rewards Eval: 928.82, Total Timesteps: 3379410 episode:64 

Rewards Tr: 828.93, Rewards Disc: 4.09, Rewards Eval: 779.63, Total Timesteps: 3489810 episode:65 

Rewards Tr: 817.80, Rewards Disc: 4.12, Rewards Eval: 828.95, Total Timesteps: 3605360 episode:66 

Rewards Tr: 833.90, Rewards Disc: 4.33, Rewards Eval: 860.22, Total Timesteps: 3722320 episode:67 

Rewards Tr: 869.68, Rewards Disc: 2.75, Rewards Eval: 1053.96, Total Timesteps: 3835760 episode:68 

Rewards Tr: 887.07, Rewards Disc: 2.67, Rewards Eval: 1124.21, Total Timesteps: 3947960 episode:69 

Rewards Tr: 866.37, Rewards Disc: 3.50, Rewards Eval: 892.11, Total Timesteps: 4073420 episode:70 

Rewards Tr: 1005.61, Rewards Disc: 2.20, Rewards Eval: 934.24, Total Timesteps: 4218290 episode:71 

Rewards Tr: 860.33, Rewards Disc: 3.91, Rewards Eval: 1147.07, Total Timesteps: 4328540 episode:72 

Rewards Tr: 787.66, Rewards Disc: 4.28, Rewards Eval: 1057.20, Total Timesteps: 4442670 episode:73 

Rewards Tr: 773.47, Rewards Disc: 4.84, Rewards Eval: 714.40, Total Timesteps: 4551690 episode:74 

Rewards Tr: 848.46, Rewards Disc: 4.58, Rewards Eval: 1216.88, Total Timesteps: 4669130 episode:75 

Rewards Tr: 866.49, Rewards Disc: 4.86, Rewards Eval: 934.24, Total Timesteps: 4793760 episode:76 

Rewards Tr: 896.47, Rewards Disc: 5.16, Rewards Eval: 954.97, Total Timesteps: 4926710 episode:77 

Rewards Tr: 911.58, Rewards Disc: 5.16, Rewards Eval: 961.83, Total Timesteps: 5065250 episode:78 

Rewards Tr: 889.38, Rewards Disc: 5.35, Rewards Eval: 1288.54, Total Timesteps: 5190990 episode:79 

Rewards Tr: 909.26, Rewards Disc: 5.18, Rewards Eval: 973.67, Total Timesteps: 5331910 episode:80 

Rewards Tr: 1000.11, Rewards Disc: 4.81, Rewards Eval: 1863.95, Total Timesteps: 5486480 episode:81 

Rewards Tr: 891.67, Rewards Disc: 5.12, Rewards Eval: 1197.89, Total Timesteps: 5620930 episode:82 

Rewards Tr: 945.53, Rewards Disc: 4.73, Rewards Eval: 1099.59, Total Timesteps: 5761470 episode:83 

Rewards Tr: 862.15, Rewards Disc: 6.00, Rewards Eval: 1348.98, Total Timesteps: 5885360 episode:84 

Rewards Tr: 921.88, Rewards Disc: 5.05, Rewards Eval: 813.62, Total Timesteps: 6022990 episode:85 

Rewards Tr: 964.75, Rewards Disc: 3.29, Rewards Eval: 1567.24, Total Timesteps: 6159120 episode:86 

Rewards Tr: 935.09, Rewards Disc: 3.92, Rewards Eval: 1035.60, Total Timesteps: 6299940 episode:87 

Rewards Tr: 997.09, Rewards Disc: 2.20, Rewards Eval: 1189.75, Total Timesteps: 6440710 episode:88 

Rewards Tr: 967.08, Rewards Disc: 4.33, Rewards Eval: 1106.09, Total Timesteps: 6582940 episode:89 

Rewards Tr: 974.08, Rewards Disc: 3.50, Rewards Eval: 903.60, Total Timesteps: 6728600 episode:90 

Rewards Tr: 972.87, Rewards Disc: 3.77, Rewards Eval: 1146.39, Total Timesteps: 6870170 episode:91 

Rewards Tr: 1030.66, Rewards Disc: 3.12, Rewards Eval: 771.83, Total Timesteps: 7015890 episode:92 

Rewards Tr: 964.46, Rewards Disc: 4.75, Rewards Eval: 1292.11, Total Timesteps: 7163990 episode:93 

Rewards Tr: 1021.86, Rewards Disc: 4.57, Rewards Eval: 1020.49, Total Timesteps: 7323980 episode:94 

Rewards Tr: 1086.75, Rewards Disc: 4.06, Rewards Eval: 1468.17, Total Timesteps: 7486080 episode:95 

Rewards Tr: 1173.50, Rewards Disc: 3.98, Rewards Eval: 1497.15, Total Timesteps: 7667530 episode:96 

Rewards Tr: 1124.22, Rewards Disc: 5.02, Rewards Eval: 1304.90, Total Timesteps: 7842660 episode:97 

Rewards Tr: 1106.06, Rewards Disc: 4.46, Rewards Eval: 1750.34, Total Timesteps: 7999570 episode:98 

Rewards Tr: 1099.79, Rewards Disc: 5.68, Rewards Eval: 1251.55, Total Timesteps: 8169040 episode:99 

Rewards Tr: 1064.19, Rewards Disc: 4.38, Rewards Eval: 1913.03, Total Timesteps: 8325210 episode:100 

Rewards Tr: 1130.57, Rewards Disc: 3.52, Rewards Eval: 1423.32, Total Timesteps: 8496980 episode:101 

Rewards Tr: 963.76, Rewards Disc: 5.10, Rewards Eval: 1602.82, Total Timesteps: 8637410 episode:102 

Rewards Tr: 1134.60, Rewards Disc: 3.33, Rewards Eval: 1468.60, Total Timesteps: 8808360 episode:103 

Rewards Tr: 1077.54, Rewards Disc: 3.18, Rewards Eval: 857.80, Total Timesteps: 8961750 episode:104 

Rewards Tr: 1180.34, Rewards Disc: 0.31, Rewards Eval: 1294.56, Total Timesteps: 9130630 episode:105 

Rewards Tr: 1137.42, Rewards Disc: 2.79, Rewards Eval: 1684.14, Total Timesteps: 9302830 episode:106 

Rewards Tr: 1022.55, Rewards Disc: 3.55, Rewards Eval: 1283.55, Total Timesteps: 9446180 episode:107 

Rewards Tr: 1150.95, Rewards Disc: 0.57, Rewards Eval: 1229.54, Total Timesteps: 9607900 episode:108 

Rewards Tr: 1001.74, Rewards Disc: 2.13, Rewards Eval: 1052.68, Total Timesteps: 9753940 episode:109 

Rewards Tr: 1047.86, Rewards Disc: 0.70, Rewards Eval: 1541.74, Total Timesteps: 9902760 episode:110 

Rewards Tr: 1014.02, Rewards Disc: -0.99, Rewards Eval: 1016.54, Total Timesteps: 10053510 episode:111 

Rewards Tr: 1152.64, Rewards Disc: -4.51, Rewards Eval: 1233.61, Total Timesteps: 10225530 episode:112 

Rewards Tr: 1157.64, Rewards Disc: -4.53, Rewards Eval: 1210.16, Total Timesteps: 10396040 episode:113 

Rewards Tr: 1077.61, Rewards Disc: -0.98, Rewards Eval: 1043.68, Total Timesteps: 10557570 episode:114 

Rewards Tr: 1124.38, Rewards Disc: -2.65, Rewards Eval: 970.10, Total Timesteps: 10723620 episode:115 

Rewards Tr: 1135.94, Rewards Disc: -3.28, Rewards Eval: 1153.50, Total Timesteps: 10894900 episode:116 

Rewards Tr: 1099.60, Rewards Disc: -3.20, Rewards Eval: 1253.18, Total Timesteps: 11055370 episode:117 

Rewards Tr: 960.08, Rewards Disc: -0.24, Rewards Eval: 1045.54, Total Timesteps: 11182000 episode:118 

Rewards Tr: 1010.51, Rewards Disc: -1.60, Rewards Eval: 1026.35, Total Timesteps: 11318090 episode:119 

Rewards Tr: 960.69, Rewards Disc: -2.07, Rewards Eval: 593.45, Total Timesteps: 11447090 episode:120 

Rewards Tr: 1066.27, Rewards Disc: -4.43, Rewards Eval: 1582.75, Total Timesteps: 11594430 episode:121 

Rewards Tr: 1148.47, Rewards Disc: -5.49, Rewards Eval: 1049.17, Total Timesteps: 11754400 episode:122 

Rewards Tr: 1134.48, Rewards Disc: -4.96, Rewards Eval: 1482.92, Total Timesteps: 11916870 episode:123 

Rewards Tr: 1038.71, Rewards Disc: -1.55, Rewards Eval: 659.19, Total Timesteps: 12062580 episode:124 

Rewards Tr: 1029.91, Rewards Disc: -2.92, Rewards Eval: 823.28, Total Timesteps: 12208180 episode:125 

Rewards Tr: 1107.08, Rewards Disc: -3.45, Rewards Eval: 744.79, Total Timesteps: 12368940 episode:126 

Rewards Tr: 1045.50, Rewards Disc: -2.97, Rewards Eval: 1110.96, Total Timesteps: 12515080 episode:127 

Rewards Tr: 1188.76, Rewards Disc: -5.69, Rewards Eval: 1538.34, Total Timesteps: 12693160 episode:128 

Rewards Tr: 1287.04, Rewards Disc: -6.21, Rewards Eval: 1404.04, Total Timesteps: 12872490 episode:129 

Rewards Tr: 1230.50, Rewards Disc: -4.00, Rewards Eval: 1468.31, Total Timesteps: 13052070 episode:130 

Rewards Tr: 1188.96, Rewards Disc: -1.61, Rewards Eval: 813.25, Total Timesteps: 13214340 episode:131 

Rewards Tr: 1192.30, Rewards Disc: -0.80, Rewards Eval: 1225.44, Total Timesteps: 13358250 episode:132 

Rewards Tr: 1134.48, Rewards Disc: 0.54, Rewards Eval: 929.01, Total Timesteps: 13497650 episode:133 

Rewards Tr: 1194.72, Rewards Disc: 0.63, Rewards Eval: 963.03, Total Timesteps: 13638880 episode:134 

Rewards Tr: 1183.88, Rewards Disc: 0.99, Rewards Eval: 1362.21, Total Timesteps: 13775130 episode:135 

Rewards Tr: 1123.93, Rewards Disc: 1.10, Rewards Eval: 981.39, Total Timesteps: 13894650 episode:136 

Rewards Tr: 1184.33, Rewards Disc: 1.16, Rewards Eval: 902.20, Total Timesteps: 14029990 episode:137 

Rewards Tr: 1175.18, Rewards Disc: 1.60, Rewards Eval: 1347.02, Total Timesteps: 14180300 episode:138 

Rewards Tr: 1100.63, Rewards Disc: 2.21, Rewards Eval: 979.20, Total Timesteps: 14305360 episode:139 

Rewards Tr: 1138.62, Rewards Disc: 1.77, Rewards Eval: 1009.82, Total Timesteps: 14433730 episode:140 

Rewards Tr: 1162.16, Rewards Disc: 1.82, Rewards Eval: 1049.19, Total Timesteps: 14569280 episode:141 

Rewards Tr: 1330.34, Rewards Disc: 0.42, Rewards Eval: 1191.75, Total Timesteps: 14717720 episode:142 

Rewards Tr: 1375.97, Rewards Disc: -0.02, Rewards Eval: 1087.47, Total Timesteps: 14882490 episode:143 

Rewards Tr: 1316.05, Rewards Disc: 1.05, Rewards Eval: 1201.79, Total Timesteps: 15040230 episode:144 

Rewards Tr: 1171.43, Rewards Disc: 2.45, Rewards Eval: 1074.46, Total Timesteps: 15174720 episode:145 

Rewards Tr: 1259.73, Rewards Disc: 1.91, Rewards Eval: 1318.84, Total Timesteps: 15327150 episode:146 

Rewards Tr: 1334.08, Rewards Disc: 1.58, Rewards Eval: 1005.50, Total Timesteps: 15485660 episode:147 

Rewards Tr: 1274.55, Rewards Disc: 1.82, Rewards Eval: 1155.30, Total Timesteps: 15628900 episode:148 

Rewards Tr: 1463.70, Rewards Disc: 0.25, Rewards Eval: 1498.33, Total Timesteps: 15798540 episode:149 

Rewards Tr: 1501.56, Rewards Disc: 0.06, Rewards Eval: 1975.46, Total Timesteps: 15960150 episode:150 

Rewards Tr: 1710.01, Rewards Disc: -1.44, Rewards Eval: 1496.53, Total Timesteps: 16140950 episode:151 

Rewards Tr: 1741.27, Rewards Disc: -0.99, Rewards Eval: 1249.71, Total Timesteps: 16328760 episode:152 

Rewards Tr: 1723.12, Rewards Disc: -0.98, Rewards Eval: 1414.46, Total Timesteps: 16520640 episode:153 

Rewards Tr: 1668.53, Rewards Disc: -0.32, Rewards Eval: 1161.60, Total Timesteps: 16704350 episode:154 

Rewards Tr: 1698.31, Rewards Disc: -0.85, Rewards Eval: 1578.34, Total Timesteps: 16894400 episode:155 

Rewards Tr: 1800.96, Rewards Disc: -0.50, Rewards Eval: 1244.71, Total Timesteps: 17086630 episode:156 

Rewards Tr: 1602.15, Rewards Disc: 0.90, Rewards Eval: 1457.26, Total Timesteps: 17272460 episode:157 

Rewards Tr: 1601.81, Rewards Disc: 2.47, Rewards Eval: 1550.63, Total Timesteps: 17467720 episode:158 

Rewards Tr: 1685.35, Rewards Disc: 1.33, Rewards Eval: 1572.30, Total Timesteps: 17661580 episode:159 

Rewards Tr: 1452.57, Rewards Disc: 3.00, Rewards Eval: 1558.84, Total Timesteps: 17853240 episode:160 

Rewards Tr: 1455.63, Rewards Disc: 4.21, Rewards Eval: 1698.31, Total Timesteps: 18045170 episode:161 

Rewards Tr: 1637.79, Rewards Disc: 1.90, Rewards Eval: 1478.05, Total Timesteps: 18237590 episode:162 

Rewards Tr: 1640.08, Rewards Disc: 1.53, Rewards Eval: 1465.78, Total Timesteps: 18431740 episode:163 

Rewards Tr: 1514.27, Rewards Disc: 3.87, Rewards Eval: 1450.80, Total Timesteps: 18623340 episode:164 

Rewards Tr: 1631.76, Rewards Disc: 2.82, Rewards Eval: 1828.04, Total Timesteps: 18818140 episode:165 

Rewards Tr: 1631.50, Rewards Disc: 3.55, Rewards Eval: 1609.14, Total Timesteps: 19016060 episode:166 

Rewards Tr: 1651.01, Rewards Disc: 2.20, Rewards Eval: 2008.66, Total Timesteps: 19208060 episode:167 

Rewards Tr: 1673.51, Rewards Disc: 2.27, Rewards Eval: 1856.89, Total Timesteps: 19400760 episode:168 

Rewards Tr: 1638.80, Rewards Disc: 3.61, Rewards Eval: 1876.38, Total Timesteps: 19595640 episode:169 

Rewards Tr: 1507.45, Rewards Disc: 3.72, Rewards Eval: 1683.82, Total Timesteps: 19787410 episode:170 

Rewards Tr: 1473.67, Rewards Disc: 3.08, Rewards Eval: 1850.72, Total Timesteps: 19981430 episode:171 

Rewards Tr: 1633.50, Rewards Disc: 0.65, Rewards Eval: 2164.74, Total Timesteps: 20172970 episode:172 

Rewards Tr: 1506.34, Rewards Disc: 1.94, Rewards Eval: 1720.23, Total Timesteps: 20365560 episode:173 

Rewards Tr: 1521.28, Rewards Disc: 2.58, Rewards Eval: 1941.23, Total Timesteps: 20558650 episode:174 

Rewards Tr: 1548.27, Rewards Disc: 1.62, Rewards Eval: 1553.08, Total Timesteps: 20753320 episode:175 

Rewards Tr: 1603.94, Rewards Disc: 1.57, Rewards Eval: 1804.38, Total Timesteps: 20952360 episode:176 

