
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 10 

Rewards Tr: 50.16, Rewards Eval: 45.14, Total Timesteps: 15878720 episode:68 

Rewards Tr: 51.97, Rewards Eval: 46.73, Total Timesteps: 16178720 episode:69 

Rewards Tr: 54.91, Rewards Eval: 71.13, Total Timesteps: 16478720 episode:70 

Rewards Tr: 56.14, Rewards Eval: 53.63, Total Timesteps: 16778720 episode:71 

Rewards Tr: 56.50, Rewards Eval: 70.50, Total Timesteps: 17078720 episode:72 

Rewards Tr: 61.14, Rewards Eval: 70.79, Total Timesteps: 17378720 episode:73 

Rewards Tr: 63.77, Rewards Eval: 52.31, Total Timesteps: 17678720 episode:74 

Rewards Tr: 62.48, Rewards Eval: 56.74, Total Timesteps: 17978720 episode:75 

Rewards Tr: 59.91, Rewards Eval: 52.26, Total Timesteps: 18278720 episode:76 

Rewards Tr: 68.38, Rewards Eval: 58.52, Total Timesteps: 18578720 episode:77 

Rewards Tr: 67.98, Rewards Eval: 82.57, Total Timesteps: 18878720 episode:78 

Rewards Tr: 69.25, Rewards Eval: 86.80, Total Timesteps: 19178720 episode:79 

Rewards Tr: 74.05, Rewards Eval: 67.18, Total Timesteps: 19478720 episode:80 

Rewards Tr: 78.74, Rewards Eval: 103.81, Total Timesteps: 19778720 episode:81 

Rewards Tr: 79.75, Rewards Eval: 107.10, Total Timesteps: 20078720 episode:82 

Rewards Tr: 86.44, Rewards Eval: 67.28, Total Timesteps: 20378720 episode:83 

Rewards Tr: 88.99, Rewards Eval: 93.90, Total Timesteps: 20678720 episode:84 

Rewards Tr: 88.44, Rewards Eval: 104.09, Total Timesteps: 20978720 episode:85 

Rewards Tr: 91.78, Rewards Eval: 99.77, Total Timesteps: 21278720 episode:86 

Rewards Tr: 98.88, Rewards Eval: 126.01, Total Timesteps: 21578720 episode:87 

Rewards Tr: 101.24, Rewards Eval: 122.25, Total Timesteps: 21878720 episode:88 

Rewards Tr: 102.29, Rewards Eval: 103.40, Total Timesteps: 22178720 episode:89 

Rewards Tr: 105.83, Rewards Eval: 119.82, Total Timesteps: 22478720 episode:90 

Rewards Tr: 113.59, Rewards Eval: 77.89, Total Timesteps: 22778720 episode:91 

Rewards Tr: 114.82, Rewards Eval: 142.20, Total Timesteps: 23078720 episode:92 

Rewards Tr: 119.87, Rewards Eval: 115.90, Total Timesteps: 23378720 episode:93 

Rewards Tr: 121.92, Rewards Eval: 124.60, Total Timesteps: 23678720 episode:94 

Rewards Tr: 124.35, Rewards Eval: 145.03, Total Timesteps: 23978720 episode:95 

Rewards Tr: 127.21, Rewards Eval: 143.85, Total Timesteps: 24278720 episode:96 

Rewards Tr: 132.91, Rewards Eval: 124.26, Total Timesteps: 24578720 episode:97 

Rewards Tr: 134.32, Rewards Eval: 159.90, Total Timesteps: 24878720 episode:98 

Rewards Tr: 139.86, Rewards Eval: 117.69, Total Timesteps: 25178720 episode:99 

Rewards Tr: 144.07, Rewards Eval: 145.32, Total Timesteps: 25478720 episode:100 

Rewards Tr: 145.56, Rewards Eval: 169.32, Total Timesteps: 25778720 episode:101 

Rewards Tr: 147.06, Rewards Eval: 159.77, Total Timesteps: 26078720 episode:102 

Rewards Tr: 146.52, Rewards Eval: 151.92, Total Timesteps: 26378720 episode:103 

Rewards Tr: 148.26, Rewards Eval: 181.84, Total Timesteps: 26678720 episode:104 

Rewards Tr: 151.73, Rewards Eval: 163.11, Total Timesteps: 26978720 episode:105 

Rewards Tr: 154.00, Rewards Eval: 141.92, Total Timesteps: 27278720 episode:106 

Rewards Tr: 154.12, Rewards Eval: 151.75, Total Timesteps: 27578720 episode:107 

Rewards Tr: 147.66, Rewards Eval: 164.54, Total Timesteps: 27878720 episode:108 

Rewards Tr: 155.88, Rewards Eval: 145.66, Total Timesteps: 28178720 episode:109 

Rewards Tr: 162.81, Rewards Eval: 187.43, Total Timesteps: 28478720 episode:110 

Rewards Tr: 156.72, Rewards Eval: 146.41, Total Timesteps: 28778720 episode:111 

Rewards Tr: 158.14, Rewards Eval: 159.68, Total Timesteps: 29078720 episode:112 

Rewards Tr: 162.87, Rewards Eval: 165.17, Total Timesteps: 29378720 episode:113 

Rewards Tr: 164.83, Rewards Eval: 180.37, Total Timesteps: 29678720 episode:114 

Rewards Tr: 161.37, Rewards Eval: 170.54, Total Timesteps: 29978720 episode:115 

Rewards Tr: 163.10, Rewards Eval: 183.39, Total Timesteps: 30278720 episode:116 

Rewards Tr: 169.80, Rewards Eval: 197.41, Total Timesteps: 30578720 episode:117 

Rewards Tr: 164.95, Rewards Eval: 155.79, Total Timesteps: 30878720 episode:118 

Rewards Tr: 170.59, Rewards Eval: 164.65, Total Timesteps: 31178720 episode:119 

Rewards Tr: 168.22, Rewards Eval: 156.10, Total Timesteps: 31478720 episode:120 

Rewards Tr: 169.52, Rewards Eval: 182.76, Total Timesteps: 31778720 episode:121 

Rewards Tr: 169.12, Rewards Eval: 184.37, Total Timesteps: 32078720 episode:122 

Rewards Tr: 169.24, Rewards Eval: 181.16, Total Timesteps: 32378720 episode:123 

Rewards Tr: 171.76, Rewards Eval: 186.34, Total Timesteps: 32678720 episode:124 

Rewards Tr: 167.33, Rewards Eval: 200.20, Total Timesteps: 32978720 episode:125 

Rewards Tr: 172.79, Rewards Eval: 139.92, Total Timesteps: 33278720 episode:126 

Rewards Tr: 170.67, Rewards Eval: 135.13, Total Timesteps: 33578720 episode:127 

Rewards Tr: 173.77, Rewards Eval: 155.91, Total Timesteps: 33878720 episode:128 

Rewards Tr: 171.07, Rewards Eval: 156.28, Total Timesteps: 34178720 episode:129 

Rewards Tr: 176.97, Rewards Eval: 180.54, Total Timesteps: 34478720 episode:130 

Rewards Tr: 173.21, Rewards Eval: 199.16, Total Timesteps: 34778720 episode:131 

Rewards Tr: 169.93, Rewards Eval: 197.57, Total Timesteps: 35078720 episode:132 

Rewards Tr: 173.82, Rewards Eval: 177.89, Total Timesteps: 35378720 episode:133 

Rewards Tr: 172.50, Rewards Eval: 181.04, Total Timesteps: 35678720 episode:134 

Rewards Tr: 173.18, Rewards Eval: 144.52, Total Timesteps: 35978720 episode:135 

Rewards Tr: 172.58, Rewards Eval: 165.94, Total Timesteps: 36278720 episode:136 

Rewards Tr: 173.95, Rewards Eval: 188.20, Total Timesteps: 36578720 episode:137 

Rewards Tr: 176.90, Rewards Eval: 155.18, Total Timesteps: 36878720 episode:138 

Rewards Tr: 174.03, Rewards Eval: 180.65, Total Timesteps: 37178720 episode:139 

Rewards Tr: 173.24, Rewards Eval: 182.31, Total Timesteps: 37478720 episode:140 

Rewards Tr: 176.99, Rewards Eval: 175.96, Total Timesteps: 37778720 episode:141 

Rewards Tr: 178.22, Rewards Eval: 187.96, Total Timesteps: 38078720 episode:142 

Rewards Tr: 176.99, Rewards Eval: 173.50, Total Timesteps: 38378720 episode:143 

Rewards Tr: 177.25, Rewards Eval: 198.16, Total Timesteps: 38678720 episode:144 

Rewards Tr: 177.75, Rewards Eval: 162.35, Total Timesteps: 38978720 episode:145 

Rewards Tr: 176.25, Rewards Eval: 158.37, Total Timesteps: 39278720 episode:146 

Rewards Tr: 179.98, Rewards Eval: 198.65, Total Timesteps: 39578720 episode:147 

Rewards Tr: 177.98, Rewards Eval: 149.73, Total Timesteps: 39878720 episode:148 

Rewards Tr: 179.54, Rewards Eval: 162.37, Total Timesteps: 40178720 episode:149 

Rewards Tr: 179.08, Rewards Eval: 187.52, Total Timesteps: 40478720 episode:150 

Rewards Tr: 179.01, Rewards Eval: 186.01, Total Timesteps: 40778720 episode:151 

Rewards Tr: 175.76, Rewards Eval: 173.88, Total Timesteps: 41078720 episode:152 

Rewards Tr: 178.32, Rewards Eval: 165.99, Total Timesteps: 41378720 episode:153 

Rewards Tr: 177.99, Rewards Eval: 187.05, Total Timesteps: 41678720 episode:154 

Rewards Tr: 182.58, Rewards Eval: 181.10, Total Timesteps: 41978720 episode:155 

Rewards Tr: 177.74, Rewards Eval: 170.58, Total Timesteps: 42278720 episode:156 

Rewards Tr: 177.82, Rewards Eval: 166.85, Total Timesteps: 42578720 episode:157 

Rewards Tr: 179.43, Rewards Eval: 167.62, Total Timesteps: 42878720 episode:158 

Rewards Tr: 178.27, Rewards Eval: 164.80, Total Timesteps: 43178720 episode:159 

Rewards Tr: 179.01, Rewards Eval: 169.19, Total Timesteps: 43478720 episode:160 

Rewards Tr: 181.02, Rewards Eval: 150.40, Total Timesteps: 43778720 episode:161 

Rewards Tr: 177.07, Rewards Eval: 182.43, Total Timesteps: 44078720 episode:162 

Rewards Tr: 178.04, Rewards Eval: 191.65, Total Timesteps: 44378720 episode:163 

Rewards Tr: 181.31, Rewards Eval: 185.66, Total Timesteps: 44678720 episode:164 

Rewards Tr: 176.83, Rewards Eval: 168.33, Total Timesteps: 44978720 episode:165 

Rewards Tr: 178.00, Rewards Eval: 175.61, Total Timesteps: 45278720 episode:166 

Rewards Tr: 178.80, Rewards Eval: 175.88, Total Timesteps: 45578720 episode:167 

Rewards Tr: 182.57, Rewards Eval: 183.71, Total Timesteps: 45878720 episode:168 

Rewards Tr: 174.28, Rewards Eval: 175.09, Total Timesteps: 46178720 episode:169 

Rewards Tr: 180.72, Rewards Eval: 167.16, Total Timesteps: 46478720 episode:170 

Rewards Tr: 181.81, Rewards Eval: 177.29, Total Timesteps: 46778720 episode:171 

Rewards Tr: 180.45, Rewards Eval: 174.68, Total Timesteps: 47078720 episode:172 

Rewards Tr: 181.77, Rewards Eval: 177.14, Total Timesteps: 47378720 episode:173 

Rewards Tr: 180.64, Rewards Eval: 182.96, Total Timesteps: 47678720 episode:174 

Rewards Tr: 180.60, Rewards Eval: 177.94, Total Timesteps: 47978720 episode:175 

Rewards Tr: 176.46, Rewards Eval: 173.57, Total Timesteps: 48278720 episode:176 

Rewards Tr: 176.63, Rewards Eval: 148.94, Total Timesteps: 48578720 episode:177 

Rewards Tr: 179.83, Rewards Eval: 163.39, Total Timesteps: 48878720 episode:178 

Rewards Tr: 179.97, Rewards Eval: 191.26, Total Timesteps: 49178720 episode:179 

Rewards Tr: 182.66, Rewards Eval: 181.16, Total Timesteps: 49478720 episode:180 

