
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1


The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

For Seed: 3 

Rewards Tr: 187.10, Rewards Disc: 10.13, Rewards Eval: 193.85, Total Timesteps: 2166960 episode:53 

Rewards Tr: 191.38, Rewards Disc: 10.09, Rewards Eval: 181.73, Total Timesteps: 2212730 episode:54 

Rewards Tr: 194.73, Rewards Disc: 10.05, Rewards Eval: 200.33, Total Timesteps: 2262330 episode:55 

Rewards Tr: 197.22, Rewards Disc: 10.03, Rewards Eval: 198.80, Total Timesteps: 2311320 episode:56 

Rewards Tr: 204.96, Rewards Disc: 9.95, Rewards Eval: 180.60, Total Timesteps: 2364630 episode:57 

Rewards Tr: 211.90, Rewards Disc: 9.88, Rewards Eval: 205.65, Total Timesteps: 2423400 episode:58 

Rewards Tr: 212.75, Rewards Disc: 9.87, Rewards Eval: 209.51, Total Timesteps: 2485430 episode:59 

Rewards Tr: 225.96, Rewards Disc: 9.74, Rewards Eval: 285.85, Total Timesteps: 2547780 episode:60 

Rewards Tr: 228.00, Rewards Disc: 9.72, Rewards Eval: 228.77, Total Timesteps: 2612960 episode:61 

Rewards Tr: 236.56, Rewards Disc: 9.63, Rewards Eval: 223.38, Total Timesteps: 2680060 episode:62 

Rewards Tr: 240.07, Rewards Disc: 9.60, Rewards Eval: 260.61, Total Timesteps: 2752140 episode:63 

Rewards Tr: 247.90, Rewards Disc: 9.52, Rewards Eval: 254.19, Total Timesteps: 2825280 episode:64 

Rewards Tr: 253.18, Rewards Disc: 9.47, Rewards Eval: 257.41, Total Timesteps: 2904080 episode:65 

Rewards Tr: 263.40, Rewards Disc: 9.37, Rewards Eval: 287.73, Total Timesteps: 2984980 episode:66 

Rewards Tr: 270.90, Rewards Disc: 9.29, Rewards Eval: 330.36, Total Timesteps: 3070120 episode:67 

Rewards Tr: 279.33, Rewards Disc: 9.21, Rewards Eval: 266.69, Total Timesteps: 3157960 episode:68 

Rewards Tr: 288.09, Rewards Disc: 9.12, Rewards Eval: 245.59, Total Timesteps: 3251980 episode:69 

Rewards Tr: 301.60, Rewards Disc: 8.98, Rewards Eval: 309.48, Total Timesteps: 3350420 episode:70 

Rewards Tr: 313.84, Rewards Disc: 8.86, Rewards Eval: 276.87, Total Timesteps: 3460370 episode:71 

Rewards Tr: 320.51, Rewards Disc: 8.79, Rewards Eval: 343.23, Total Timesteps: 3568730 episode:72 

Rewards Tr: 324.97, Rewards Disc: 8.75, Rewards Eval: 441.00, Total Timesteps: 3686790 episode:73 

Rewards Tr: 352.09, Rewards Disc: 8.48, Rewards Eval: 396.09, Total Timesteps: 3824050 episode:74 

Rewards Tr: 370.15, Rewards Disc: 8.30, Rewards Eval: 372.10, Total Timesteps: 3966800 episode:75 

Rewards Tr: 375.91, Rewards Disc: 8.24, Rewards Eval: 392.84, Total Timesteps: 4108180 episode:76 

Rewards Tr: 373.12, Rewards Disc: 8.27, Rewards Eval: 530.17, Total Timesteps: 4240540 episode:77 

Rewards Tr: 392.51, Rewards Disc: 8.07, Rewards Eval: 463.76, Total Timesteps: 4391880 episode:78 

Rewards Tr: 404.93, Rewards Disc: 7.95, Rewards Eval: 511.74, Total Timesteps: 4546330 episode:79 

Rewards Tr: 399.44, Rewards Disc: 8.01, Rewards Eval: 565.81, Total Timesteps: 4700040 episode:80 

Rewards Tr: 430.94, Rewards Disc: 7.69, Rewards Eval: 460.44, Total Timesteps: 4881090 episode:81 

Rewards Tr: 420.82, Rewards Disc: 7.79, Rewards Eval: 350.17, Total Timesteps: 5038520 episode:82 

Rewards Tr: 452.65, Rewards Disc: 7.47, Rewards Eval: 522.47, Total Timesteps: 5215820 episode:83 

Rewards Tr: 454.41, Rewards Disc: 7.46, Rewards Eval: 446.04, Total Timesteps: 5389030 episode:84 

Rewards Tr: 454.39, Rewards Disc: 7.46, Rewards Eval: 443.06, Total Timesteps: 5564900 episode:85 

Rewards Tr: 439.04, Rewards Disc: 7.61, Rewards Eval: 430.61, Total Timesteps: 5742880 episode:86 

Rewards Tr: 402.11, Rewards Disc: 7.98, Rewards Eval: 353.70, Total Timesteps: 5895540 episode:87 

Rewards Tr: 393.97, Rewards Disc: 8.06, Rewards Eval: 405.54, Total Timesteps: 6041300 episode:88 

Rewards Tr: 393.55, Rewards Disc: 8.06, Rewards Eval: 391.67, Total Timesteps: 6172810 episode:89 

Rewards Tr: 381.78, Rewards Disc: 8.18, Rewards Eval: 548.94, Total Timesteps: 6298730 episode:90 

Rewards Tr: 378.09, Rewards Disc: 8.22, Rewards Eval: 359.19, Total Timesteps: 6421420 episode:91 

Rewards Tr: 364.98, Rewards Disc: 8.35, Rewards Eval: 334.61, Total Timesteps: 6530950 episode:92 

Rewards Tr: 364.82, Rewards Disc: 8.35, Rewards Eval: 353.12, Total Timesteps: 6653770 episode:93 

Rewards Tr: 357.41, Rewards Disc: 8.43, Rewards Eval: 346.82, Total Timesteps: 6766300 episode:94 

Rewards Tr: 352.41, Rewards Disc: 8.48, Rewards Eval: 354.67, Total Timesteps: 6870930 episode:95 

Rewards Tr: 332.40, Rewards Disc: 8.68, Rewards Eval: 287.57, Total Timesteps: 6959150 episode:96 

Rewards Tr: 329.94, Rewards Disc: 8.70, Rewards Eval: 353.83, Total Timesteps: 7062720 episode:97 

Rewards Tr: 317.67, Rewards Disc: 8.82, Rewards Eval: 336.25, Total Timesteps: 7148880 episode:98 

Rewards Tr: 302.76, Rewards Disc: 8.97, Rewards Eval: 320.58, Total Timesteps: 7219960 episode:99 

Rewards Tr: 299.08, Rewards Disc: 9.01, Rewards Eval: 305.17, Total Timesteps: 7285930 episode:100 

Rewards Tr: 290.24, Rewards Disc: 9.10, Rewards Eval: 296.35, Total Timesteps: 7346630 episode:101 

Rewards Tr: 284.94, Rewards Disc: 9.15, Rewards Eval: 297.80, Total Timesteps: 7405130 episode:102 

