For Seed: 1 

Rewards Tr: 898.18, Rewards Disc: 0.57, Rewards Eval: 772.06, Total Timesteps: 1961020 episode:54 

Rewards Tr: 1097.15, Rewards Disc: 0.63, Rewards Eval: 1279.39, Total Timesteps: 2137130 episode:55 

Rewards Tr: 960.41, Rewards Disc: 0.64, Rewards Eval: 1030.24, Total Timesteps: 2270000 episode:56 

Rewards Tr: 892.20, Rewards Disc: 0.60, Rewards Eval: 854.44, Total Timesteps: 2400850 episode:57 

Rewards Tr: 913.65, Rewards Disc: 0.55, Rewards Eval: 1053.03, Total Timesteps: 2536550 episode:58 

Rewards Tr: 1093.50, Rewards Disc: 0.59, Rewards Eval: 995.74, Total Timesteps: 2696400 episode:59 

Rewards Tr: 1119.80, Rewards Disc: 0.56, Rewards Eval: 1075.24, Total Timesteps: 2865620 episode:60 

Rewards Tr: 1154.57, Rewards Disc: 0.61, Rewards Eval: 938.28, Total Timesteps: 3031880 episode:61 

Rewards Tr: 1229.19, Rewards Disc: 0.60, Rewards Eval: 1292.12, Total Timesteps: 3199840 episode:62 

Rewards Tr: 1271.07, Rewards Disc: 0.61, Rewards Eval: 1443.06, Total Timesteps: 3371040 episode:63 

Rewards Tr: 1216.68, Rewards Disc: 0.50, Rewards Eval: 1305.78, Total Timesteps: 3533550 episode:64 

Rewards Tr: 1197.53, Rewards Disc: 0.55, Rewards Eval: 1146.58, Total Timesteps: 3701460 episode:65 

Rewards Tr: 1259.69, Rewards Disc: 0.57, Rewards Eval: 1415.13, Total Timesteps: 3864950 episode:66 

Rewards Tr: 1403.90, Rewards Disc: 0.57, Rewards Eval: 1272.33, Total Timesteps: 4042610 episode:67 

Rewards Tr: 1345.30, Rewards Disc: 0.56, Rewards Eval: 1894.43, Total Timesteps: 4218760 episode:68 

Rewards Tr: 1283.85, Rewards Disc: 0.61, Rewards Eval: 1040.98, Total Timesteps: 4389360 episode:69 

Rewards Tr: 1401.96, Rewards Disc: 0.58, Rewards Eval: 1541.13, Total Timesteps: 4577080 episode:70 

Rewards Tr: 1247.69, Rewards Disc: 0.56, Rewards Eval: 1589.15, Total Timesteps: 4744780 episode:71 

Rewards Tr: 1426.32, Rewards Disc: 0.71, Rewards Eval: 1080.32, Total Timesteps: 4938420 episode:72 

Rewards Tr: 1208.23, Rewards Disc: 0.59, Rewards Eval: 1694.45, Total Timesteps: 5115830 episode:73 

Rewards Tr: 1385.83, Rewards Disc: 0.61, Rewards Eval: 1498.72, Total Timesteps: 5295130 episode:74 

Rewards Tr: 1236.51, Rewards Disc: 0.66, Rewards Eval: 1355.64, Total Timesteps: 5472830 episode:75 

Rewards Tr: 1345.61, Rewards Disc: 0.66, Rewards Eval: 1444.41, Total Timesteps: 5658400 episode:76 

Rewards Tr: 1581.76, Rewards Disc: 0.57, Rewards Eval: 1413.02, Total Timesteps: 5849470 episode:77 

Rewards Tr: 1373.19, Rewards Disc: 0.69, Rewards Eval: 1048.63, Total Timesteps: 6030390 episode:78 

Rewards Tr: 1124.04, Rewards Disc: 0.69, Rewards Eval: 1716.51, Total Timesteps: 6187910 episode:79 

Rewards Tr: 1210.09, Rewards Disc: 0.56, Rewards Eval: 1930.92, Total Timesteps: 6362410 episode:80 

Rewards Tr: 1527.22, Rewards Disc: 0.61, Rewards Eval: 1729.81, Total Timesteps: 6554410 episode:81 

Rewards Tr: 1375.55, Rewards Disc: 0.60, Rewards Eval: 1151.79, Total Timesteps: 6718730 episode:82 

Rewards Tr: 1376.69, Rewards Disc: 0.57, Rewards Eval: 1391.58, Total Timesteps: 6890590 episode:83 

Rewards Tr: 1267.31, Rewards Disc: 0.67, Rewards Eval: 1332.14, Total Timesteps: 7062290 episode:84 

Rewards Tr: 1089.55, Rewards Disc: 0.54, Rewards Eval: 1817.77, Total Timesteps: 7196810 episode:85 

Rewards Tr: 1458.53, Rewards Disc: 0.65, Rewards Eval: 1616.00, Total Timesteps: 7384350 episode:86 

Rewards Tr: 1391.40, Rewards Disc: 0.60, Rewards Eval: 1605.40, Total Timesteps: 7553280 episode:87 

Rewards Tr: 1260.50, Rewards Disc: 0.56, Rewards Eval: 1157.10, Total Timesteps: 7701470 episode:88 

Rewards Tr: 1276.81, Rewards Disc: 0.67, Rewards Eval: 1697.14, Total Timesteps: 7866020 episode:89 

Rewards Tr: 1595.17, Rewards Disc: 0.62, Rewards Eval: 1053.36, Total Timesteps: 8054540 episode:90 

Rewards Tr: 1254.42, Rewards Disc: 0.56, Rewards Eval: 1532.94, Total Timesteps: 8219650 episode:91 

