For Seed: 1 

Rewards Tr: 925.01, Rewards Val: 904.91, Rewards Eval: 586.82, Total Timesteps: 5205930 episode:55 

Rewards Tr: 973.60, Rewards Val: 936.35, Rewards Eval: 722.39, Total Timesteps: 5409930 episode:56 

Rewards Tr: 962.32, Rewards Val: 1002.88, Rewards Eval: 537.53, Total Timesteps: 5623030 episode:57 

Rewards Tr: 1041.90, Rewards Val: 943.48, Rewards Eval: 447.92, Total Timesteps: 5836970 episode:58 

Rewards Tr: 1002.03, Rewards Val: 1030.82, Rewards Eval: 759.18, Total Timesteps: 6061900 episode:59 

Rewards Tr: 977.15, Rewards Val: 990.84, Rewards Eval: 584.05, Total Timesteps: 6271870 episode:60 

Rewards Tr: 1008.22, Rewards Val: 998.84, Rewards Eval: 543.53, Total Timesteps: 6489060 episode:61 

Rewards Tr: 1025.51, Rewards Val: 985.47, Rewards Eval: 642.91, Total Timesteps: 6713820 episode:62 

Rewards Tr: 1057.46, Rewards Val: 1086.02, Rewards Eval: 698.62, Total Timesteps: 6943200 episode:63 

Rewards Tr: 932.51, Rewards Val: 939.59, Rewards Eval: 579.21, Total Timesteps: 7138990 episode:64 

Rewards Tr: 1017.62, Rewards Val: 961.95, Rewards Eval: 540.71, Total Timesteps: 7375500 episode:65 

Rewards Tr: 1138.35, Rewards Val: 1065.64, Rewards Eval: 509.59, Total Timesteps: 7623570 episode:66 

Rewards Tr: 1158.91, Rewards Val: 1181.77, Rewards Eval: 719.51, Total Timesteps: 7891270 episode:67 

Rewards Tr: 1148.29, Rewards Val: 1134.59, Rewards Eval: 807.11, Total Timesteps: 8152950 episode:68 

Rewards Tr: 1033.79, Rewards Val: 1141.31, Rewards Eval: 621.61, Total Timesteps: 8397850 episode:69 

Rewards Tr: 1061.77, Rewards Val: 1033.60, Rewards Eval: 746.46, Total Timesteps: 8634030 episode:70 

Rewards Tr: 1072.63, Rewards Val: 1057.31, Rewards Eval: 568.75, Total Timesteps: 8873860 episode:71 

Rewards Tr: 1066.26, Rewards Val: 1060.03, Rewards Eval: 544.89, Total Timesteps: 9099880 episode:72 

Rewards Tr: 1145.21, Rewards Val: 1154.33, Rewards Eval: 571.32, Total Timesteps: 9346610 episode:73 

Rewards Tr: 1281.03, Rewards Val: 1313.27, Rewards Eval: 668.37, Total Timesteps: 9645210 episode:74 

Rewards Tr: 1319.77, Rewards Val: 1273.12, Rewards Eval: 564.80, Total Timesteps: 9964140 episode:75 

Rewards Tr: 1010.60, Rewards Val: 1074.57, Rewards Eval: 786.13, Total Timesteps: 10176370 episode:76 

Rewards Tr: 1246.53, Rewards Val: 1178.60, Rewards Eval: 531.24, Total Timesteps: 10461170 episode:77 

Rewards Tr: 1207.45, Rewards Val: 1129.14, Rewards Eval: 536.59, Total Timesteps: 10719940 episode:78 

Rewards Tr: 1292.50, Rewards Val: 1404.71, Rewards Eval: 585.99, Total Timesteps: 11035280 episode:79 

Rewards Tr: 1284.57, Rewards Val: 1350.96, Rewards Eval: 545.36, Total Timesteps: 11349620 episode:80 

Rewards Tr: 1333.22, Rewards Val: 1463.73, Rewards Eval: 678.65, Total Timesteps: 11686920 episode:81 

Rewards Tr: 1563.11, Rewards Val: 1634.57, Rewards Eval: 568.60, Total Timesteps: 12064020 episode:82 

Rewards Tr: 1647.68, Rewards Val: 1632.06, Rewards Eval: 1062.48, Total Timesteps: 12440510 episode:83 

Rewards Tr: 1422.28, Rewards Val: 1556.74, Rewards Eval: 914.69, Total Timesteps: 12809580 episode:84 

Rewards Tr: 1548.76, Rewards Val: 1707.16, Rewards Eval: 564.59, Total Timesteps: 13192320 episode:85 

Rewards Tr: 1293.08, Rewards Val: 1263.14, Rewards Eval: 556.41, Total Timesteps: 13512840 episode:86 

Rewards Tr: 1412.84, Rewards Val: 1393.47, Rewards Eval: 571.46, Total Timesteps: 13881840 episode:87 

Rewards Tr: 1481.81, Rewards Val: 1551.62, Rewards Eval: 558.94, Total Timesteps: 14267060 episode:88 

Rewards Tr: 1736.34, Rewards Val: 1779.97, Rewards Eval: 559.35, Total Timesteps: 14652610 episode:89 

Rewards Tr: 1601.06, Rewards Val: 1721.26, Rewards Eval: 560.73, Total Timesteps: 15036660 episode:90 

Rewards Tr: 2040.80, Rewards Val: 2126.42, Rewards Eval: 608.35, Total Timesteps: 15436660 episode:91 

Rewards Tr: 1865.32, Rewards Val: 1992.85, Rewards Eval: 506.94, Total Timesteps: 15828520 episode:92 

Rewards Tr: 1708.46, Rewards Val: 1904.60, Rewards Eval: 689.20, Total Timesteps: 16221310 episode:93 

Rewards Tr: 1890.86, Rewards Val: 1782.37, Rewards Eval: 750.56, Total Timesteps: 16611500 episode:94 

Rewards Tr: 1456.46, Rewards Val: 1661.81, Rewards Eval: 476.44, Total Timesteps: 16946460 episode:95 

Rewards Tr: 1445.86, Rewards Val: 1585.71, Rewards Eval: 1297.31, Total Timesteps: 17287520 episode:96 

Rewards Tr: 1630.72, Rewards Val: 1654.83, Rewards Eval: 887.87, Total Timesteps: 17630040 episode:97 

Rewards Tr: 1657.25, Rewards Val: 1716.01, Rewards Eval: 662.63, Total Timesteps: 17983840 episode:98 

Rewards Tr: 1625.11, Rewards Val: 1751.28, Rewards Eval: 708.34, Total Timesteps: 18338260 episode:99 

Rewards Tr: 1595.64, Rewards Val: 1531.65, Rewards Eval: 1069.70, Total Timesteps: 18682820 episode:100 

Rewards Tr: 1955.30, Rewards Val: 1897.82, Rewards Eval: 599.14, Total Timesteps: 19060790 episode:101 

Rewards Tr: 1601.27, Rewards Val: 1552.99, Rewards Eval: 1391.93, Total Timesteps: 19410500 episode:102 

Rewards Tr: 1985.92, Rewards Val: 1766.97, Rewards Eval: 955.85, Total Timesteps: 19790780 episode:103 

Rewards Tr: 1769.09, Rewards Val: 1919.91, Rewards Eval: 964.29, Total Timesteps: 20167490 episode:104 

Rewards Tr: 1936.38, Rewards Val: 2262.60, Rewards Eval: 1097.49, Total Timesteps: 20549810 episode:105 

Rewards Tr: 1961.84, Rewards Val: 1939.70, Rewards Eval: 766.31, Total Timesteps: 20936410 episode:106 

Rewards Tr: 1687.96, Rewards Val: 1650.66, Rewards Eval: 1037.16, Total Timesteps: 21270040 episode:107 

Rewards Tr: 1621.33, Rewards Val: 1731.16, Rewards Eval: 632.31, Total Timesteps: 21590910 episode:108 

Rewards Tr: 1849.38, Rewards Val: 1859.57, Rewards Eval: 1085.95, Total Timesteps: 21929800 episode:109 

Rewards Tr: 1450.85, Rewards Val: 1352.52, Rewards Eval: 1046.98, Total Timesteps: 22162270 episode:110 

Rewards Tr: 1634.09, Rewards Val: 1620.72, Rewards Eval: 741.88, Total Timesteps: 22436220 episode:111 

Rewards Tr: 1692.31, Rewards Val: 1838.03, Rewards Eval: 1380.95, Total Timesteps: 22746340 episode:112 

Rewards Tr: 1869.44, Rewards Val: 1931.70, Rewards Eval: 909.39, Total Timesteps: 23068670 episode:113 

Rewards Tr: 2144.99, Rewards Val: 2231.54, Rewards Eval: 809.71, Total Timesteps: 23457800 episode:114 

Rewards Tr: 2323.00, Rewards Val: 2346.89, Rewards Eval: 1561.40, Total Timesteps: 23846700 episode:115 

Rewards Tr: 1814.51, Rewards Val: 1967.23, Rewards Eval: 631.81, Total Timesteps: 24216550 episode:116 

Rewards Tr: 1516.95, Rewards Val: 1509.82, Rewards Eval: 599.74, Total Timesteps: 24483530 episode:117 

Rewards Tr: 1335.43, Rewards Val: 1370.21, Rewards Eval: 930.19, Total Timesteps: 24749700 episode:118 

Rewards Tr: 1960.08, Rewards Val: 2118.03, Rewards Eval: 995.04, Total Timesteps: 25117840 episode:119 

Rewards Tr: 2059.04, Rewards Val: 2132.57, Rewards Eval: 1166.80, Total Timesteps: 25494530 episode:120 

Rewards Tr: 1413.14, Rewards Val: 1379.23, Rewards Eval: 820.74, Total Timesteps: 25761040 episode:121 

Rewards Tr: 1333.74, Rewards Val: 1383.04, Rewards Eval: 1226.98, Total Timesteps: 26020030 episode:122 

Rewards Tr: 1550.43, Rewards Val: 1610.07, Rewards Eval: 1173.21, Total Timesteps: 26324210 episode:123 

Rewards Tr: 1790.53, Rewards Val: 1783.95, Rewards Eval: 869.03, Total Timesteps: 26614470 episode:124 

Rewards Tr: 1826.83, Rewards Val: 1719.56, Rewards Eval: 1059.71, Total Timesteps: 26916830 episode:125 

Rewards Tr: 1680.39, Rewards Val: 1719.02, Rewards Eval: 820.76, Total Timesteps: 27246730 episode:126 

Rewards Tr: 1646.56, Rewards Val: 1688.27, Rewards Eval: 1032.80, Total Timesteps: 27558820 episode:127 

Rewards Tr: 1316.25, Rewards Val: 1416.23, Rewards Eval: 861.41, Total Timesteps: 27843500 episode:128 

Rewards Tr: 1874.91, Rewards Val: 1916.29, Rewards Eval: 1064.78, Total Timesteps: 28191290 episode:129 

Rewards Tr: 1822.69, Rewards Val: 1831.98, Rewards Eval: 688.55, Total Timesteps: 28517310 episode:130 

Rewards Tr: 1684.27, Rewards Val: 1785.22, Rewards Eval: 1343.94, Total Timesteps: 28843870 episode:131 

