
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.96, Rewards Eval: 0.00, Total Timesteps: 8460 episode:0 
Rewards Tr: 651.13, Rewards Eval: 458.03, Total Timesteps: 8023790 episode:69 

Rewards Tr: 651.98, Rewards Eval: 677.31, Total Timesteps: 8322260 episode:70 

Rewards Tr: 709.56, Rewards Eval: 840.03, Total Timesteps: 8622260 episode:71 

Rewards Tr: 695.41, Rewards Eval: 709.72, Total Timesteps: 8920860 episode:72 

Rewards Tr: 693.31, Rewards Eval: 937.17, Total Timesteps: 9220860 episode:73 

Rewards Tr: 724.31, Rewards Eval: 797.92, Total Timesteps: 9520860 episode:74 

Rewards Tr: 754.47, Rewards Eval: 782.32, Total Timesteps: 9820860 episode:75 

Rewards Tr: 769.43, Rewards Eval: 811.45, Total Timesteps: 10120860 episode:76 

Rewards Tr: 798.27, Rewards Eval: 772.32, Total Timesteps: 10420860 episode:77 

Rewards Tr: 834.77, Rewards Eval: 937.38, Total Timesteps: 10720860 episode:78 

Rewards Tr: 833.85, Rewards Eval: 921.78, Total Timesteps: 11020860 episode:79 

Rewards Tr: 873.46, Rewards Eval: 984.66, Total Timesteps: 11320860 episode:80 

Rewards Tr: 846.89, Rewards Eval: 913.01, Total Timesteps: 11620860 episode:81 

Rewards Tr: 893.07, Rewards Eval: 790.36, Total Timesteps: 11920860 episode:82 

Rewards Tr: 852.27, Rewards Eval: 699.06, Total Timesteps: 12220860 episode:83 

Rewards Tr: 853.39, Rewards Eval: 823.56, Total Timesteps: 12520860 episode:84 

Rewards Tr: 851.33, Rewards Eval: 840.76, Total Timesteps: 12820860 episode:85 

Rewards Tr: 897.19, Rewards Eval: 932.86, Total Timesteps: 13120860 episode:86 

Rewards Tr: 927.67, Rewards Eval: 884.56, Total Timesteps: 13420860 episode:87 

Rewards Tr: 909.88, Rewards Eval: 655.39, Total Timesteps: 13720860 episode:88 

Rewards Tr: 918.90, Rewards Eval: 712.22, Total Timesteps: 14020860 episode:89 

Rewards Tr: 914.61, Rewards Eval: 995.85, Total Timesteps: 14320860 episode:90 

Rewards Tr: 903.00, Rewards Eval: 1004.50, Total Timesteps: 14620860 episode:91 

Rewards Tr: 924.42, Rewards Eval: 868.74, Total Timesteps: 14920860 episode:92 

Rewards Tr: 914.90, Rewards Eval: 942.49, Total Timesteps: 15220860 episode:93 

Rewards Tr: 931.40, Rewards Eval: 1001.12, Total Timesteps: 15520860 episode:94 

Rewards Tr: 924.30, Rewards Eval: 799.34, Total Timesteps: 15820860 episode:95 

Rewards Tr: 914.29, Rewards Eval: 848.67, Total Timesteps: 16120860 episode:96 

Rewards Tr: 918.11, Rewards Eval: 963.38, Total Timesteps: 16420860 episode:97 

Rewards Tr: 944.43, Rewards Eval: 1005.87, Total Timesteps: 16720860 episode:98 

Rewards Tr: 929.35, Rewards Eval: 1010.84, Total Timesteps: 17020860 episode:99 

Rewards Tr: 906.38, Rewards Eval: 1006.34, Total Timesteps: 17320860 episode:100 

Rewards Tr: 932.64, Rewards Eval: 1009.39, Total Timesteps: 17620860 episode:101 

Rewards Tr: 944.31, Rewards Eval: 1006.74, Total Timesteps: 17920860 episode:102 

Rewards Tr: 951.06, Rewards Eval: 884.47, Total Timesteps: 18220860 episode:103 

Rewards Tr: 947.72, Rewards Eval: 876.01, Total Timesteps: 18520860 episode:104 

Rewards Tr: 929.06, Rewards Eval: 943.49, Total Timesteps: 18820860 episode:105 

Rewards Tr: 919.35, Rewards Eval: 837.13, Total Timesteps: 19120860 episode:106 

Rewards Tr: 946.59, Rewards Eval: 929.94, Total Timesteps: 19420860 episode:107 

Rewards Tr: 940.82, Rewards Eval: 914.49, Total Timesteps: 19720860 episode:108 

Rewards Tr: 939.54, Rewards Eval: 907.42, Total Timesteps: 20020860 episode:109 

Rewards Tr: 931.31, Rewards Eval: 760.76, Total Timesteps: 20320860 episode:110 

Rewards Tr: 942.43, Rewards Eval: 789.38, Total Timesteps: 20620860 episode:111 

Rewards Tr: 912.81, Rewards Eval: 959.82, Total Timesteps: 20920860 episode:112 

Rewards Tr: 956.96, Rewards Eval: 933.04, Total Timesteps: 21220860 episode:113 

Rewards Tr: 962.30, Rewards Eval: 830.15, Total Timesteps: 21520860 episode:114 

Rewards Tr: 958.23, Rewards Eval: 921.25, Total Timesteps: 21820860 episode:115 

Rewards Tr: 935.16, Rewards Eval: 981.32, Total Timesteps: 22120860 episode:116 

Rewards Tr: 917.91, Rewards Eval: 1010.64, Total Timesteps: 22420860 episode:117 

Rewards Tr: 933.89, Rewards Eval: 895.45, Total Timesteps: 22720860 episode:118 

Rewards Tr: 936.61, Rewards Eval: 731.01, Total Timesteps: 23020860 episode:119 

Rewards Tr: 948.62, Rewards Eval: 796.41, Total Timesteps: 23320860 episode:120 

Rewards Tr: 949.20, Rewards Eval: 767.83, Total Timesteps: 23620860 episode:121 

Rewards Tr: 939.72, Rewards Eval: 892.18, Total Timesteps: 23920860 episode:122 

Rewards Tr: 913.80, Rewards Eval: 732.11, Total Timesteps: 24220860 episode:123 

