For Seed: 102 

Rewards Tr: -7.58, Rewards Val: -9.44, Rewards Disc: 0.04, Rewards Eval: -527.56, Total Timesteps: 12553820 episode:44 

Rewards Tr: -6.12, Rewards Val: -3.45, Rewards Disc: -0.05, Rewards Eval: -356.85, Total Timesteps: 13151780 episode:45 

Rewards Tr: -7.39, Rewards Val: -5.68, Rewards Disc: 0.01, Rewards Eval: -254.15, Total Timesteps: 13751780 episode:46 

Rewards Tr: -2.34, Rewards Val: -1.58, Rewards Disc: -0.07, Rewards Eval: -446.27, Total Timesteps: 14351780 episode:47 

Rewards Tr: -4.63, Rewards Val: -6.45, Rewards Disc: 0.02, Rewards Eval: -106.36, Total Timesteps: 14951780 episode:48 

Rewards Tr: 2.41, Rewards Val: -6.75, Rewards Disc: 0.04, Rewards Eval: -136.54, Total Timesteps: 15551780 episode:49 

Rewards Tr: 0.61, Rewards Val: -6.33, Rewards Disc: 0.06, Rewards Eval: -113.85, Total Timesteps: 16151780 episode:50 

Rewards Tr: -5.19, Rewards Val: 2.13, Rewards Disc: -0.10, Rewards Eval: -138.78, Total Timesteps: 16751780 episode:51 

Rewards Tr: -1.53, Rewards Val: -5.23, Rewards Disc: -0.01, Rewards Eval: -166.79, Total Timesteps: 17351780 episode:52 

Rewards Tr: -3.55, Rewards Val: -2.30, Rewards Disc: 0.02, Rewards Eval: -78.02, Total Timesteps: 17951780 episode:53 

Rewards Tr: -1.19, Rewards Val: -0.13, Rewards Disc: -0.07, Rewards Eval: -81.26, Total Timesteps: 18551780 episode:54 

Rewards Tr: -0.92, Rewards Val: -4.12, Rewards Disc: -0.04, Rewards Eval: -93.52, Total Timesteps: 19151780 episode:55 

Rewards Tr: -5.38, Rewards Val: -5.50, Rewards Disc: 0.05, Rewards Eval: -66.83, Total Timesteps: 19751780 episode:56 

Rewards Tr: -4.41, Rewards Val: -2.84, Rewards Disc: -0.04, Rewards Eval: -73.76, Total Timesteps: 20351780 episode:57 

Rewards Tr: -1.93, Rewards Val: -2.38, Rewards Disc: 0.01, Rewards Eval: -51.06, Total Timesteps: 20951780 episode:58 

Rewards Tr: -2.82, Rewards Val: -5.69, Rewards Disc: 0.00, Rewards Eval: -27.69, Total Timesteps: 21551780 episode:59 

Rewards Tr: 2.75, Rewards Val: -2.71, Rewards Disc: 0.04, Rewards Eval: -50.83, Total Timesteps: 22151780 episode:60 

Rewards Tr: -0.29, Rewards Val: -0.77, Rewards Disc: 0.02, Rewards Eval: -54.41, Total Timesteps: 22751780 episode:61 

Rewards Tr: -0.58, Rewards Val: 2.29, Rewards Disc: 0.01, Rewards Eval: -20.63, Total Timesteps: 23351780 episode:62 

Rewards Tr: 4.60, Rewards Val: 2.38, Rewards Disc: 0.03, Rewards Eval: -9.26, Total Timesteps: 23951780 episode:63 

Rewards Tr: 2.37, Rewards Val: 2.10, Rewards Disc: 0.00, Rewards Eval: -16.08, Total Timesteps: 24551780 episode:64 

Rewards Tr: 4.40, Rewards Val: 4.74, Rewards Disc: -0.01, Rewards Eval: -37.60, Total Timesteps: 25151780 episode:65 

Rewards Tr: 8.04, Rewards Val: 4.59, Rewards Disc: 0.05, Rewards Eval: -4.96, Total Timesteps: 25751780 episode:66 

Rewards Tr: 7.98, Rewards Val: 4.77, Rewards Disc: 0.05, Rewards Eval: 10.94, Total Timesteps: 26351780 episode:67 

Rewards Tr: 10.55, Rewards Val: 12.87, Rewards Disc: -0.03, Rewards Eval: 19.25, Total Timesteps: 26951780 episode:68 

Rewards Tr: 9.46, Rewards Val: 8.76, Rewards Disc: 0.02, Rewards Eval: -33.90, Total Timesteps: 27551780 episode:69 

Rewards Tr: 9.71, Rewards Val: 13.53, Rewards Disc: -0.02, Rewards Eval: 14.76, Total Timesteps: 28151780 episode:70 

Rewards Tr: 14.64, Rewards Val: 12.98, Rewards Disc: 0.00, Rewards Eval: 4.35, Total Timesteps: 28751780 episode:71 

