For Seed: 1 

Rewards Tr: 11.32, Rewards Eval: 13.43, Total Timesteps: 9928540 episode:69 

Rewards Tr: 15.01, Rewards Eval: 30.81, Total Timesteps: 10128540 episode:70 

Rewards Tr: 13.61, Rewards Eval: 15.92, Total Timesteps: 10328540 episode:71 

Rewards Tr: 14.97, Rewards Eval: 37.80, Total Timesteps: 10528540 episode:72 

Rewards Tr: 16.81, Rewards Eval: -0.34, Total Timesteps: 10728540 episode:73 

Rewards Tr: 18.85, Rewards Eval: 32.25, Total Timesteps: 10928540 episode:74 

Rewards Tr: 17.13, Rewards Eval: 7.47, Total Timesteps: 11128540 episode:75 

Rewards Tr: 17.12, Rewards Eval: -15.18, Total Timesteps: 11328540 episode:76 

Rewards Tr: 23.85, Rewards Eval: 27.09, Total Timesteps: 11528540 episode:77 

Rewards Tr: 17.61, Rewards Eval: 31.26, Total Timesteps: 11728540 episode:78 

Rewards Tr: 17.03, Rewards Eval: -0.76, Total Timesteps: 11928540 episode:79 

Rewards Tr: 26.91, Rewards Eval: 31.74, Total Timesteps: 12128540 episode:80 

Rewards Tr: 18.95, Rewards Eval: 30.74, Total Timesteps: 12328540 episode:81 

Rewards Tr: 24.59, Rewards Eval: 14.33, Total Timesteps: 12528540 episode:82 

Rewards Tr: 25.17, Rewards Eval: 12.71, Total Timesteps: 12728540 episode:83 

Rewards Tr: 29.11, Rewards Eval: 31.76, Total Timesteps: 12928540 episode:84 

Rewards Tr: 33.28, Rewards Eval: 47.00, Total Timesteps: 13128540 episode:85 

Rewards Tr: 31.33, Rewards Eval: 4.63, Total Timesteps: 13328540 episode:86 

Rewards Tr: 40.88, Rewards Eval: 43.01, Total Timesteps: 13528540 episode:87 

Rewards Tr: 34.27, Rewards Eval: 33.75, Total Timesteps: 13728540 episode:88 

Rewards Tr: 41.43, Rewards Eval: 33.59, Total Timesteps: 13928540 episode:89 

Rewards Tr: 41.89, Rewards Eval: 46.48, Total Timesteps: 14128540 episode:90 

