For Seed: 101 

Rewards Tr: -2.84, Rewards Val: -9.13, Rewards Disc: -0.09, Rewards Eval: -181.63, Total Timesteps: 13559660 episode:44 

Rewards Tr: -2.72, Rewards Val: -6.85, Rewards Disc: -0.04, Rewards Eval: -226.69, Total Timesteps: 14155360 episode:45 

Rewards Tr: -10.43, Rewards Val: -7.67, Rewards Disc: -0.05, Rewards Eval: -166.59, Total Timesteps: 14744300 episode:46 

Rewards Tr: -5.60, Rewards Val: -11.12, Rewards Disc: 0.01, Rewards Eval: -162.52, Total Timesteps: 15341230 episode:47 

Rewards Tr: -12.89, Rewards Val: -10.50, Rewards Disc: 0.04, Rewards Eval: -105.04, Total Timesteps: 15941230 episode:48 

Rewards Tr: -7.84, Rewards Val: -11.58, Rewards Disc: 0.08, Rewards Eval: -258.05, Total Timesteps: 16541230 episode:49 

Rewards Tr: -13.32, Rewards Val: -9.75, Rewards Disc: -0.04, Rewards Eval: -266.80, Total Timesteps: 17141230 episode:50 

Rewards Tr: -17.22, Rewards Val: -12.77, Rewards Disc: -0.02, Rewards Eval: -221.35, Total Timesteps: 17741230 episode:51 

Rewards Tr: -11.88, Rewards Val: -13.59, Rewards Disc: 0.01, Rewards Eval: -139.29, Total Timesteps: 18341230 episode:52 

Rewards Tr: -12.87, Rewards Val: -16.10, Rewards Disc: 0.07, Rewards Eval: -166.96, Total Timesteps: 18941230 episode:53 

Rewards Tr: -12.03, Rewards Val: -13.54, Rewards Disc: 0.06, Rewards Eval: -99.59, Total Timesteps: 19541230 episode:54 

Rewards Tr: -5.40, Rewards Val: -14.36, Rewards Disc: 0.03, Rewards Eval: -112.26, Total Timesteps: 20141230 episode:55 

Rewards Tr: -7.68, Rewards Val: -4.98, Rewards Disc: -0.08, Rewards Eval: -96.86, Total Timesteps: 20741230 episode:56 

Rewards Tr: -12.14, Rewards Val: -7.14, Rewards Disc: 0.01, Rewards Eval: -69.72, Total Timesteps: 21341230 episode:57 

Rewards Tr: -11.15, Rewards Val: -6.43, Rewards Disc: -0.01, Rewards Eval: -18.56, Total Timesteps: 21941230 episode:58 

Rewards Tr: 1.71, Rewards Val: -10.24, Rewards Disc: 0.08, Rewards Eval: -54.28, Total Timesteps: 22541230 episode:59 

Rewards Tr: -1.29, Rewards Val: -4.00, Rewards Disc: 0.00, Rewards Eval: -74.54, Total Timesteps: 23141230 episode:60 

Rewards Tr: -5.82, Rewards Val: -0.79, Rewards Disc: -0.01, Rewards Eval: -57.31, Total Timesteps: 23741230 episode:61 

Rewards Tr: -3.12, Rewards Val: 2.15, Rewards Disc: -0.02, Rewards Eval: -52.52, Total Timesteps: 24341230 episode:62 

Rewards Tr: -0.66, Rewards Val: -0.23, Rewards Disc: 0.03, Rewards Eval: -41.31, Total Timesteps: 24941230 episode:63 

Rewards Tr: 1.44, Rewards Val: 9.03, Rewards Disc: -0.04, Rewards Eval: -0.00, Total Timesteps: 25541230 episode:64 

Rewards Tr: 9.14, Rewards Val: 6.22, Rewards Disc: 0.05, Rewards Eval: -36.16, Total Timesteps: 26141230 episode:65 

Rewards Tr: 5.17, Rewards Val: 7.60, Rewards Disc: 0.01, Rewards Eval: 10.46, Total Timesteps: 26741230 episode:66 

Rewards Tr: 12.05, Rewards Val: 14.44, Rewards Disc: -0.00, Rewards Eval: 21.16, Total Timesteps: 27341230 episode:67 

Rewards Tr: 16.83, Rewards Val: 14.24, Rewards Disc: 0.00, Rewards Eval: -3.40, Total Timesteps: 27941230 episode:68 

Rewards Tr: 19.25, Rewards Val: 16.32, Rewards Disc: 0.02, Rewards Eval: 6.94, Total Timesteps: 28541230 episode:69 

Rewards Tr: 18.21, Rewards Val: 17.57, Rewards Disc: 0.03, Rewards Eval: 13.48, Total Timesteps: 29141230 episode:70 

Rewards Tr: 25.65, Rewards Val: 19.96, Rewards Disc: -0.02, Rewards Eval: -0.22, Total Timesteps: 29741230 episode:71 

Rewards Tr: 19.72, Rewards Val: 19.52, Rewards Disc: 0.02, Rewards Eval: -10.65, Total Timesteps: 30341230 episode:72 

Rewards Tr: 21.88, Rewards Val: 20.77, Rewards Disc: 0.02, Rewards Eval: 20.44, Total Timesteps: 30941230 episode:73 

Rewards Tr: 22.97, Rewards Val: 22.18, Rewards Disc: -0.01, Rewards Eval: -21.12, Total Timesteps: 31541230 episode:74 

Rewards Tr: 22.32, Rewards Val: 21.04, Rewards Disc: 0.02, Rewards Eval: 0.34, Total Timesteps: 32141230 episode:75 

Rewards Tr: 19.95, Rewards Val: 23.91, Rewards Disc: -0.03, Rewards Eval: 37.10, Total Timesteps: 32741230 episode:76 

Rewards Tr: 24.10, Rewards Val: 22.54, Rewards Disc: 0.01, Rewards Eval: -0.94, Total Timesteps: 33341230 episode:77 

Rewards Tr: 25.13, Rewards Val: 24.32, Rewards Disc: 0.01, Rewards Eval: -11.32, Total Timesteps: 33941230 episode:78 

Rewards Tr: 25.73, Rewards Val: 28.59, Rewards Disc: -0.02, Rewards Eval: 9.88, Total Timesteps: 34541230 episode:79 

Rewards Tr: 25.14, Rewards Val: 28.24, Rewards Disc: 0.02, Rewards Eval: 17.33, Total Timesteps: 35141230 episode:80 

Rewards Tr: 28.56, Rewards Val: 28.61, Rewards Disc: 0.03, Rewards Eval: 6.73, Total Timesteps: 35741230 episode:81 

Rewards Tr: 32.85, Rewards Val: 32.87, Rewards Disc: -0.02, Rewards Eval: 27.95, Total Timesteps: 36341230 episode:82 

Rewards Tr: 31.52, Rewards Val: 35.41, Rewards Disc: 0.00, Rewards Eval: 26.24, Total Timesteps: 36941230 episode:83 

Rewards Tr: 33.13, Rewards Val: 37.29, Rewards Disc: -0.02, Rewards Eval: 20.38, Total Timesteps: 37541230 episode:84 

Rewards Tr: 37.54, Rewards Val: 40.78, Rewards Disc: -0.04, Rewards Eval: 50.34, Total Timesteps: 38141230 episode:85 

Rewards Tr: 40.82, Rewards Val: 42.68, Rewards Disc: -0.00, Rewards Eval: 10.01, Total Timesteps: 38741230 episode:86 

Rewards Tr: 45.07, Rewards Val: 39.38, Rewards Disc: 0.09, Rewards Eval: 31.19, Total Timesteps: 39341230 episode:87 

Rewards Tr: 48.18, Rewards Val: 46.17, Rewards Disc: 0.04, Rewards Eval: 63.68, Total Timesteps: 39941230 episode:88 

Rewards Tr: 54.15, Rewards Val: 49.74, Rewards Disc: 0.01, Rewards Eval: 49.94, Total Timesteps: 40541230 episode:89 

Rewards Tr: 54.38, Rewards Val: 59.98, Rewards Disc: 0.02, Rewards Eval: 41.55, Total Timesteps: 41141230 episode:90 

Rewards Tr: 62.38, Rewards Val: 60.18, Rewards Disc: 0.01, Rewards Eval: 30.71, Total Timesteps: 41741230 episode:91 

Rewards Tr: 61.25, Rewards Val: 60.38, Rewards Disc: 0.01, Rewards Eval: 36.38, Total Timesteps: 42341230 episode:92 

Rewards Tr: 62.54, Rewards Val: 66.68, Rewards Disc: -0.01, Rewards Eval: 49.77, Total Timesteps: 42941230 episode:93 

Rewards Tr: 67.46, Rewards Val: 65.63, Rewards Disc: 0.09, Rewards Eval: 54.33, Total Timesteps: 43541230 episode:94 

Rewards Tr: 72.82, Rewards Val: 69.89, Rewards Disc: 0.06, Rewards Eval: 61.25, Total Timesteps: 44141230 episode:95 

Rewards Tr: 73.30, Rewards Val: 73.81, Rewards Disc: -0.01, Rewards Eval: 65.80, Total Timesteps: 44741230 episode:96 

Rewards Tr: 61.63, Rewards Val: 61.34, Rewards Disc: 0.21, Rewards Eval: 44.69, Total Timesteps: 45341230 episode:97 

Rewards Tr: 66.38, Rewards Val: 66.58, Rewards Disc: 0.16, Rewards Eval: 90.41, Total Timesteps: 45941230 episode:98 

Rewards Tr: 64.22, Rewards Val: 65.33, Rewards Disc: 0.20, Rewards Eval: 56.66, Total Timesteps: 46541230 episode:99 

Rewards Tr: 67.34, Rewards Val: 67.03, Rewards Disc: 0.19, Rewards Eval: 59.76, Total Timesteps: 47141230 episode:100 

Rewards Tr: 67.96, Rewards Val: 72.20, Rewards Disc: 0.16, Rewards Eval: 100.19, Total Timesteps: 47741230 episode:101 

Rewards Tr: 70.89, Rewards Val: 73.29, Rewards Disc: 0.17, Rewards Eval: 80.50, Total Timesteps: 48341230 episode:102 

Rewards Tr: 76.84, Rewards Val: 75.14, Rewards Disc: 0.19, Rewards Eval: 48.87, Total Timesteps: 48941230 episode:103 

Rewards Tr: 78.67, Rewards Val: 74.19, Rewards Disc: 0.22, Rewards Eval: 86.07, Total Timesteps: 49541230 episode:104 

Rewards Tr: 85.04, Rewards Val: 85.51, Rewards Disc: 0.17, Rewards Eval: 51.05, Total Timesteps: 50141230 episode:105 

Rewards Tr: 86.44, Rewards Val: 85.33, Rewards Disc: 0.23, Rewards Eval: 88.81, Total Timesteps: 50741230 episode:106 

Rewards Tr: 88.65, Rewards Val: 87.33, Rewards Disc: 0.20, Rewards Eval: 73.51, Total Timesteps: 51341230 episode:107 

Rewards Tr: 93.66, Rewards Val: 95.35, Rewards Disc: 0.20, Rewards Eval: 84.21, Total Timesteps: 51941230 episode:108 

Rewards Tr: 103.45, Rewards Val: 101.72, Rewards Disc: 0.12, Rewards Eval: 131.28, Total Timesteps: 52541230 episode:109 

Rewards Tr: 105.34, Rewards Val: 106.23, Rewards Disc: 0.17, Rewards Eval: 123.23, Total Timesteps: 53141230 episode:110 

Rewards Tr: 110.83, Rewards Val: 114.97, Rewards Disc: 0.09, Rewards Eval: 82.13, Total Timesteps: 53741230 episode:111 

Rewards Tr: 115.19, Rewards Val: 114.14, Rewards Disc: 0.18, Rewards Eval: 115.46, Total Timesteps: 54341230 episode:112 

Rewards Tr: 115.07, Rewards Val: 116.38, Rewards Disc: 0.11, Rewards Eval: 122.35, Total Timesteps: 54941230 episode:113 

Rewards Tr: 114.45, Rewards Val: 116.75, Rewards Disc: 0.17, Rewards Eval: 98.90, Total Timesteps: 55541230 episode:114 

Rewards Tr: 113.95, Rewards Val: 114.38, Rewards Disc: 0.21, Rewards Eval: 124.06, Total Timesteps: 56141230 episode:115 

Rewards Tr: 109.62, Rewards Val: 110.81, Rewards Disc: 0.29, Rewards Eval: 85.10, Total Timesteps: 56741230 episode:116 

Rewards Tr: 106.95, Rewards Val: 109.07, Rewards Disc: 0.27, Rewards Eval: 110.14, Total Timesteps: 57341230 episode:117 

Rewards Tr: 117.37, Rewards Val: 110.61, Rewards Disc: 0.33, Rewards Eval: 110.69, Total Timesteps: 57941230 episode:118 

Rewards Tr: 116.17, Rewards Val: 120.10, Rewards Disc: 0.26, Rewards Eval: 113.73, Total Timesteps: 58541230 episode:119 

Rewards Tr: 129.12, Rewards Val: 115.65, Rewards Disc: 0.32, Rewards Eval: 91.79, Total Timesteps: 59141230 episode:120 

Rewards Tr: 123.00, Rewards Val: 120.23, Rewards Disc: 0.21, Rewards Eval: 148.98, Total Timesteps: 59741230 episode:121 

Rewards Tr: 125.97, Rewards Val: 125.15, Rewards Disc: 0.14, Rewards Eval: 127.89, Total Timesteps: 60341230 episode:122 

Rewards Tr: 118.64, Rewards Val: 114.57, Rewards Disc: 0.28, Rewards Eval: 95.57, Total Timesteps: 60941230 episode:123 

