For Seed: 1 

2022-02-12 21:35:46.667483: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:35:52.277334: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 291.75, Rewards Disc: 0.58, Rewards Eval: 315.57, Total Timesteps: 368810 episode:49 

Rewards Tr: 331.13, Rewards Disc: 0.57, Rewards Eval: 298.23, Total Timesteps: 381180 episode:50 

Rewards Tr: 328.09, Rewards Disc: 0.57, Rewards Eval: 298.23, Total Timesteps: 393110 episode:51 

Rewards Tr: 342.43, Rewards Disc: 0.58, Rewards Eval: 391.89, Total Timesteps: 406260 episode:52 

Rewards Tr: 377.97, Rewards Disc: 0.57, Rewards Eval: 355.88, Total Timesteps: 423940 episode:53 

Rewards Tr: 420.48, Rewards Disc: 0.64, Rewards Eval: 590.75, Total Timesteps: 444550 episode:54 

Rewards Tr: 391.33, Rewards Disc: 0.59, Rewards Eval: 416.38, Total Timesteps: 461120 episode:55 

Rewards Tr: 382.59, Rewards Disc: 0.55, Rewards Eval: 455.23, Total Timesteps: 476230 episode:56 

Rewards Tr: 433.66, Rewards Disc: 0.62, Rewards Eval: 519.19, Total Timesteps: 494970 episode:57 

Rewards Tr: 445.56, Rewards Disc: 0.56, Rewards Eval: 566.12, Total Timesteps: 513050 episode:58 

Rewards Tr: 551.98, Rewards Disc: 0.57, Rewards Eval: 551.96, Total Timesteps: 543320 episode:59 

Rewards Tr: 530.47, Rewards Disc: 0.60, Rewards Eval: 1028.39, Total Timesteps: 570700 episode:60 

Rewards Tr: 560.97, Rewards Disc: 0.56, Rewards Eval: 571.06, Total Timesteps: 593910 episode:61 

Rewards Tr: 678.17, Rewards Disc: 0.61, Rewards Eval: 603.87, Total Timesteps: 624300 episode:62 

Rewards Tr: 675.47, Rewards Disc: 0.58, Rewards Eval: 343.38, Total Timesteps: 652230 episode:63 

Rewards Tr: 663.89, Rewards Disc: 0.55, Rewards Eval: 630.44, Total Timesteps: 682190 episode:64 

Rewards Tr: 682.88, Rewards Disc: 0.59, Rewards Eval: 677.62, Total Timesteps: 708970 episode:65 

Rewards Tr: 755.48, Rewards Disc: 0.56, Rewards Eval: 854.24, Total Timesteps: 739600 episode:66 

Rewards Tr: 886.12, Rewards Disc: 0.62, Rewards Eval: 1261.37, Total Timesteps: 774110 episode:67 

Rewards Tr: 755.35, Rewards Disc: 0.57, Rewards Eval: 755.51, Total Timesteps: 807090 episode:68 

Rewards Tr: 960.15, Rewards Disc: 0.53, Rewards Eval: 985.88, Total Timesteps: 848320 episode:69 

Rewards Tr: 1218.62, Rewards Disc: 0.61, Rewards Eval: 1761.71, Total Timesteps: 894530 episode:70 

Rewards Tr: 1150.18, Rewards Disc: 0.60, Rewards Eval: 864.62, Total Timesteps: 941090 episode:71 

Rewards Tr: 1095.98, Rewards Disc: 0.58, Rewards Eval: 1739.58, Total Timesteps: 984650 episode:72 

Rewards Tr: 1041.96, Rewards Disc: 0.63, Rewards Eval: 984.86, Total Timesteps: 1028600 episode:73 

Rewards Tr: 1145.57, Rewards Disc: 0.60, Rewards Eval: 1177.65, Total Timesteps: 1072700 episode:74 

Rewards Tr: 943.75, Rewards Disc: 0.55, Rewards Eval: 945.93, Total Timesteps: 1106220 episode:75 

Rewards Tr: 1022.19, Rewards Disc: 0.60, Rewards Eval: 1549.66, Total Timesteps: 1142260 episode:76 

Rewards Tr: 1148.15, Rewards Disc: 0.54, Rewards Eval: 987.61, Total Timesteps: 1181770 episode:77 

Rewards Tr: 1200.22, Rewards Disc: 0.55, Rewards Eval: 1153.75, Total Timesteps: 1227870 episode:78 

Rewards Tr: 1084.33, Rewards Disc: 0.66, Rewards Eval: 1705.76, Total Timesteps: 1272600 episode:79 

Rewards Tr: 1043.84, Rewards Disc: 0.66, Rewards Eval: 796.56, Total Timesteps: 1304770 episode:80 

Rewards Tr: 1097.33, Rewards Disc: 0.64, Rewards Eval: 1580.60, Total Timesteps: 1342930 episode:81 

Rewards Tr: 1423.38, Rewards Disc: 0.61, Rewards Eval: 868.89, Total Timesteps: 1392930 episode:82 

Rewards Tr: 1403.89, Rewards Disc: 0.58, Rewards Eval: 919.34, Total Timesteps: 1440330 episode:83 

Rewards Tr: 1471.39, Rewards Disc: 0.54, Rewards Eval: 1256.53, Total Timesteps: 1490330 episode:84 

Rewards Tr: 1277.09, Rewards Disc: 0.66, Rewards Eval: 1687.39, Total Timesteps: 1539150 episode:85 

Rewards Tr: 1087.39, Rewards Disc: 0.66, Rewards Eval: 1253.26, Total Timesteps: 1581120 episode:86 

Rewards Tr: 1188.02, Rewards Disc: 0.67, Rewards Eval: 1446.86, Total Timesteps: 1625620 episode:87 

Rewards Tr: 1193.24, Rewards Disc: 0.64, Rewards Eval: 965.66, Total Timesteps: 1665210 episode:88 

Rewards Tr: 1482.63, Rewards Disc: 0.68, Rewards Eval: 1002.10, Total Timesteps: 1713550 episode:89 

Rewards Tr: 1348.41, Rewards Disc: 0.64, Rewards Eval: 1378.77, Total Timesteps: 1758990 episode:90 

Rewards Tr: 1357.74, Rewards Disc: 0.67, Rewards Eval: 1931.78, Total Timesteps: 1807980 episode:91 

Rewards Tr: 1256.61, Rewards Disc: 0.63, Rewards Eval: 1666.08, Total Timesteps: 1849100 episode:92 

Rewards Tr: 1250.65, Rewards Disc: 0.66, Rewards Eval: 1837.41, Total Timesteps: 1896900 episode:93 

Rewards Tr: 1377.55, Rewards Disc: 0.54, Rewards Eval: 836.30, Total Timesteps: 1942530 episode:94 

Rewards Tr: 1370.63, Rewards Disc: 0.52, Rewards Eval: 1885.62, Total Timesteps: 1990690 episode:95 

Rewards Tr: 1137.65, Rewards Disc: 0.61, Rewards Eval: 1463.64, Total Timesteps: 2032070 episode:96 

Rewards Tr: 1561.55, Rewards Disc: 0.59, Rewards Eval: 1457.77, Total Timesteps: 2082070 episode:97 

Rewards Tr: 1582.85, Rewards Disc: 0.56, Rewards Eval: 1148.69, Total Timesteps: 2132070 episode:98 

Rewards Tr: 1465.81, Rewards Disc: 0.56, Rewards Eval: 1561.38, Total Timesteps: 2180520 episode:99 

Rewards Tr: 1587.87, Rewards Disc: 0.60, Rewards Eval: 1595.86, Total Timesteps: 2228840 episode:100 

Rewards Tr: 1419.83, Rewards Disc: 0.59, Rewards Eval: 1397.43, Total Timesteps: 2276370 episode:101 

Rewards Tr: 1426.53, Rewards Disc: 0.59, Rewards Eval: 2015.78, Total Timesteps: 2326370 episode:102 

Rewards Tr: 1759.60, Rewards Disc: 0.50, Rewards Eval: 1643.84, Total Timesteps: 2376370 episode:103 

Rewards Tr: 1423.09, Rewards Disc: 0.61, Rewards Eval: 1917.63, Total Timesteps: 2426370 episode:104 

Rewards Tr: 1749.75, Rewards Disc: 0.68, Rewards Eval: 2104.33, Total Timesteps: 2476370 episode:105 

Rewards Tr: 1618.02, Rewards Disc: 0.69, Rewards Eval: 1577.93, Total Timesteps: 2525890 episode:106 

Rewards Tr: 1461.70, Rewards Disc: 0.72, Rewards Eval: 1890.16, Total Timesteps: 2575890 episode:107 

Rewards Tr: 1659.48, Rewards Disc: 0.70, Rewards Eval: 1145.87, Total Timesteps: 2625890 episode:108 

Rewards Tr: 1857.57, Rewards Disc: 0.62, Rewards Eval: 1721.99, Total Timesteps: 2675890 episode:109 

Rewards Tr: 1714.66, Rewards Disc: 0.55, Rewards Eval: 1328.42, Total Timesteps: 2725890 episode:110 

Rewards Tr: 1763.16, Rewards Disc: 0.59, Rewards Eval: 1573.66, Total Timesteps: 2775890 episode:111 

Rewards Tr: 1547.63, Rewards Disc: 0.62, Rewards Eval: 2064.96, Total Timesteps: 2824100 episode:112 

Rewards Tr: 1256.22, Rewards Disc: 0.64, Rewards Eval: 1786.82, Total Timesteps: 2869370 episode:113 

Rewards Tr: 1344.61, Rewards Disc: 0.69, Rewards Eval: 1125.37, Total Timesteps: 2913020 episode:114 

Rewards Tr: 1441.56, Rewards Disc: 0.72, Rewards Eval: 1932.53, Total Timesteps: 2963020 episode:115 

Rewards Tr: 1507.82, Rewards Disc: 0.72, Rewards Eval: 1833.98, Total Timesteps: 3013020 episode:116 

Rewards Tr: 1476.93, Rewards Disc: 0.71, Rewards Eval: 1537.22, Total Timesteps: 3063020 episode:117 

Rewards Tr: 1772.09, Rewards Disc: 0.69, Rewards Eval: 2105.19, Total Timesteps: 3113020 episode:118 

Rewards Tr: 1891.15, Rewards Disc: 0.63, Rewards Eval: 1611.20, Total Timesteps: 3163020 episode:119 

Rewards Tr: 1992.92, Rewards Disc: 0.67, Rewards Eval: 2106.31, Total Timesteps: 3213020 episode:120 

Rewards Tr: 1905.73, Rewards Disc: 0.65, Rewards Eval: 1845.13, Total Timesteps: 3263020 episode:121 

Rewards Tr: 1947.12, Rewards Disc: 0.70, Rewards Eval: 2137.21, Total Timesteps: 3313020 episode:122 

Rewards Tr: 2001.47, Rewards Disc: 0.62, Rewards Eval: 1854.12, Total Timesteps: 3363020 episode:123 

Rewards Tr: 1823.44, Rewards Disc: 0.68, Rewards Eval: 1398.92, Total Timesteps: 3413020 episode:124 

Rewards Tr: 1718.47, Rewards Disc: 0.76, Rewards Eval: 1335.37, Total Timesteps: 3463020 episode:125 

Rewards Tr: 1508.03, Rewards Disc: 0.79, Rewards Eval: 1891.18, Total Timesteps: 3513020 episode:126 

Rewards Tr: 1411.61, Rewards Disc: 0.78, Rewards Eval: 999.64, Total Timesteps: 3562610 episode:127 

Rewards Tr: 1599.02, Rewards Disc: 0.74, Rewards Eval: 2655.66, Total Timesteps: 3612610 episode:128 

Rewards Tr: 1678.35, Rewards Disc: 0.65, Rewards Eval: 1742.03, Total Timesteps: 3662610 episode:129 

