For Seed: 1 

2022-02-12 21:15:05.670137: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:15:09.972670: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 307.56, Rewards Val: 322.24, Rewards Disc: 0.55, Rewards Eval: 307.11, Total Timesteps: 552870 episode:41 

Rewards Tr: 324.93, Rewards Val: 326.41, Rewards Disc: 0.56, Rewards Eval: 356.59, Total Timesteps: 580880 episode:42 

Rewards Tr: 327.99, Rewards Val: 365.67, Rewards Disc: 0.56, Rewards Eval: 433.99, Total Timesteps: 614050 episode:43 

Rewards Tr: 367.84, Rewards Val: 370.80, Rewards Disc: 0.54, Rewards Eval: 466.09, Total Timesteps: 643950 episode:44 

Rewards Tr: 359.82, Rewards Val: 350.35, Rewards Disc: 0.43, Rewards Eval: 344.29, Total Timesteps: 674790 episode:45 

Rewards Tr: 416.45, Rewards Val: 418.40, Rewards Disc: 0.52, Rewards Eval: 304.30, Total Timesteps: 714640 episode:46 

Rewards Tr: 399.26, Rewards Val: 396.88, Rewards Disc: 0.55, Rewards Eval: 319.00, Total Timesteps: 751340 episode:47 

Rewards Tr: 345.60, Rewards Val: 386.65, Rewards Disc: 0.55, Rewards Eval: 416.13, Total Timesteps: 783970 episode:48 

Rewards Tr: 383.89, Rewards Val: 385.34, Rewards Disc: 0.57, Rewards Eval: 494.43, Total Timesteps: 817070 episode:49 

Rewards Tr: 419.21, Rewards Val: 411.26, Rewards Disc: 0.59, Rewards Eval: 432.32, Total Timesteps: 854700 episode:50 

Rewards Tr: 440.35, Rewards Val: 422.08, Rewards Disc: 0.61, Rewards Eval: 575.69, Total Timesteps: 891500 episode:51 

Rewards Tr: 524.41, Rewards Val: 533.14, Rewards Disc: 0.65, Rewards Eval: 581.76, Total Timesteps: 942200 episode:52 

Rewards Tr: 643.12, Rewards Val: 670.64, Rewards Disc: 0.61, Rewards Eval: 1044.41, Total Timesteps: 1020430 episode:53 

Rewards Tr: 898.17, Rewards Val: 833.67, Rewards Disc: 0.62, Rewards Eval: 635.69, Total Timesteps: 1112690 episode:54 

Rewards Tr: 909.44, Rewards Val: 948.87, Rewards Disc: 0.62, Rewards Eval: 1202.28, Total Timesteps: 1212320 episode:55 

