For Seed: 1 

2022-02-08 19:40:24.519815: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:40:28.934812: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:0a:00.0, compute capability: 7.0
Rewards Tr: 6.57, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 
Rewards Tr: 392.26, Rewards Eval: 352.83, Total Timesteps: 490980 episode:64 

Rewards Tr: 429.38, Rewards Eval: 483.06, Total Timesteps: 505600 episode:65 

Rewards Tr: 398.41, Rewards Eval: 337.80, Total Timesteps: 518690 episode:66 

Rewards Tr: 389.82, Rewards Eval: 459.41, Total Timesteps: 531050 episode:67 

Rewards Tr: 388.80, Rewards Eval: 438.20, Total Timesteps: 542140 episode:68 

Rewards Tr: 473.96, Rewards Eval: 453.56, Total Timesteps: 555790 episode:69 

Rewards Tr: 474.76, Rewards Eval: 473.68, Total Timesteps: 572520 episode:70 

Rewards Tr: 468.53, Rewards Eval: 608.02, Total Timesteps: 586760 episode:71 

Rewards Tr: 454.75, Rewards Eval: 404.48, Total Timesteps: 601480 episode:72 

Rewards Tr: 483.53, Rewards Eval: 552.43, Total Timesteps: 614700 episode:73 

Rewards Tr: 537.45, Rewards Eval: 539.86, Total Timesteps: 633350 episode:74 

Rewards Tr: 534.73, Rewards Eval: 455.09, Total Timesteps: 648490 episode:75 

Rewards Tr: 454.29, Rewards Eval: 492.80, Total Timesteps: 661210 episode:76 

Rewards Tr: 566.44, Rewards Eval: 622.17, Total Timesteps: 677420 episode:77 

Rewards Tr: 567.07, Rewards Eval: 644.80, Total Timesteps: 692320 episode:78 

Rewards Tr: 674.96, Rewards Eval: 536.06, Total Timesteps: 711760 episode:79 

