For Seed: 1 

2022-02-08 19:10:32.917112: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:10:37.052408: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78116 MB memory:  -> device: 0, name: NVIDIA A100-SXM-80GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2022-02-08 19:10:38.295869: I tensorflow/stream_executor/cuda/cuda_blas.cc:1760] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
Rewards Tr: 6.65, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 
Rewards Tr: 271.70, Rewards Eval: 271.31, Total Timesteps: 558130 episode:62 

Rewards Tr: 270.72, Rewards Eval: 263.88, Total Timesteps: 564570 episode:63 

Rewards Tr: 270.96, Rewards Eval: 267.99, Total Timesteps: 571150 episode:64 

Rewards Tr: 266.17, Rewards Eval: 267.99, Total Timesteps: 577400 episode:65 

Rewards Tr: 266.35, Rewards Eval: 264.40, Total Timesteps: 583550 episode:66 

Rewards Tr: 264.18, Rewards Eval: 264.40, Total Timesteps: 589590 episode:67 

Rewards Tr: 260.30, Rewards Eval: 266.70, Total Timesteps: 595870 episode:68 

Rewards Tr: 266.56, Rewards Eval: 264.71, Total Timesteps: 602180 episode:69 

Rewards Tr: 267.05, Rewards Eval: 264.71, Total Timesteps: 608290 episode:70 

Rewards Tr: 263.13, Rewards Eval: 264.32, Total Timesteps: 614280 episode:71 

Rewards Tr: 265.10, Rewards Eval: 265.73, Total Timesteps: 620270 episode:72 

Rewards Tr: 264.63, Rewards Eval: 265.73, Total Timesteps: 626230 episode:73 

Rewards Tr: 258.67, Rewards Eval: 268.34, Total Timesteps: 632190 episode:74 

Rewards Tr: 264.87, Rewards Eval: 268.34, Total Timesteps: 638070 episode:75 

Rewards Tr: 265.24, Rewards Eval: 270.62, Total Timesteps: 643980 episode:76 

Rewards Tr: 264.43, Rewards Eval: 270.62, Total Timesteps: 649810 episode:77 

Rewards Tr: 267.76, Rewards Eval: 265.63, Total Timesteps: 655680 episode:78 

Rewards Tr: 270.38, Rewards Eval: 279.50, Total Timesteps: 661600 episode:79 

Rewards Tr: 279.80, Rewards Eval: 279.50, Total Timesteps: 667650 episode:80 

Rewards Tr: 284.76, Rewards Eval: 302.31, Total Timesteps: 673850 episode:81 

Rewards Tr: 295.89, Rewards Eval: 312.08, Total Timesteps: 680410 episode:82 

Rewards Tr: 308.50, Rewards Eval: 312.08, Total Timesteps: 687230 episode:83 

Rewards Tr: 276.91, Rewards Eval: 325.03, Total Timesteps: 694570 episode:84 

Rewards Tr: 315.92, Rewards Eval: 343.11, Total Timesteps: 701830 episode:85 

Rewards Tr: 320.50, Rewards Eval: 343.11, Total Timesteps: 709480 episode:86 

Rewards Tr: 332.23, Rewards Eval: 346.24, Total Timesteps: 717290 episode:87 

Rewards Tr: 343.22, Rewards Eval: 386.91, Total Timesteps: 725810 episode:88 

Rewards Tr: 359.26, Rewards Eval: 312.68, Total Timesteps: 734540 episode:89 

Rewards Tr: 356.90, Rewards Eval: 359.63, Total Timesteps: 742910 episode:90 

Rewards Tr: 363.34, Rewards Eval: 386.29, Total Timesteps: 752520 episode:91 

Rewards Tr: 364.92, Rewards Eval: 349.89, Total Timesteps: 761520 episode:92 

Rewards Tr: 368.22, Rewards Eval: 438.32, Total Timesteps: 770230 episode:93 

Rewards Tr: 380.70, Rewards Eval: 438.32, Total Timesteps: 779820 episode:94 

Rewards Tr: 376.54, Rewards Eval: 438.95, Total Timesteps: 789100 episode:95 

Rewards Tr: 396.08, Rewards Eval: 396.19, Total Timesteps: 798660 episode:96 

Rewards Tr: 386.78, Rewards Eval: 433.80, Total Timesteps: 810390 episode:97 

Rewards Tr: 420.05, Rewards Eval: 319.06, Total Timesteps: 821050 episode:98 

Rewards Tr: 390.30, Rewards Eval: 371.12, Total Timesteps: 831800 episode:99 

Rewards Tr: 391.84, Rewards Eval: 363.98, Total Timesteps: 841780 episode:100 

Rewards Tr: 404.11, Rewards Eval: 499.04, Total Timesteps: 851000 episode:101 

Rewards Tr: 413.40, Rewards Eval: 404.16, Total Timesteps: 861350 episode:102 

Rewards Tr: 399.30, Rewards Eval: 479.71, Total Timesteps: 870680 episode:103 

Rewards Tr: 396.28, Rewards Eval: 526.48, Total Timesteps: 880170 episode:104 

Rewards Tr: 416.97, Rewards Eval: 436.76, Total Timesteps: 890160 episode:105 

Rewards Tr: 429.51, Rewards Eval: 353.71, Total Timesteps: 901060 episode:106 

Rewards Tr: 445.86, Rewards Eval: 533.28, Total Timesteps: 911800 episode:107 

Rewards Tr: 461.41, Rewards Eval: 499.04, Total Timesteps: 922940 episode:108 

Rewards Tr: 450.25, Rewards Eval: 434.95, Total Timesteps: 933630 episode:109 

Rewards Tr: 450.12, Rewards Eval: 533.77, Total Timesteps: 944870 episode:110 

Rewards Tr: 464.36, Rewards Eval: 466.81, Total Timesteps: 955270 episode:111 

Rewards Tr: 498.38, Rewards Eval: 451.01, Total Timesteps: 966260 episode:112 

Rewards Tr: 466.19, Rewards Eval: 330.34, Total Timesteps: 976810 episode:113 

Rewards Tr: 495.17, Rewards Eval: 564.04, Total Timesteps: 988290 episode:114 

Rewards Tr: 550.77, Rewards Eval: 680.17, Total Timesteps: 1002800 episode:115 

Rewards Tr: 487.52, Rewards Eval: 580.52, Total Timesteps: 1014800 episode:116 

Rewards Tr: 537.72, Rewards Eval: 505.24, Total Timesteps: 1028340 episode:117 

Rewards Tr: 527.15, Rewards Eval: 580.81, Total Timesteps: 1043050 episode:118 

Rewards Tr: 555.19, Rewards Eval: 786.18, Total Timesteps: 1057110 episode:119 

Rewards Tr: 617.01, Rewards Eval: 593.08, Total Timesteps: 1074940 episode:120 

Rewards Tr: 598.30, Rewards Eval: 794.65, Total Timesteps: 1090500 episode:121 

Rewards Tr: 663.34, Rewards Eval: 694.27, Total Timesteps: 1110620 episode:122 

Rewards Tr: 607.21, Rewards Eval: 479.45, Total Timesteps: 1126250 episode:123 

Rewards Tr: 697.56, Rewards Eval: 844.38, Total Timesteps: 1145970 episode:124 

Rewards Tr: 895.70, Rewards Eval: 593.24, Total Timesteps: 1175820 episode:125 

Rewards Tr: 721.59, Rewards Eval: 702.66, Total Timesteps: 1194920 episode:126 

Rewards Tr: 898.41, Rewards Eval: 715.38, Total Timesteps: 1221990 episode:127 

Rewards Tr: 1050.54, Rewards Eval: 546.43, Total Timesteps: 1256170 episode:128 

Rewards Tr: 769.11, Rewards Eval: 1009.29, Total Timesteps: 1284170 episode:129 

Rewards Tr: 772.21, Rewards Eval: 932.19, Total Timesteps: 1309500 episode:130 

Rewards Tr: 997.02, Rewards Eval: 829.12, Total Timesteps: 1350980 episode:131 

Rewards Tr: 1068.42, Rewards Eval: 1007.23, Total Timesteps: 1386130 episode:132 

Rewards Tr: 1118.88, Rewards Eval: 1045.24, Total Timesteps: 1426160 episode:133 

Rewards Tr: 1225.57, Rewards Eval: 970.81, Total Timesteps: 1471790 episode:134 

Rewards Tr: 1205.49, Rewards Eval: 1135.41, Total Timesteps: 1513890 episode:135 

Rewards Tr: 982.50, Rewards Eval: 1058.85, Total Timesteps: 1550930 episode:136 

Rewards Tr: 1041.69, Rewards Eval: 1150.22, Total Timesteps: 1589450 episode:137 

Rewards Tr: 1258.44, Rewards Eval: 1290.94, Total Timesteps: 1632200 episode:138 

Rewards Tr: 1233.40, Rewards Eval: 1587.68, Total Timesteps: 1672510 episode:139 

Rewards Tr: 1846.07, Rewards Eval: 1240.61, Total Timesteps: 1722510 episode:140 

Rewards Tr: 1624.57, Rewards Eval: 1515.09, Total Timesteps: 1771320 episode:141 

Rewards Tr: 2185.53, Rewards Eval: 1450.02, Total Timesteps: 1821320 episode:142 

Rewards Tr: 2041.35, Rewards Eval: 1124.24, Total Timesteps: 1871320 episode:143 

Rewards Tr: 1698.18, Rewards Eval: 2862.56, Total Timesteps: 1918000 episode:144 

Rewards Tr: 2364.58, Rewards Eval: 1170.94, Total Timesteps: 1968000 episode:145 

Rewards Tr: 2094.54, Rewards Eval: 1582.79, Total Timesteps: 2016020 episode:146 

Rewards Tr: 2151.68, Rewards Eval: 2391.38, Total Timesteps: 2066020 episode:147 

Rewards Tr: 2441.42, Rewards Eval: 1644.09, Total Timesteps: 2116020 episode:148 

Rewards Tr: 2319.49, Rewards Eval: 2100.29, Total Timesteps: 2166020 episode:149 

Rewards Tr: 1852.18, Rewards Eval: 847.16, Total Timesteps: 2214220 episode:150 

Rewards Tr: 2018.80, Rewards Eval: 3139.03, Total Timesteps: 2264220 episode:151 

Rewards Tr: 2110.66, Rewards Eval: 2164.78, Total Timesteps: 2314220 episode:152 

Rewards Tr: 2431.19, Rewards Eval: 1858.89, Total Timesteps: 2364220 episode:153 

Rewards Tr: 2394.07, Rewards Eval: 2959.52, Total Timesteps: 2414220 episode:154 

